Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.22,0.24,0.22,0.24,40300,0.24
2016-03-31,0.23,0.24,0.21,0.23,15000,0.23
2016-03-30,0.23,0.23,0.19,0.21,162500,0.21
2016-03-29,0.21,0.23,0.21,0.23,41300,0.23
2016-03-28,0.22,0.22,0.20,0.20,17300,0.20
2016-03-24,0.22,0.22,0.22,0.22,4000,0.22
2016-03-23,0.23,0.23,0.22,0.22,191000,0.22
2016-03-22,0.25,0.25,0.25,0.25,321500,0.25
2016-03-21,0.26,0.28,0.25,0.27,207900,0.27
2016-03-18,0.28,0.28,0.25,0.25,139500,0.25
2016-03-17,0.28,0.28,0.26,0.26,67800,0.26
2016-03-16,0.28,0.28,0.26,0.28,26300,0.28
2016-03-15,0.28,0.28,0.28,0.28,14000,0.28
2016-03-14,0.28,0.30,0.24,0.25,234300,0.25
2016-03-11,0.20,0.28,0.20,0.28,398000,0.28
2016-03-10,0.18,0.21,0.18,0.20,203200,0.20
2016-03-09,0.18,0.19,0.18,0.18,51000,0.18
2016-03-08,0.18,0.19,0.18,0.19,13600,0.19
2016-03-07,0.19,0.20,0.19,0.19,58000,0.19
2016-03-04,0.20,0.20,0.19,0.20,77000,0.20
2016-03-03,0.19,0.20,0.18,0.19,156300,0.19
2016-03-02,0.18,0.18,0.17,0.17,47600,0.17
2016-03-01,0.18,0.19,0.15,0.16,324300,0.16
2016-02-29,0.18,0.19,0.17,0.17,183700,0.17
2016-02-26,0.18,0.19,0.17,0.18,135000,0.18
2016-02-25,0.16,0.18,0.16,0.18,222000,0.18
2016-02-24,0.15,0.20,0.14,0.14,642800,0.14
2016-02-23,0.15,0.15,0.15,0.15,30000,0.15
2016-02-22,0.14,0.15,0.14,0.15,293500,0.15
2016-02-19,0.14,0.15,0.14,0.15,1800,0.15
2016-02-18,0.14,0.14,0.14,0.14,268100,0.14
2016-02-17,0.14,0.14,0.14,0.14,72700,0.14
2016-02-16,0.14,0.14,0.14,0.14,128300,0.14
2016-02-12,0.15,0.15,0.14,0.15,111000,0.15
2016-02-11,0.15,0.17,0.14,0.14,1029000,0.14
2016-02-10,0.15,0.15,0.14,0.14,6600,0.14
2016-02-09,0.14,0.14,0.14,0.14,16700,0.14
2016-02-08,0.15,0.15,0.15,0.15,49000,0.15
2016-02-05,0.15,0.15,0.15,0.15,114600,0.15
2016-02-04,0.16,0.16,0.16,0.16,305700,0.16
2016-02-03,0.14,0.17,0.14,0.16,350100,0.16
2016-02-02,0.14,0.14,0.14,0.14,86300,0.14
2016-02-01,0.14,0.14,0.14,0.14,26000,0.14
2016-01-29,0.12,0.13,0.12,0.13,75900,0.13
2016-01-28,0.12,0.12,0.12,0.12,134000,0.12
2016-01-27,0.12,0.12,0.12,0.12,4000,0.12
2016-01-26,0.13,0.13,0.12,0.13,375200,0.13
2016-01-25,0.12,0.12,0.12,0.12,700,0.12
2016-01-22,0.12,0.12,0.12,0.12,50000,0.12
2016-01-21,0.13,0.13,0.12,0.12,275200,0.12
2016-01-20,0.14,0.14,0.14,0.14,000,0.14
2016-01-19,0.14,0.14,0.14,0.14,1500,0.14
2016-01-18,0.14,0.14,0.14,0.14,3800,0.14
2016-01-15,0.15,0.15,0.15,0.15,000,0.15
2016-01-14,0.15,0.15,0.15,0.15,000,0.15
2016-01-13,0.15,0.15,0.15,0.15,000,0.15
2016-01-12,0.14,0.15,0.13,0.15,59200,0.15
2016-01-11,0.14,0.14,0.14,0.14,000,0.14
2016-01-08,0.14,0.14,0.14,0.14,43000,0.14
2016-01-07,0.14,0.14,0.14,0.14,62300,0.14
2016-01-06,0.15,0.15,0.14,0.14,52000,0.14
2016-01-05,0.15,0.17,0.15,0.17,5000,0.17
2016-01-04,0.14,0.14,0.14,0.14,14000,0.14
2015-12-31,0.15,0.15,0.14,0.14,67500,0.14
2015-12-30,0.14,0.14,0.14,0.14,1000,0.14
2015-12-29,0.16,0.16,0.14,0.14,44800,0.14
2015-12-24,0.15,0.15,0.14,0.14,280200,0.14
2015-12-23,0.15,0.17,0.14,0.15,411200,0.15
2015-12-22,0.15,0.15,0.15,0.15,684500,0.15
2015-12-21,0.16,0.16,0.14,0.14,408100,0.14
2015-12-18,0.15,0.15,0.14,0.14,8500,0.14
2015-12-17,0.14,0.15,0.14,0.15,372700,0.15
2015-12-16,0.14,0.15,0.14,0.14,533500,0.14
2015-12-15,0.18,0.18,0.14,0.14,342500,0.14
2015-12-14,0.16,0.16,0.16,0.16,6300,0.16
2015-12-11,0.18,0.18,0.17,0.18,11000,0.18
2015-12-10,0.18,0.18,0.17,0.17,2000,0.17
2015-12-09,0.16,0.18,0.15,0.18,71700,0.18
2015-12-08,0.16,0.16,0.16,0.16,17000,0.16
2015-12-07,0.16,0.16,0.15,0.16,155500,0.16
2015-12-04,0.16,0.16,0.15,0.16,186300,0.16
2015-12-03,0.15,0.15,0.15,0.15,23700,0.15
2015-12-02,0.15,0.15,0.15,0.15,8100,0.15
2015-12-01,0.15,0.15,0.15,0.15,4300,0.15
2015-11-30,0.16,0.17,0.16,0.16,13500,0.16
2015-11-27,0.16,0.16,0.16,0.16,000,0.16
2015-11-26,0.17,0.17,0.16,0.16,13800,0.16
2015-11-25,0.17,0.17,0.17,0.17,3700,0.17
2015-11-24,0.15,0.15,0.15,0.15,1700,0.15
2015-11-23,0.16,0.17,0.15,0.17,9800,0.17
