Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,15.556,15.556,15.556,15.556,000,15.556
2016-03-31,16.063,16.063,16.063,16.063,000,16.063
2016-03-30,16.02,16.02,16.02,16.02,000,16.02
2016-03-29,16.548,16.548,16.548,16.548,000,16.548
2016-03-28,16.14,16.14,16.14,16.14,000,16.14
2016-03-25,16.14,16.14,16.14,16.14,000,16.14
2016-03-24,16.14,16.14,16.14,16.14,000,16.14
2016-03-23,16.276,16.276,16.276,16.276,000,16.276
2016-03-22,2.10,2.15,2.03,2.05,368100,2.05
2016-03-21,2.01,2.20,2.01,2.10,335900,2.10
2016-03-18,2.19,2.24,1.95,2.02,5414400,2.02
2016-03-17,2.24,2.25,2.06,2.17,2267500,2.17
2016-03-16,2.21,2.35,2.14,2.19,1042500,2.19
2016-03-15,2.12,2.40,2.12,2.32,914100,2.32
2016-03-14,2.23,2.36,2.12,2.12,2865000,2.12
2016-03-11,2.24,2.36,2.16,2.20,1125700,2.20
2016-03-10,2.35,2.43,2.15,2.18,2483100,2.18
2016-03-09,2.30,2.35,2.16,2.32,1477200,2.32
2016-03-08,2.27,2.44,2.185,2.26,2275400,2.26
2016-03-07,2.25,2.49,2.15,2.30,3105300,2.30
2016-03-04,2.15,2.29,2.01,2.26,653000,2.26
2016-03-03,2.18,2.18,1.98,2.13,299200,2.13
2016-03-02,2.09,2.1393,2.09,2.10,459000,2.10
2016-03-01,2.05,2.15,2.05,2.10,519000,2.10
2016-02-29,2.13,2.16,1.98,1.98,116500,1.98
2016-02-26,2.175,2.18,2.10,2.12,133600,2.12
2016-02-25,1.98,2.18,1.95,2.17,250200,2.17
2016-02-24,2.01,2.1168,1.92,2.09,320500,2.09
2016-02-23,2.15,2.15,1.98,2.06,130600,2.06
2016-02-22,2.16,2.20,2.15,2.16,264500,2.16
2016-02-19,2.25,2.25,2.15,2.20,166300,2.20
2016-02-18,2.22,2.25,2.17,2.19,126000,2.19
2016-02-17,2.21,2.26,2.20,2.23,123700,2.23
2016-02-16,2.27,2.40,2.13,2.20,114300,2.20
2016-02-15,2.25,2.25,2.25,2.25,000,2.25
2016-02-12,2.2683,2.315,2.24,2.25,629700,2.25
2016-02-11,2.2873,2.31,2.2849,2.30,540600,2.30
2016-02-10,2.375,2.375,2.3155,2.33,580200,2.33
2016-02-09,2.39,2.53,2.36,2.38,1271000,2.38
2016-02-08,2.27,2.35,2.26,2.35,11200,2.35
2016-02-05,2.31,2.40,2.25,2.38,24300,2.38
2016-02-04,2.33,2.4997,2.31,2.39,17100,2.39
2016-02-03,2.49,2.58,2.34,2.43,70600,2.43
2016-02-02,2.69,2.70,2.3532,2.46,55900,2.46
2016-02-01,2.71,2.71,2.63,2.66,18900,2.66
2016-01-29,2.63,2.70,2.45,2.69,10900,2.69
2016-01-28,2.61,2.61,2.48,2.57,15000,2.57
2016-01-27,2.48,2.60,2.48,2.55,16100,2.55
2016-01-26,2.39,2.57,2.39,2.47,11000,2.47
2016-01-25,2.49,2.58,2.45,2.45,18700,2.45
2016-01-22,2.50,2.68,2.465,2.55,87000,2.55
2016-01-21,2.42,2.44,2.40,2.40,1600,2.40
2016-01-20,2.43,2.43,2.20,2.34,33700,2.34
2016-01-19,2.36,2.45,2.25,2.35,46500,2.35
2016-01-18,2.40,2.40,2.40,2.40,000,2.40
2016-01-15,1.90,2.45,1.90,2.40,76800,2.40
2016-01-14,2.63,2.65,2.55,2.60,20000,2.60
2016-01-13,2.65,2.6622,2.65,2.65,6800,2.65
2016-01-12,2.61,2.70,2.61,2.67,10000,2.67
2016-01-11,2.65,2.72,2.58,2.60,31700,2.60
2016-01-08,2.64,2.65,2.61,2.65,1800,2.65
2016-01-07,2.65,2.675,2.58,2.65,23100,2.65
2016-01-06,2.70,2.80,2.64,2.65,16300,2.65
2016-01-05,2.75,2.80,2.73,2.73,210200,2.73
2016-01-04,2.75,2.75,2.66,2.70,18300,2.70
2016-01-01,2.83,2.83,2.83,2.83,000,2.83
2015-12-31,2.83,2.92,2.75,2.83,52300,2.83
2015-12-30,2.90,2.94,2.75,2.84,60700,2.84
2015-12-29,2.8799,3.09,2.8799,2.94,49000,2.94
2015-12-28,2.84,2.88,2.80,2.87,14300,2.87
2015-12-25,2.80,2.80,2.80,2.80,000,2.80
2015-12-24,2.70,2.80,2.6995,2.80,9800,2.80
2015-12-23,2.72,2.88,2.70,2.71,167000,2.71
2015-12-22,2.73,2.73,2.65,2.70,114700,2.70
2015-12-21,2.81,2.81,2.65,2.65,13800,2.65
2015-12-18,2.90,2.90,2.72,2.72,18200,2.72
2015-12-17,3.14,3.15,3.10,3.10,5100,2.81818
2015-12-16,3.41,3.41,3.41,3.41,000,2.81818
2015-12-15,3.41,3.41,3.41,3.41,000,2.81818
2015-12-14,3.41,3.41,3.41,3.41,3300,2.81818
2015-12-11,3.57501,3.57501,3.432,3.432,8100,2.83636
2015-12-10,3.57501,3.57501,3.57501,3.57501,5600,2.95455
2015-12-09,3.57501,3.57501,3.57501,3.57501,3000,2.95455
2015-12-08,3.509,3.63,3.509,3.63,200,3.00
2015-12-07,3.57501,3.63,3.57501,3.63,11300,3.00
2015-12-04,3.52,3.52,3.52,3.52,000,2.90909
2015-12-03,3.52,3.52,3.52,3.52,200,2.90909
2015-12-02,3.57501,3.7345,3.57501,3.63551,2000,3.00455
2015-12-01,3.57501,3.586,3.52,3.52,15400,2.90909
