Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.32,0.32,0.32,0.32,000,0.32
2016-03-31,0.306,0.306,0.306,0.306,000,0.306
2016-03-30,0.329,0.329,0.329,0.329,000,0.329
2016-03-29,0.323,0.323,0.323,0.323,000,0.323
2016-03-28,0.334,0.334,0.334,0.334,000,0.334
2016-03-25,0.334,0.334,0.334,0.334,000,0.334
2016-03-24,0.334,0.334,0.334,0.334,000,0.334
2016-03-23,0.359,0.391,0.359,0.391,400,0.391
2016-03-22,0.344,0.344,0.344,0.344,000,0.344
2016-03-21,0.336,0.336,0.336,0.336,000,0.336
2016-03-18,0.331,0.331,0.331,0.331,000,0.331
2016-03-17,0.338,0.338,0.338,0.338,000,0.338
2016-03-16,0.321,0.321,0.321,0.321,000,0.321
2016-03-15,0.335,0.335,0.335,0.335,000,0.335
2016-03-11,0.344,0.344,0.344,0.344,000,0.344
2016-03-09,0.317,0.317,0.317,0.317,000,0.317
2016-03-08,0.35,0.35,0.35,0.35,000,0.35
2016-03-03,0.327,0.419,0.327,0.419,15000,0.419
2016-02-15,0.191,0.191,0.191,0.191,000,0.191
2016-02-04,0.204,0.204,0.204,0.204,000,0.204
2016-01-20,0.161,0.161,0.161,0.161,000,0.161
2016-01-19,0.159,0.159,0.159,0.159,000,0.159
2016-01-18,0.166,0.166,0.166,0.166,000,0.166
2016-01-15,0.159,0.159,0.159,0.159,000,0.159
2016-01-12,0.175,0.175,0.175,0.175,000,0.175
2016-01-11,0.195,0.195,0.195,0.195,000,0.195
2016-01-06,0.243,0.243,0.243,0.243,000,0.243
2016-01-05,0.243,0.243,0.243,0.243,000,0.243
2016-01-04,0.257,0.257,0.257,0.257,000,0.257
2016-01-01,0.267,0.267,0.267,0.267,000,0.267
2015-12-31,0.267,0.267,0.267,0.267,000,0.267
2015-12-30,0.267,0.267,0.267,0.267,000,0.267
2015-12-29,0.31,0.312,0.31,0.312,17600,0.312
2015-12-28,0.279,0.279,0.279,0.279,000,0.279
2015-12-25,0.239,0.239,0.239,0.239,000,0.239
2015-12-24,0.239,0.239,0.239,0.239,000,0.239
2015-12-23,0.239,0.239,0.239,0.239,000,0.239
2015-12-22,0.243,0.28,0.243,0.28,5500,0.28
2015-12-21,0.222,0.222,0.222,0.222,000,0.222
2015-12-18,0.201,0.201,0.201,0.201,000,0.201
2015-12-17,0.206,0.206,0.206,0.206,000,0.206
2015-12-16,0.193,0.193,0.193,0.193,000,0.193
2015-12-15,0.192,0.192,0.192,0.192,000,0.192
2015-12-11,0.185,0.253,0.185,0.253,3200,0.253
2015-12-10,0.182,0.182,0.182,0.182,000,0.182
2015-12-09,0.186,0.245,0.186,0.245,2400,0.245
2015-12-08,0.187,0.187,0.187,0.187,000,0.187
2015-12-07,0.217,0.217,0.217,0.217,000,0.217
2015-12-04,0.217,0.217,0.217,0.217,000,0.217
2015-12-03,0.24,0.24,0.24,0.24,000,0.24
2015-12-02,0.263,0.263,0.263,0.263,000,0.263
2015-12-01,0.245,0.245,0.245,0.245,000,0.245
2015-11-30,0.254,0.254,0.254,0.254,000,0.254
2015-11-27,0.271,0.271,0.271,0.271,000,0.271
2015-11-26,0.255,0.255,0.255,0.255,000,0.255
2015-11-25,0.261,0.293,0.261,0.293,3000,0.293
2015-11-24,0.257,0.257,0.257,0.257,000,0.257
2015-11-23,0.269,0.269,0.269,0.269,000,0.269
2015-11-20,0.265,0.265,0.265,0.265,000,0.265
2015-11-19,0.267,0.267,0.267,0.267,000,0.267
2015-11-18,0.269,0.269,0.269,0.269,000,0.269
2015-11-16,0.291,0.291,0.291,0.291,000,0.291
2015-11-13,0.305,0.305,0.305,0.305,000,0.305
2015-11-12,0.335,0.335,0.335,0.335,000,0.335
2015-11-11,0.335,0.335,0.335,0.335,000,0.335
2015-11-10,0.363,0.363,0.363,0.363,000,0.363
2015-11-09,0.379,0.379,0.379,0.379,000,0.379
2015-11-06,0.375,0.375,0.375,0.375,000,0.375
2015-11-05,0.39,0.39,0.39,0.39,000,0.39
2015-11-04,0.397,0.397,0.397,0.397,000,0.397
2015-11-03,0.413,0.413,0.413,0.413,000,0.413
2015-11-02,0.433,0.433,0.433,0.433,000,0.433
2015-10-30,0.387,0.387,0.387,0.387,000,0.387
2015-10-29,0.412,0.412,0.412,0.412,000,0.412
2015-10-28,0.408,0.408,0.408,0.408,000,0.408
2015-10-27,0.409,0.409,0.409,0.409,000,0.409
2015-10-26,0.41,0.41,0.41,0.41,000,0.41
2015-10-23,0.391,0.391,0.391,0.391,000,0.391
2015-10-22,0.388,0.388,0.388,0.388,000,0.388
2015-10-21,0.392,0.392,0.392,0.392,000,0.392
2015-10-20,0.389,0.389,0.389,0.389,000,0.389
2015-10-19,0.398,0.398,0.398,0.398,000,0.398
2015-10-16,0.42,0.42,0.42,0.42,000,0.42
2015-10-15,0.397,0.397,0.397,0.397,000,0.397
2015-10-14,0.368,0.436,0.368,0.436,2300,0.436
2015-10-13,0.42,0.42,0.42,0.42,000,0.42
2015-10-12,0.426,0.426,0.426,0.426,000,0.426
2015-10-09,0.394,0.463,0.394,0.463,1200,0.463
2015-10-08,0.383,0.383,0.383,0.383,000,0.383
2015-10-07,0.36,0.36,0.36,0.36,000,0.36
2015-10-06,0.328,0.328,0.328,0.328,000,0.328
2015-10-05,0.294,0.294,0.294,0.294,000,0.294
2015-10-02,0.271,0.271,0.271,0.271,000,0.271
2015-10-01,0.274,0.274,0.274,0.274,000,0.274
2015-09-30,0.266,0.266,0.266,0.266,000,0.266
2015-09-29,0.261,0.261,0.261,0.261,000,0.261
2015-09-28,0.285,0.285,0.285,0.285,000,0.285
2015-09-25,0.301,0.301,0.301,0.301,000,0.301
2015-09-24,0.298,0.298,0.292,0.292,000,0.292
2015-09-23,0.303,0.303,0.303,0.303,000,0.303
2015-09-21,0.334,0.334,0.334,0.334,000,0.334
2015-09-18,0.376,0.412,0.376,0.412,2000,0.412
2015-09-17,0.373,0.373,0.373,0.373,000,0.373
2015-09-16,0.352,0.352,0.352,0.352,000,0.352
2015-09-15,0.357,0.357,0.357,0.357,000,0.357
2015-09-14,0.383,0.383,0.383,0.383,000,0.383
2015-09-11,0.413,0.413,0.413,0.413,000,0.413
2015-09-10,0.417,0.417,0.417,0.417,000,0.417
2015-09-09,0.436,0.436,0.436,0.436,000,0.436
2015-09-08,0.383,0.383,0.383,0.383,000,0.383
2015-09-07,0.385,0.385,0.385,0.385,000,0.385
2015-09-04,0.396,0.396,0.396,0.396,000,0.396
2015-09-03,0.372,0.372,0.372,0.372,000,0.372
2015-09-02,0.388,0.388,0.388,0.388,000,0.388
2015-09-01,0.395,0.395,0.395,0.395,000,0.395
2015-08-31,0.385,0.385,0.385,0.385,000,0.385
2015-08-28,0.373,0.373,0.373,0.373,000,0.373
2015-08-27,0.349,0.441,0.349,0.441,1500,0.441
2015-08-26,0.389,0.389,0.389,0.389,000,0.389
2015-08-25,0.392,0.392,0.392,0.392,000,0.392
2015-08-24,0.427,0.427,0.427,0.427,000,0.427
2015-08-21,0.458,0.458,0.458,0.458,000,0.458
2015-08-20,0.436,0.467,0.436,0.467,000,0.467
2015-08-19,0.463,0.488,0.463,0.488,2500,0.488
2015-08-18,0.502,0.502,0.502,0.502,000,0.502
