Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.68,0.68,0.655,0.655,78000,0.655
2016-03-31,0.68,0.69,0.675,0.685,67000,0.685
2016-03-30,0.70,0.70,0.67,0.67,185300,0.67
2016-03-29,0.71,0.72,0.695,0.71,43900,0.71
2016-03-28,0.705,0.705,0.705,0.705,000,0.705
2016-03-25,0.705,0.705,0.705,0.705,000,0.705
2016-03-24,0.705,0.71,0.69,0.705,167900,0.705
2016-03-23,0.705,0.71,0.682,0.685,183400,0.685
2016-03-22,0.71,0.72,0.69,0.705,49000,0.705
2016-03-21,0.705,0.71,0.66,0.71,83900,0.71
2016-03-18,0.745,0.745,0.68,0.705,117700,0.705
2016-03-17,0.65,0.745,0.65,0.745,491200,0.745
2016-03-16,0.635,0.67,0.63,0.67,119100,0.67
2016-03-15,0.67,0.67,0.635,0.65,91300,0.65
2016-03-14,0.68,0.68,0.65,0.67,116600,0.67
2016-03-11,0.625,0.68,0.62,0.68,297900,0.68
2016-03-10,0.635,0.64,0.61,0.64,155900,0.64
2016-03-09,0.63,0.64,0.60,0.635,66900,0.635
2016-03-08,0.60,0.65,0.60,0.63,227400,0.63
2016-03-07,0.64,0.67,0.60,0.60,348500,0.60
2016-03-04,0.68,0.68,0.645,0.665,117000,0.665
2016-03-03,0.68,0.69,0.65,0.685,107100,0.685
2016-03-02,0.69,0.695,0.665,0.685,61800,0.685
2016-03-01,0.67,0.69,0.66,0.67,122400,0.67
2016-02-29,0.635,0.67,0.635,0.665,323800,0.665
2016-02-26,0.625,0.665,0.60,0.63,1400900,0.63
2016-02-25,0.67,0.685,0.66,0.67,130200,0.67
2016-02-24,0.72,0.72,0.66,0.67,413800,0.67
2016-02-23,0.70,0.72,0.68,0.72,279300,0.72
2016-02-22,0.70,0.70,0.67,0.70,224100,0.70
2016-02-19,0.70,0.72,0.69,0.71,66300,0.71
2016-02-18,0.70,0.725,0.70,0.72,107700,0.72
2016-02-17,0.70,0.72,0.68,0.70,281800,0.70
2016-02-16,0.70,0.715,0.695,0.70,190700,0.70
2016-02-15,0.70,0.70,0.63,0.69,1576400,0.69
2016-02-12,0.71,0.72,0.66,0.70,586100,0.70
2016-02-11,0.71,0.76,0.69,0.73,417100,0.73
2016-02-10,0.72,0.74,0.70,0.72,408300,0.72
2016-02-09,0.77,0.785,0.715,0.75,376000,0.75
