Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.42,0.42,0.42,0.42,114000,0.019091
2016-03-31,0.42,0.42,0.42,0.42,134000,0.019091
2016-03-30,0.42,0.42,0.42,0.42,74000,0.019091
2016-03-29,0.42,0.42,0.41,0.42,87700,0.019091
2016-03-28,0.41,0.41,0.41,0.41,21000,0.018636
2016-03-24,0.41,0.42,0.41,0.41,165000,0.018636
2016-03-23,0.41,0.41,0.41,0.41,200700,0.018636
2016-03-22,0.40,0.41,0.40,0.41,319400,0.018636
2016-03-21,0.41,0.41,0.41,0.41,763700,0.018636
2016-03-18,0.41,0.41,0.40,0.41,1883100,0.018636
2016-03-17,0.39,0.42,0.39,0.41,1686900,0.018636
2016-03-16,0.36,0.37,0.36,0.37,323200,0.016818
2016-03-15,0.37,0.37,0.36,0.37,38000,0.016818
2016-03-14,0.37,0.37,0.37,0.37,21600,0.016818
2016-03-11,0.37,0.37,0.37,0.37,158600,0.016818
2016-03-10,0.37,0.38,0.37,0.38,282500,0.017273
2016-03-09,0.37,0.38,0.37,0.38,273800,0.017273
2016-03-08,0.38,0.38,0.38,0.38,25000,0.017273
2016-03-07,0.38,0.38,0.37,0.38,87200,0.017273
2016-03-04,0.37,0.38,0.37,0.38,127000,0.017273
2016-03-03,0.38,0.38,0.37,0.38,31500,0.017273
2016-03-02,0.38,0.38,0.37,0.38,71300,0.017273
2016-03-01,0.36,0.38,0.36,0.38,284900,0.017273
2016-02-29,0.36,0.36,0.35,0.36,525500,0.016364
2016-02-26,0.35,0.38,0.35,0.36,510300,0.016364
2016-02-25,0.32,0.32,0.32,0.32,239000,0.014545
2016-02-24,0.32,0.32,0.31,0.31,264400,0.014091
2016-02-23,0.32,0.32,0.31,0.32,252800,0.014545
2016-02-22,0.34,0.34,0.31,0.31,234800,0.014091
2016-02-19,0.33,0.34,0.32,0.34,289000,0.015455
2016-02-18,0.33,0.33,0.32,0.33,274200,0.015
2016-02-17,0.32,0.33,0.32,0.33,601500,0.015
2016-02-16,0.34,0.34,0.31,0.32,301000,0.014545
2016-02-12,0.35,0.35,0.35,0.35,20000,0.015909
2016-02-11,0.35,0.36,0.34,0.36,43700,0.016364
2016-02-10,0.35,0.36,0.35,0.36,1500,0.016364
2016-02-09,0.35,0.36,0.35,0.36,10500,0.016364
2016-02-08,0.35,0.36,0.35,0.36,54700,0.016364
2016-02-05,0.35,0.35,0.35,0.35,26000,0.015909
2016-02-04,0.35,0.36,0.35,0.36,73700,0.016364
2016-02-03,0.36,0.36,0.36,0.36,13500,0.016364
2016-02-02,0.36,0.37,0.36,0.37,158000,0.016818
2016-02-01,0.37,0.38,0.37,0.38,2800,0.017273
2016-01-29,0.37,0.38,0.36,0.38,147500,0.017273
2016-01-28,0.35,0.37,0.35,0.37,99800,0.016818
2016-01-27,0.35,0.37,0.35,0.37,42100,0.016818
2016-01-26,0.35,0.35,0.33,0.35,35000,0.015909
2016-01-25,0.34,0.35,0.33,0.35,101800,0.015909
2016-01-22,0.35,0.35,0.34,0.35,215000,0.015909
2016-01-21,0.35,0.35,0.34,0.35,66000,0.015909
2016-01-20,0.35,0.35,0.35,0.35,30200,0.015909
2016-01-19,0.35,0.35,0.35,0.35,29000,0.015909
2016-01-18,0.35,0.36,0.35,0.36,3500,0.016364
2016-01-15,0.35,0.35,0.35,0.35,31300,0.015909
2016-01-14,0.36,0.36,0.35,0.36,65000,0.016364
2016-01-13,0.35,0.36,0.35,0.36,62300,0.016364
2016-01-12,0.35,0.35,0.35,0.35,137600,0.015909
2016-01-11,0.35,0.35,0.35,0.35,33200,0.015909
2016-01-08,0.34,0.35,0.34,0.34,6200,0.015455
2016-01-07,0.33,0.34,0.33,0.34,177600,0.015455
2016-01-06,0.34,0.34,0.33,0.33,93600,0.015
2016-01-05,0.34,0.35,0.33,0.34,214700,0.015455
2016-01-04,0.34,0.34,0.33,0.33,153900,0.015
2015-12-31,0.34,0.34,0.34,0.34,148200,0.015455
2015-12-30,0.34,0.34,0.34,0.34,21900,0.015455
2015-12-29,0.34,0.34,0.34,0.34,76700,0.015455
2015-12-24,0.34,0.35,0.33,0.35,48500,0.015909
2015-12-23,0.35,0.35,0.34,0.35,89100,0.015909
2015-12-22,0.34,0.35,0.34,0.35,35500,0.015909
2015-12-21,0.35,0.35,0.34,0.35,131300,0.015909
2015-12-18,0.34,0.34,0.33,0.34,231000,0.015455
2015-12-17,0.34,0.34,0.33,0.34,242400,0.015455
2015-12-16,0.33,0.33,0.33,0.33,42500,0.015
2015-12-15,0.34,0.34,0.33,0.33,355400,0.015
2015-12-14,0.34,0.34,0.32,0.32,385900,0.014545
2015-12-11,0.35,0.35,0.33,0.34,63100,0.015455
2015-12-10,0.35,0.36,0.34,0.34,766700,0.015455
2015-12-09,0.33,0.35,0.32,0.35,1043700,0.015909
2015-12-08,0.31,0.33,0.30,0.31,584900,0.014091
2015-12-07,0.23,0.24,0.23,0.24,104200,0.010909
2015-12-04,0.23,0.23,0.23,0.23,18000,0.010455
2015-12-03,0.23,0.23,0.23,0.23,30000,0.010455
2015-12-02,0.23,0.23,0.23,0.23,101000,0.010455
2015-12-01,0.23,0.23,0.23,0.23,5400,0.010455
2015-11-30,0.23,0.23,0.23,0.23,155300,0.010455
2015-11-27,0.23,0.23,0.23,0.23,45800,0.010455
