Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,241.00,241.00,237.50,241.00,800,241.00
2016-03-31,245.00,246.00,242.50,244.00,1100,244.00
2016-03-30,245.00,249.50,244.00,245.00,1800,245.00
2016-03-29,251.00,251.00,245.50,247.00,1600,247.00
2016-03-28,250.00,250.00,250.00,250.00,000,250.00
2016-03-25,250.00,250.00,250.00,250.00,000,250.00
2016-03-24,251.50,251.50,250.00,250.00,000,250.00
2016-03-23,251.00,253.00,249.00,251.00,1500,251.00
2016-03-22,248.00,250.00,245.50,250.00,2900,250.00
2016-03-21,242.00,245.00,241.00,245.00,1300,245.00
2016-03-18,240.00,242.00,239.00,242.00,3300,242.00
2016-03-17,240.50,240.50,235.50,240.00,10300,240.00
2016-03-16,245.00,248.50,241.50,241.50,1500,241.50
2016-03-15,250.00,253.00,246.00,246.00,1200,246.00
2016-03-14,252.50,255.00,250.50,250.50,1700,250.50
2016-03-11,251.00,251.00,247.00,250.00,5700,250.00
2016-03-10,251.50,254.00,248.50,252.00,1600,252.00
2016-03-09,254.00,254.00,248.50,249.50,1700,249.50
2016-03-08,250.00,255.00,249.00,250.00,1700,250.00
2016-03-07,251.50,253.00,250.00,250.00,1300,250.00
2016-03-04,257.00,260.00,251.00,251.50,8400,251.50
2016-03-03,260.50,261.50,256.50,256.50,1400,256.50
2016-03-02,258.00,262.00,257.00,258.50,900,258.50
2016-03-01,260.00,260.00,250.00,257.00,3300,257.00
2016-02-29,255.00,258.50,255.00,256.00,400,256.00
2016-02-26,268.00,268.00,260.00,260.00,1900,260.00
2016-02-25,253.50,258.00,252.00,257.50,1000,257.50
2016-02-24,253.00,255.00,248.00,252.50,900,252.50
2016-02-23,252.00,257.00,252.00,255.00,2200,255.00
2016-02-22,246.00,252.00,246.00,251.00,700,251.00
2016-02-19,248.50,252.50,247.50,247.50,600,247.50
2016-02-18,253.00,255.00,249.00,255.00,700,255.00
2016-02-17,252.00,256.50,252.00,253.00,1800,253.00
2016-02-16,251.00,254.50,250.00,251.50,2200,251.50
2016-02-15,255.00,255.00,247.00,250.50,1400,250.50
2016-02-12,243.00,249.50,243.00,245.50,4800,245.50
2016-02-11,253.00,253.00,242.50,242.50,700,242.50
2016-02-10,249.00,251.00,246.50,251.00,1700,251.00
2016-02-09,240.00,247.50,238.00,241.50,2300,241.50
2016-02-08,252.50,252.50,241.00,241.50,1600,241.50
2016-02-05,240.00,249.00,240.00,249.00,800,249.00
2016-02-04,248.00,252.00,241.50,246.00,3800,246.00
2016-02-03,255.00,258.00,252.50,252.50,3300,252.50
2016-02-02,257.00,259.00,252.00,257.50,1400,257.20
2016-02-01,260.00,263.00,256.00,257.00,2000,256.701
2016-01-29,256.00,261.50,256.00,260.00,1100,259.697
2016-01-28,259.00,262.00,253.50,254.00,2900,253.704
