Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.07,0.07,0.07,0.07,100,0.07
2016-03-31,0.07,0.07,0.07,0.07,2000,0.07
2016-03-30,0.10,0.10,0.10,0.10,600,0.10
2016-03-29,0.07,0.07,0.07,0.07,300,0.07
2016-03-28,0.09,0.09,0.09,0.09,000,0.09
2016-03-24,0.09,0.09,0.09,0.09,000,0.09
2016-03-23,0.09,0.09,0.09,0.09,14100,0.09
2016-03-22,0.07,0.07,0.07,0.07,000,0.07
2016-03-21,0.07,0.07,0.07,0.07,000,0.07
2016-03-18,0.07,0.07,0.07,0.07,11700,0.07
2016-03-17,0.07,0.07,0.07,0.07,000,0.07
2016-03-16,0.07,0.07,0.07,0.07,000,0.07
2016-03-15,0.07,0.07,0.07,0.07,000,0.07
2016-03-14,0.07,0.07,0.07,0.07,000,0.07
2016-03-11,0.07,0.07,0.07,0.07,2800,0.07
2016-03-10,0.08,0.08,0.08,0.08,000,0.08
2016-03-09,0.08,0.08,0.08,0.08,000,0.08
2016-03-08,0.08,0.08,0.08,0.08,000,0.08
2016-03-07,0.08,0.08,0.08,0.08,1400,0.08
2016-03-04,0.08,0.08,0.08,0.08,000,0.08
2016-03-03,0.07,0.08,0.07,0.08,18900,0.08
2016-03-02,0.07,0.07,0.07,0.07,000,0.07
2016-03-01,0.11,0.11,0.07,0.07,65700,0.07
2016-02-29,0.11,0.11,0.11,0.11,000,0.11
2016-02-26,0.11,0.11,0.11,0.11,1300,0.11
2016-02-25,0.18,0.18,0.10,0.15,26100,0.15
2016-02-24,0.14,0.15,0.14,0.15,300,0.15
2016-02-23,0.16,0.16,0.16,0.16,2700,0.16
2016-02-22,0.19,0.19,0.16,0.16,8300,0.16
2016-02-19,0.15,0.19,0.15,0.19,8800,0.19
2016-02-18,0.16,0.16,0.16,0.16,000,0.16
2016-02-17,0.16,0.16,0.16,0.16,300,0.16
2016-02-16,0.15,0.15,0.15,0.15,000,0.15
2016-02-12,0.15,0.15,0.15,0.15,900,0.15
2016-02-11,0.13,0.19,0.13,0.17,41800,0.17
2016-02-10,0.12,0.12,0.12,0.12,19500,0.12
2016-02-09,0.12,0.13,0.11,0.13,15800,0.13
2016-02-08,0.12,0.12,0.10,0.12,10800,0.12
2016-02-05,0.11,0.11,0.11,0.11,3000,0.11
2016-02-04,0.11,0.11,0.11,0.11,10300,0.11
2016-02-03,0.08,0.17,0.08,0.14,46800,0.14
2016-02-02,0.07,0.19,0.05,0.17,1800,0.17
2016-02-01,0.06,0.06,0.06,0.06,000,0.06
2016-01-29,0.06,0.06,0.06,0.06,000,0.06
2016-01-28,0.06,0.06,0.06,0.06,10000,0.06
2016-01-27,0.06,0.06,0.06,0.06,000,0.06
2016-01-26,0.06,0.06,0.06,0.06,000,0.06
2016-01-25,0.06,0.06,0.06,0.06,6700,0.06
2016-01-22,0.06,0.06,0.06,0.06,1300,0.06
2016-01-21,0.06,0.06,0.06,0.06,000,0.06
2016-01-20,0.06,0.06,0.06,0.06,000,0.06
2016-01-19,0.06,0.06,0.06,0.06,1700,0.06
2016-01-15,0.06,0.06,0.06,0.06,100,0.06
2016-01-14,0.08,0.08,0.08,0.08,000,0.08
2016-01-13,0.06,0.08,0.06,0.08,10800,0.08
2016-01-12,0.05,0.05,0.05,0.05,000,0.05
2016-01-11,0.05,0.05,0.05,0.05,000,0.05
2016-01-08,0.05,0.05,0.05,0.05,4300,0.05
2016-01-07,0.05,0.05,0.05,0.05,000,0.05
2016-01-06,0.05,0.05,0.05,0.05,100,0.05
2016-01-05,0.05,0.05,0.05,0.05,300,0.05
2016-01-04,0.05,0.05,0.05,0.05,100,0.05
2015-12-31,0.05,0.05,0.05,0.05,500,0.05
2015-12-30,0.05,0.05,0.05,0.05,900,0.05
