Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,34.50,37.50,34.20,37.50,74300,37.50
2016-03-31,34.10,36.00,34.00,34.00,80500,34.00
2016-03-30,34.00,34.90,33.60,33.70,33100,33.70
2016-03-29,35.50,35.50,33.00,33.10,60800,33.10
2016-03-28,36.00,36.00,36.00,36.00,000,36.00
2016-03-25,36.00,36.00,36.00,36.00,000,36.00
2016-03-24,36.00,36.00,36.00,36.00,000,36.00
2016-03-23,36.00,36.00,36.00,36.00,2000,36.00
2016-03-22,35.00,36.00,34.70,35.40,41400,35.40
2016-03-21,34.80,35.60,34.80,34.80,12300,34.80
2016-03-18,36.00,36.10,34.80,35.00,22700,35.00
2016-03-17,36.70,36.80,35.70,36.20,11800,36.20
2016-03-16,37.10,37.40,36.90,37.40,4200,37.40
2016-03-15,37.70,38.00,36.80,37.10,46200,37.10
2016-03-14,36.30,37.10,36.30,37.00,6100,37.00
2016-03-11,37.00,37.30,36.30,36.40,26400,36.40
2016-03-10,35.80,38.00,35.70,35.70,45500,35.70
2016-03-09,35.60,35.80,34.40,35.50,4600,35.50
2016-03-08,35.60,36.10,34.00,36.00,43300,36.00
2016-03-07,35.90,35.90,35.60,35.60,5800,35.60
2016-03-04,36.20,36.50,36.00,36.30,9200,36.30
2016-03-03,36.60,36.60,35.50,35.90,11000,35.90
2016-03-02,37.40,37.40,36.70,36.70,7600,36.70
2016-03-01,37.70,37.90,36.60,36.90,10600,36.90
2016-02-29,35.30,37.70,35.30,37.40,41000,37.40
2016-02-26,35.10,35.40,34.50,35.00,6200,35.00
2016-02-25,36.00,36.30,35.00,35.00,10400,35.00
2016-02-24,34.80,36.60,34.80,36.30,30300,36.30
2016-02-23,35.00,35.60,34.80,34.80,10300,34.80
2016-02-22,36.20,36.90,35.00,35.50,38700,35.50
2016-02-19,37.00,37.00,35.80,35.90,19200,35.90
2016-02-18,38.00,38.30,37.00,37.40,8600,37.40
2016-02-17,38.00,39.00,37.70,37.80,26900,37.80
2016-02-16,37.00,38.40,36.00,38.00,96600,38.00
2016-02-15,34.30,36.00,34.10,36.00,37400,36.00
2016-02-12,35.00,35.00,34.00,34.60,14500,34.60
2016-02-11,33.70,35.00,32.80,35.00,73700,35.00
2016-02-10,33.90,34.90,33.10,33.50,24300,33.50
2016-02-09,34.80,34.80,34.00,34.20,31700,34.20
