Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,2.00,2.00,2.00,2.00,000,2.00
2016-03-31,2.00,2.00,2.00,2.00,000,2.00
2016-03-30,2.00,2.00,2.00,2.00,5000,2.00
2016-03-29,1.75,1.755,1.75,2.00,1450000,2.00
2016-03-28,2.00,2.00,2.00,2.00,000,2.00
2016-03-24,2.00,2.00,2.00,2.00,000,2.00
2016-03-23,2.00,2.00,2.00,2.00,000,2.00
2016-03-22,2.00,2.00,2.00,2.00,000,2.00
2016-03-21,2.00,2.00,2.00,2.00,000,2.00
2016-03-18,2.10,2.10,2.10,2.00,23600,2.00
2016-03-17,2.00,2.00,2.00,2.00,000,2.00
2016-03-16,2.00,2.00,2.00,2.00,000,2.00
2016-03-15,2.00,2.00,2.00,2.00,000,2.00
2016-03-14,2.00,2.00,2.00,2.00,000,2.00
2016-03-11,2.075,2.10,2.075,2.00,130000,2.00
2016-03-10,2.00,2.00,2.00,2.00,000,2.00
2016-03-09,2.00,2.00,2.00,2.00,4500,2.00
2016-03-08,2.00,2.00,2.00,2.00,000,2.00
2016-03-07,2.00,2.00,2.00,2.00,000,2.00
2016-03-04,1.75,1.75,1.75,2.00,57000,2.00
2016-03-03,2.00,2.00,2.00,2.00,000,2.00
2016-03-02,2.00,2.00,2.00,2.00,000,2.00
2016-03-01,1.90,1.90,1.90,2.00,52000,2.00
2016-02-29,2.25,2.25,2.25,2.00,450000,2.00
2016-02-26,2.00,2.00,2.00,2.00,000,2.00
2016-02-25,2.00,2.00,2.00,2.00,000,2.00
2016-02-24,2.00,2.00,2.00,2.00,000,2.00
2016-02-23,2.00,2.00,2.00,2.00,000,2.00
2016-02-22,2.00,2.00,2.00,2.00,000,2.00
2016-02-19,2.00,2.00,2.00,2.00,000,2.00
2016-02-18,2.00,2.00,2.00,2.00,000,2.00
2016-02-17,2.00,2.00,2.00,2.00,000,2.00
2016-02-16,2.00,2.00,2.00,2.00,000,2.00
2016-02-15,2.00,2.00,2.00,2.00,000,2.00
2016-02-12,2.00,2.00,2.00,2.00,000,2.00
2016-02-11,2.00,2.00,2.00,2.00,000,2.00
2016-02-10,2.00,2.00,2.00,2.00,000,2.00
2016-02-09,2.00,2.00,2.00,2.00,000,2.00
2016-02-08,2.00,2.00,2.00,2.00,50000,2.00
2016-02-05,2.00,2.00,2.00,2.00,000,2.00
2016-02-04,2.00,2.00,2.00,2.00,000,2.00
2016-02-03,2.00,2.00,2.00,2.00,000,2.00
2016-02-02,1.75,1.75,1.75,2.00,50000,2.00
2016-02-01,2.00,2.00,2.00,2.00,000,2.00
2016-01-29,2.00,2.00,2.00,2.00,000,2.00
2016-01-28,2.15,2.15,2.15,2.00,100000,2.00
2016-01-27,2.00,2.00,1.75,1.875,225000,1.875
2016-01-26,1.75,1.75,1.75,1.75,100000,1.75
2016-01-25,1.375,1.375,1.375,1.375,000,1.375
2016-01-22,1.375,1.375,1.375,1.375,000,1.375
2016-01-21,1.375,1.375,1.375,1.375,000,1.375
2016-01-20,1.375,1.375,1.375,1.375,000,1.375
2016-01-19,1.375,1.375,1.375,1.375,000,1.375
2016-01-18,1.38,1.38,1.38,1.375,2000,1.375
2016-01-15,1.375,1.375,1.375,1.375,000,1.375
2016-01-14,1.375,1.375,1.375,1.375,000,1.375
2016-01-13,1.375,1.375,1.375,1.375,000,1.375
2016-01-12,1.50,1.50,1.50,1.50,000,1.50
2016-01-11,1.66,1.66,1.66,1.50,19000,1.50
2016-01-08,1.50,1.50,1.50,1.50,000,1.50
2016-01-07,1.50,1.50,1.50,1.50,000,1.50
2016-01-06,1.50,1.50,1.50,1.50,000,1.50
2016-01-05,1.50,1.50,1.50,1.50,000,1.50
2016-01-04,1.50,1.50,1.50,1.50,2600,1.50
2015-12-31,1.25,1.25,1.25,1.50,3000,1.50
2015-12-30,1.50,1.50,1.50,1.50,4500,1.50
2015-12-29,1.625,1.625,1.625,1.625,000,1.625
2015-12-24,1.765,1.765,1.765,1.875,5000,1.875
2015-12-23,1.875,1.875,1.875,1.875,000,1.875
2015-12-22,1.875,1.875,1.875,1.875,000,1.875
2015-12-21,1.875,1.875,1.875,1.875,000,1.875
2015-12-18,1.875,1.875,1.875,1.875,000,1.875
2015-12-17,1.875,1.875,1.875,1.875,000,1.875
2015-12-16,1.875,1.875,1.875,1.875,000,1.875
2015-12-15,1.875,1.875,1.875,1.875,740000,1.875
2015-12-14,1.875,1.875,1.875,1.875,000,1.875
2015-12-11,1.875,1.875,1.875,1.875,000,1.875
2015-12-10,1.50,1.50,1.50,1.875,100000,1.875
2015-12-09,1.875,1.875,1.875,1.875,000,1.875
2015-12-08,1.829,2.00,1.829,1.875,185000,1.875
2015-12-07,1.50,1.50,1.50,1.75,60000,1.75
2015-12-04,1.385,1.75,1.385,1.75,200000,1.75
2015-12-03,2.125,2.125,2.125,2.125,000,2.125
2015-12-02,2.125,2.125,2.125,2.125,000,2.125
2015-12-01,2.125,2.125,2.125,2.125,000,2.125
2015-11-30,2.125,2.125,2.125,2.125,000,2.125
2015-11-27,2.125,2.125,2.125,2.125,000,2.125
2015-11-26,2.125,2.125,2.125,2.125,000,2.125
2015-11-25,2.125,2.125,2.125,2.125,000,2.125
2015-11-24,2.125,2.125,2.125,2.125,000,2.125
2015-11-23,2.125,2.125,2.125,2.125,000,2.125
2015-11-20,2.125,2.125,2.125,2.125,000,2.125
2015-11-19,2.125,2.125,2.125,2.125,000,2.125
2015-11-18,2.125,2.125,2.125,2.125,000,2.125
2015-11-17,2.125,2.125,2.125,2.125,000,2.125
2015-11-16,2.125,2.125,2.125,2.125,000,2.125
2015-11-13,2.00,2.00,2.00,2.125,25000,2.125
2015-11-12,2.125,2.125,2.125,2.125,000,2.125
2015-11-11,2.125,2.125,2.125,2.125,000,2.125
2015-11-10,2.125,2.125,2.125,2.125,000,2.125
2015-11-09,2.50,2.50,2.05,2.125,48400,2.125
2015-11-06,2.75,2.75,2.75,2.75,000,2.75
2015-11-05,2.55,2.55,2.55,2.75,59400,2.75
2015-11-04,2.75,2.75,2.75,2.75,000,2.75
2015-11-03,2.75,2.75,2.75,2.75,000,2.75
2015-11-02,2.75,2.75,2.75,2.75,000,2.75
2015-10-30,2.25,2.25,2.25,2.75,110900,2.75
2015-10-29,2.60,2.60,2.60,2.75,110900,2.75
2015-10-28,2.75,2.75,2.75,2.75,000,2.75
2015-10-27,2.75,2.75,2.75,2.75,000,2.75
2015-10-26,2.75,2.75,2.75,2.75,000,2.75
2015-10-23,2.75,2.75,2.75,2.75,000,2.75
2015-10-22,2.75,2.75,2.75,2.75,000,2.75
2015-10-21,2.75,2.75,2.75,2.75,000,2.75
2015-10-20,2.75,2.75,2.75,2.75,000,2.75
2015-10-19,2.75,2.75,2.75,2.75,000,2.75
2015-10-16,2.60,2.60,2.60,2.75,56000,2.75
2015-10-15,2.75,2.75,2.75,2.75,000,2.75
2015-10-14,2.75,2.75,2.75,2.75,000,2.75
2015-10-13,2.75,2.75,2.75,2.75,000,2.75
2015-10-12,2.75,2.75,2.75,2.75,000,2.75
2015-10-09,2.75,2.75,2.75,2.75,000,2.75
2015-10-08,2.75,2.75,2.75,2.75,000,2.75
2015-10-07,2.75,2.75,2.75,2.75,000,2.75
2015-10-06,2.75,2.75,2.75,2.75,000,2.75
2015-10-05,2.75,2.75,2.75,2.75,000,2.75
2015-10-02,2.75,2.75,2.75,2.75,000,2.75
2015-10-01,2.75,2.75,2.75,2.75,000,2.75
2015-09-30,2.75,2.75,2.75,2.75,000,2.75
2015-09-29,3.25,3.25,3.25,3.25,000,3.25
2015-09-28,3.25,3.25,3.25,3.25,000,3.25
2015-09-25,3.25,3.25,3.25,3.25,000,3.25
2015-09-24,3.10,3.10,3.10,3.25,60000,3.25
2015-09-23,3.75,3.75,3.75,3.75,000,3.75
2015-09-22,3.75,3.75,3.75,3.75,000,3.75
2015-09-21,3.75,3.75,3.75,3.75,000,3.75
2015-09-18,3.75,3.75,3.75,3.75,000,3.75
2015-09-17,3.50,3.50,3.50,3.75,15000,3.75
2015-09-16,3.75,3.75,3.75,3.75,000,3.75
2015-09-15,3.75,3.75,3.75,3.75,000,3.75
2015-09-14,3.75,3.75,3.75,3.75,000,3.75
2015-09-11,3.75,3.75,3.75,3.75,000,3.75
2015-09-10,3.75,3.75,3.75,3.75,000,3.75
2015-09-09,3.75,3.75,3.75,3.75,000,3.75
2015-09-08,3.75,3.75,3.75,3.75,000,3.75
2015-09-07,3.75,3.75,3.75,3.75,300,3.75
2015-09-04,3.75,3.75,3.75,3.75,000,3.75
2015-09-03,3.75,3.75,3.75,3.75,000,3.75
2015-09-02,3.75,3.75,3.75,3.75,000,3.75
2015-09-01,3.75,3.75,3.75,3.75,000,3.75
2015-08-31,3.75,3.75,3.75,3.75,000,3.75
2015-08-28,3.75,3.75,3.75,3.75,000,3.75
2015-08-27,3.75,3.75,3.75,3.75,000,3.75
2015-08-26,3.75,3.75,3.75,3.75,000,3.75
2015-08-25,3.55,3.55,3.50,3.75,9000,3.75
2015-08-24,2.50,2.50,2.50,4.25,92500,4.25
2015-08-21,4.25,4.25,4.25,4.25,000,4.25
2015-08-20,4.25,4.25,4.25,4.25,000,4.25
2015-08-19,4.25,4.25,4.25,4.25,000,4.25
2015-08-18,4.25,4.25,4.25,4.25,000,4.25
2015-08-17,4.25,4.25,4.25,4.25,000,4.25
2015-08-14,4.00,4.00,4.00,4.25,8000,4.25
2015-08-13,4.25,4.25,4.25,4.25,000,4.25
