Date,Open,High,Low,Close,Volume,Adj_Close
2016-02-26,5.832,5.832,5.832,5.832,000,5.832
2016-02-25,5.766,5.766,5.766,5.766,000,5.766
2016-02-24,5.784,5.784,5.784,5.784,000,5.784
2016-02-23,5.931,5.931,5.931,5.931,000,5.931
2016-02-22,5.829,5.829,5.829,5.829,000,5.829
2016-02-19,5.801,5.801,5.801,5.801,000,5.801
2016-02-18,5.80,5.80,5.80,5.80,000,5.80
2016-02-17,5.793,5.793,5.793,5.793,000,5.793
2016-02-16,5.848,5.848,5.848,5.848,000,5.848
2016-02-15,5.766,5.766,5.766,5.766,000,5.766
2016-02-12,5.747,5.747,5.747,5.747,000,5.747
2016-02-11,5.781,5.781,5.781,5.781,000,5.781
2016-02-10,5.945,5.945,5.945,5.945,000,5.945
2016-02-09,6.418,6.418,6.418,6.418,000,6.418
2016-02-08,6.70,6.70,6.70,6.70,000,6.70
2016-02-05,6.847,6.847,6.847,6.847,000,6.847
2016-02-04,6.775,6.775,6.775,6.775,000,6.775
2016-02-03,6.654,6.654,6.654,6.654,000,6.654
2016-02-02,6.969,6.969,6.969,6.969,000,6.969
2016-02-01,6.815,6.815,6.815,6.815,000,6.815
2016-01-29,6.735,6.735,6.735,6.735,000,6.735
2016-01-28,6.823,6.823,6.823,6.823,000,6.823
2016-01-27,6.762,6.762,6.762,6.762,000,6.762
2016-01-26,6.753,6.753,6.753,6.753,000,6.753
2016-01-25,6.873,6.873,6.873,6.873,000,6.873
2016-01-22,6.913,6.913,6.913,6.913,000,6.913
2016-01-21,6.675,6.675,6.675,6.675,000,6.675
2016-01-20,6.514,6.514,6.514,6.514,000,6.514
2016-01-19,6.665,6.665,6.665,6.665,000,6.665
2016-01-18,6.453,6.453,6.453,6.453,000,6.453
2016-01-15,6.636,6.636,6.636,6.636,000,6.636
2016-01-14,6.704,6.704,6.704,6.704,000,6.704
2016-01-13,7.016,7.016,7.016,7.016,000,7.016
2016-01-12,6.741,6.741,6.741,6.741,000,6.741
2016-01-11,6.878,6.878,6.878,6.878,000,6.878
2016-01-08,6.96,6.96,6.96,6.96,000,6.96
2016-01-07,7.175,7.175,7.175,7.175,000,7.175
2016-01-06,7.323,7.323,7.323,7.323,000,7.323
2016-01-05,7.596,7.596,7.596,7.596,000,7.596
2016-01-04,7.68,7.68,7.68,7.68,000,7.68
2016-01-01,7.747,7.747,7.747,7.747,000,7.747
2015-12-31,7.747,7.747,7.747,7.747,000,7.747
2015-12-30,7.747,7.747,7.747,7.747,000,7.747
2015-12-29,7.614,7.614,7.614,7.614,000,7.614
2015-12-28,7.58,7.58,7.58,7.58,000,7.58
2015-12-25,7.535,7.535,7.535,7.535,000,7.535
2015-12-24,7.535,7.535,7.535,7.535,000,7.535
2015-12-23,7.535,7.535,7.535,7.535,000,7.535
2015-12-22,7.486,7.486,7.486,7.486,000,7.486
2015-12-21,7.366,7.366,7.366,7.366,000,7.366
2015-12-18,7.411,7.411,7.411,7.411,000,7.411
2015-12-17,7.464,7.464,7.464,7.464,000,7.464
2015-12-16,7.278,7.278,7.278,7.278,000,7.278
2015-12-15,7.384,7.384,7.384,7.384,000,7.384
2015-12-14,7.353,7.353,7.353,7.353,000,7.353
2015-12-11,7.504,7.504,7.504,7.504,000,7.504
