Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.18,0.18,0.17,0.18,25100,0.18
2016-03-31,0.18,0.18,0.18,0.18,19000,0.18
2016-03-30,0.20,0.20,0.18,0.18,31200,0.18
2016-03-29,0.18,0.18,0.18,0.18,1700,0.18
2016-03-28,0.20,0.20,0.18,0.18,28900,0.18
2016-03-24,0.18,0.18,0.18,0.18,9000,0.18
2016-03-23,0.18,0.18,0.18,0.18,500,0.18
2016-03-22,0.19,0.19,0.19,0.19,5300,0.19
2016-03-21,0.19,0.19,0.18,0.18,106800,0.18
2016-03-18,0.20,0.20,0.19,0.19,3500,0.19
2016-03-17,0.19,0.19,0.18,0.18,75500,0.18
2016-03-16,0.18,0.19,0.18,0.19,14900,0.19
2016-03-15,0.19,0.19,0.18,0.18,87000,0.18
2016-03-14,0.19,0.20,0.19,0.20,27000,0.20
2016-03-11,0.19,0.19,0.19,0.19,6000,0.19
2016-03-10,0.19,0.19,0.19,0.19,000,0.19
2016-03-09,0.19,0.19,0.19,0.19,8100,0.19
2016-03-08,0.18,0.18,0.18,0.18,5500,0.18
2016-03-07,0.18,0.19,0.18,0.19,8000,0.19
2016-03-04,0.17,0.18,0.17,0.18,11000,0.18
2016-03-03,0.17,0.18,0.17,0.17,53500,0.17
2016-03-02,0.16,0.16,0.16,0.16,000,0.16
2016-03-01,0.17,0.17,0.16,0.16,1000,0.16
2016-02-29,0.17,0.18,0.17,0.18,41700,0.18
2016-02-26,0.17,0.17,0.15,0.16,129800,0.16
2016-02-25,0.15,0.15,0.15,0.15,5000,0.15
2016-02-24,0.15,0.16,0.15,0.16,35100,0.16
2016-02-23,0.17,0.17,0.17,0.17,3000,0.17
2016-02-22,0.17,0.17,0.17,0.17,11700,0.17
2016-02-19,0.15,0.17,0.15,0.17,3300,0.17
2016-02-18,0.17,0.17,0.17,0.17,000,0.17
2016-02-17,0.17,0.17,0.17,0.17,000,0.17
2016-02-16,0.16,0.17,0.16,0.17,1500,0.17
2016-02-12,0.17,0.17,0.16,0.16,15000,0.16
2016-02-11,0.16,0.16,0.16,0.16,000,0.16
2016-02-10,0.16,0.16,0.16,0.16,5000,0.16
2016-02-09,0.17,0.17,0.17,0.17,5000,0.17
2016-02-08,0.17,0.21,0.17,0.17,91800,0.17
2016-02-05,0.16,0.16,0.16,0.16,3500,0.16
2016-02-04,0.17,0.17,0.17,0.17,700,0.17
2016-02-03,0.17,0.17,0.17,0.17,27000,0.17
2016-02-02,0.16,0.17,0.16,0.16,15000,0.16
2016-02-01,0.17,0.17,0.17,0.17,7500,0.17
2016-01-29,0.17,0.18,0.17,0.18,13500,0.18
2016-01-28,0.15,0.15,0.15,0.15,000,0.15
2016-01-27,0.15,0.17,0.14,0.15,19300,0.15
2016-01-26,0.14,0.14,0.14,0.14,000,0.14
2016-01-25,0.14,0.14,0.14,0.14,1000,0.14
2016-01-22,0.14,0.16,0.14,0.16,37000,0.16
2016-01-21,0.14,0.14,0.14,0.14,25000,0.14
2016-01-20,0.15,0.17,0.15,0.15,12500,0.15
2016-01-19,0.16,0.16,0.14,0.14,5500,0.14
2016-01-18,0.17,0.17,0.17,0.17,10300,0.17
2016-01-15,0.14,0.18,0.14,0.15,13500,0.15
2016-01-14,0.14,0.14,0.14,0.14,000,0.14
2016-01-13,0.15,0.15,0.14,0.14,32200,0.14
2016-01-12,0.16,0.16,0.15,0.15,36400,0.15
2016-01-11,0.17,0.17,0.17,0.17,14000,0.17
2016-01-08,0.17,0.18,0.17,0.18,2800,0.18
2016-01-07,0.19,0.19,0.17,0.17,51500,0.17
2016-01-06,0.19,0.19,0.19,0.19,10000,0.19
2016-01-05,0.20,0.20,0.19,0.19,14000,0.19
2016-01-04,0.19,0.20,0.18,0.20,68100,0.20
2015-12-31,0.18,0.20,0.18,0.18,44000,0.18
2015-12-30,0.18,0.19,0.18,0.18,65900,0.18
2015-12-29,0.19,0.19,0.19,0.19,19000,0.19
2015-12-24,0.19,0.20,0.19,0.20,16900,0.20
2015-12-23,0.20,0.23,0.20,0.20,77700,0.20
2015-12-22,0.20,0.20,0.20,0.20,21100,0.20
2015-12-21,0.20,0.20,0.19,0.19,33900,0.19
2015-12-18,0.19,0.19,0.18,0.19,14000,0.19
2015-12-17,0.19,0.20,0.18,0.20,28900,0.20
