Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.123,1.139,1.103,1.103,25400,1.078
2016-03-31,1.132,1.17,1.129,1.149,27400,1.122
2016-03-30,1.13,1.165,1.13,1.148,12700,1.121
2016-03-29,1.133,1.156,1.131,1.137,33000,1.111
2016-03-28,1.148,1.148,1.148,1.148,000,1.121
2016-03-25,1.148,1.148,1.148,1.148,000,1.121
2016-03-24,1.152,1.175,1.129,1.148,41100,1.121
2016-03-23,1.175,1.18,1.157,1.16,27100,1.133
2016-03-22,1.192,1.192,1.163,1.177,48500,1.15
2016-03-21,1.23,1.262,1.194,1.204,51500,1.176
2016-03-18,1.223,1.30,1.223,1.262,23600,1.233
2016-03-17,1.254,1.254,1.217,1.23,20400,1.202
2016-03-16,1.232,1.27,1.232,1.27,13300,1.241
2016-03-15,1.264,1.299,1.25,1.251,11100,1.222
2016-03-14,1.266,1.289,1.26,1.262,7100,1.233
2016-03-11,1.222,1.28,1.222,1.279,9100,1.249
2016-03-10,1.237,1.259,1.237,1.246,10500,1.217
2016-03-09,1.252,1.252,1.22,1.243,33000,1.214
2016-03-08,1.358,1.358,1.242,1.26,31500,1.231
2016-03-07,1.39,1.39,1.31,1.325,65400,1.294
2016-03-04,1.394,1.401,1.372,1.372,7000,1.34
2016-03-03,1.381,1.415,1.381,1.388,12500,1.356
2016-03-02,1.381,1.416,1.381,1.401,33200,1.369
2016-03-01,1.401,1.43,1.38,1.385,14300,1.353
2016-02-29,1.445,1.445,1.392,1.427,14900,1.394
2016-02-26,1.381,1.43,1.381,1.415,11200,1.382
2016-02-25,1.394,1.40,1.381,1.396,5800,1.364
2016-02-24,1.414,1.45,1.40,1.435,24800,1.402
2016-02-23,1.486,1.486,1.429,1.429,500,1.396
2016-02-22,1.441,1.476,1.431,1.476,9000,1.442
2016-02-19,1.439,1.439,1.429,1.429,1000,1.396
2016-02-18,1.44,1.442,1.427,1.442,14700,1.409
2016-02-17,1.371,1.435,1.371,1.435,12400,1.402
2016-02-16,1.45,1.45,1.397,1.397,9900,1.365
2016-02-15,1.43,1.48,1.422,1.431,9600,1.398
2016-02-12,1.361,1.40,1.361,1.40,3000,1.368
2016-02-11,1.411,1.411,1.361,1.381,7700,1.349
2016-02-10,1.32,1.428,1.32,1.41,15100,1.377
2016-02-09,1.352,1.386,1.30,1.328,15900,1.297
2016-02-08,1.45,1.49,1.35,1.384,26300,1.352
2016-02-05,1.452,1.49,1.452,1.468,7700,1.434
2016-02-04,1.471,1.485,1.47,1.47,1800,1.436
2016-02-03,1.465,1.504,1.465,1.477,11900,1.443
2016-02-02,1.509,1.509,1.48,1.485,13700,1.451
2016-02-01,1.477,1.509,1.475,1.509,1200,1.474
2016-01-29,1.50,1.50,1.495,1.497,6500,1.462
2016-01-28,1.49,1.505,1.483,1.49,3600,1.456
2016-01-27,1.521,1.521,1.493,1.493,6500,1.459
2016-01-26,1.537,1.537,1.515,1.515,000,1.48
2016-01-25,1.52,1.559,1.509,1.558,22600,1.522
2016-01-22,1.418,1.50,1.418,1.479,52400,1.445
2016-01-21,1.387,1.419,1.387,1.412,24000,1.379
2016-01-20,1.43,1.442,1.381,1.381,27600,1.349
2016-01-19,1.39,1.469,1.39,1.448,10500,1.415
2016-01-18,1.444,1.451,1.383,1.384,19500,1.352
2016-01-15,1.461,1.487,1.391,1.419,28100,1.386
2016-01-14,1.485,1.494,1.467,1.485,6800,1.451
2016-01-13,1.475,1.50,1.465,1.465,9000,1.431
2016-01-12,1.521,1.521,1.48,1.48,23500,1.446
2016-01-11,1.499,1.512,1.48,1.494,16800,1.459
2016-01-08,1.499,1.521,1.479,1.499,18500,1.464
2016-01-07,1.485,1.485,1.459,1.48,16600,1.446
2016-01-06,1.505,1.505,1.486,1.501,3800,1.466
2016-01-05,1.526,1.526,1.478,1.505,5400,1.47
2016-01-04,1.52,1.52,1.47,1.504,18800,1.469
2016-01-01,1.509,1.509,1.509,1.509,000,1.474
2015-12-31,1.509,1.509,1.509,1.509,000,1.474
2015-12-30,1.52,1.52,1.507,1.509,100,1.474
2015-12-29,1.526,1.533,1.507,1.507,13100,1.472
2015-12-28,1.509,1.548,1.49,1.52,4000,1.485
2015-12-25,1.527,1.527,1.527,1.527,000,1.492
2015-12-24,1.527,1.527,1.527,1.527,000,1.492
2015-12-23,1.49,1.527,1.49,1.527,3500,1.492
2015-12-22,1.46,1.511,1.46,1.50,24700,1.465
2015-12-21,1.454,1.456,1.44,1.44,5500,1.407
2015-12-18,1.464,1.467,1.454,1.46,700,1.426
2015-12-17,1.477,1.495,1.467,1.486,7900,1.452
2015-12-16,1.479,1.49,1.464,1.464,3100,1.43
2015-12-15,1.451,1.498,1.451,1.498,2000,1.463
2015-12-14,1.49,1.49,1.451,1.461,23900,1.427
2015-12-11,1.476,1.492,1.47,1.47,4400,1.436
2015-12-10,1.496,1.51,1.455,1.482,9700,1.448
2015-12-09,1.521,1.521,1.496,1.496,17900,1.461
2015-12-08,1.539,1.539,1.496,1.50,8800,1.465
2015-12-07,1.51,1.516,1.50,1.50,3400,1.465
2015-12-04,1.506,1.526,1.49,1.50,17000,1.465
2015-12-03,1.521,1.551,1.50,1.52,11400,1.485
2015-12-02,1.563,1.58,1.53,1.535,16300,1.50
2015-12-01,1.523,1.585,1.523,1.565,17800,1.529
2015-11-30,1.539,1.549,1.509,1.53,11700,1.495
2015-11-27,1.53,1.546,1.511,1.511,10800,1.476
2015-11-26,1.477,1.544,1.477,1.544,7000,1.508
2015-11-25,1.498,1.504,1.485,1.495,13700,1.46
2015-11-24,1.50,1.508,1.474,1.475,14900,1.441
2015-11-23,1.536,1.539,1.50,1.51,59200,1.475
2015-11-20,1.57,1.57,1.501,1.51,113800,1.475
2015-11-19,1.571,1.578,1.545,1.558,34200,1.522
2015-11-18,1.574,1.597,1.563,1.576,20100,1.54
