Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,220.60,225.70,216.95,218.50,15859300,218.50
2016-03-31,222.60,223.80,219.30,222.70,11413900,222.70
2016-03-30,222.20,225.20,221.70,223.70,11569100,223.70
2016-03-29,225.80,227.90,219.20,220.70,12051000,220.70
2016-03-28,223.60,223.60,223.60,223.60,000,223.60
2016-03-24,226.20,227.40,222.20,223.60,12193200,223.60
2016-03-23,232.70,234.30,228.00,228.20,10696900,228.20
2016-03-22,234.70,234.70,229.70,233.40,13608900,233.40
2016-03-21,235.20,238.50,233.30,235.50,11655200,235.50
2016-03-18,231.40,238.40,230.90,236.10,21567600,236.10
2016-03-17,235.40,235.90,226.20,230.90,12855900,230.90
2016-03-16,234.90,235.40,232.60,234.30,20272700,234.30
2016-03-15,234.00,235.90,232.25,234.60,23084900,234.60
2016-03-14,230.40,232.032,228.10,231.20,21013600,231.20
2016-03-11,226.60,231.61,225.00,229.60,18102100,229.60
2016-03-10,230.80,232.50,221.50,221.70,37324200,221.70
2016-03-09,231.80,234.40,229.115,231.40,19609100,231.40
2016-03-08,230.10,232.20,227.10,230.00,20850600,230.00
2016-03-07,230.80,232.70,225.20,230.30,18891000,230.30
2016-03-04,230.00,231.60,227.70,230.60,22550500,230.60
2016-03-03,226.60,231.60,225.00,229.00,26320800,229.00
2016-03-02,222.50,226.30,221.10,224.80,29508400,224.80
2016-03-01,223.60,225.00,219.30,220.40,35752700,220.40
2016-02-29,221.00,228.10,220.85,223.90,25163200,223.90
2016-02-26,220.00,229.722,215.90,226.60,50178100,226.60
2016-02-25,236.50,245.794,234.80,244.00,20516000,244.00
2016-02-24,236.00,237.80,229.50,232.10,16770200,232.10
2016-02-23,243.30,246.50,235.70,236.00,18622600,236.00
2016-02-22,247.60,250.60,243.90,245.20,14567100,245.20
2016-02-19,250.50,254.40,242.20,246.00,15973700,246.00
2016-02-18,258.50,260.90,250.40,251.90,12455700,251.90
2016-02-17,249.80,258.30,248.20,257.30,11532600,257.30
2016-02-16,248.50,252.00,242.70,250.00,13534900,250.00
2016-02-15,245.40,247.40,243.80,246.30,9634900,246.30
2016-02-12,225.40,240.10,225.069,240.10,21698900,240.10
2016-02-11,230.00,230.512,220.90,223.50,20265900,223.50
2016-02-10,226.40,237.375,223.60,233.00,22173100,233.00
2016-02-09,230.00,234.60,222.60,225.60,19513000,225.60
2016-02-08,245.00,245.70,229.80,230.70,19464600,230.70
2016-02-05,243.50,248.60,239.50,241.90,17065000,241.90
2016-02-04,236.40,243.20,232.00,241.80,20252300,241.80
2016-02-03,238.30,240.20,229.702,232.80,19433200,232.80
2016-02-02,249.00,250.20,235.90,240.60,18472200,240.60
2016-02-01,256.40,256.80,244.80,249.10,15957900,249.10
2016-01-29,254.90,256.714,249.80,252.70,18156100,252.70
2016-01-28,253.00,259.50,246.70,250.70,14756300,250.70
2016-01-27,248.00,259.20,246.00,255.70,26318900,255.70
2016-01-26,250.00,261.40,248.80,260.90,20873900,260.90
2016-01-25,264.00,264.00,249.70,251.30,15196300,251.30
2016-01-22,268.00,268.588,261.50,262.10,13986200,262.10
2016-01-21,254.70,262.80,250.83,262.50,17422900,262.50
2016-01-20,259.30,259.858,252.10,254.00,17824600,254.00
2016-01-19,265.00,267.60,260.20,264.60,12048600,264.60
2016-01-18,263.40,267.90,257.80,260.20,13206600,260.20
2016-01-15,274.80,278.60,263.60,264.50,18125600,264.50
2016-01-14,280.00,280.70,273.00,277.00,11648500,277.00
2016-01-13,285.20,287.60,280.30,281.80,12335100,281.80
2016-01-12,282.00,288.50,280.20,283.40,8175500,283.40
2016-01-11,281.90,288.50,279.90,280.40,10793700,280.40
2016-01-08,290.00,293.40,283.50,283.50,8007500,283.50
2016-01-07,288.40,290.10,282.20,288.50,11643300,288.50
2016-01-06,295.40,298.436,292.00,294.20,7776000,294.20
2016-01-05,295.90,299.70,294.80,297.20,9635600,297.20
2016-01-04,298.20,299.484,291.97,293.50,8628600,293.50
2015-12-31,306.00,306.30,301.90,302.00,2683600,302.00
2015-12-30,308.60,308.90,302.70,302.80,5406000,302.80
2015-12-29,299.30,310.20,299.00,310.10,8373600,310.10
2015-12-28,304.80,304.80,304.80,304.80,000,304.80
2015-12-25,304.80,304.80,304.80,304.80,000,304.80
2015-12-24,305.00,307.60,303.63,304.80,1081900,304.80
2015-12-23,300.00,304.50,298.00,304.30,5799800,304.30
2015-12-22,299.90,299.90,295.50,297.40,6619000,297.40
2015-12-21,294.00,298.60,291.70,294.70,8011000,294.70
2015-12-18,293.10,297.80,292.10,294.00,14427900,294.00
2015-12-17,294.30,298.80,292.70,294.70,9687100,294.70
2015-12-16,288.70,293.60,288.00,289.80,13957600,289.80
2015-12-15,284.30,290.00,284.05,288.80,9567200,288.80
