Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,3.17,3.17,3.17,3.17,000,3.17
2016-03-31,3.17,3.17,3.17,3.17,000,3.17
2016-03-30,3.17,3.17,3.17,3.17,000,3.17
2016-03-29,3.17,3.17,3.17,3.17,200,3.17
2016-03-28,3.15,3.16,3.15,3.16,6800,3.16
2016-03-24,3.40,3.40,3.40,3.40,000,3.40
2016-03-23,3.40,3.40,3.40,3.40,000,3.40
2016-03-22,3.40,3.40,3.40,3.40,000,3.40
2016-03-21,3.40,3.40,3.40,3.40,000,3.40
2016-03-18,3.40,3.40,3.40,3.40,200,3.40
2016-03-17,3.32,3.32,3.32,3.32,200,3.32
2016-03-16,3.37,3.37,3.37,3.37,000,3.37
2016-03-15,3.37,3.37,3.37,3.37,000,3.37
2016-03-14,3.37,3.37,3.37,3.37,2100,3.37
2016-03-11,3.29,3.29,3.29,3.29,300,3.29
2016-03-10,3.29,3.29,3.29,3.29,000,3.29
2016-03-09,3.29,3.29,3.29,3.29,200,3.29
2016-03-08,3.22,3.22,3.22,3.22,000,3.22
2016-03-07,3.22,3.22,3.22,3.22,000,3.22
2016-03-04,3.22,3.22,3.22,3.22,000,3.22
2016-03-03,3.22,3.22,3.22,3.22,200,3.22
2016-03-02,3.15,3.15,3.15,3.15,000,3.15
2016-03-01,3.15,3.15,3.15,3.15,000,3.15
2016-02-29,3.15,3.15,3.15,3.15,000,3.15
2016-02-26,3.15,3.15,3.15,3.15,100,3.15
2016-02-25,3.20,3.20,3.20,3.20,000,3.20
2016-02-24,3.20,3.20,3.20,3.20,5900,3.20
2016-02-23,3.56,3.56,3.56,3.56,000,3.56
2016-02-22,3.56,3.56,3.56,3.56,000,3.56
2016-02-19,3.56,3.56,3.56,3.56,000,3.56
2016-02-18,3.56,3.56,3.56,3.56,000,3.56
2016-02-17,3.56,3.56,3.56,3.56,000,3.56
2016-02-16,3.56,3.56,3.56,3.56,400,3.56
2016-02-12,3.24,3.24,3.24,3.24,000,3.24
2016-02-11,3.24,3.24,3.24,3.24,000,3.24
2016-02-10,3.24,3.24,3.24,3.24,000,3.24
2016-02-09,3.24,3.24,3.24,3.24,700,3.24
2016-02-08,3.28,3.30,3.28,3.30,5400,3.30
2016-02-05,3.39,3.39,3.39,3.39,000,3.39
2016-02-04,3.39,3.39,3.39,3.39,000,3.39
2016-02-03,3.37,3.39,3.37,3.39,6000,3.39
2016-02-02,3.48,3.48,3.48,3.48,100,3.48
2016-02-01,3.56,3.56,3.56,3.56,000,3.56
2016-01-29,3.56,3.56,3.56,3.56,000,3.56
2016-01-28,3.59,3.59,3.56,3.56,700,3.56
2016-01-27,3.66,3.66,3.66,3.66,000,3.66
2016-01-26,3.66,3.66,3.66,3.66,13800,3.66
2016-01-25,3.57,3.57,3.55,3.55,15300,3.55
2016-01-22,3.72,3.72,3.72,3.72,300,3.72
2016-01-21,3.64,3.67,3.64,3.67,8600,3.67
2016-01-20,3.55,3.55,3.55,3.55,100,3.55
2016-01-19,3.69,3.69,3.69,3.69,000,3.69
2016-01-15,3.77,3.77,3.69,3.69,6100,3.69
2016-01-14,3.97,3.97,3.97,3.97,000,3.97
2016-01-13,3.97,3.97,3.97,3.97,3300,3.97
2016-01-12,4.03,4.03,4.03,4.03,1600,4.03
2016-01-11,4.07,4.07,4.07,4.07,4600,4.07
2016-01-08,4.08,4.08,4.08,4.08,000,4.08
2016-01-07,4.15,4.15,4.08,4.08,15700,4.08
2016-01-06,4.25,4.25,4.25,4.25,12000,4.25
2016-01-05,4.38,4.38,4.38,4.38,000,4.38
2016-01-04,4.38,4.38,4.38,4.38,000,4.38
2015-12-31,4.39,4.40,4.38,4.38,1800,4.38
2015-12-30,4.46,4.46,4.46,4.46,200,4.46
2015-12-29,4.53,4.58,4.53,4.58,16100,4.58
2015-12-28,4.39,4.41,4.39,4.41,1800,4.41
2015-12-24,4.50,4.50,4.50,4.50,000,4.50
2015-12-23,4.50,4.50,4.50,4.50,2700,4.50
2015-12-22,4.40,4.40,4.40,4.40,700,4.40
2015-12-21,4.37,4.37,4.33,4.33,11700,4.33
2015-12-18,4.34,4.34,4.34,4.34,700,4.34
