Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,44.50,45.360001,44.50,44.990002,60300,44.990002
2016-03-31,44.93,45.200001,44.75,45.07,79800,45.07
2016-03-30,44.810001,45.00,44.650002,44.880001,40300,44.880001
2016-03-29,44.34,44.970001,44.34,44.639999,70000,44.639999
2016-03-28,44.25,44.52,44.00,44.52,44500,44.52
2016-03-24,44.619999,44.939999,44.02,44.25,66800,44.25
2016-03-23,44.82,45.130001,44.560001,44.799999,81800,44.799999
2016-03-22,44.990002,45.369999,44.66,44.790001,131500,44.790001
2016-03-21,44.450001,45.150002,44.380001,45.139999,115900,45.139999
2016-03-18,44.98,45.130001,44.41,44.41,250300,44.41
2016-03-17,44.299999,45.169998,44.259998,44.880001,167300,44.880001
2016-03-16,43.50,44.389999,43.470001,44.25,135700,44.25
2016-03-15,43.23,43.57,43.00,43.48,188300,43.48
2016-03-14,43.650002,43.700001,43.00,43.349998,133400,43.349998
2016-03-11,43.50,43.509998,43.119999,43.450001,158500,43.450001
2016-03-10,43.25,43.599998,43.119999,43.299999,76900,43.299999
2016-03-09,43.540001,43.630001,43.150002,43.259998,71400,43.259998
2016-03-08,43.549999,43.619999,43.16,43.389999,60900,43.389999
2016-03-07,43.490002,43.66,43.169998,43.650002,95600,43.650002
2016-03-04,42.900002,43.540001,42.869999,43.509998,97200,43.509998
2016-03-03,42.919998,43.02,42.509998,42.939999,78100,42.939999
2016-03-02,42.700001,43.32,42.700001,43.00,94800,43.00
2016-03-01,41.580002,42.82,41.580002,42.740002,120500,42.740002
2016-02-29,41.880001,42.259998,41.490002,41.540001,109000,41.540001
2016-02-26,41.509998,42.189999,41.50,41.880001,164600,41.880001
2016-02-25,41.32,42.02,41.209999,41.450001,100400,41.450001
2016-02-24,41.310001,41.59,41.00,41.509998,53000,41.509998
2016-02-23,41.310001,41.389999,40.700001,41.189999,56300,41.189999
2016-02-22,41.200001,41.580002,41.110001,41.290001,69200,41.290001
2016-02-19,41.009998,41.310001,40.639999,41.099998,144200,41.099998
2016-02-18,40.119999,41.310001,40.119999,41.150002,133500,41.150002
2016-02-17,39.990002,40.220001,39.669998,40.07,153400,40.07
2016-02-16,39.799999,40.049999,39.669998,39.900002,63200,39.900002
2016-02-12,39.299999,39.990002,39.290001,39.549999,90500,39.549999
2016-02-11,39.150002,39.630001,39.00,39.240002,86900,39.240002
2016-02-10,39.139999,39.880001,38.950001,39.439999,155400,39.439999
2016-02-09,39.580002,39.59,38.650002,39.110001,179100,39.110001
2016-02-08,40.849998,40.91,39.52,39.650002,112000,39.650002
2016-02-05,41.099998,41.119999,40.75,40.779999,78400,40.779999
2016-02-04,40.959999,41.299999,40.880001,41.029999,53900,41.029999
2016-02-03,41.139999,41.279999,40.57,40.959999,146900,40.959999
2016-02-02,40.380001,41.09,40.130001,41.09,104400,41.09
2016-02-01,40.959999,41.099998,40.470001,40.50,215900,40.50
2016-01-29,40.860001,41.25,40.77,41.049999,220300,41.049999
2016-01-28,40.50,40.919998,39.970001,40.709999,106300,40.709999
2016-01-27,40.080002,40.450001,39.860001,40.279999,104200,40.279999
2016-01-26,40.00,40.349998,39.740002,40.209999,94000,40.209999
2016-01-25,40.139999,40.43,39.869999,39.98,146300,39.98
2016-01-22,39.599998,40.41,39.599998,40.099998,176900,40.099998
2016-01-21,39.369999,39.720001,38.970001,39.59,131500,39.59
2016-01-20,39.470001,39.689999,38.50,39.400002,118900,39.400002
2016-01-19,39.619999,39.84,39.380001,39.630001,152600,39.630001
2016-01-18,40.240002,40.240002,39.169998,39.360001,61200,39.360001
