Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,10.89,11.02,10.87,10.88,17500,10.88
2016-03-31,11.23,11.34,11.22,11.31,33700,11.31
2016-03-30,11.51,11.54,11.35,11.41,27900,11.41
2016-03-29,10.97,11.28,10.94,11.25,44300,11.25
2016-03-28,11.25,11.25,11.08,11.17,38100,11.17
2016-03-24,11.03,11.20,11.02,11.10,10500,11.10
2016-03-23,11.51,11.53,11.21,11.25,65100,11.25
2016-03-22,11.54,11.72,11.54,11.68,32600,11.68
2016-03-21,11.85,11.85,11.66,11.76,21800,11.76
2016-03-18,12.12,12.13,11.79,11.84,165400,11.84
2016-03-17,12.04,12.24,12.02,12.10,113300,12.10
2016-03-16,11.56,11.82,11.53,11.77,18200,11.77
2016-03-15,11.67,11.73,11.54,11.72,46900,11.72
2016-03-14,11.78,11.86,11.67,11.84,43600,11.84
2016-03-11,11.73,11.91,11.69,11.91,41300,11.91
2016-03-10,11.68,12.19,11.40,11.85,30300,11.85
2016-03-09,11.58,11.76,11.41,11.58,26300,11.58
2016-03-08,12.03,12.03,11.61,11.66,64200,11.66
2016-03-07,11.86,12.14,11.78,12.09,40100,12.09
2016-03-04,11.60,11.78,11.54,11.54,17300,11.54
2016-03-03,11.47,11.68,11.41,11.68,51800,11.68
2016-03-02,10.78,11.20,10.78,11.20,19700,11.20
2016-03-01,10.75,10.89,10.68,10.83,60000,10.83
2016-02-29,10.27,10.37,10.23,10.35,29800,10.35
2016-02-26,10.27,10.41,10.27,10.33,32800,10.33
2016-02-25,9.92,9.93,9.69,9.80,46400,9.80
2016-02-24,9.38,9.70,9.37,9.70,35300,9.70
2016-02-23,10.07,10.10,9.78,9.88,62800,9.88
2016-02-22,10.17,10.29,10.14,10.22,60400,10.22
2016-02-19,9.92,9.93,9.78,9.93,34100,9.93
2016-02-18,10.64,10.64,10.02,10.02,63500,10.02
2016-02-17,9.94,10.40,9.94,10.34,82200,10.34
2016-02-16,10.03,10.03,9.74,9.91,54800,9.91
2016-02-12,9.74,9.93,9.69,9.93,17000,9.93
2016-02-11,9.41,9.55,9.29,9.55,51900,9.55
2016-02-10,9.77,9.92,9.74,9.77,23900,9.77
2016-02-09,9.92,9.92,9.60,9.76,65100,9.76
2016-02-08,10.07,10.14,9.93,10.14,59700,10.14
2016-02-05,10.55,10.75,10.47,10.63,35900,10.63
2016-02-04,10.02,10.39,10.02,10.38,38200,10.38
2016-02-03,9.64,9.81,9.30,9.70,89700,9.70
2016-02-02,9.51,9.51,9.35,9.39,116500,9.39
2016-02-01,10.14,10.15,9.96,10.15,73300,10.15
2016-01-29,10.21,10.45,10.15,10.45,82700,10.45
2016-01-28,10.44,10.46,10.18,10.29,75400,10.29
2016-01-27,9.60,9.74,9.21,9.74,74400,9.74
