Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-31,0.21,0.21,0.21,0.21,500,0.21
2015-12-30,0.21,0.21,0.21,0.21,12200,0.21
2015-12-29,0.24,0.25,0.22,0.22,61900,0.22
2015-12-24,0.23,0.26,0.23,0.26,6400,0.26
2015-12-23,0.27,0.27,0.22,0.24,51500,0.24
2015-12-22,0.24,0.24,0.22,0.22,20300,0.22
2015-12-21,0.23,0.23,0.22,0.23,28100,0.23
2015-12-18,0.26,0.26,0.24,0.24,63300,0.24
2015-12-17,0.25,0.30,0.25,0.26,98600,0.26
2015-12-16,0.26,0.31,0.26,0.31,4000,0.31
2015-12-15,0.26,0.26,0.26,0.26,500,0.26
2015-12-14,0.27,0.27,0.27,0.27,1500,0.27
2015-12-11,0.27,0.27,0.27,0.27,000,0.27
2015-12-10,0.27,0.27,0.27,0.27,7900,0.27
2015-12-09,0.27,0.27,0.27,0.27,000,0.27
2015-12-08,0.22,0.22,0.22,0.22,3100,0.22
2015-12-07,0.27,0.27,0.27,0.27,1600,0.27
2015-12-04,0.25,0.26,0.24,0.26,9500,0.26
2015-12-03,0.26,0.26,0.26,0.26,1200,0.26
2015-12-02,0.26,0.26,0.26,0.26,6200,0.26
2015-12-01,0.26,0.26,0.26,0.26,000,0.26
2015-11-30,0.26,0.26,0.26,0.26,2100,0.26
2015-11-27,0.26,0.26,0.26,0.26,1500,0.26
2015-11-26,0.26,0.26,0.26,0.26,000,0.26
2015-11-25,0.30,0.30,0.25,0.26,4900,0.26
2015-11-24,0.27,0.27,0.26,0.26,7000,0.26
2015-11-23,0.24,0.27,0.24,0.26,33600,0.26
2015-11-20,0.26,0.26,0.25,0.26,19300,0.26
2015-11-19,0.26,0.26,0.26,0.26,19500,0.26
2015-11-18,0.28,0.28,0.28,0.28,000,0.28
2015-11-17,0.26,0.28,0.26,0.28,16000,0.28
2015-11-16,0.28,0.28,0.26,0.26,13200,0.26
2015-11-13,0.34,0.34,0.26,0.28,5700,0.28
2015-11-12,0.32,0.32,0.27,0.27,47200,0.27
2015-11-11,0.26,0.26,0.25,0.26,39500,0.26
2015-11-10,0.26,0.26,0.26,0.26,15500,0.26
2015-11-09,0.26,0.27,0.26,0.26,21000,0.26
2015-11-06,0.28,0.28,0.27,0.27,31700,0.27
2015-11-05,0.37,0.37,0.28,0.28,34500,0.28
2015-11-04,0.29,0.30,0.29,0.29,1700,0.29
2015-11-03,0.28,0.31,0.28,0.30,2500,0.30
2015-11-02,0.30,0.30,0.29,0.30,7800,0.30
2015-10-30,0.30,0.30,0.29,0.30,26000,0.30
2015-10-29,0.30,0.30,0.30,0.30,7500,0.30
2015-10-28,0.29,0.29,0.29,0.29,1000,0.29
2015-10-27,0.27,0.28,0.27,0.28,69700,0.28
2015-10-26,0.31,0.31,0.30,0.30,26400,0.30
2015-10-23,0.35,0.35,0.30,0.30,491100,0.30
2015-10-22,0.36,0.36,0.34,0.34,12000,0.34
2015-10-21,0.36,0.36,0.36,0.36,000,0.36
2015-10-20,0.36,0.36,0.36,0.36,10200,0.36
2015-10-19,0.37,0.37,0.36,0.36,30000,0.36
2015-10-16,0.37,0.37,0.36,0.36,56000,0.36
2015-10-15,0.38,0.38,0.36,0.36,19500,0.36
2015-10-14,0.41,0.41,0.37,0.37,38100,0.37
2015-10-13,0.35,0.40,0.35,0.40,58800,0.40
2015-10-09,0.38,0.40,0.38,0.40,38600,0.40
2015-10-08,0.44,0.44,0.37,0.37,24600,0.37
2015-10-07,0.39,0.40,0.38,0.40,15500,0.40
2015-10-06,0.39,0.40,0.39,0.40,9000,0.40
2015-10-05,0.38,0.38,0.38,0.38,000,0.38
2015-10-02,0.39,0.39,0.38,0.38,5800,0.38
2015-10-01,0.40,0.40,0.40,0.40,500,0.40
2015-09-30,0.40,0.40,0.40,0.40,000,0.40
2015-09-29,0.40,0.40,0.40,0.40,70500,0.40
2015-09-28,0.36,0.41,0.36,0.40,34700,0.40
2015-09-25,0.40,0.40,0.40,0.40,6300,0.40
2015-09-24,0.43,0.43,0.42,0.42,4000,0.42
2015-09-23,0.44,0.44,0.42,0.44,13000,0.44
2015-09-22,0.46,0.47,0.43,0.43,9800,0.43
2015-09-21,0.50,0.50,0.50,0.50,000,0.50
2015-09-18,0.51,0.51,0.49,0.50,7500,0.50
2015-09-17,0.50,0.51,0.50,0.51,6500,0.51
2015-09-16,0.50,0.50,0.50,0.50,500,0.50
2015-09-15,0.50,0.50,0.50,0.50,3500,0.50
2015-09-14,0.49,0.52,0.49,0.50,8100,0.50
2015-09-11,0.50,0.50,0.49,0.50,7000,0.50
2015-09-10,0.50,0.50,0.50,0.50,000,0.50
2015-09-09,0.52,0.53,0.50,0.50,10000,0.50
2015-09-08,0.50,0.50,0.50,0.50,800,0.50
2015-09-04,0.51,0.51,0.50,0.50,42000,0.50
2015-09-03,0.50,0.51,0.50,0.51,14800,0.51
2015-09-02,0.50,0.50,0.49,0.50,15800,0.50
2015-09-01,0.49,0.51,0.48,0.50,48000,0.50
2015-08-31,0.49,0.49,0.49,0.49,000,0.49
2015-08-28,0.47,0.49,0.47,0.49,3000,0.49
2015-08-27,0.50,0.50,0.46,0.46,2000,0.46
2015-08-26,0.47,0.47,0.47,0.47,500,0.47
2015-08-25,0.50,0.50,0.46,0.46,30500,0.46
2015-08-24,0.40,0.51,0.40,0.51,9300,0.51
2015-08-21,0.49,0.50,0.49,0.50,1700,0.50
2015-08-20,0.43,0.48,0.43,0.48,5000,0.48
2015-08-19,0.50,0.50,0.50,0.50,000,0.50
2015-08-18,0.47,0.50,0.47,0.50,1100,0.50
2015-08-17,0.47,0.48,0.47,0.47,5000,0.47
2015-08-14,0.46,0.46,0.46,0.46,20400,0.46
2015-08-13,0.48,0.49,0.46,0.47,20300,0.47
2015-08-12,0.50,0.50,0.50,0.50,3000,0.50
2015-08-11,0.51,0.56,0.49,0.49,17600,0.49
2015-08-10,0.51,0.51,0.51,0.51,000,0.51
2015-08-07,0.48,0.51,0.48,0.51,2700,0.51
2015-08-06,0.48,0.48,0.48,0.48,3500,0.48
2015-08-05,0.48,0.48,0.48,0.48,2400,0.48
2015-08-04,0.49,0.50,0.48,0.50,37000,0.50
2015-07-31,0.47,0.50,0.47,0.49,18100,0.49
2015-07-30,0.51,0.51,0.48,0.48,5500,0.48
2015-07-29,0.50,0.50,0.48,0.49,22000,0.49
2015-07-28,0.55,0.55,0.55,0.55,000,0.55
2015-07-27,0.48,0.55,0.48,0.55,6700,0.55
2015-07-24,0.61,0.61,0.59,0.59,20800,0.59
2015-07-23,0.58,0.64,0.58,0.60,221200,0.60
2015-07-22,0.45,0.60,0.45,0.58,84100,0.58
2015-07-21,0.48,0.48,0.48,0.48,5500,0.48
2015-07-20,0.53,0.53,0.44,0.48,28800,0.48
2015-07-17,0.55,0.55,0.55,0.55,3700,0.55
2015-07-16,0.55,0.55,0.55,0.55,3200,0.55
2015-07-15,0.54,0.54,0.54,0.54,1900,0.54
2015-07-14,0.50,0.55,0.50,0.55,4500,0.55
2015-07-13,0.53,0.53,0.53,0.53,000,0.53
2015-07-10,0.53,0.53,0.53,0.53,2000,0.53
2015-07-09,0.47,0.49,0.47,0.49,4800,0.49
2015-07-08,0.48,0.48,0.47,0.47,3100,0.47
2015-07-07,0.53,0.54,0.50,0.50,10800,0.50
2015-07-06,0.53,0.53,0.51,0.53,10700,0.53
2015-07-03,0.60,0.60,0.54,0.54,7900,0.54
2015-07-02,0.51,0.56,0.51,0.54,13000,0.54
2015-06-30,0.54,0.58,0.53,0.53,11400,0.53
2015-06-29,0.62,0.62,0.53,0.53,8000,0.53
2015-06-26,0.66,0.66,0.63,0.63,9500,0.63
2015-06-25,0.67,0.68,0.66,0.68,10500,0.68
2015-06-24,0.69,0.69,0.69,0.69,000,0.69
2015-06-23,0.69,0.72,0.64,0.69,34100,0.69
2015-06-22,0.70,0.73,0.67,0.68,17000,0.68
2015-06-19,0.66,0.72,0.66,0.72,13400,0.72
2015-06-18,0.62,0.64,0.62,0.64,9900,0.64
2015-06-17,0.67,0.67,0.66,0.66,8600,0.66
2015-06-16,0.69,0.72,0.66,0.67,20400,0.67
2015-06-15,0.71,0.73,0.71,0.72,2700,0.72
2015-06-12,0.74,0.74,0.73,0.74,6000,0.74
2015-06-11,0.71,0.74,0.71,0.73,11200,0.73
2015-06-10,0.74,0.74,0.72,0.72,5700,0.72
2015-06-09,0.74,0.74,0.72,0.72,8000,0.72
2015-06-08,0.76,0.76,0.76,0.76,2800,0.76
2015-06-05,0.74,0.77,0.74,0.77,1600,0.77
2015-06-04,0.76,0.78,0.76,0.78,15300,0.78
2015-06-03,0.75,0.77,0.75,0.77,9400,0.77
2015-06-02,0.79,0.79,0.79,0.79,1300,0.79
2015-06-01,0.75,0.75,0.75,0.75,500,0.75
2015-05-29,0.78,0.78,0.78,0.78,2000,0.78
2015-05-28,0.76,0.76,0.76,0.76,000,0.76
2015-05-27,0.76,0.76,0.76,0.76,3700,0.76
2015-05-26,0.76,0.76,0.76,0.76,000,0.76
2015-05-25,0.75,0.76,0.75,0.76,17500,0.76
2015-05-22,0.75,0.76,0.75,0.75,17400,0.75
2015-05-21,0.75,0.75,0.75,0.75,000,0.75
