Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.017,0.019,0.017,0.019,318600,0.019
2016-03-31,0.018,0.018,0.018,0.018,50000,0.018
2016-03-30,0.017,0.017,0.017,0.017,000,0.017
2016-03-29,0.018,0.018,0.017,0.017,500000,0.017
2016-03-28,0.018,0.018,0.018,0.018,000,0.018
2016-03-25,0.018,0.018,0.018,0.018,000,0.018
2016-03-24,0.017,0.018,0.017,0.018,230200,0.018
2016-03-23,0.015,0.015,0.015,0.015,000,0.015
2016-03-22,0.015,0.015,0.015,0.015,000,0.015
2016-03-21,0.019,0.019,0.015,0.015,90600,0.015
2016-03-18,0.02,0.02,0.02,0.02,45000,0.02
2016-03-17,0.018,0.018,0.018,0.018,000,0.018
2016-03-16,0.018,0.018,0.018,0.018,000,0.018
2016-03-15,0.016,0.018,0.016,0.018,189400,0.018
2016-03-14,0.019,0.019,0.019,0.019,40000,0.019
2016-03-11,0.019,0.019,0.019,0.019,000,0.019
2016-03-10,0.019,0.019,0.019,0.019,000,0.019
2016-03-09,0.019,0.019,0.019,0.019,000,0.019
2016-03-08,0.019,0.019,0.019,0.019,000,0.019
2016-03-07,0.019,0.019,0.019,0.019,17000,0.019
2016-03-04,0.021,0.021,0.021,0.021,000,0.021
2016-03-03,0.021,0.021,0.021,0.021,000,0.021
2016-03-02,0.021,0.021,0.021,0.021,000,0.021
2016-03-01,0.021,0.021,0.021,0.021,225000,0.021
2016-02-29,0.02,0.02,0.02,0.02,000,0.02
2016-02-26,0.02,0.02,0.02,0.02,000,0.02
2016-02-25,0.02,0.02,0.02,0.02,000,0.02
2016-02-24,0.02,0.02,0.02,0.02,000,0.02
2016-02-23,0.02,0.02,0.02,0.02,550000,0.02
2016-02-22,0.02,0.02,0.02,0.02,101400,0.02
2016-02-19,0.021,0.021,0.021,0.021,000,0.021
2016-02-18,0.021,0.022,0.02,0.021,2297500,0.021
2016-02-17,0.021,0.022,0.021,0.022,200000,0.022
2016-02-16,0.02,0.02,0.02,0.02,000,0.02
2016-02-15,0.02,0.02,0.02,0.02,000,0.02
2016-02-12,0.02,0.02,0.02,0.02,000,0.02
2016-02-11,0.021,0.021,0.02,0.02,100000,0.02
2016-02-10,0.021,0.021,0.021,0.021,21200,0.021
2016-02-09,0.022,0.022,0.021,0.021,349100,0.021
2016-02-08,0.025,0.025,0.025,0.025,000,0.025
2016-02-05,0.025,0.025,0.023,0.025,300000,0.025
2016-02-04,0.023,0.025,0.023,0.025,600000,0.025
2016-02-03,0.026,0.026,0.026,0.026,000,0.026
2016-02-02,0.026,0.026,0.026,0.026,000,0.026
2016-02-01,0.026,0.026,0.026,0.026,200700,0.026
2016-01-29,0.024,0.024,0.024,0.024,000,0.024
2016-01-28,0.024,0.024,0.024,0.024,000,0.024
2016-01-27,0.024,0.024,0.024,0.024,302000,0.024
2016-01-26,0.024,0.024,0.024,0.024,000,0.024
2016-01-25,0.024,0.024,0.024,0.024,000,0.024
2016-01-22,0.025,0.025,0.024,0.024,1315000,0.024
2016-01-21,0.024,0.026,0.024,0.026,947500,0.026
2016-01-20,0.021,0.022,0.021,0.021,336600,0.021
2016-01-19,0.026,0.026,0.026,0.026,000,0.026
2016-01-18,0.026,0.026,0.026,0.026,000,0.026
2016-01-15,0.026,0.026,0.026,0.026,000,0.026
2016-01-14,0.026,0.026,0.026,0.026,000,0.026
2016-01-13,0.026,0.026,0.026,0.026,000,0.026
2016-01-12,0.026,0.026,0.026,0.026,000,0.026
2016-01-11,0.025,0.026,0.025,0.026,654400,0.026
2016-01-08,0.021,0.021,0.021,0.021,000,0.021
2016-01-07,0.021,0.021,0.021,0.021,000,0.021
2016-01-06,0.022,0.022,0.021,0.021,575000,0.021
2016-01-05,0.024,0.024,0.022,0.022,1008000,0.022
2016-01-04,0.024,0.024,0.024,0.024,185700,0.024
2016-01-01,0.025,0.025,0.025,0.025,000,0.025
2015-12-31,0.025,0.025,0.025,0.025,000,0.025
2015-12-30,0.025,0.025,0.025,0.025,14200,0.025
2015-12-29,0.025,0.025,0.025,0.025,15700,0.025
2015-12-28,0.025,0.025,0.025,0.025,000,0.025
2015-12-25,0.025,0.025,0.025,0.025,000,0.025
2015-12-24,0.025,0.025,0.025,0.025,000,0.025
2015-12-23,0.023,0.025,0.023,0.025,72100,0.025
2015-12-22,0.022,0.022,0.022,0.022,000,0.022
2015-12-21,0.022,0.022,0.022,0.022,000,0.022
2015-12-18,0.023,0.023,0.02,0.022,2277200,0.022
2015-12-17,0.025,0.025,0.024,0.024,345200,0.024
2015-12-16,0.025,0.025,0.025,0.025,000,0.025
2015-12-15,0.025,0.025,0.025,0.025,000,0.025
2015-12-14,0.025,0.025,0.025,0.025,000,0.025
2015-12-11,0.025,0.025,0.025,0.025,323400,0.025
2015-12-10,0.025,0.025,0.025,0.025,000,0.025
2015-12-09,0.025,0.025,0.025,0.025,100000,0.025
2015-12-08,0.025,0.025,0.025,0.025,000,0.025
2015-12-07,0.025,0.025,0.025,0.025,000,0.025
2015-12-04,0.025,0.025,0.025,0.025,000,0.025
2015-12-03,0.025,0.025,0.025,0.025,000,0.025
2015-12-02,0.025,0.025,0.025,0.025,80000,0.025
2015-12-01,0.027,0.027,0.027,0.027,000,0.027
2015-11-30,0.025,0.027,0.024,0.027,785000,0.027
2015-11-27,0.027,0.027,0.024,0.027,700000,0.027
2015-11-26,0.028,0.028,0.027,0.028,329700,0.028
2015-11-25,0.029,0.029,0.028,0.029,1313600,0.029
2015-11-24,0.03,0.03,0.029,0.03,330000,0.03
2015-11-23,0.03,0.03,0.029,0.029,296000,0.029
2015-11-20,0.031,0.031,0.028,0.03,1055000,0.03
2015-11-19,0.031,0.032,0.031,0.032,116500,0.032
2015-11-18,0.031,0.031,0.031,0.031,83400,0.031
2015-11-17,0.03,0.03,0.03,0.03,200000,0.03
2015-11-16,0.032,0.032,0.032,0.032,000,0.032
2015-11-13,0.032,0.032,0.032,0.032,15700,0.032
2015-11-12,0.032,0.032,0.032,0.032,700000,0.032
2015-11-11,0.032,0.032,0.031,0.031,408200,0.031
2015-11-10,0.03,0.03,0.03,0.03,000,0.03
2015-11-09,0.03,0.03,0.03,0.03,200000,0.03
2015-11-06,0.032,0.032,0.03,0.03,990200,0.03
2015-11-05,0.032,0.032,0.032,0.032,000,0.032
2015-11-04,0.032,0.032,0.032,0.032,17000,0.032
2015-11-03,0.032,0.032,0.032,0.032,70300,0.032
2015-11-02,0.031,0.033,0.031,0.033,176900,0.033
2015-10-30,0.033,0.033,0.033,0.033,000,0.033
2015-10-29,0.033,0.034,0.033,0.033,550000,0.033
2015-10-28,0.031,0.031,0.031,0.031,30000,0.031
2015-10-27,0.03,0.032,0.03,0.032,350000,0.032
2015-10-26,0.032,0.032,0.03,0.03,833000,0.03
2015-10-23,0.034,0.034,0.034,0.034,000,0.034
2015-10-22,0.031,0.034,0.031,0.034,75000,0.034
2015-10-21,0.034,0.034,0.031,0.031,350000,0.031
2015-10-20,0.034,0.039,0.034,0.035,1362000,0.035
2015-10-19,0.033,0.033,0.033,0.033,000,0.033
2015-10-16,0.033,0.033,0.033,0.033,301400,0.033
2015-10-15,0.031,0.033,0.031,0.033,97000,0.033
2015-10-14,0.032,0.032,0.032,0.032,50000,0.032
2015-10-13,0.034,0.034,0.028,0.028,985400,0.028
2015-10-12,0.034,0.034,0.034,0.034,250000,0.034
2015-10-09,0.035,0.035,0.035,0.035,50000,0.035
2015-10-08,0.037,0.037,0.037,0.037,000,0.037
2015-10-07,0.037,0.037,0.037,0.037,000,0.037
2015-10-06,0.035,0.037,0.035,0.037,200000,0.037
2015-10-05,0.039,0.039,0.039,0.039,000,0.039
2015-10-02,0.035,0.039,0.028,0.039,1442500,0.039
