Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.04,0.04,0.04,0.04,5000,0.04
2016-03-31,0.03,0.03,0.03,0.03,000,0.03
2016-03-30,0.03,0.03,0.03,0.03,40000,0.03
2016-03-29,0.03,0.03,0.03,0.03,11000,0.03
2016-03-28,0.03,0.03,0.03,0.03,000,0.03
2016-03-24,0.03,0.03,0.03,0.03,14000,0.03
2016-03-23,0.03,0.03,0.03,0.03,23000,0.03
2016-03-22,0.03,0.03,0.03,0.03,30000,0.03
2016-03-21,0.03,0.03,0.03,0.03,000,0.03
2016-03-18,0.03,0.03,0.03,0.03,000,0.03
2016-03-17,0.04,0.04,0.03,0.03,64000,0.03
2016-03-16,0.03,0.03,0.03,0.03,67000,0.03
2016-03-15,0.04,0.04,0.04,0.04,000,0.04
2016-03-14,0.04,0.04,0.04,0.04,000,0.04
2016-03-11,0.04,0.04,0.04,0.04,000,0.04
2016-03-10,0.04,0.04,0.04,0.04,000,0.04
2016-03-09,0.03,0.04,0.03,0.04,118000,0.04
2016-03-08,0.04,0.04,0.04,0.04,000,0.04
2016-03-07,0.04,0.04,0.03,0.04,27600,0.04
2016-03-04,0.04,0.04,0.04,0.04,000,0.04
2016-03-03,0.03,0.04,0.03,0.04,10000,0.04
2016-03-02,0.04,0.04,0.04,0.04,5000,0.04
2016-03-01,0.03,0.03,0.03,0.03,000,0.03
2016-02-29,0.03,0.03,0.03,0.03,000,0.03
2016-02-26,0.03,0.03,0.03,0.03,56000,0.03
2016-02-25,0.03,0.03,0.03,0.03,000,0.03
2016-02-24,0.03,0.03,0.03,0.03,000,0.03
2016-02-23,0.03,0.03,0.03,0.03,000,0.03
2016-02-22,0.03,0.03,0.03,0.03,9000,0.03
2016-02-19,0.03,0.03,0.03,0.03,000,0.03
2016-02-18,0.04,0.04,0.03,0.03,37600,0.03
2016-02-17,0.04,0.04,0.04,0.04,5000,0.04
2016-02-16,0.03,0.03,0.03,0.03,17000,0.03
2016-02-12,0.03,0.03,0.03,0.03,000,0.03
2016-02-11,0.03,0.03,0.03,0.03,32000,0.03
2016-02-10,0.03,0.03,0.03,0.03,500,0.03
2016-02-09,0.03,0.03,0.03,0.03,000,0.03
2016-02-08,0.03,0.03,0.03,0.03,500,0.03
2016-02-05,0.04,0.04,0.04,0.04,000,0.04
2016-02-04,0.04,0.04,0.04,0.04,000,0.04
2016-02-03,0.03,0.04,0.03,0.04,97100,0.04
2016-02-02,0.03,0.03,0.03,0.03,000,0.03
2016-02-01,0.03,0.03,0.03,0.03,12400,0.03
2016-01-29,0.03,0.04,0.03,0.04,70200,0.04
2016-01-28,0.04,0.04,0.04,0.04,000,0.04
2016-01-27,0.03,0.04,0.03,0.04,100100,0.04
2016-01-26,0.03,0.04,0.02,0.03,174200,0.03
2016-01-25,0.03,0.03,0.03,0.03,27500,0.03
2016-01-22,0.03,0.03,0.03,0.03,40200,0.03
2016-01-21,0.03,0.03,0.03,0.03,000,0.03
2016-01-20,0.03,0.03,0.03,0.03,000,0.03
2016-01-19,0.03,0.03,0.03,0.03,35300,0.03
2016-01-15,0.04,0.04,0.04,0.04,000,0.04
2016-01-14,0.04,0.04,0.04,0.04,000,0.04
2016-01-13,0.04,0.04,0.04,0.04,000,0.04
2016-01-12,0.04,0.04,0.04,0.04,000,0.04
2016-01-11,0.04,0.04,0.04,0.04,000,0.04
2016-01-08,0.04,0.04,0.04,0.04,6200,0.04
2016-01-07,0.04,0.04,0.04,0.04,5100,0.04
2016-01-06,0.03,0.03,0.03,0.03,000,0.03
2016-01-05,0.03,0.03,0.03,0.03,2000,0.03
2016-01-04,0.04,0.04,0.04,0.04,000,0.04
2015-12-31,0.03,0.04,0.03,0.04,38200,0.04
2015-12-30,0.03,0.04,0.03,0.04,48600,0.04
2015-12-29,0.03,0.03,0.03,0.03,2000,0.03
2015-12-28,0.03,0.04,0.03,0.04,100100,0.04
2015-12-24,0.04,0.04,0.04,0.04,000,0.04
2015-12-23,0.04,0.04,0.04,0.04,000,0.04
2015-12-22,0.04,0.04,0.04,0.04,1000,0.04
2015-12-21,0.03,0.05,0.03,0.05,3900,0.05
2015-12-18,0.05,0.05,0.05,0.05,100,0.05
2015-12-17,0.03,0.04,0.03,0.04,11100,0.04
2015-12-16,0.07,0.07,0.07,0.07,000,0.07
2015-12-15,0.07,0.07,0.07,0.07,000,0.07
2015-12-14,0.04,0.07,0.04,0.07,26900,0.07
2015-12-11,0.03,0.05,0.03,0.05,50100,0.05
2015-12-10,0.03,0.05,0.03,0.05,3800,0.05
2015-12-09,0.04,0.04,0.04,0.04,000,0.04
2015-12-08,0.04,0.04,0.04,0.04,000,0.04
2015-12-07,0.03,0.06,0.03,0.04,255400,0.04
2015-12-04,0.06,0.06,0.06,0.06,000,0.06
2015-12-03,0.04,0.06,0.04,0.06,31100,0.06
2015-12-02,0.06,0.06,0.06,0.06,100,0.06
2015-12-01,0.06,0.06,0.03,0.03,178400,0.03
2015-11-30,0.03,0.04,0.03,0.03,17200,0.03
2015-11-27,0.04,0.04,0.04,0.04,000,0.04
2015-11-25,0.04,0.04,0.04,0.04,000,0.04
2015-11-24,0.04,0.04,0.04,0.04,74100,0.04
2015-11-23,0.04,0.04,0.04,0.04,000,0.04
2015-11-20,0.04,0.04,0.04,0.04,000,0.04
2015-11-19,0.04,0.04,0.04,0.04,000,0.04
2015-11-18,0.04,0.04,0.03,0.04,124700,0.04
2015-11-17,0.05,0.05,0.05,0.05,000,0.05
2015-11-16,0.04,0.05,0.04,0.05,5400,0.05
2015-11-13,0.05,0.05,0.05,0.05,000,0.05
2015-11-12,0.05,0.05,0.05,0.05,000,0.05
2015-11-11,0.05,0.05,0.05,0.05,000,0.05
2015-11-10,0.05,0.05,0.05,0.05,000,0.05
2015-11-09,0.05,0.05,0.05,0.05,000,0.05
2015-11-06,0.05,0.05,0.05,0.05,4900,0.05
2015-11-05,0.04,0.04,0.04,0.04,32900,0.04
2015-11-04,0.04,0.05,0.04,0.05,20000,0.05
2015-11-03,0.04,0.05,0.04,0.05,75100,0.05
2015-11-02,0.04,0.05,0.04,0.05,94300,0.05
2015-10-30,0.04,0.04,0.04,0.04,000,0.04
2015-10-29,0.04,0.04,0.04,0.04,000,0.04
2015-10-28,0.04,0.04,0.04,0.04,000,0.04
2015-10-27,0.04,0.04,0.04,0.04,10000,0.04
2015-10-26,0.04,0.04,0.04,0.04,000,0.04
2015-10-23,0.04,0.04,0.04,0.04,000,0.04
2015-10-22,0.04,0.04,0.04,0.04,000,0.04
2015-10-21,0.04,0.04,0.04,0.04,55000,0.04
2015-10-20,0.05,0.05,0.05,0.05,12400,0.05
2015-10-19,0.04,0.04,0.04,0.04,26800,0.04
2015-10-16,0.05,0.05,0.05,0.05,000,0.05
2015-10-15,0.05,0.05,0.05,0.05,50000,0.05
2015-10-14,0.05,0.05,0.04,0.05,74600,0.05
2015-10-13,0.06,0.06,0.06,0.06,000,0.06
2015-10-12,0.06,0.06,0.06,0.06,000,0.06
2015-10-09,0.06,0.06,0.06,0.06,000,0.06
2015-10-08,0.06,0.06,0.06,0.06,000,0.06
2015-10-07,0.06,0.06,0.06,0.06,000,0.06
2015-10-06,0.06,0.06,0.06,0.06,000,0.06
2015-10-05,0.06,0.06,0.06,0.06,4000,0.06
2015-10-02,0.05,0.06,0.05,0.06,25100,0.06
2015-10-01,0.05,0.06,0.05,0.06,5100,0.06
2015-09-30,0.06,0.06,0.06,0.06,000,0.06
2015-09-29,0.05,0.06,0.05,0.06,74800,0.06
2015-09-28,0.08,0.08,0.08,0.08,000,0.08
2015-09-25,0.08,0.08,0.08,0.08,000,0.08
2015-09-24,0.08,0.08,0.08,0.08,000,0.08
2015-09-23,0.08,0.08,0.08,0.08,000,0.08
2015-09-22,0.06,0.08,0.06,0.08,9600,0.08
2015-09-21,0.08,0.08,0.08,0.08,000,0.08
2015-09-18,0.05,0.08,0.04,0.08,6100,0.08
2015-09-17,0.05,0.07,0.05,0.07,41900,0.07
2015-09-16,0.04,0.04,0.04,0.04,000,0.04
2015-09-15,0.04,0.04,0.04,0.04,45000,0.04
2015-09-14,0.03,0.03,0.03,0.03,000,0.03
2015-09-11,0.04,0.04,0.03,0.03,27000,0.03
2015-09-10,0.04,0.04,0.04,0.04,000,0.04
2015-09-09,0.04,0.04,0.04,0.04,000,0.04
2015-09-08,0.04,0.04,0.04,0.04,000,0.04
2015-09-04,0.04,0.04,0.04,0.04,000,0.04
2015-09-03,0.03,0.04,0.03,0.04,53400,0.04
2015-09-02,0.03,0.04,0.03,0.04,57300,0.04
2015-09-01,0.03,0.03,0.03,0.03,12700,0.03
2015-08-31,0.03,0.03,0.03,0.03,367100,0.03
2015-08-28,0.05,0.05,0.03,0.04,140200,0.04
2015-08-27,0.04,0.04,0.04,0.04,000,0.04
2015-08-26,0.03,0.04,0.03,0.04,17200,0.04
2015-08-25,0.04,0.04,0.04,0.04,000,0.04
2015-08-24,0.04,0.04,0.04,0.04,000,0.04
2015-08-21,0.04,0.04,0.04,0.04,60200,0.04
2015-08-20,0.04,0.04,0.04,0.04,000,0.04
2015-08-19,0.04,0.04,0.04,0.04,000,0.04
2015-08-18,0.04,0.04,0.04,0.04,4100,0.04
2015-08-17,0.04,0.05,0.04,0.05,35100,0.05
2015-08-14,0.04,0.04,0.04,0.04,42000,0.04
2015-08-13,0.04,0.04,0.04,0.04,000,0.04
2015-08-12,0.04,0.04,0.04,0.04,000,0.04
2015-08-11,0.04,0.04,0.04,0.04,133500,0.04
2015-08-10,0.04,0.04,0.04,0.04,10000,0.04
2015-08-07,0.04,0.04,0.04,0.04,15000,0.04
2015-08-06,0.03,0.05,0.03,0.05,34000,0.05
2015-08-05,0.04,0.04,0.04,0.04,30000,0.04
2015-08-04,0.04,0.05,0.03,0.05,102100,0.05
2015-08-03,0.04,0.04,0.04,0.04,000,0.04
2015-07-31,0.04,0.04,0.04,0.04,50000,0.04
2015-07-30,0.05,0.05,0.05,0.05,000,0.05
2015-07-29,0.05,0.05,0.05,0.05,000,0.05
2015-07-28,0.04,0.05,0.04,0.05,44000,0.05
2015-07-27,0.05,0.05,0.05,0.05,000,0.05
2015-07-24,0.05,0.05,0.05,0.05,000,0.05
