Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.013,0.014,0.013,0.014,4529200,0.014
2016-03-31,0.013,0.014,0.013,0.014,1713400,0.014
2016-03-30,0.014,0.014,0.014,0.014,000,0.014
2016-03-29,0.014,0.014,0.014,0.014,000,0.014
2016-03-28,0.014,0.014,0.014,0.014,000,0.014
2016-03-25,0.014,0.014,0.014,0.014,000,0.014
2016-03-24,0.014,0.014,0.014,0.014,146900,0.014
2016-03-23,0.014,0.014,0.014,0.014,1403000,0.014
2016-03-22,0.014,0.015,0.013,0.015,4971500,0.015
2016-03-21,0.015,0.015,0.014,0.014,551000,0.014
2016-03-18,0.015,0.015,0.013,0.014,7110800,0.014
2016-03-17,0.013,0.019,0.011,0.015,32510000,0.015
2016-03-16,0.013,0.013,0.013,0.013,596000,0.013
2016-03-15,0.013,0.013,0.013,0.013,1117100,0.013
2016-03-14,0.013,0.013,0.013,0.013,000,0.013
2016-03-11,0.013,0.013,0.013,0.013,394400,0.013
2016-03-10,0.014,0.014,0.014,0.014,000,0.014
2016-03-09,0.015,0.015,0.014,0.014,1334800,0.014
2016-03-08,0.014,0.014,0.014,0.014,102000,0.014
2016-03-07,0.014,0.014,0.014,0.014,241000,0.014
2016-03-04,0.015,0.015,0.014,0.014,677900,0.014
2016-03-03,0.014,0.015,0.014,0.015,1843900,0.015
2016-03-02,0.013,0.014,0.013,0.013,165500,0.013
2016-03-01,0.013,0.013,0.013,0.013,55100,0.013
2016-02-29,0.013,0.013,0.013,0.013,000,0.013
2016-02-26,0.013,0.013,0.013,0.013,000,0.013
2016-02-25,0.014,0.014,0.013,0.013,662600,0.013
2016-02-24,0.014,0.014,0.013,0.014,619300,0.014
2016-02-23,0.015,0.015,0.015,0.015,337400,0.015
2016-02-22,0.015,0.015,0.015,0.015,000,0.015
2016-02-19,0.015,0.016,0.015,0.015,670000,0.015
2016-02-18,0.014,0.015,0.013,0.015,2635200,0.015
2016-02-17,0.014,0.015,0.014,0.014,2611300,0.014
2016-02-16,0.016,0.016,0.014,0.014,2070100,0.014
