Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-11,40.62,40.62,40.62,40.62,000,40.62
2016-03-10,41.09,41.09,41.09,41.09,000,41.09
2016-03-09,40.865,40.865,40.865,40.865,000,40.865
2016-03-08,41.73,41.73,41.73,41.73,000,41.73
2016-03-07,41.46,41.46,41.46,41.46,000,41.46
2016-03-04,41.35,41.35,41.35,41.35,000,41.35
2016-03-03,40.055,40.055,40.055,40.055,000,40.055
2016-03-02,39.50,39.50,39.50,39.50,000,39.50
2016-03-01,38.53,38.53,38.53,38.53,000,38.53
2016-02-29,39.285,39.285,39.285,39.285,000,39.285
2016-02-26,39.21,39.21,39.21,39.21,000,39.21
2016-02-25,38.765,38.765,38.765,38.765,000,38.765
2016-02-24,38.09,38.09,38.09,38.09,000,38.09
2016-02-23,37.89,37.89,37.89,37.89,000,37.89
2016-02-22,37.62,37.62,37.62,37.62,000,37.62
2016-02-19,37.48,37.48,37.48,37.48,000,37.48
2016-02-18,38.185,38.185,38.185,38.185,000,38.185
2016-02-17,37.935,37.935,37.935,37.935,000,37.935
2016-02-16,37.77,37.77,37.77,37.77,000,37.77
2016-02-15,36.21,36.21,36.21,36.21,000,36.21
2016-02-12,34.035,34.035,34.035,34.035,000,34.035
2016-02-11,35.66,35.66,35.66,35.66,000,35.66
2016-02-10,35.315,35.315,35.315,35.315,000,35.315
2016-02-09,36.215,36.215,36.215,36.215,000,36.215
2016-02-08,38.165,38.165,38.165,38.165,000,38.165
2016-02-05,38.15,38.15,38.15,38.15,000,38.15
2016-02-04,39.83,39.83,39.83,39.83,000,39.83
2016-02-03,40.245,40.245,40.245,40.245,000,40.245
2016-02-02,42.29,42.29,42.29,42.29,000,42.29
2016-02-01,42.385,42.385,42.385,42.385,000,42.385
2016-01-29,41.135,41.135,41.135,41.135,000,41.135
2016-01-28,40.865,40.865,40.865,40.865,000,40.865
2016-01-27,42.25,42.25,42.25,42.25,000,42.25
2016-01-26,41.49,41.49,41.49,41.49,000,41.49
2016-01-25,42.10,42.10,42.10,42.10,000,42.10
2016-01-22,42.095,42.095,42.095,42.095,000,42.095
2016-01-21,40.585,40.585,40.585,40.585,000,40.585
2016-01-20,40.56,40.56,40.56,40.56,000,40.56
2016-01-19,41.785,41.785,41.785,41.785,000,41.785
2016-01-18,41.155,41.155,41.155,41.155,000,41.155
2016-01-15,41.255,41.255,41.255,41.255,000,41.255
2016-01-14,42.72,42.72,42.72,42.72,000,42.72
2016-01-13,42.72,42.72,42.72,42.72,000,42.72
2016-01-12,42.69,42.69,42.69,42.69,000,42.69
2016-01-11,43.475,43.475,43.475,43.475,000,43.475
2016-01-08,43.49,43.49,43.49,43.49,000,43.49
2016-01-07,44.445,44.445,44.445,44.445,000,44.445
2016-01-06,45.825,45.825,45.825,45.825,000,45.825
2016-01-05,47.075,47.075,47.075,47.075,000,47.075
2016-01-04,47.125,47.125,47.125,47.125,000,47.125
2016-01-01,47.125,47.125,47.125,47.125,000,47.125
2015-12-31,47.125,47.125,47.125,47.125,000,47.125
2015-12-30,47.125,47.125,47.125,47.125,000,47.125
2015-12-29,47.125,47.125,47.125,47.125,000,47.125
2015-12-28,47.125,47.125,47.125,47.125,000,47.125
2015-12-25,47.35,47.35,47.35,47.35,000,47.35
2015-12-24,47.35,47.35,47.35,47.35,000,47.35
2015-12-23,47.35,47.35,47.35,47.35,000,47.35
2015-12-22,47.40,47.40,47.40,47.40,000,47.40
2015-12-21,47.64,47.64,47.64,47.64,000,47.64
2015-12-18,48.135,48.135,48.135,48.135,000,48.135
2015-12-17,48.62,48.62,48.62,48.62,000,48.62
2015-12-16,48.62,48.62,48.62,48.62,000,48.62
2015-12-15,48.275,48.275,48.275,48.275,000,48.275
2015-12-14,49.18,49.18,49.18,49.18,000,49.18
2015-12-11,49.765,49.765,49.765,49.765,000,49.765
2015-12-10,49.765,49.765,49.765,49.765,000,49.765
2015-12-09,51.05,51.05,51.05,51.05,000,51.05
2015-12-08,51.23,51.23,51.23,51.23,000,51.23
2015-12-07,51.23,51.23,51.23,51.23,000,51.23
2015-12-04,50.76,50.76,50.76,50.76,000,50.76
2015-12-03,51.83,51.83,51.83,51.83,000,51.83
2015-12-02,51.42,51.42,51.42,51.42,000,51.42
