Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,675.00,676.00,649.276,662.50,6785300,662.50
2016-03-31,687.50,690.50,674.00,682.00,4206800,682.00
2016-03-30,681.50,699.50,679.70,690.00,3715900,690.00
2016-03-29,678.00,686.00,670.00,674.50,2520600,674.50
2016-03-28,678.50,678.50,678.50,678.50,000,678.50
2016-03-24,674.00,683.00,664.50,678.50,3943600,678.50
2016-03-23,696.00,696.50,671.00,679.00,4182900,679.00
2016-03-22,699.00,700.50,684.159,694.50,4492500,694.50
2016-03-21,712.50,715.00,700.00,702.50,3786500,702.50
2016-03-18,700.00,723.50,698.50,716.50,7164100,716.50
2016-03-17,680.00,703.00,673.00,701.50,4869100,701.50
2016-03-16,680.00,680.00,665.50,675.50,5868000,675.50
2016-03-15,676.00,682.00,673.00,676.00,3355700,676.00
2016-03-14,688.00,698.00,678.00,681.50,5382700,681.50
2016-03-11,690.50,694.00,682.10,686.00,3019200,686.00
2016-03-10,697.50,701.50,681.50,682.00,6186500,682.00
2016-03-09,706.50,707.50,696.50,700.00,8910500,700.00
2016-03-08,714.50,720.50,697.501,706.50,5546900,706.50
2016-03-07,723.00,732.234,707.05,721.50,6508300,721.50
2016-03-04,720.00,728.50,714.00,722.50,6100900,722.50
2016-03-03,683.00,738.00,680.00,716.00,11788400,716.00
2016-03-02,689.00,693.00,674.00,680.00,16599200,680.00
2016-03-01,673.00,690.50,669.50,683.00,5487900,683.00
2016-02-29,672.50,682.00,670.50,679.00,7459900,679.00
2016-02-26,672.50,689.50,671.50,679.00,5033700,679.00
2016-02-25,661.00,687.00,659.00,670.00,6367400,670.00
2016-02-24,660.50,666.00,642.50,653.50,7131300,653.50
2016-02-23,658.00,677.00,639.633,663.50,6934300,663.50
2016-02-22,647.00,659.50,644.20,658.50,2957800,658.50
2016-02-19,658.50,663.00,638.00,642.00,7700800,642.00
2016-02-18,681.00,691.50,656.125,661.00,9277500,661.00
2016-02-17,631.00,678.00,629.00,678.00,14430700,678.00
2016-02-16,618.50,632.00,611.50,631.50,9787400,631.50
2016-02-15,619.50,624.50,594.00,615.00,12199800,615.00
2016-02-12,600.00,629.00,585.00,606.00,22498000,606.00
2016-02-11,521.50,536.75,506.50,530.00,10383900,530.00
2016-02-10,514.00,528.00,507.00,528.00,9853900,528.00
2016-02-09,515.00,518.50,497.00,512.50,7603500,512.50
