Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,3.501,3.501,3.501,3.501,000,3.501
2016-03-31,3.501,3.501,3.501,3.501,000,3.501
2016-03-30,3.501,3.501,3.501,3.501,000,3.501
2016-03-29,3.501,3.501,3.501,3.501,000,3.501
2016-03-28,3.501,3.501,3.501,3.501,000,3.501
2016-03-25,3.501,3.501,3.501,3.501,000,3.501
2016-03-24,3.501,3.501,3.501,3.501,000,3.501
2016-03-23,3.501,3.501,3.501,3.501,000,3.501
2016-03-22,3.46,3.46,3.46,3.46,000,3.46
2016-03-21,3.461,3.461,3.461,3.461,300,3.461
2016-03-18,3.559,3.559,3.559,3.559,000,3.559
2016-03-17,3.559,3.559,3.559,3.559,000,3.559
2016-03-16,3.559,3.559,3.559,3.559,000,3.559
2016-03-15,3.559,3.559,3.559,3.559,1800,3.559
2016-03-14,3.541,3.541,3.541,3.541,000,3.541
2016-03-11,3.541,3.541,3.541,3.541,000,3.541
2016-03-10,3.541,3.541,3.541,3.541,400,3.541
2016-03-09,3.542,3.542,3.542,3.542,2000,3.542
2016-03-08,3.699,3.699,3.699,3.699,000,3.699
2016-03-07,3.699,3.699,3.699,3.699,000,3.699
2016-03-04,3.699,3.699,3.699,3.699,300,3.699
2016-03-03,3.801,3.801,3.801,3.801,000,3.801
2016-03-02,3.801,3.801,3.801,3.801,000,3.801
2016-03-01,3.889,3.889,3.801,3.801,600,3.801
2016-02-29,3.80,3.80,3.751,3.751,400,3.751
2016-02-26,3.649,3.649,3.649,3.649,000,3.649
2016-02-25,3.529,3.53,3.529,3.53,1000,3.53
2016-02-24,3.541,3.541,3.541,3.541,000,3.541
2016-02-23,3.541,3.541,3.541,3.541,000,3.541
2016-02-22,3.541,3.541,3.541,3.541,300,3.541
2016-02-19,3.50,3.659,3.50,3.50,4000,3.50
2016-02-18,3.50,3.50,3.50,3.50,1000,3.50
2016-02-17,3.55,3.55,3.55,3.55,000,3.55
2016-02-16,3.45,3.55,3.45,3.55,800,3.55
2016-02-15,3.55,3.55,3.55,3.55,000,3.55
2016-02-12,3.52,3.55,3.52,3.55,2400,3.55
2016-02-11,3.33,3.33,3.33,3.33,000,3.33
2016-02-10,3.33,3.33,3.33,3.33,400,3.33
2016-02-09,3.42,3.42,3.35,3.35,400,3.35
2016-02-08,3.48,3.48,3.48,3.48,000,3.48
2016-02-05,3.48,3.48,3.48,3.48,000,3.48
2016-02-04,3.48,3.48,3.48,3.48,000,3.48
2016-02-03,3.48,3.48,3.48,3.48,000,3.48
2016-02-02,3.48,3.48,3.48,3.48,000,3.48
2016-02-01,3.48,3.48,3.48,3.48,100,3.48
2016-01-29,3.479,3.479,3.42,3.42,200,3.42
2016-01-28,3.511,3.511,3.511,3.511,200,3.511
2016-01-27,3.501,3.501,3.50,3.50,500,3.50
2016-01-26,3.40,3.40,3.40,3.40,000,3.40
2016-01-25,3.40,3.40,3.40,3.40,000,3.40
2016-01-22,3.42,3.42,3.42,3.42,000,3.42
2016-01-21,3.42,3.42,3.42,3.42,000,3.42
2016-01-20,3.42,3.42,3.42,3.42,100,3.42
2016-01-19,3.40,3.40,3.40,3.40,000,3.40
2016-01-18,3.40,3.40,3.40,3.40,000,3.40
2016-01-15,3.411,3.411,3.407,3.407,100,3.407
2016-01-14,3.55,3.55,3.55,3.55,000,3.55
2016-01-13,3.55,3.55,3.55,3.55,000,3.55
2016-01-12,3.35,3.35,3.35,3.35,000,3.35
2016-01-11,3.60,3.60,3.60,3.60,000,3.60
2016-01-08,3.60,3.60,3.60,3.60,000,3.60
2016-01-07,3.60,3.60,3.60,3.60,000,3.60
2016-01-06,3.60,3.60,3.60,3.60,000,3.60
