Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-29,0.90,0.90,0.90,0.90,000,0.90
2016-03-28,0.90,0.90,0.90,0.90,000,0.90
2016-03-25,0.90,0.90,0.90,0.90,000,0.90
2016-03-24,0.90,0.90,0.90,0.90,000,0.90
2016-03-23,0.90,0.90,0.90,0.90,000,0.90
2016-03-22,0.90,0.90,0.90,0.90,000,0.90
2016-03-21,0.90,0.90,0.90,0.90,000,0.90
2016-03-18,0.90,0.90,0.90,0.90,000,0.90
2016-03-17,0.90,0.90,0.90,0.90,200,0.90
2016-03-16,0.90,0.90,0.90,0.90,700,0.90
2016-03-15,1.00,1.00,1.00,1.00,000,1.00
2016-03-14,1.00,1.00,1.00,1.00,000,1.00
2016-03-11,1.00,1.00,1.00,1.00,000,1.00
2016-03-10,1.00,1.00,1.00,1.00,000,1.00
2016-03-09,1.00,1.00,1.00,1.00,1400,1.00
2016-03-08,0.70,0.70,0.70,0.70,000,0.70
2016-03-07,0.70,0.70,0.70,0.70,000,0.70
2016-03-04,0.70,0.70,0.70,0.70,000,0.70
2016-03-03,0.70,0.70,0.70,0.70,000,0.70
2016-03-02,0.70,0.70,0.70,0.70,000,0.70
2016-03-01,0.70,0.70,0.70,0.70,000,0.70
2016-02-29,0.70,0.70,0.70,0.70,000,0.70
2016-02-26,0.70,0.70,0.70,0.70,000,0.70
2016-02-25,0.70,0.70,0.70,0.70,000,0.70
2016-02-24,0.70,0.70,0.70,0.70,000,0.70
2016-02-23,0.70,0.70,0.70,0.70,000,0.70
2016-02-22,0.70,0.70,0.70,0.70,000,0.70
2016-02-19,0.70,0.70,0.70,0.70,000,0.70
2016-02-18,0.70,0.70,0.70,0.70,000,0.70
2016-02-17,0.70,0.70,0.70,0.70,000,0.70
2016-02-16,0.70,0.70,0.70,0.70,000,0.70
2016-02-15,0.70,0.70,0.70,0.70,000,0.70
2016-02-12,0.70,0.70,0.70,0.70,000,0.70
2016-02-11,0.70,0.70,0.70,0.70,000,0.70
2016-02-10,0.70,0.70,0.70,0.70,1100,0.70
2016-02-09,0.50,0.50,0.50,0.50,000,0.50
2016-02-08,0.50,0.50,0.50,0.50,000,0.50
2016-02-05,0.50,0.50,0.50,0.50,000,0.50
2016-02-04,0.50,0.50,0.50,0.50,000,0.50
2016-02-03,0.50,0.50,0.50,0.50,000,0.50
2016-02-02,0.50,0.50,0.50,0.50,000,0.50
2016-02-01,0.50,0.50,0.50,0.50,000,0.50
2016-01-29,0.50,0.50,0.50,0.50,000,0.50
2016-01-28,0.50,0.50,0.50,0.50,000,0.50
2016-01-27,0.50,0.50,0.50,0.50,000,0.50
2016-01-26,0.50,0.50,0.50,0.50,000,0.50
2016-01-25,0.50,0.50,0.50,0.50,000,0.50
2016-01-22,0.50,0.50,0.50,0.50,000,0.50
2016-01-21,0.50,0.50,0.50,0.50,000,0.50
2016-01-20,0.50,0.50,0.50,0.50,000,0.50
2016-01-19,0.69,0.69,0.69,0.69,000,0.69
2016-01-18,0.69,0.69,0.69,0.69,000,0.69
2016-01-15,0.69,0.69,0.69,0.69,000,0.69
2016-01-14,0.69,0.69,0.69,0.69,000,0.69
2016-01-13,0.69,0.69,0.69,0.69,000,0.69
2016-01-12,0.69,0.69,0.69,0.69,000,0.69
2016-01-11,0.69,0.69,0.69,0.69,100,0.69
2016-01-08,0.54,0.54,0.54,0.54,000,0.54
2016-01-07,0.54,0.54,0.54,0.54,1500,0.54
2016-01-06,0.54,0.54,0.54,0.54,1500,0.54
2016-01-05,1.00,1.00,1.00,1.00,000,1.00
2016-01-04,1.00,1.00,1.00,1.00,000,1.00
