Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,16.200001,16.200001,15.30,15.30,200,15.30
2016-03-31,16.25,16.25,16.25,16.25,1800,16.25
2016-03-30,16.25,16.25,16.25,16.25,2200,16.25
2016-03-29,16.35,16.35,16.35,16.35,300,16.35
2016-03-28,16.450001,16.450001,16.35,16.35,1700,16.35
2016-03-24,16.49,16.49,16.49,16.49,000,16.49
2016-03-23,16.49,16.49,16.49,16.49,000,16.49
2016-03-22,16.49,16.49,16.49,16.49,000,16.49
2016-03-21,16.440001,16.50,16.440001,16.49,2600,16.49
2016-03-18,16.34,16.50,16.25,16.34,2100,16.34
2016-03-17,16.25,16.25,16.25,16.25,000,16.25
2016-03-16,16.25,16.25,16.25,16.25,000,16.25
2016-03-15,16.00,16.25,16.00,16.25,1200,16.25
2016-03-14,16.290001,16.290001,16.290001,16.290001,000,16.290001
2016-03-11,16.00,16.290001,16.00,16.290001,1200,16.290001
2016-03-10,16.00,16.00,16.00,16.00,000,16.00
2016-03-09,16.00,16.00,16.00,16.00,000,16.00
2016-03-08,16.00,16.00,16.00,16.00,000,16.00
2016-03-07,15.59,16.00,15.59,16.00,2300,16.00
2016-03-04,15.60,15.60,15.50,15.50,4300,15.50
2016-03-03,15.50,15.50,15.50,15.50,000,15.50
2016-03-02,15.50,15.50,15.50,15.50,1800,15.50
2016-03-01,15.30,15.50,15.26,15.50,1600,15.50
2016-02-29,15.35,15.55,15.30,15.30,2700,15.30
2016-02-26,15.30,15.30,15.30,15.30,300,15.30
2016-02-25,15.40,15.90,15.40,15.90,2000,15.90
2016-02-24,15.30,15.30,15.30,15.30,000,15.30
2016-02-23,15.30,15.30,15.30,15.30,000,15.30
2016-02-22,16.00,16.00,15.30,15.30,700,15.30
2016-02-19,15.75,15.75,15.75,15.75,2200,15.75
2016-02-18,15.35,15.35,15.35,15.35,000,15.35
2016-02-17,15.35,15.35,15.35,15.35,000,15.35
2016-02-16,15.50,15.50,15.35,15.35,5600,15.35
2016-02-12,16.00,16.00,16.00,16.00,200,16.00
2016-02-11,15.85,15.85,15.85,15.85,000,15.85
2016-02-10,15.85,15.85,15.85,15.85,100,15.85
2016-02-09,15.40,15.84,15.40,15.84,900,15.84
2016-02-08,15.55,15.55,15.55,15.55,400,15.55
2016-02-05,16.00,16.00,15.85,15.85,2200,15.85
2016-02-04,15.85,16.00,15.55,16.00,8200,16.00
2016-02-03,15.85,15.85,15.85,15.85,1000,15.85
2016-02-02,15.90,15.90,15.90,15.90,000,15.90
2016-02-01,15.90,15.90,15.75,15.90,2000,15.90
2016-01-29,15.98,16.00,15.55,15.60,4700,15.60
2016-01-28,15.98,15.98,15.98,15.98,900,15.98
2016-01-27,15.99,15.99,15.99,15.99,1100,15.99
2016-01-26,15.99,15.99,15.99,15.99,000,15.99
2016-01-25,16.00,16.00,15.95,15.99,1000,15.99
2016-01-22,16.25,16.40,16.25,16.40,2000,16.40
2016-01-21,15.89,16.00,15.89,16.00,7100,16.00
2016-01-20,15.79,15.79,15.79,15.79,400,15.79
2016-01-19,15.65,15.65,15.65,15.65,000,15.65
2016-01-15,15.80,16.00,15.65,15.65,3500,15.65
2016-01-14,15.80,15.80,15.80,15.80,000,15.80
2016-01-13,15.80,15.80,15.80,15.80,800,15.80
2016-01-12,16.00,16.00,16.00,16.00,800,16.00
2016-01-11,16.00,16.00,16.00,16.00,000,16.00
2016-01-08,16.00,16.00,15.60,16.00,5000,16.00
2016-01-07,16.50,16.50,16.50,16.50,000,16.50
2016-01-06,16.549999,16.549999,16.50,16.50,500,16.50
2016-01-05,17.190001,17.190001,17.00,17.00,600,17.00
2016-01-04,17.190001,17.190001,17.190001,17.190001,000,17.190001
2015-12-31,17.00,17.190001,17.00,17.190001,500,17.190001
2015-12-30,17.24,17.24,16.40,16.40,1300,16.40
2015-12-29,17.299999,17.299999,17.299999,17.299999,000,17.299999
2015-12-28,17.299999,17.299999,17.299999,17.299999,000,17.299999
2015-12-24,17.299999,17.299999,17.299999,17.299999,1000,17.299999
2015-12-23,16.34,16.34,16.34,16.34,000,16.34
2015-12-22,16.34,16.34,16.34,16.34,600,16.34
2015-12-21,16.190001,16.25,16.190001,16.25,3300,16.25
2015-12-18,16.110001,16.110001,16.110001,16.110001,000,16.110001
2015-12-17,16.290001,16.290001,16.110001,16.110001,700,16.110001
2015-12-16,16.25,16.25,16.25,16.25,18000,16.25
2015-12-15,16.25,16.35,16.25,16.25,2300,16.25
2015-12-14,16.35,16.35,16.35,16.35,000,16.35
2015-12-11,16.35,16.35,16.35,16.35,1300,16.35
2015-12-10,16.389999,16.389999,16.389999,16.389999,000,16.389999
2015-12-09,16.389999,16.389999,16.389999,16.389999,000,16.389999
2015-12-08,16.389999,16.389999,16.389999,16.389999,100,16.389999
2015-12-07,16.290001,16.389999,16.290001,16.389999,900,16.389999
2015-12-04,16.290001,16.290001,16.25,16.25,800,16.25
2015-12-03,16.35,16.35,16.09,16.09,1000,16.09
2015-12-02,16.34,16.34,16.34,16.34,900,16.34
2015-12-01,16.290001,16.290001,16.290001,16.290001,600,16.290001
2015-11-30,16.09,16.25,16.09,16.25,3800,16.25
2015-11-27,16.040001,16.040001,16.040001,16.040001,000,16.040001
2015-11-25,16.00,16.24,16.00,16.040001,1300,16.040001
2015-11-24,15.84,16.00,15.84,16.00,600,16.00
2015-11-23,15.75,15.75,15.75,15.75,100,15.75
2015-11-20,15.74,15.74,15.74,15.74,000,15.74
2015-11-19,16.10,16.200001,15.50,15.74,4000,15.74
2015-11-18,16.25,16.25,16.139999,16.190001,1900,16.190001
2015-11-17,16.10,16.25,16.10,16.10,1400,16.10
2015-11-16,16.00,16.09,16.00,16.09,900,16.09
2015-11-13,16.00,16.00,16.00,16.00,000,16.00
2015-11-12,15.94,16.00,15.94,16.00,2700,16.00
2015-11-11,16.00,16.00,16.00,16.00,700,16.00
2015-11-10,16.00,16.00,16.00,16.00,000,16.00
2015-11-09,15.90,16.00,15.90,16.00,2600,16.00
2015-11-06,15.57,15.57,15.57,15.57,000,15.57
2015-11-05,15.57,15.57,15.57,15.57,000,15.57
2015-11-04,16.389999,16.49,15.55,15.57,6500,15.57
2015-11-03,16.389999,16.389999,16.389999,16.389999,2500,16.389999
2015-11-02,16.200001,16.50,16.200001,16.34,1600,16.34
2015-10-30,16.290001,16.290001,16.290001,16.290001,000,16.290001
2015-10-29,16.24,16.290001,16.24,16.290001,1300,16.290001
2015-10-28,16.129999,16.129999,16.129999,16.129999,1100,16.129999
2015-10-27,16.23,16.34,16.23,16.34,1800,16.34
2015-10-26,16.190001,16.190001,16.190001,16.190001,000,16.190001
2015-10-23,16.190001,16.190001,16.190001,16.190001,000,16.190001
2015-10-22,16.030001,16.190001,16.030001,16.190001,1400,16.190001
2015-10-21,16.139999,16.139999,16.139999,16.139999,000,16.139999
2015-10-20,16.09,16.25,16.09,16.139999,1300,16.139999
2015-10-19,16.00,16.00,16.00,16.00,000,16.00
2015-10-16,16.00,16.00,16.00,16.00,000,16.00
2015-10-15,16.02,16.10,16.00,16.00,4400,16.00
2015-10-14,16.01,16.09,16.01,16.09,900,16.09
2015-10-13,16.040001,16.040001,16.040001,16.040001,200,16.040001
2015-10-12,16.00,16.00,16.00,16.00,000,16.00
2015-10-09,16.00,16.00,16.00,16.00,000,16.00
2015-10-08,16.25,16.25,16.00,16.00,8500,16.00
2015-10-07,16.00,16.00,16.00,16.00,2400,16.00
2015-10-06,16.049999,16.049999,16.00,16.00,1400,16.00
2015-10-05,16.00,16.00,16.00,16.00,700,16.00
2015-10-02,16.00,16.00,16.00,16.00,300,16.00
2015-10-01,16.00,17.50,16.00,16.00,9900,16.00
2015-09-30,14.94,16.00,14.50,16.00,2800,16.00
2015-09-29,14.49,14.84,14.49,14.84,1000,14.84
2015-09-28,14.45,14.49,14.44,14.49,2800,14.49
2015-09-25,14.45,14.45,14.45,14.45,000,14.45
2015-09-24,14.45,14.45,14.45,14.45,200,14.45
2015-09-23,14.45,14.45,14.45,14.45,500,14.45
2015-09-22,14.44,14.44,14.40,14.40,6000,14.40
2015-09-21,14.44,14.44,14.44,14.44,600,14.44
2015-09-18,14.35,14.40,14.35,14.40,900,14.40
2015-09-17,14.35,14.35,14.35,14.35,000,14.35
2015-09-16,14.34,14.35,14.34,14.35,1100,14.35
2015-09-15,14.33,14.33,14.33,14.33,100,14.33
2015-09-14,14.15,14.29,14.15,14.29,1800,14.29
2015-09-11,14.25,14.25,14.25,14.25,100,14.25
2015-09-10,14.30,14.30,14.30,14.30,300,14.30
2015-09-09,14.39,14.39,14.25,14.25,300,14.25
2015-09-08,14.24,14.30,14.24,14.30,4200,14.30
2015-09-04,14.24,14.24,14.20,14.20,500,14.20
2015-09-03,14.25,14.25,14.25,14.25,000,14.25
2015-09-02,14.25,14.25,14.25,14.25,000,14.25
2015-09-01,14.25,14.25,14.25,14.25,000,14.25
2015-08-31,14.25,14.25,14.25,14.25,000,14.25
2015-08-28,14.25,14.25,13.91,14.25,47200,14.25
2015-08-27,14.00,14.25,14.00,14.25,4000,14.25
2015-08-26,14.05,14.05,14.01,14.01,1900,14.01
2015-08-25,13.49,14.45,13.49,14.45,6900,14.45
2015-08-24,13.30,13.30,13.30,13.30,1000,13.30
2015-08-21,12.64,13.49,12.60,13.49,23800,13.49
2015-08-20,12.60,12.60,12.60,12.60,100,12.60
2015-08-19,12.50,12.50,12.50,12.50,200,12.50
2015-08-18,12.65,12.65,12.65,12.65,200,12.65
2015-08-17,12.75,12.75,12.75,12.75,2400,12.75
2015-08-14,12.70,12.75,12.60,12.75,5600,12.75
2015-08-13,12.65,12.70,12.65,12.70,1800,12.70
2015-08-12,12.65,12.65,12.60,12.60,1900,12.60
2015-08-11,12.40,12.60,12.38,12.60,3400,12.60
2015-08-10,12.17,12.35,12.17,12.35,9000,12.35
2015-08-07,12.09,12.15,12.05,12.14,34600,12.14
2015-08-06,12.00,12.07,12.00,12.07,6600,12.07
2015-08-05,12.00,12.00,12.00,12.00,12700,12.00
2015-08-04,11.98,11.98,11.98,11.98,1000,11.98
2015-08-03,11.98,11.98,11.98,11.98,100,11.98
2015-07-31,12.00,12.03,12.00,12.00,23500,12.00
2015-07-30,12.00,12.00,12.00,12.00,7900,12.00
2015-07-29,12.00,12.00,12.00,12.00,000,12.00
2015-07-28,12.00,12.00,12.00,12.00,000,12.00
2015-07-27,12.00,12.00,12.00,12.00,700,12.00
2015-07-24,11.99,12.04,11.99,12.00,3400,12.00
2015-07-23,12.00,12.00,11.85,11.85,2300,11.85
2015-07-22,12.00,12.00,12.00,12.00,000,12.00
2015-07-21,12.00,12.00,12.00,12.00,600,12.00
2015-07-20,12.05,12.05,12.00,12.00,1000,12.00
2015-07-17,12.10,12.10,12.10,12.10,100,12.10
2015-07-16,12.07,12.20,12.00,12.15,28000,12.15
2015-07-15,11.94,12.05,11.94,12.00,4700,12.00
2015-07-14,11.90,11.90,11.90,11.90,000,11.90
2015-07-13,11.90,11.90,11.90,11.90,000,11.90
2015-07-10,11.90,11.90,11.90,11.90,1800,11.90
2015-07-09,11.94,11.94,11.90,11.90,2100,11.90
2015-07-08,11.50,11.75,11.50,11.75,2500,11.75
2015-07-07,11.50,11.50,11.50,11.50,100,11.50
2015-07-06,11.94,11.94,10.80,11.50,3300,11.50
2015-07-02,12.04,12.04,12.04,12.04,000,12.04
2015-07-01,12.04,12.04,12.04,12.04,000,12.04
2015-06-30,12.04,12.04,12.04,12.04,000,12.04
2015-06-29,12.03,12.04,12.00,12.04,3300,12.04
2015-06-26,12.03,12.03,12.03,12.03,000,12.03
2015-06-25,11.50,12.03,11.50,12.03,2800,12.03
2015-06-24,12.00,12.00,12.00,12.00,000,12.00
2015-06-23,12.00,12.00,12.00,12.00,400,12.00
2015-06-22,12.04,12.04,12.04,12.04,000,12.04
2015-06-19,12.04,12.04,12.04,12.04,000,12.04
2015-06-18,11.90,12.04,11.90,12.04,1000,12.04
2015-06-17,11.84,12.00,11.84,12.00,1100,12.00
2015-06-16,11.50,11.79,10.90,11.79,2700,11.79
2015-06-15,12.00,12.00,11.00,11.75,6700,11.75
2015-06-12,11.50,12.00,11.50,12.00,2000,12.00
2015-06-11,11.80,11.80,11.50,11.50,300,11.50
2015-06-10,12.00,12.00,12.00,12.00,000,12.00
2015-06-09,12.00,12.00,12.00,12.00,000,12.00
2015-06-08,11.94,12.00,11.94,12.00,2700,12.00
2015-06-05,11.89,11.89,11.89,11.89,000,11.89
2015-06-04,11.89,11.89,11.89,11.89,400,11.89
2015-06-03,11.80,11.80,11.80,11.80,5000,11.80
2015-06-02,11.75,11.94,11.75,11.94,4100,11.94
2015-06-01,11.94,11.94,11.70,11.75,5300,11.75
2015-05-29,11.70,12.00,11.70,11.84,1600,11.84
2015-05-28,11.60,11.90,11.60,11.74,1100,11.74
2015-05-27,11.50,11.69,11.44,11.69,3400,11.69
2015-05-26,11.25,11.25,11.25,11.25,000,11.25
2015-05-22,11.25,11.25,11.25,11.25,000,11.25
2015-05-21,11.25,11.25,11.25,11.25,000,11.25
2015-05-20,11.30,11.30,11.25,11.25,4500,11.25
2015-05-19,11.30,11.30,11.25,11.25,1400,11.25
2015-05-18,12.00,12.00,12.00,12.00,000,12.00
2015-05-15,12.00,12.00,12.00,12.00,000,12.00
2015-05-14,12.00,12.00,12.00,12.00,1600,12.00
2015-05-13,11.94,11.94,11.94,11.94,000,11.94
2015-05-12,11.94,11.94,11.94,11.94,000,11.94
2015-05-11,11.85,12.00,11.84,11.94,3300,11.94
2015-05-08,11.80,11.85,11.70,11.70,2300,11.70
2015-05-07,11.85,11.85,11.85,11.85,000,11.85
2015-05-06,11.85,11.85,11.85,11.85,000,11.85
2015-05-05,11.85,11.85,11.85,11.85,1300,11.85
2015-05-04,11.85,11.85,11.85,11.85,400,11.85
2015-05-01,11.85,11.85,11.85,11.85,300,11.85
2015-04-30,11.84,11.85,11.84,11.85,1400,11.85
2015-04-29,11.65,11.65,11.65,11.65,500,11.65
2015-04-28,11.65,11.65,11.65,11.65,100,11.65
2015-04-27,11.74,11.74,11.74,11.74,000,11.74
2015-04-24,11.74,11.74,11.74,11.74,600,11.74
2015-04-23,12.10,12.10,12.10,12.10,000,12.10
2015-04-22,12.10,12.10,12.10,12.10,000,12.10
2015-04-21,11.10,12.10,11.10,12.10,28300,12.10
2015-04-20,11.09,11.09,11.09,11.09,600,11.09
2015-04-17,11.00,11.00,11.00,11.00,1600,11.00
2015-04-16,11.10,11.10,11.10,11.10,000,11.10
2015-04-15,11.10,11.10,11.10,11.10,100,11.10
2015-04-14,11.00,11.00,11.00,11.00,300,11.00
2015-04-13,11.00,11.00,11.00,11.00,1000,11.00
2015-04-10,11.05,11.05,11.00,11.00,900,11.00
2015-04-09,11.10,11.10,11.00,11.00,600,11.00
2015-04-08,11.20,11.20,11.20,11.20,000,11.20
2015-04-07,11.20,11.20,11.20,11.20,800,11.20
2015-04-06,11.30,11.30,11.20,11.20,3300,11.20
2015-04-02,11.40,11.40,11.40,11.40,000,11.40
2015-04-01,11.50,11.50,11.40,11.40,800,11.40
2015-03-31,11.66,11.66,11.50,11.50,1800,11.50
2015-03-30,11.64,11.64,11.64,11.64,000,11.64
2015-03-27,11.64,11.64,11.64,11.64,000,11.64
2015-03-26,11.70,11.70,11.64,11.64,2000,11.64
2015-03-25,11.50,11.50,11.50,11.50,000,11.50
2015-03-24,11.50,11.50,11.50,11.50,000,11.50
2015-03-23,11.65,11.65,11.50,11.50,4200,11.50
2015-03-20,11.65,11.65,11.65,11.65,200,11.65
2015-03-19,11.60,11.64,11.50,11.64,1300,11.64
2015-03-18,11.60,11.70,11.34,11.34,2900,11.34
2015-03-17,11.34,11.34,11.34,11.34,000,11.34
2015-03-16,11.34,11.34,11.34,11.34,000,11.34
2015-03-13,11.34,11.34,11.34,11.34,600,11.34
2015-03-12,11.20,11.20,11.10,11.20,1300,11.20
2015-03-11,11.20,11.20,11.20,11.20,300,11.20
2015-03-10,11.42,11.42,11.42,11.42,000,11.42
2015-03-09,11.42,11.42,11.42,11.42,000,11.42
2015-03-06,11.32,11.42,11.32,11.42,1000,11.42
2015-03-05,11.30,11.30,11.30,11.30,000,11.30
2015-03-04,11.30,11.30,11.30,11.30,800,11.30
2015-03-03,11.32,11.32,11.32,11.32,000,11.32
2015-03-02,11.32,11.32,11.32,11.32,000,11.32
2015-02-27,11.32,11.32,11.32,11.32,600,11.32
2015-02-26,11.50,11.65,11.50,11.65,2200,11.65
2015-02-25,11.75,11.75,11.75,11.75,200,11.75
2015-02-24,11.75,11.75,11.75,11.75,200,11.75
2015-02-23,11.75,11.75,11.75,11.75,500,11.75
2015-02-20,11.70,11.74,11.70,11.74,1300,11.74
2015-02-19,11.75,11.75,11.35,11.35,2100,11.35
2015-02-18,11.75,11.75,11.75,11.75,100,11.75
2015-02-17,11.00,11.80,11.00,11.80,6100,11.80
2015-02-13,10.98,11.00,10.98,11.00,200,11.00
2015-02-12,11.00,11.00,11.00,11.00,200,11.00
2015-02-11,10.95,11.00,10.95,10.95,4200,10.95
2015-02-10,10.95,10.95,10.95,10.95,3100,10.95
2015-02-09,11.00,11.00,10.95,10.95,1600,10.95
2015-02-06,10.90,11.08,10.60,11.08,5100,11.08
2015-02-05,11.00,11.00,11.00,11.00,300,11.00
2015-02-04,10.90,11.09,10.90,11.09,1700,11.09
2015-02-03,10.75,11.00,10.75,11.00,1800,11.00
2015-02-02,10.65,11.19,10.60,10.85,13300,10.85
2015-01-30,10.90,10.90,10.65,10.65,500,10.65
2015-01-29,11.00,11.20,11.00,11.05,3700,11.05
2015-01-28,11.00,11.00,10.90,10.99,1700,10.99
2015-01-27,11.00,11.00,11.00,11.00,3800,11.00
2015-01-26,11.50,11.50,10.95,11.05,11000,11.05
2015-01-23,11.35,11.69,11.35,11.69,2300,11.69
2015-01-22,11.45,11.45,11.45,11.45,500,11.45
2015-01-21,11.35,11.35,11.35,11.35,500,11.35
2015-01-20,11.60,11.60,11.25,11.25,1500,11.25
2015-01-16,11.65,11.65,11.65,11.65,000,11.65
2015-01-15,11.85,12.00,11.65,11.65,2600,11.65
2015-01-14,11.60,11.60,11.60,11.60,500,11.60
2015-01-13,11.80,11.95,11.80,11.95,3200,11.95
2015-01-12,12.00,12.00,11.80,11.80,6500,11.80
2015-01-09,12.00,12.00,12.00,12.00,000,12.00
2015-01-08,12.00,12.00,12.00,12.00,000,12.00
2015-01-07,12.00,12.00,12.00,12.00,000,12.00
2015-01-06,12.05,12.05,12.00,12.00,4100,12.00
2015-01-05,12.14,12.16,12.14,12.16,2900,12.16
2015-01-02,12.09,12.10,12.09,12.10,500,12.10
2014-12-31,12.03,12.05,12.03,12.05,2800,12.05
2014-12-30,12.00,12.00,12.00,12.00,000,12.00
2014-12-29,12.00,12.00,11.30,12.00,3400,12.00
2014-12-26,12.00,12.00,12.00,12.00,100,12.00
2014-12-24,12.00,12.00,12.00,12.00,400,12.00
2014-12-23,12.00,12.00,11.99,11.99,600,11.99
2014-12-22,12.00,12.00,12.00,12.00,000,12.00
2014-12-19,12.00,12.00,12.00,12.00,000,12.00
2014-12-18,12.00,12.00,12.00,12.00,3000,12.00
2014-12-17,12.00,12.00,12.00,12.00,1100,12.00
2014-12-16,12.10,12.10,12.10,12.10,000,12.10
2014-12-15,12.04,12.10,12.00,12.10,2000,12.10
2014-12-12,11.75,12.00,11.75,12.00,2400,12.00
2014-12-11,11.15,12.10,11.15,12.10,12000,12.10
2014-12-10,11.15,11.15,11.15,11.15,200,11.15
2014-12-09,10.71,11.20,10.71,11.15,7100,11.15
2014-12-08,11.09,11.09,11.09,11.09,000,11.09
2014-12-05,11.09,11.09,11.09,11.09,500,11.09
2014-12-04,10.69,11.10,10.69,11.09,16900,11.09
2014-12-03,10.70,10.70,10.65,10.65,700,10.65
2014-12-02,10.59,10.65,10.59,10.65,1600,10.65
2014-12-01,10.58,10.58,10.58,10.58,300,10.58
2014-11-28,10.54,10.58,10.54,10.58,1100,10.58
2014-11-26,10.54,10.54,10.54,10.54,000,10.54
2014-11-25,10.54,10.54,10.54,10.54,000,10.54
