Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,3.92,3.92,3.92,3.92,4100,3.92
2016-03-31,4.065,4.065,3.97,3.97,2000,3.97
2016-03-30,3.86,3.86,3.86,3.86,000,3.86
2016-03-29,3.86,3.86,3.86,3.86,000,3.86
2016-03-28,3.86,3.86,3.86,3.86,900,3.86
2016-03-24,3.90,3.90,3.76,3.81,5000,3.81
2016-03-23,3.90,3.90,3.90,3.90,1200,3.90
2016-03-22,3.90,3.90,3.90,3.90,8500,3.90
2016-03-21,3.90,3.90,3.90,3.90,25200,3.90
2016-03-18,4.01,4.09,4.01,4.09,10400,4.09
2016-03-17,3.84,3.84,3.80,3.80,20700,3.80
2016-03-16,3.64,3.84,3.64,3.84,17200,3.84
2016-03-15,3.67,3.67,3.67,3.67,3600,3.67
2016-03-14,3.67,3.68,3.67,3.68,4800,3.68
2016-03-11,3.54,3.54,3.54,3.54,000,3.54
2016-03-10,3.53,3.54,3.53,3.54,1200,3.54
2016-03-09,3.52,3.61,3.52,3.54,13400,3.54
2016-03-08,3.54,3.54,3.54,3.54,4100,3.54
2016-03-07,3.70,3.70,3.57,3.58,9600,3.58
2016-03-04,3.83,3.83,3.83,3.83,000,3.83
2016-03-03,3.83,3.83,3.83,3.83,1900,3.83
2016-03-02,3.78,3.83,3.78,3.83,10300,3.83
2016-03-01,3.53,3.53,3.53,3.53,2300,3.53
2016-02-29,3.45,3.49,3.45,3.49,900,3.49
2016-02-26,3.40,3.43,3.40,3.43,6400,3.43
2016-02-25,3.43,3.43,3.415,3.415,2800,3.415
2016-02-24,3.46,3.46,3.46,3.46,3000,3.46
2016-02-23,3.49,3.49,3.49,3.49,1700,3.49
2016-02-22,3.49,3.49,3.49,3.49,8200,3.49
2016-02-19,3.386,3.386,3.386,3.386,3400,3.386
2016-02-18,3.50,3.50,3.44,3.44,8300,3.44
2016-02-17,3.32,3.32,3.32,3.32,1200,3.32
2016-02-16,3.39,3.39,3.39,3.39,10100,3.39
2016-02-12,3.25,3.25,3.25,3.25,100,3.25
2016-02-11,3.114,3.114,3.08,3.08,10500,3.08
2016-02-10,3.04,3.065,3.04,3.065,6100,3.065
2016-02-09,3.04,3.04,3.00,3.00,40200,3.00
2016-02-08,3.05,3.05,3.05,3.05,3500,3.05
2016-02-05,3.14,3.14,3.12,3.12,8100,3.12
2016-02-04,3.19,3.19,3.19,3.19,4300,3.19
2016-02-03,3.25,3.25,3.25,3.25,27100,3.123
2016-02-02,3.45,3.45,3.44,3.44,29900,3.305575
2016-02-01,3.43,3.43,3.43,3.43,74700,3.295966
2016-01-29,3.39,3.43,3.39,3.43,16700,3.295966
2016-01-28,3.19,3.19,3.19,3.19,000,3.065345
2016-01-27,3.09,3.19,3.09,3.19,7100,3.065345
2016-01-26,3.03,3.03,2.95,2.95,33300,2.834723
2016-01-25,3.05,3.05,2.95,2.96,14300,2.844332
2016-01-22,2.96,2.97,2.96,2.97,5100,2.853942
2016-01-21,2.78,2.78,2.67,2.67,7200,2.565665
2016-01-20,2.82,2.82,2.68,2.68,21700,2.575274
2016-01-19,3.05,3.05,2.89,2.89,24900,2.777068
2016-01-15,2.66,2.79,2.66,2.79,27500,2.680975
2016-01-14,2.80,2.93,2.80,2.93,6100,2.815505
2016-01-13,2.97,2.97,2.85,2.85,3000,2.738631
2016-01-12,2.85,2.97,2.85,2.88,16300,2.767459
2016-01-11,2.86,2.86,2.86,2.86,900,2.74824
2016-01-08,2.87,2.97,2.87,2.97,338600,2.853942
2016-01-07,3.30,3.30,3.30,3.30,000,3.171046
2016-01-06,3.30,3.30,3.30,3.30,9900,3.171046
2016-01-05,3.28,3.30,3.28,3.30,35400,3.171046
2016-01-04,3.19,3.19,3.19,3.19,3500,3.065345
2015-12-31,3.34,3.35,3.34,3.35,3900,3.219092
2015-12-30,3.34,3.34,3.34,3.34,27200,3.209483
2015-12-29,3.37,3.42,3.37,3.42,39100,3.286357
2015-12-28,3.40,3.40,3.40,3.40,5000,3.267139
2015-12-24,3.39,3.40,3.39,3.40,15300,3.267139
2015-12-23,3.278,3.278,3.278,3.278,000,3.149906
2015-12-22,3.29,3.29,3.27,3.278,5600,3.149906
2015-12-21,3.33,3.40,3.33,3.37,211700,3.238311
2015-12-18,3.34,3.44,3.33,3.38,89400,3.24792
2015-12-17,3.32,3.33,3.30,3.30,11700,3.171046
2015-12-16,3.18,3.18,3.18,3.18,000,3.055735
2015-12-15,3.32,3.32,3.18,3.18,21700,3.055735
2015-12-14,3.35,3.35,3.35,3.35,1600,3.219092
2015-12-11,3.35,3.35,3.35,3.35,000,3.219092
2015-12-10,3.3525,3.3525,3.35,3.35,11600,3.219092
2015-12-09,3.45,3.45,3.40,3.44,4900,3.305575
2015-12-08,3.56,3.56,3.56,3.56,000,3.420886
2015-12-07,3.56,3.56,3.56,3.56,000,3.420886
2015-12-04,3.56,3.56,3.56,3.56,000,3.420886
2015-12-03,3.56,3.56,3.56,3.56,15500,3.420886
2015-12-02,3.33,3.33,3.33,3.33,3600,3.199874
2015-12-01,3.33,3.33,3.33,3.33,000,3.199874
2015-11-30,3.33,3.33,3.33,3.33,000,3.199874
2015-11-27,3.33,3.33,3.33,3.33,4800,3.199874
2015-11-25,3.34,3.34,3.34,3.34,000,3.209483
2015-11-24,3.34,3.34,3.34,3.34,000,3.209483
2015-11-23,3.35,3.35,3.34,3.34,7800,3.209483
2015-11-20,3.48,3.48,3.48,3.48,000,3.344012
2015-11-19,3.48,3.48,3.48,3.48,000,3.344012
2015-11-18,3.48,3.48,3.48,3.48,1200,3.344012
2015-11-17,3.48,3.48,3.48,3.48,000,3.344012
2015-11-16,3.45,3.48,3.45,3.48,2400,3.344012
2015-11-13,3.54,3.54,3.54,3.54,2100,3.401668
2015-11-12,3.65,3.78,3.65,3.78,2100,3.632289
2015-11-11,3.49,3.49,3.49,3.49,000,3.353622
2015-11-10,3.60,3.60,3.49,3.49,4100,3.353622
2015-11-09,3.60,3.6492,3.59,3.6492,10400,3.5066
2015-11-06,3.89,3.89,3.89,3.89,000,3.737991
2015-11-05,3.89,3.89,3.89,3.89,000,3.737991
2015-11-04,3.7295,3.89,3.72,3.89,4400,3.737991
2015-11-03,3.668,3.668,3.668,3.668,000,3.524666
2015-11-02,3.668,3.668,3.668,3.668,000,3.524666
2015-10-30,3.668,3.668,3.668,3.668,000,3.524666
2015-10-29,3.668,3.668,3.668,3.668,1700,3.524666
2015-10-28,3.67,3.67,3.67,3.67,1700,3.526588
2015-10-27,3.67,3.67,3.67,3.67,185200,3.526588
2015-10-26,3.61,3.61,3.61,3.61,000,3.468932
2015-10-23,3.61,3.61,3.61,3.61,12200,3.468932
2015-10-22,3.59,3.60,3.59,3.60,2300,3.459323
2015-10-21,3.62,3.62,3.50,3.50,2800,3.363231
2015-10-20,3.61,3.61,3.57,3.58,37400,3.440105
2015-10-19,3.93,3.93,3.93,3.93,000,3.776428
2015-10-16,3.93,3.93,3.93,3.93,100,3.776428
2015-10-15,3.51,3.51,3.51,3.51,000,3.37284
2015-10-14,3.51,3.51,3.51,3.51,500,3.37284
2015-10-13,3.59,3.59,3.59,3.59,100,3.449714
2015-10-12,3.59,3.59,3.55,3.55,3100,3.411277
2015-10-09,3.61,3.61,3.61,3.61,000,3.468932
2015-10-08,3.61,3.61,3.61,3.61,259500,3.468932
2015-10-07,3.61,3.61,3.61,3.61,1700,3.468932
