Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.05,1.05,1.05,1.05,000,1.05
2016-03-31,1.05,1.05,1.05,1.05,500,1.05
2016-03-30,1.00,1.00,1.00,1.00,2900,1.00
2016-03-29,1.21,1.21,1.21,1.21,000,1.21
2016-03-28,1.21,1.21,1.21,1.21,100,1.21
2016-03-24,1.20,1.20,1.20,1.20,000,1.20
2016-03-23,1.20,1.20,1.20,1.20,000,1.20
2016-03-22,1.20,1.20,1.20,1.20,000,1.20
2016-03-21,1.20,1.20,1.20,1.20,000,1.20
2016-03-18,1.20,1.20,1.20,1.20,600,1.20
2016-03-17,1.20,1.20,1.20,1.20,000,1.20
2016-03-16,1.27,1.27,1.20,1.20,2000,1.20
2016-03-15,1.05,1.05,1.05,1.05,000,1.05
2016-03-14,1.05,1.05,1.05,1.05,000,1.05
2016-03-11,1.05,1.05,1.05,1.05,000,1.05
2016-03-10,1.05,1.05,1.05,1.05,000,1.05
2016-03-09,1.05,1.05,1.05,1.05,000,1.05
2016-03-08,1.20,1.20,1.05,1.05,2000,1.05
2016-03-07,1.20,1.20,1.20,1.20,1800,1.20
2016-03-04,0.66,0.66,0.66,0.66,300,0.66
2016-03-03,0.50,0.50,0.50,0.50,000,0.50
2016-03-02,0.50,0.50,0.50,0.50,000,0.50
2016-03-01,0.50,0.50,0.50,0.50,200,0.50
2016-02-29,0.48,0.48,0.48,0.48,000,0.48
2016-02-26,0.48,0.48,0.48,0.48,000,0.48
2016-02-25,0.48,0.48,0.48,0.48,000,0.48
2016-02-24,0.48,0.48,0.48,0.48,000,0.48
2016-02-23,0.51,0.51,0.48,0.48,5900,0.48
2016-02-22,0.45,0.45,0.45,0.45,200,0.45
2016-02-19,0.41,0.41,0.41,0.41,000,0.41
2016-02-18,0.41,0.41,0.41,0.41,000,0.41
2016-02-17,0.50,0.50,0.37,0.41,6600,0.41
2016-02-16,0.75,0.75,0.75,0.75,000,0.75
2016-02-12,0.75,0.75,0.75,0.75,000,0.75
2016-02-11,0.75,0.75,0.75,0.75,000,0.75
2016-02-10,0.75,0.75,0.75,0.75,000,0.75
2016-02-09,0.75,0.75,0.75,0.75,000,0.75
2016-02-08,0.75,0.75,0.75,0.75,000,0.75
2016-02-05,0.65,0.75,0.65,0.75,1200,0.75
2016-02-04,0.65,0.65,0.65,0.65,000,0.65
2016-02-03,0.65,0.65,0.65,0.65,100,0.65
2016-02-02,1.00,1.00,1.00,1.00,000,1.00
2016-02-01,1.00,1.00,1.00,1.00,600,1.00
2016-01-29,2.75,2.75,2.75,2.75,000,2.75
