Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.31,0.31,0.31,0.31,234900,0.31
2016-03-31,0.31,0.31,0.31,0.31,271200,0.31
2016-03-30,0.30,0.31,0.30,0.31,706800,0.31
2016-03-29,0.30,0.30,0.30,0.30,381500,0.30
2016-03-28,0.30,0.31,0.30,0.30,386100,0.30
2016-03-24,0.29,0.31,0.29,0.30,393800,0.30
2016-03-23,0.30,0.30,0.29,0.29,167600,0.29
2016-03-22,0.30,0.30,0.28,0.30,679800,0.30
2016-03-21,0.30,0.30,0.28,0.29,155100,0.29
2016-03-18,0.29,0.29,0.28,0.29,339900,0.29
2016-03-17,0.30,0.30,0.29,0.29,291000,0.29
2016-03-16,0.30,0.30,0.30,0.30,251100,0.30
2016-03-15,0.29,0.30,0.29,0.29,312500,0.29
2016-03-14,0.30,0.30,0.29,0.29,396100,0.29
2016-03-11,0.30,0.30,0.29,0.30,286400,0.30
2016-03-10,0.30,0.31,0.29,0.30,582600,0.30
2016-03-09,0.30,0.30,0.29,0.30,770300,0.30
2016-03-08,0.30,0.31,0.30,0.30,484700,0.30
2016-03-07,0.32,0.32,0.30,0.30,320700,0.30
2016-03-04,0.31,0.31,0.30,0.31,342300,0.31
2016-03-03,0.31,0.32,0.31,0.31,757900,0.31
2016-03-02,0.31,0.31,0.29,0.31,222600,0.31
2016-03-01,0.31,0.31,0.31,0.31,140200,0.31
2016-02-29,0.31,0.31,0.30,0.31,656600,0.31
2016-02-26,0.29,0.29,0.28,0.29,260400,0.29
2016-02-25,0.29,0.30,0.28,0.29,952300,0.29
2016-02-24,0.29,0.29,0.28,0.28,1563200,0.28
2016-02-23,0.29,0.29,0.28,0.29,3376700,0.29
2016-02-22,0.29,0.29,0.28,0.28,843900,0.28
2016-02-19,0.29,0.29,0.28,0.28,1619100,0.28
2016-02-18,0.29,0.30,0.28,0.28,351800,0.28
2016-02-17,0.29,0.30,0.28,0.28,291800,0.28
2016-02-16,0.29,0.29,0.28,0.28,197500,0.28
2016-02-12,0.29,0.30,0.28,0.29,395200,0.29
2016-02-11,0.29,0.30,0.28,0.28,561900,0.28
2016-02-10,0.30,0.30,0.28,0.29,211000,0.29
2016-02-09,0.28,0.30,0.28,0.29,689700,0.29
2016-02-08,0.28,0.29,0.28,0.28,223700,0.28
2016-02-05,0.29,0.29,0.28,0.28,549100,0.28
2016-02-04,0.28,0.28,0.28,0.28,236700,0.28
2016-02-03,0.28,0.29,0.28,0.28,177800,0.28
2016-02-02,0.29,0.29,0.28,0.28,78700,0.28
2016-02-01,0.28,0.29,0.28,0.28,310700,0.28
2016-01-29,0.28,0.28,0.28,0.28,205100,0.28
2016-01-28,0.28,0.28,0.28,0.28,27000,0.28
2016-01-27,0.28,0.28,0.28,0.28,90100,0.28
2016-01-26,0.28,0.28,0.28,0.28,56400,0.28
2016-01-25,0.28,0.30,0.28,0.28,673000,0.28
2016-01-22,0.27,0.29,0.27,0.29,525900,0.29
2016-01-21,0.28,0.28,0.27,0.27,383900,0.27
2016-01-20,0.27,0.28,0.27,0.28,125800,0.28
2016-01-19,0.27,0.28,0.27,0.28,431300,0.28
2016-01-18,0.27,0.28,0.27,0.28,38200,0.28
2016-01-15,0.27,0.28,0.27,0.28,335500,0.28
2016-01-14,0.27,0.27,0.27,0.27,311200,0.27
2016-01-13,0.27,0.27,0.27,0.27,23000,0.27
2016-01-12,0.27,0.27,0.26,0.27,266300,0.27
2016-01-11,0.26,0.27,0.26,0.27,25500,0.27
2016-01-08,0.27,0.27,0.26,0.27,106200,0.27
2016-01-07,0.26,0.27,0.26,0.27,323900,0.27
2016-01-06,0.27,0.27,0.26,0.27,281100,0.27
2016-01-05,0.28,0.28,0.27,0.27,416000,0.27
2016-01-04,0.28,0.28,0.27,0.28,125700,0.28
2015-12-31,0.28,0.28,0.27,0.28,84500,0.28
2015-12-30,0.27,0.28,0.27,0.28,162000,0.28
2015-12-29,0.28,0.28,0.26,0.27,125200,0.27
2015-12-24,0.26,0.28,0.26,0.28,95400,0.28
2015-12-23,0.26,0.26,0.26,0.26,17500,0.26
2015-12-22,0.26,0.26,0.25,0.25,763100,0.25
2015-12-21,0.26,0.26,0.25,0.26,207600,0.26
2015-12-18,0.26,0.26,0.25,0.25,513100,0.25
2015-12-17,0.25,0.26,0.25,0.25,97300,0.25
2015-12-16,0.25,0.25,0.25,0.25,203900,0.25
2015-12-15,0.26,0.26,0.25,0.25,633100,0.25
2015-12-14,0.27,0.27,0.26,0.26,223600,0.26
2015-12-11,0.27,0.27,0.26,0.27,281600,0.27
2015-12-10,0.27,0.27,0.27,0.27,236000,0.27
2015-12-09,0.28,0.28,0.27,0.27,509800,0.27
2015-12-08,0.27,0.28,0.27,0.27,202200,0.27
2015-12-07,0.28,0.28,0.27,0.27,693000,0.27
2015-12-04,0.27,0.28,0.27,0.28,711200,0.28
2015-12-03,0.26,0.27,0.26,0.26,277400,0.26
2015-12-02,0.26,0.27,0.26,0.26,297000,0.26
2015-12-01,0.26,0.26,0.25,0.26,172300,0.26
2015-11-30,0.25,0.26,0.25,0.26,344300,0.26
2015-11-27,0.25,0.25,0.25,0.25,300800,0.25
2015-11-26,0.25,0.25,0.25,0.25,357900,0.25
2015-11-25,0.25,0.25,0.24,0.25,295700,0.25
2015-11-24,0.25,0.25,0.25,0.25,190500,0.25
2015-11-23,0.25,0.25,0.24,0.25,35000,0.25
2015-11-20,0.24,0.25,0.24,0.25,684300,0.25
2015-11-19,0.24,0.25,0.24,0.25,356400,0.25
2015-11-18,0.24,0.25,0.24,0.25,508300,0.25
2015-11-17,0.25,0.25,0.24,0.25,915500,0.25
2015-11-16,0.25,0.25,0.25,0.25,481400,0.25
2015-11-13,0.25,0.25,0.24,0.25,596300,0.25
2015-11-12,0.25,0.25,0.24,0.25,1485000,0.25
2015-11-11,0.24,0.26,0.24,0.25,1836900,0.25
2015-11-10,0.24,0.24,0.23,0.24,617300,0.24
2015-11-09,0.25,0.26,0.24,0.24,2400300,0.24
2015-11-06,0.20,0.27,0.20,0.24,9071300,0.24
2015-11-05,0.18,0.18,0.17,0.17,195800,0.17
2015-11-04,0.18,0.18,0.17,0.17,136800,0.17
2015-11-03,0.18,0.18,0.17,0.17,140700,0.17
2015-11-02,0.18,0.18,0.18,0.18,64500,0.18
2015-10-30,0.17,0.18,0.17,0.17,134000,0.17
2015-10-29,0.17,0.18,0.17,0.18,21900,0.18
2015-10-28,0.18,0.18,0.17,0.18,96500,0.18
2015-10-27,0.17,0.18,0.17,0.18,62000,0.18
2015-10-26,0.18,0.19,0.18,0.18,83500,0.18
2015-10-23,0.18,0.18,0.18,0.18,106300,0.18
2015-10-22,0.19,0.19,0.18,0.18,142500,0.18
2015-10-21,0.18,0.18,0.18,0.18,000,0.18
2015-10-20,0.18,0.20,0.18,0.19,150900,0.19
2015-10-19,0.17,0.19,0.17,0.19,195100,0.19
2015-10-16,0.17,0.17,0.17,0.17,49000,0.17
2015-10-15,0.17,0.17,0.17,0.17,22000,0.17
2015-10-14,0.17,0.17,0.16,0.17,69400,0.17
2015-10-13,0.17,0.17,0.16,0.16,34500,0.16
2015-10-09,0.17,0.17,0.16,0.16,185800,0.16
2015-10-08,0.17,0.18,0.17,0.17,48500,0.17
2015-10-07,0.17,0.18,0.17,0.18,76000,0.18
2015-10-06,0.17,0.18,0.17,0.17,227700,0.17
2015-10-05,0.17,0.17,0.17,0.17,14500,0.17
2015-10-02,0.18,0.18,0.17,0.17,44000,0.17
2015-10-01,0.18,0.18,0.18,0.18,25600,0.18
2015-09-30,0.18,0.18,0.18,0.18,50500,0.18
2015-09-29,0.18,0.19,0.18,0.18,60500,0.18
2015-09-28,0.18,0.19,0.18,0.18,84300,0.18
2015-09-25,0.19,0.19,0.18,0.18,161500,0.18
2015-09-24,0.20,0.20,0.18,0.19,152000,0.19
2015-09-23,0.20,0.20,0.19,0.20,167000,0.20
2015-09-22,0.20,0.21,0.20,0.20,61000,0.20
2015-09-21,0.20,0.20,0.19,0.20,213000,0.20
