Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.21,0.21,0.20,0.20,115000,0.20
2016-03-31,0.21,0.21,0.21,0.21,60900,0.21
2016-03-30,0.20,0.21,0.20,0.21,188400,0.21
2016-03-29,0.20,0.21,0.20,0.20,210000,0.20
2016-03-28,0.21,0.21,0.20,0.20,144500,0.20
2016-03-24,0.19,0.20,0.19,0.19,105500,0.19
2016-03-23,0.21,0.21,0.20,0.20,275400,0.20
2016-03-22,0.21,0.21,0.20,0.21,167700,0.21
2016-03-21,0.20,0.21,0.20,0.21,141200,0.21
2016-03-18,0.20,0.20,0.20,0.20,259200,0.20
2016-03-17,0.19,0.20,0.19,0.20,98100,0.20
2016-03-16,0.20,0.20,0.19,0.19,171800,0.19
2016-03-15,0.19,0.20,0.19,0.20,303600,0.20
2016-03-14,0.19,0.19,0.19,0.19,154000,0.19
2016-03-11,0.20,0.20,0.19,0.19,55800,0.19
2016-03-10,0.20,0.20,0.19,0.19,405500,0.19
2016-03-09,0.20,0.20,0.20,0.20,6200,0.20
2016-03-08,0.20,0.21,0.20,0.20,37700,0.20
2016-03-07,0.20,0.21,0.20,0.20,243300,0.20
2016-03-04,0.21,0.21,0.20,0.20,121800,0.20
2016-03-03,0.20,0.21,0.20,0.21,152700,0.21
2016-03-02,0.20,0.20,0.20,0.20,75000,0.20
2016-03-01,0.21,0.22,0.21,0.21,135100,0.21
2016-02-29,0.20,0.23,0.20,0.21,460200,0.21
2016-02-26,0.20,0.20,0.20,0.20,193600,0.20
2016-02-25,0.19,0.20,0.19,0.20,196200,0.20
2016-02-24,0.19,0.20,0.18,0.20,455300,0.20
2016-02-23,0.19,0.19,0.19,0.19,366100,0.19
2016-02-22,0.19,0.19,0.19,0.19,124000,0.19
2016-02-19,0.19,0.19,0.19,0.19,98200,0.19
2016-02-18,0.19,0.19,0.18,0.19,48800,0.19
2016-02-17,0.19,0.19,0.18,0.19,124500,0.19
2016-02-16,0.19,0.19,0.19,0.19,83800,0.19
2016-02-12,0.19,0.19,0.18,0.19,88600,0.19
2016-02-11,0.19,0.20,0.18,0.19,299500,0.19
2016-02-10,0.18,0.19,0.18,0.19,28400,0.19
2016-02-09,0.19,0.19,0.19,0.19,49600,0.19
2016-02-08,0.18,0.20,0.18,0.19,123500,0.19
2016-02-05,0.20,0.20,0.19,0.20,114100,0.20
2016-02-04,0.20,0.20,0.19,0.20,34000,0.20
2016-02-03,0.20,0.20,0.20,0.20,68900,0.20
2016-02-02,0.20,0.20,0.19,0.20,58100,0.20
2016-02-01,0.20,0.20,0.19,0.20,22200,0.20
2016-01-29,0.19,0.20,0.19,0.20,523500,0.20
2016-01-28,0.19,0.19,0.18,0.19,83400,0.19
2016-01-27,0.19,0.19,0.18,0.19,12400,0.19
2016-01-26,0.19,0.19,0.18,0.19,58000,0.19
2016-01-25,0.19,0.20,0.19,0.19,143300,0.19
2016-01-22,0.20,0.20,0.19,0.20,112800,0.20
2016-01-21,0.19,0.20,0.19,0.19,125100,0.19
2016-01-20,0.20,0.20,0.19,0.19,139700,0.19
2016-01-19,0.21,0.21,0.20,0.20,62100,0.20
2016-01-18,0.21,0.21,0.19,0.20,165800,0.20
2016-01-15,0.21,0.21,0.20,0.21,157300,0.21
2016-01-14,0.19,0.21,0.19,0.20,163100,0.20
2016-01-13,0.20,0.20,0.19,0.19,336700,0.19
2016-01-12,0.18,0.20,0.18,0.20,534800,0.20
2016-01-11,0.17,0.18,0.17,0.17,116900,0.17
2016-01-08,0.18,0.18,0.17,0.18,347700,0.18
2016-01-07,0.17,0.18,0.17,0.17,78000,0.17
2016-01-06,0.18,0.18,0.17,0.17,272200,0.17
2016-01-05,0.18,0.18,0.17,0.18,739600,0.18
2016-01-04,0.18,0.18,0.17,0.18,220600,0.18
2015-12-31,0.17,0.18,0.17,0.18,1092000,0.18
2015-12-30,0.18,0.18,0.18,0.18,85500,0.18
2015-12-29,0.18,0.19,0.18,0.18,126600,0.18
2015-12-24,0.18,0.19,0.18,0.18,103400,0.18
2015-12-23,0.18,0.19,0.18,0.18,209300,0.18
2015-12-22,0.18,0.19,0.18,0.18,183200,0.18
2015-12-21,0.20,0.20,0.19,0.19,126600,0.19
2015-12-18,0.18,0.20,0.18,0.19,51300,0.19
2015-12-17,0.19,0.20,0.18,0.18,553400,0.18
2015-12-16,0.19,0.19,0.18,0.19,88700,0.19
2015-12-15,0.19,0.19,0.18,0.18,79900,0.18
2015-12-14,0.20,0.20,0.18,0.19,8100,0.19
2015-12-11,0.19,0.20,0.18,0.20,76600,0.20
2015-12-10,0.18,0.20,0.18,0.19,32600,0.19
2015-12-09,0.19,0.20,0.18,0.18,169400,0.18
2015-12-08,0.20,0.21,0.19,0.19,337400,0.19
2015-12-07,0.20,0.21,0.19,0.20,81800,0.20
2015-12-04,0.21,0.21,0.19,0.19,342700,0.19
2015-12-03,0.21,0.21,0.21,0.21,209400,0.21
2015-12-02,0.20,0.21,0.20,0.21,131700,0.21
2015-12-01,0.21,0.21,0.20,0.20,244400,0.20
2015-11-30,0.21,0.21,0.21,0.21,202900,0.21
2015-11-27,0.21,0.21,0.20,0.21,256900,0.21
2015-11-26,0.20,0.22,0.20,0.21,271200,0.21
2015-11-25,0.21,0.22,0.20,0.21,60700,0.21
2015-11-24,0.21,0.22,0.21,0.22,214300,0.22
2015-11-23,0.22,0.22,0.20,0.21,107800,0.21
2015-11-20,0.22,0.22,0.22,0.22,125500,0.22
2015-11-19,0.21,0.22,0.20,0.22,460900,0.22
2015-11-18,0.21,0.21,0.20,0.21,184100,0.21
2015-11-17,0.20,0.21,0.19,0.20,359600,0.20
2015-11-16,0.20,0.20,0.19,0.20,13200,0.20
2015-11-13,0.20,0.20,0.19,0.19,207500,0.19
2015-11-12,0.20,0.21,0.20,0.20,232500,0.20
2015-11-11,0.19,0.21,0.19,0.20,36500,0.20
2015-11-10,0.20,0.21,0.19,0.19,342600,0.19
2015-11-09,0.20,0.23,0.20,0.20,1482700,0.20
2015-11-06,0.17,0.18,0.17,0.17,103000,0.17
2015-11-05,0.20,0.20,0.18,0.18,122900,0.18
2015-11-04,0.20,0.20,0.19,0.19,83000,0.19
2015-11-03,0.21,0.21,0.19,0.20,120400,0.20
2015-11-02,0.20,0.20,0.20,0.20,37600,0.20
2015-10-30,0.21,0.21,0.20,0.21,128400,0.21
2015-10-29,0.21,0.21,0.20,0.20,63500,0.20
2015-10-28,0.22,0.22,0.20,0.20,98100,0.20
2015-10-27,0.21,0.22,0.20,0.22,139400,0.22
2015-10-26,0.21,0.22,0.20,0.21,202700,0.21
2015-10-23,0.19,0.21,0.19,0.20,69500,0.20
2015-10-22,0.19,0.22,0.19,0.19,775400,0.19
2015-10-21,0.18,0.18,0.18,0.18,000,0.18
2015-10-20,0.18,0.18,0.16,0.16,69000,0.16
2015-10-19,0.19,0.19,0.17,0.18,174400,0.18
2015-10-16,0.19,0.20,0.17,0.17,220400,0.17
2015-10-15,0.19,0.19,0.18,0.19,231700,0.19
2015-10-14,0.18,0.19,0.18,0.19,96600,0.19
2015-10-13,0.18,0.19,0.18,0.18,160800,0.18
2015-10-09,0.17,0.18,0.17,0.17,184100,0.17
2015-10-08,0.15,0.18,0.15,0.17,294000,0.17
2015-10-07,0.14,0.15,0.14,0.15,276800,0.15
2015-10-06,0.13,0.14,0.13,0.14,223200,0.14
2015-10-05,0.13,0.14,0.13,0.13,379000,0.13
2015-10-02,0.14,0.14,0.13,0.13,758000,0.13
2015-10-01,0.14,0.14,0.14,0.14,35800,0.14
2015-09-30,0.14,0.14,0.14,0.14,127000,0.14
2015-09-29,0.14,0.14,0.13,0.13,19600,0.13
2015-09-28,0.14,0.14,0.13,0.13,133500,0.13
2015-09-25,0.14,0.14,0.13,0.13,406800,0.13
2015-09-24,0.14,0.14,0.13,0.14,236900,0.14
2015-09-23,0.14,0.14,0.14,0.14,171000,0.14
2015-09-22,0.14,0.14,0.14,0.14,450800,0.14
2015-09-21,0.16,0.16,0.14,0.14,150100,0.14
2015-09-18,0.14,0.15,0.14,0.14,309500,0.14
2015-09-17,0.14,0.16,0.14,0.14,87500,0.14
2015-09-16,0.14,0.15,0.14,0.15,204200,0.15
2015-09-15,0.14,0.14,0.14,0.14,688600,0.14
2015-09-14,0.14,0.14,0.14,0.14,67800,0.14
2015-09-11,0.14,0.14,0.14,0.14,242600,0.14
2015-09-10,0.14,0.14,0.14,0.14,120000,0.14
2015-09-09,0.14,0.14,0.14,0.14,142800,0.14
2015-09-08,0.14,0.15,0.14,0.14,178200,0.14
2015-09-04,0.14,0.14,0.14,0.14,163400,0.14
2015-09-03,0.15,0.15,0.14,0.14,217800,0.14
2015-09-02,0.14,0.15,0.14,0.15,306600,0.15
2015-09-01,0.16,0.16,0.14,0.14,83500,0.14
2015-08-31,0.16,0.16,0.15,0.15,140700,0.15
2015-08-28,0.15,0.16,0.14,0.14,339300,0.14
2015-08-27,0.14,0.16,0.14,0.14,431800,0.14
2015-08-26,0.14,0.15,0.14,0.14,260900,0.14
2015-08-25,0.16,0.16,0.14,0.14,337800,0.14
2015-08-24,0.16,0.18,0.15,0.15,583000,0.15
2015-08-21,0.18,0.18,0.16,0.17,264800,0.17
2015-08-20,0.18,0.18,0.18,0.18,239300,0.18
2015-08-19,0.18,0.18,0.18,0.18,23000,0.18
2015-08-18,0.19,0.19,0.19,0.19,98200,0.19
