Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,25.425,25.425,25.425,25.425,000,25.425
2016-03-31,26.105,26.105,26.105,26.105,000,26.105
2016-03-30,24.90,24.90,24.90,24.90,000,24.90
2016-03-29,25.125,25.125,25.125,25.125,000,25.125
2016-03-28,25.76,25.76,25.76,25.76,000,25.76
2016-03-25,25.76,25.76,25.76,25.76,000,25.76
2016-03-24,25.76,25.76,25.76,25.76,000,25.76
2016-03-23,25.95,25.95,25.95,25.95,000,25.95
2016-03-22,25.745,25.745,25.745,25.745,000,25.745
2016-03-21,25.345,25.345,25.345,25.345,000,25.345
2016-03-18,24.215,24.215,24.215,24.215,000,24.215
2016-03-17,24.00,24.00,24.00,24.00,000,24.00
2016-03-16,24.085,24.085,24.085,24.085,000,24.085
2016-03-15,24.225,24.225,24.225,24.225,000,24.225
2016-03-14,23.885,23.885,23.885,23.885,000,23.885
2016-03-11,23.625,23.625,23.625,23.625,000,23.625
2016-03-10,24.255,24.255,24.255,24.255,000,24.255
2016-03-09,24.20,24.20,24.20,24.20,000,24.20
2016-03-08,25.21,25.21,25.21,25.21,000,25.21
2016-03-07,25.09,25.09,25.09,25.09,000,25.09
2016-03-04,25.04,25.04,25.04,25.04,000,25.04
2016-03-03,24.27,25.16,24.27,25.16,000,25.16
2016-03-02,21.855,21.855,21.855,21.855,000,21.855
2016-03-01,20.805,20.805,20.805,20.805,000,20.805
2016-02-29,20.07,20.07,20.07,20.07,000,20.07
2016-02-26,19.68,19.68,19.68,19.68,000,19.68
2016-02-25,20.125,20.125,20.125,20.125,000,20.125
2016-02-24,20.385,20.385,20.385,20.385,000,20.385
2016-02-23,21.295,21.295,21.295,21.295,000,21.295
2016-02-22,21.05,21.05,21.05,21.05,000,21.05
2016-02-19,20.85,20.85,20.85,20.85,000,20.85
2016-02-18,20.595,20.595,20.595,20.595,000,20.595
2016-02-17,20.29,20.29,20.29,20.29,000,20.29
2016-02-16,21.385,21.385,21.385,21.385,000,21.385
2016-02-15,21.015,21.015,21.015,21.015,000,21.015
2016-02-12,19.56,19.56,19.56,19.56,000,19.56
2016-02-11,20.505,20.505,20.505,20.505,000,20.505
2016-02-10,21.13,21.13,21.13,21.13,000,21.13
2016-02-09,21.695,21.695,21.695,21.695,000,21.695
2016-02-08,21.39,22.80,21.39,22.80,000,22.80
2016-02-05,21.125,21.125,21.125,21.125,000,21.125
2016-02-04,21.55,21.55,21.55,21.55,000,21.55
2016-02-03,22.50,22.50,22.50,22.50,000,22.50
2016-02-02,23.22,23.22,23.22,23.22,000,23.22
2016-02-01,24.15,24.15,24.15,24.15,000,24.15
2016-01-29,24.715,24.715,24.715,24.715,000,24.715
2016-01-28,24.515,24.515,24.515,24.515,000,24.515
2016-01-27,24.63,24.63,24.63,24.63,000,24.63
2016-01-26,24.47,24.47,24.47,24.47,000,24.47
2016-01-25,24.845,24.845,24.845,24.845,000,24.845
2016-01-22,24.17,24.17,24.17,24.17,000,24.17
2016-01-21,23.215,23.215,23.215,23.215,000,23.215
2016-01-20,23.48,23.48,23.48,23.48,000,23.48
2016-01-19,24.395,24.395,24.395,24.395,000,24.395
2016-01-18,24.41,24.41,24.41,24.41,000,24.41
2016-01-15,26.465,26.465,26.465,26.465,000,26.465
2016-01-14,27.155,27.155,27.155,27.155,000,27.155
2016-01-13,27.32,27.32,27.32,27.32,000,27.32
2016-01-12,27.53,27.53,27.53,27.53,000,27.53
2016-01-11,28.03,28.03,28.03,28.03,000,28.03
2016-01-08,28.335,28.335,28.335,28.335,000,28.335
2016-01-07,28.565,28.565,28.565,28.565,000,28.565
2016-01-06,30.14,30.14,30.14,30.14,000,30.14
2016-01-05,30.09,30.09,30.09,30.09,000,30.09
2016-01-04,28.27,28.27,28.27,28.27,000,28.27
2016-01-01,30.725,30.725,30.725,30.725,000,30.725
2015-12-31,30.725,30.725,30.725,30.725,000,30.725
2015-12-30,30.885,30.885,30.71,30.725,000,30.725
2015-12-29,31.335,31.335,31.335,31.335,000,31.335
2015-12-28,28.79,28.79,28.79,28.79,000,28.79
2015-12-25,30.825,30.825,30.825,30.825,000,30.825
2015-12-24,30.825,30.825,30.825,30.825,000,30.825
2015-12-23,30.825,30.825,30.825,30.825,000,30.825
2015-12-22,31.135,31.135,31.135,31.135,000,31.135
2015-12-21,30.765,30.765,30.765,30.765,000,30.765
2015-12-18,31.43,31.43,31.43,31.43,000,31.43
2015-12-17,30.93,30.93,30.93,30.93,000,30.93
2015-12-16,30.255,30.255,30.255,30.255,000,30.255
2015-12-15,29.96,29.96,29.96,29.96,000,29.96
2015-12-14,30.24,30.24,30.24,30.24,000,30.24
2015-12-11,31.225,31.225,30.795,30.795,600,30.795
2015-12-10,31.615,31.615,31.615,31.615,000,31.615
2015-12-09,32.225,32.225,32.225,32.225,000,32.225
2015-12-08,32.545,32.545,32.545,32.545,000,32.545
