Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,20.975,20.975,20.975,20.975,000,20.975
2016-03-31,20.690001,20.975,20.690001,20.975,2200,20.975
2016-03-30,20.610001,20.610001,20.610001,20.610001,1000,20.610001
2016-03-29,20.049999,20.049999,20.049999,20.049999,000,20.049999
2016-03-28,20.049999,20.049999,20.049999,20.049999,200,20.049999
2016-03-24,20.969999,20.969999,20.969999,20.969999,000,20.969999
2016-03-23,20.549999,20.969999,20.549999,20.969999,500,20.969999
2016-03-22,20.99,20.99,20.99,20.99,200,20.99
2016-03-21,20.83,20.83,20.83,20.83,200,20.83
2016-03-18,20.639999,20.639999,20.639999,20.639999,000,20.639999
2016-03-17,20.639999,20.639999,20.639999,20.639999,000,20.639999
2016-03-16,19.93,20.639999,19.889999,20.639999,2300,20.639999
2016-03-15,19.860001,19.860001,19.860001,19.860001,000,19.860001
2016-03-14,19.860001,19.860001,19.860001,19.860001,200,19.860001
2016-03-11,20.15,20.15,20.15,20.15,200,20.15
2016-03-10,19.370001,19.370001,19.370001,19.370001,000,19.370001
2016-03-09,19.370001,19.370001,19.370001,19.370001,000,19.370001
2016-03-08,19.370001,19.370001,19.370001,19.370001,000,19.370001
2016-03-07,19.370001,19.370001,19.370001,19.370001,400,19.370001
2016-03-04,18.959999,18.959999,18.959999,18.959999,000,18.959999
2016-03-03,18.959999,18.959999,18.959999,18.959999,000,18.959999
2016-03-02,18.959999,18.959999,18.959999,18.959999,000,18.959999
2016-03-01,18.959999,18.959999,18.959999,18.959999,100,18.959999
2016-02-29,18.469999,18.469999,18.469999,18.469999,100,18.469999
2016-02-26,18.389999,18.389999,18.10,18.10,1800,18.10
2016-02-25,15.85,15.85,15.85,15.85,000,15.85
2016-02-24,15.85,15.85,15.85,15.85,100,15.85
2016-02-23,15.25,15.25,15.25,15.25,000,15.25
2016-02-22,15.25,15.25,15.25,15.25,300,15.25
2016-02-19,15.44,15.44,15.44,15.44,000,15.44
2016-02-18,15.44,15.44,15.44,15.44,200,15.44
2016-02-17,15.27,15.43,15.27,15.43,10700,15.43
2016-02-16,14.61,14.61,14.61,14.61,200,14.61
2016-02-12,15.15,15.15,15.15,15.15,000,15.15
2016-02-11,15.15,15.15,15.15,15.15,700,15.15
2016-02-10,15.50,15.50,15.50,15.50,000,15.50
2016-02-09,14.96,15.50,14.85,15.50,600,15.50
2016-02-08,14.97,14.97,14.97,14.97,100,14.97
2016-02-05,15.71,15.71,15.71,15.71,200,15.71
2016-02-04,16.10,16.10,16.10,16.10,000,16.10
2016-02-03,16.10,16.10,16.10,16.10,000,16.10
2016-02-02,16.379999,16.379999,15.82,16.10,900,16.10
2016-02-01,16.32,16.75,16.32,16.75,800,16.75
2016-01-29,16.049999,16.049999,16.049999,16.049999,000,16.049999
2016-01-28,16.049999,16.049999,16.049999,16.049999,600,16.049999
2016-01-27,15.44,15.44,15.44,15.44,100,15.44
2016-01-26,15.54,15.54,15.51,15.51,2000,15.51
2016-01-25,15.40,15.97,15.40,15.97,600,15.97
2016-01-22,15.37,15.37,15.37,15.37,000,15.37
2016-01-21,15.23,15.42,15.23,15.37,1800,15.37
2016-01-20,15.06,15.06,15.06,15.06,400,15.06
2016-01-19,15.79,15.79,15.79,15.79,000,15.79
2016-01-15,15.79,15.79,15.79,15.79,000,15.79
2016-01-14,15.79,15.79,15.79,15.79,000,15.79
2016-01-13,15.79,15.79,15.79,15.79,2800,15.79
2016-01-12,15.88,15.91,15.88,15.91,1100,15.91
2016-01-11,15.89,16.290001,15.86,16.290001,1600,16.290001
2016-01-08,16.41,16.41,16.41,16.41,500,16.41
2016-01-07,16.780001,16.780001,16.780001,16.780001,600,16.780001
2016-01-06,16.629999,16.629999,16.629999,16.629999,200,16.629999
2016-01-05,16.719999,16.719999,16.719999,16.719999,200,16.719999
2016-01-04,18.24,18.24,18.24,18.24,200,18.24
2015-12-31,18.870001,18.870001,18.384001,18.384001,800,18.384001
2015-12-30,18.35,18.35,18.35,18.35,1300,18.35
2015-12-29,18.26,18.389999,18.26,18.299999,900,18.299999
2015-12-28,18.17,18.389999,18.110001,18.389999,1300,18.389999
2015-12-24,17.85,17.870001,17.85,17.870001,400,17.870001
2015-12-23,17.790001,17.90,17.790001,17.90,500,17.90
2015-12-22,17.59,17.629,17.59,17.620001,3800,17.620001
2015-12-21,17.799999,17.799999,17.52,17.52,1700,17.52
2015-12-18,17.540001,17.700001,17.40,17.40,2400,17.40
2015-12-17,17.67,17.67,17.52,17.52,800,17.52
2015-12-16,17.74,17.790001,17.74,17.790001,900,17.790001
2015-12-15,17.559999,17.879999,17.559999,17.879999,2900,17.879999
2015-12-14,17.48,17.65,17.48,17.65,1000,17.65
2015-12-11,17.809999,17.809999,17.27,17.27,300,17.27
2015-12-10,16.950001,16.950001,16.950001,16.950001,000,16.950001
2015-12-09,17.08,17.110001,16.950001,16.950001,6300,16.950001
2015-12-08,16.66,16.716,16.66,16.67,2300,16.67
2015-12-07,17.629999,17.629999,17.58,17.58,900,17.58
2015-12-04,17.549999,17.84,17.549999,17.84,1100,17.84
2015-12-03,17.544001,17.544001,17.42,17.42,4100,17.42
2015-12-02,17.094999,17.094999,17.094999,17.094999,400,17.094999
2015-12-01,17.32,17.32,17.200001,17.200001,300,17.200001
2015-11-30,16.370001,16.370001,16.370001,16.370001,000,16.370001
2015-11-27,16.35,16.49,16.35,16.370001,9500,16.370001
2015-11-25,15.78,16.370001,15.78,16.370001,1000,16.370001
2015-11-24,15.69,16.309999,15.69,16.309999,1300,16.309999
2015-11-23,15.59,16.139999,15.59,16.139999,1100,16.139999
2015-11-20,16.225,16.51,15.94,16.51,2000,16.51
2015-11-19,16.32,16.879999,16.26,16.879999,3400,16.879999
2015-11-18,16.09,16.09,16.09,16.09,200,16.09
2015-11-17,16.305,16.305,15.99,15.99,2700,15.99
2015-11-16,16.559999,16.559999,16.559999,16.559999,000,16.559999
2015-11-13,16.27,16.559999,16.27,16.559999,1300,16.559999
2015-11-12,15.99,16.00,15.99,16.00,5200,16.00
2015-11-11,16.639999,16.639999,16.639999,16.639999,200,16.639999
2015-11-10,16.48,16.48,16.48,16.48,300,16.48
2015-11-09,16.34,16.34,16.34,16.34,000,16.34
2015-11-06,16.34,16.34,16.34,16.34,000,16.34
2015-11-05,16.34,16.34,16.34,16.34,300,16.34
2015-11-04,16.73,16.73,16.73,16.73,300,16.73
2015-11-03,16.690001,16.74,16.690001,16.74,1300,16.74
2015-11-02,16.74,16.802,16.74,16.802,1800,16.802
2015-10-30,16.60,16.60,16.57,16.57,1000,16.57
2015-10-29,15.91,16.40,15.91,16.40,400,16.40
2015-10-28,15.75,15.75,15.75,15.75,500,15.75
2015-10-27,15.98,16.280001,15.72,15.72,2800,15.72
2015-10-26,15.65,15.72,15.65,15.72,1300,15.72
2015-10-23,15.98,16.01,15.98,16.01,500,16.01
2015-10-22,15.91,15.91,15.91,15.91,1700,15.91
2015-10-21,16.450001,16.450001,16.280001,16.280001,2400,16.280001
2015-10-20,18.18,18.18,18.18,18.18,000,18.18
2015-10-19,18.18,18.18,18.18,18.18,200,18.18
2015-10-16,18.23,18.23,18.23,18.23,4000,18.23
2015-10-15,19.48,19.48,19.48,19.48,000,19.48
2015-10-14,19.48,19.48,19.48,19.48,200,19.48
2015-10-13,20.26,20.26,20.26,20.26,000,20.26
2015-10-12,20.26,20.26,20.26,20.26,000,20.26
2015-10-09,20.27,20.27,20.26,20.26,1000,20.26
2015-10-08,19.950001,20.09,19.950001,20.09,7400,20.09
2015-10-07,19.92,20.389999,19.92,20.389999,500,20.389999
2015-10-06,19.74,19.74,19.74,19.74,400,19.74
2015-10-05,20.129999,20.129999,20.129999,20.129999,500,20.129999
2015-10-02,19.41,19.41,19.41,19.41,000,19.41
2015-10-01,19.41,19.41,19.41,19.41,000,19.41
2015-09-30,19.41,19.41,19.41,19.41,500,19.41
2015-09-29,19.360001,19.360001,19.360001,19.360001,200,19.360001
2015-09-28,18.76,18.76,18.76,18.76,400,18.76
2015-09-25,19.433001,19.433001,19.433001,19.433001,3400,19.433001
2015-09-24,18.66,18.66,18.66,18.66,000,18.66
2015-09-23,18.66,18.66,18.66,18.66,200,18.66
2015-09-22,20.42,20.42,20.42,20.42,000,20.42
2015-09-21,20.42,20.42,20.42,20.42,000,20.42
2015-09-18,20.42,20.42,20.42,20.42,200,20.42
2015-09-17,20.110001,20.110001,20.110001,20.110001,000,20.110001
2015-09-16,20.040001,20.110001,20.040001,20.110001,800,20.110001
2015-09-15,20.00,20.00,20.00,20.00,000,20.00
