Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-30,3.75,3.75,3.75,3.75,000,3.75
2016-03-29,3.75,3.75,3.75,3.75,000,3.75
2016-03-28,3.75,3.75,3.75,3.75,000,3.75
2016-03-24,3.75,3.75,3.75,3.75,000,3.75
2016-03-23,3.75,3.75,3.75,3.75,000,3.75
2016-03-22,3.75,3.75,3.75,3.75,000,3.75
2016-03-21,3.75,3.75,3.75,3.75,000,3.75
2016-03-18,3.75,3.75,3.75,3.75,000,3.75
2016-03-17,3.75,3.75,3.75,3.75,000,3.75
2016-03-16,3.75,3.75,3.75,3.75,000,3.75
2016-03-15,3.75,3.75,3.75,3.75,000,3.75
2016-03-14,3.75,3.75,3.75,3.75,000,3.75
2016-03-11,3.75,3.75,3.75,3.75,000,3.75
2016-03-10,3.75,3.75,3.75,3.75,000,3.75
2016-03-09,3.75,3.75,3.75,3.75,000,3.75
2016-03-08,3.75,3.75,3.75,3.75,000,3.75
2016-03-07,3.75,3.75,3.75,3.75,000,3.75
2016-03-04,3.75,3.75,3.75,3.75,000,3.75
2016-03-03,3.75,3.75,3.75,3.75,000,3.75
2016-03-02,3.75,3.75,3.75,3.75,000,3.75
2016-03-01,3.75,3.75,3.75,3.75,000,3.75
2016-02-29,3.75,3.75,3.75,3.75,000,3.75
2016-02-26,3.75,3.75,3.75,3.75,000,3.75
2016-02-25,3.75,3.75,3.75,3.75,000,3.75
2016-02-24,3.75,3.75,3.75,3.75,000,3.75
2016-02-23,3.75,3.75,3.75,3.75,000,3.75
2016-02-22,3.75,3.75,3.75,3.75,000,3.75
2016-02-19,3.75,3.75,3.75,3.75,000,3.75
2016-02-18,3.75,3.75,3.75,3.75,000,3.75
2016-02-17,3.75,3.75,3.75,3.75,000,3.75
2016-02-16,3.75,3.75,3.75,3.75,000,3.75
2016-02-15,3.75,3.75,3.75,3.75,000,3.75
2016-02-12,3.75,3.75,3.75,3.75,000,3.75
2016-02-11,3.75,3.75,3.75,3.75,000,3.75
2016-02-10,3.75,3.75,3.75,3.75,000,3.75
2016-02-09,3.75,3.75,3.75,3.75,000,3.75
2016-02-08,3.75,3.75,3.75,3.75,000,3.75
2016-02-05,3.75,3.75,3.75,3.75,000,3.75
2016-02-04,3.75,3.75,3.75,3.75,000,3.75
2016-02-03,3.75,3.75,3.75,3.75,000,3.75
2016-02-02,3.75,3.75,3.75,3.75,000,3.75
2016-02-01,3.75,3.75,3.75,3.75,000,3.75
2016-01-29,3.75,3.75,3.75,3.75,000,3.75
2016-01-28,3.75,3.75,3.75,3.75,000,3.75
2016-01-27,3.75,3.75,3.75,3.75,000,3.75
2016-01-26,3.75,3.75,3.75,3.75,000,3.75
2016-01-25,3.75,3.75,3.75,3.75,000,3.75
2016-01-22,3.75,3.75,3.75,3.75,000,3.75
2016-01-21,3.75,3.75,3.75,3.75,000,3.75
2016-01-20,3.75,3.75,3.75,3.75,000,3.75
2016-01-19,3.75,3.75,3.75,3.75,000,3.75
2016-01-18,3.75,3.75,3.75,3.75,000,3.75
2016-01-15,3.75,3.75,3.75,3.75,000,3.75
2016-01-14,3.75,3.75,3.75,3.75,000,3.75
2016-01-13,3.75,3.75,3.75,3.75,000,3.75
2016-01-12,3.75,3.75,3.75,3.75,000,3.75
2016-01-11,3.75,3.75,3.75,3.75,000,3.75
2016-01-08,3.75,3.75,3.75,3.75,000,3.75
2016-01-07,3.75,3.75,3.75,3.75,000,3.75
2016-01-06,3.75,3.75,3.75,3.75,000,3.75
2016-01-05,3.75,3.75,3.75,3.75,000,3.75
2016-01-04,3.75,3.75,3.75,3.75,000,3.75
2015-12-31,3.75,3.75,3.75,3.75,000,3.75
2015-12-30,3.75,3.75,3.75,3.75,000,3.75
2015-12-29,3.75,3.75,3.75,3.75,000,3.75
2015-12-24,3.75,3.75,3.75,3.75,000,3.75
2015-12-23,3.50,3.94,3.50,3.75,1442100,3.75
2015-12-22,3.59,3.59,3.325,3.375,1044900,3.375
2015-12-21,3.622,3.70,3.513,3.625,415500,3.625
2015-12-18,3.56,3.695,3.53,3.625,172600,3.625
2015-12-17,3.71,3.71,3.692,3.75,68500,3.75
2015-12-16,3.754,3.754,3.56,3.75,959900,3.75
2015-12-15,3.775,3.78,3.626,3.75,333100,3.75
2015-12-14,3.70,3.85,3.59,3.75,265200,3.75
2015-12-11,3.688,4.00,3.525,3.50,1254900,3.50
2015-12-10,3.79,4.05,3.79,3.875,1229900,3.875
2015-12-09,3.902,4.10,3.75,3.875,442100,3.875
2015-12-08,3.65,4.28,3.65,3.625,1488100,3.625
2015-12-07,4.15,4.75,4.10,4.25,7263100,4.25
2015-12-04,3.913,4.15,3.75,4.00,1406600,4.00
2015-12-03,3.96,4.00,3.80,3.875,756300,3.875
2015-12-02,3.963,4.227,3.85,4.00,1487200,4.00
2015-12-01,3.88,4.35,3.59,3.875,2839300,3.875
2015-11-30,3.70,3.95,3.425,3.875,1154300,3.875
2015-11-27,3.48,3.60,3.25,3.625,1083400,3.625
2015-11-26,3.463,3.91,3.25,3.75,2295600,3.75
2015-11-25,3.285,3.463,3.25,3.375,2137500,3.375
2015-11-24,3.29,3.50,3.25,3.375,1066100,3.375
2015-11-23,3.42,3.42,3.25,3.50,543000,3.50
2015-11-20,3.55,3.55,3.305,3.50,364000,3.50
2015-11-19,3.625,3.625,3.505,3.50,230000,3.50
2015-11-18,3.645,3.646,3.50,3.75,165300,3.75
2015-11-17,3.81,3.81,3.63,3.75,326200,3.75
2015-11-16,3.257,4.00,3.257,3.75,1498700,3.75
2015-11-13,3.265,3.28,3.25,3.25,1309900,3.25
2015-11-12,3.28,3.37,3.178,3.25,688600,3.25
2015-11-11,3.275,3.50,3.20,3.375,1848900,3.375
2015-11-10,3.25,3.75,3.25,3.50,1290600,3.50
2015-11-09,3.66,3.66,3.05,3.50,4247200,3.50
