Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.17,1.17,1.17,1.17,100,1.17
2016-03-31,1.28,1.30,1.16,1.20,46800,1.20
2016-03-30,1.24,1.35,1.11,1.25,54200,1.25
2016-03-29,1.24,1.24,1.24,1.24,1000,1.24
2016-03-28,1.28,1.28,1.28,1.28,700,1.28
2016-03-24,1.30,1.30,1.30,1.30,000,1.30
2016-03-23,1.30,1.30,1.29,1.30,1800,1.30
2016-03-22,1.21,1.22,1.20,1.22,1800,1.22
2016-03-21,1.21,1.21,1.21,1.21,000,1.21
2016-03-18,1.25,1.25,1.20,1.21,5700,1.21
2016-03-17,1.26,1.32,1.26,1.28,10100,1.28
2016-03-16,1.25,1.25,1.25,1.25,000,1.25
2016-03-15,1.18,1.25,1.18,1.25,1800,1.25
2016-03-14,1.17,1.22,1.17,1.18,5300,1.18
2016-03-11,1.17,1.30,1.17,1.30,10100,1.30
2016-03-10,1.15,1.30,1.15,1.30,4000,1.30
2016-03-09,1.15,1.20,1.15,1.20,8800,1.20
2016-03-08,1.19,1.20,1.15,1.20,2900,1.20
2016-03-07,1.18,1.20,1.18,1.20,700,1.20
2016-03-04,1.20,1.35,1.19,1.19,4700,1.19
2016-03-03,1.20,1.20,1.20,1.20,000,1.20
2016-03-02,1.15,1.22,1.15,1.20,2500,1.20
2016-03-01,1.21,1.23,1.15,1.15,2900,1.15
2016-02-29,1.29,1.29,1.20,1.27,38900,1.27
2016-02-26,1.29,1.29,1.29,1.29,200,1.29
2016-02-25,1.29,1.29,1.29,1.29,000,1.29
2016-02-24,1.29,1.29,1.26,1.29,2200,1.29
2016-02-23,1.30,1.30,1.30,1.30,000,1.30
2016-02-22,1.30,1.30,1.30,1.30,2100,1.30
2016-02-19,1.21,1.31,1.17,1.27,35500,1.27
2016-02-18,1.21,1.22,1.20,1.21,16700,1.21
2016-02-17,1.25,1.25,1.20,1.20,6800,1.20
2016-02-16,1.26,1.26,1.26,1.26,000,1.26
2016-02-12,1.24,1.26,1.24,1.26,2600,1.26
2016-02-11,1.22,1.22,1.20,1.22,7600,1.22
2016-02-10,1.28,1.28,1.28,1.28,500,1.28
2016-02-09,1.25,1.25,1.20,1.20,8800,1.20
2016-02-08,1.20,1.20,1.20,1.20,3600,1.20
2016-02-05,1.28,1.28,1.28,1.28,200,1.28
2016-02-04,1.18,1.25,1.18,1.25,9500,1.25
2016-02-03,1.24,1.24,1.24,1.24,100,1.24
2016-02-02,1.21,1.21,1.21,1.21,200,1.21
2016-02-01,1.20,1.20,1.20,1.20,2000,1.20
2016-01-29,1.25,1.25,1.21,1.21,5200,1.21
2016-01-28,1.25,1.25,1.25,1.25,500,1.25
2016-01-27,1.25,1.35,1.14,1.25,14500,1.25
2016-01-26,1.25,1.25,1.25,1.25,1000,1.25
2016-01-25,1.25,1.25,1.25,1.25,000,1.25
2016-01-22,1.25,1.25,1.25,1.25,10000,1.25
2016-01-21,1.30,1.30,1.30,1.30,500,1.30
2016-01-20,1.30,1.30,1.25,1.25,48700,1.25
2016-01-19,1.30,1.32,1.30,1.30,68800,1.30
2016-01-15,1.35,1.35,1.30,1.30,44800,1.30
2016-01-14,1.35,1.35,1.34,1.34,23200,1.34
2016-01-13,1.34,1.34,1.34,1.34,18700,1.34
2016-01-12,1.35,1.39,1.35,1.35,8500,1.35
2016-01-11,1.35,1.37,1.35,1.35,37000,1.35
2016-01-08,1.35,1.40,1.35,1.35,14500,1.35
2016-01-07,1.39,1.39,1.34,1.34,82200,1.34
2016-01-06,1.35,1.35,1.35,1.35,200,1.35
2016-01-05,1.35,1.35,1.35,1.35,000,1.35
2016-01-04,1.40,1.42,1.20,1.35,14000,1.35
2015-12-31,1.40,1.43,1.40,1.41,11200,1.41
2015-12-30,1.40,1.40,1.40,1.40,5200,1.40
2015-12-29,1.41,1.45,1.37,1.45,4200,1.45
2015-12-28,1.46,1.46,1.37,1.37,4000,1.37
2015-12-24,1.45,1.45,1.45,1.45,000,1.45
2015-12-23,1.39,1.48,1.35,1.45,17900,1.45
2015-12-22,1.36,1.36,1.35,1.35,29200,1.35
2015-12-21,1.35,1.37,1.35,1.35,7900,1.35
2015-12-18,1.41,1.41,1.35,1.36,3200,1.36
2015-12-17,1.35,1.55,1.35,1.45,24400,1.45
2015-12-16,1.36,1.36,1.35,1.35,13100,1.35
2015-12-15,1.35,1.35,1.35,1.35,4900,1.35
2015-12-14,1.35,1.37,1.35,1.35,17200,1.35
2015-12-11,1.35,1.39,1.35,1.39,11000,1.39
2015-12-10,1.41,1.45,1.35,1.45,19000,1.45
2015-12-09,1.37,1.48,1.35,1.43,35400,1.43
2015-12-08,1.35,1.35,1.35,1.35,8700,1.35
2015-12-07,1.39,1.39,1.35,1.35,13900,1.35
2015-12-04,1.33,1.40,1.33,1.39,62800,1.39
2015-12-03,1.31,1.33,1.31,1.33,23700,1.33
2015-12-02,1.32,1.34,1.30,1.34,7200,1.34
2015-12-01,1.32,1.32,1.32,1.32,000,1.32
2015-11-30,1.31,1.32,1.25,1.32,40300,1.32
2015-11-27,1.32,1.32,1.32,1.32,10100,1.32
2015-11-25,1.31,1.32,1.31,1.32,3800,1.32
2015-11-24,1.34,1.34,1.29,1.31,89300,1.31
2015-11-23,1.34,1.34,1.33,1.34,7300,1.34
2015-11-20,1.36,1.36,1.30,1.30,25000,1.30
2015-11-19,1.38,1.39,1.36,1.36,21500,1.36
2015-11-18,1.38,1.40,1.38,1.39,8300,1.39
2015-11-17,1.39,1.39,1.37,1.37,11600,1.37
2015-11-16,1.40,1.42,1.35,1.36,14200,1.36
2015-11-13,1.50,1.51,1.33,1.37,257200,1.37
2015-11-12,1.49,1.51,1.49,1.50,18500,1.50
2015-11-11,1.45,1.49,1.45,1.49,11700,1.49
2015-11-10,1.45,1.47,1.45,1.45,19300,1.45
2015-11-09,1.45,1.45,1.45,1.45,8500,1.45
2015-11-06,1.46,1.48,1.45,1.48,11700,1.48
2015-11-05,1.46,1.46,1.45,1.46,16700,1.46
2015-11-04,1.45,1.45,1.45,1.45,000,1.45
2015-11-03,1.46,1.46,1.45,1.45,12500,1.45
2015-11-02,1.43,1.46,1.43,1.45,7000,1.45
2015-10-30,1.46,1.46,1.46,1.46,000,1.46
2015-10-29,1.46,1.46,1.43,1.46,12000,1.46
2015-10-28,1.42,1.45,1.41,1.45,31900,1.45
2015-10-27,1.41,1.42,1.41,1.42,5500,1.42
2015-10-26,1.41,1.42,1.40,1.41,12000,1.41
2015-10-23,1.43,1.47,1.36,1.40,51500,1.40
2015-10-22,1.43,1.43,1.43,1.43,1100,1.43
2015-10-21,1.49,1.49,1.47,1.47,2300,1.47
2015-10-20,1.43,1.43,1.43,1.43,000,1.43
2015-10-19,1.43,1.43,1.43,1.43,1100,1.43
2015-10-16,1.42,1.49,1.42,1.49,4600,1.49
2015-10-15,1.46,1.46,1.42,1.42,1000,1.42
2015-10-14,1.51,1.51,1.46,1.46,2400,1.46
2015-10-13,1.50,1.50,1.48,1.50,21000,1.50
2015-10-12,1.51,1.51,1.46,1.46,400,1.46
2015-10-09,1.51,1.51,1.50,1.50,22700,1.50
2015-10-08,1.50,1.50,1.50,1.50,11400,1.50
2015-10-07,1.55,1.55,1.50,1.50,7900,1.50
2015-10-06,1.52,1.52,1.52,1.52,1900,1.52
2015-10-05,1.54,1.58,1.50,1.52,7100,1.52
2015-10-02,1.50,1.54,1.50,1.54,28600,1.54
2015-10-01,1.57,1.58,1.50,1.50,40100,1.50
2015-09-30,1.53,1.59,1.53,1.58,46000,1.58
2015-09-29,1.50,1.50,1.50,1.50,7800,1.50
