Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,9.71,9.78,9.71,9.78,1600,9.78
2016-03-31,9.98,9.98,9.88,9.88,1300,9.88
2016-03-30,9.97,10.26,9.97,10.24,4100,10.24
2016-03-29,10.33,10.59,10.33,10.59,5000,10.59
2016-03-28,10.33,10.33,10.33,10.33,1100,10.33
2016-03-24,10.45,10.45,10.33,10.33,1100,10.33
2016-03-23,10.83,10.99,10.83,10.99,1700,10.99
2016-03-22,10.94,11.13,10.93,11.13,1600,11.13
2016-03-21,10.93,11.07,10.73,10.96,2600,10.96
2016-03-18,10.80,11.03,10.80,11.03,2600,11.03
2016-03-17,10.73,10.94,10.73,10.93,12600,10.93
2016-03-16,10.58,10.78,10.57,10.75,10500,10.75
2016-03-15,10.79,10.79,10.58,10.70,4900,10.70
2016-03-14,10.98,11.19,10.95,10.95,10800,10.95
2016-03-11,11.05,11.20,11.05,11.20,3200,11.20
2016-03-10,11.10,11.10,10.72,10.92,6500,10.92
2016-03-09,11.01,11.07,10.95,11.01,9700,11.01
2016-03-08,11.59,11.59,11.35,11.35,11800,11.35
2016-03-07,11.58,11.89,11.52,11.78,10800,11.78
2016-03-04,11.74,11.81,11.65,11.81,16500,11.81
2016-03-03,11.15,11.19,11.05,11.19,12500,11.19
2016-03-02,10.95,11.05,10.95,11.02,10700,11.02
2016-03-01,10.71,10.94,10.63,10.84,25900,10.84
2016-02-29,10.73,10.80,10.61,10.72,4600,10.72
2016-02-26,11.08,11.13,10.90,11.06,1300,11.06
2016-02-25,10.94,11.04,10.94,11.04,2500,11.04
2016-02-24,10.55,10.80,10.55,10.61,6800,10.61
2016-02-23,10.74,10.83,10.68,10.74,24300,10.74
2016-02-22,10.13,10.44,10.13,10.33,24600,10.33
2016-02-19,9.80,9.90,9.80,9.90,4600,9.90
2016-02-18,10.18,10.28,10.04,10.05,7800,10.05
2016-02-17,9.61,9.80,9.61,9.69,78000,9.69
2016-02-16,10.02,10.02,9.74,9.77,1500,9.77
2016-02-12,9.26,9.53,9.26,9.49,9400,9.49
2016-02-11,9.21,9.35,9.16,9.18,6700,9.18
2016-02-10,9.39,9.55,9.39,9.55,600,9.55
2016-02-09,9.61,9.61,9.47,9.54,48600,9.54
2016-02-08,9.73,9.75,9.57,9.63,31300,9.63
2016-02-05,10.63,10.63,10.34,10.41,5100,10.41
2016-02-04,10.15,10.33,10.13,10.13,22400,10.13
2016-02-03,9.59,9.76,9.59,9.70,16400,9.70
2016-02-02,9.85,9.99,9.78,9.85,37300,9.85
2016-02-01,10.48,10.50,10.36,10.50,13100,10.50
2016-01-29,10.32,10.60,10.32,10.60,18800,10.60
2016-01-28,10.19,10.26,10.13,10.21,29700,10.21
2016-01-27,10.13,10.28,10.05,10.14,22100,10.14
2016-01-26,10.06,10.20,10.06,10.16,101100,10.16
2016-01-25,10.22,10.33,10.13,10.13,556200,10.13
2016-01-22,10.23,10.41,10.23,10.36,1513600,10.36
2016-01-21,9.86,10.08,9.86,10.04,22900,10.04
2016-01-20,10.02,10.12,9.82,10.07,89800,10.07
2016-01-19,10.44,10.49,10.36,10.41,20200,10.41
2016-01-15,10.11,10.14,10.06,10.12,297100,10.12
2016-01-14,10.27,10.48,10.24,10.45,70800,10.45
2016-01-13,10.32,10.36,10.18,10.23,303300,10.23
2016-01-12,10.52,10.61,10.30,10.41,34800,10.41
2016-01-11,11.08,11.08,10.95,11.04,23500,11.04
2016-01-08,11.17,11.17,11.00,11.00,562600,11.00
2016-01-07,11.49,11.49,11.34,11.36,14800,11.36
