Date,Open,High,Low,Close,Volume,Adj_Close
2016-01-07,9.375,9.375,9.375,9.375,000,9.375
2016-01-06,9.375,9.375,9.375,9.375,000,9.375
2016-01-05,9.375,9.375,9.375,9.375,000,9.375
2016-01-04,9.375,9.375,9.375,9.375,000,9.375
2015-12-31,9.375,9.375,9.375,9.375,000,9.375
2015-12-30,9.375,9.375,9.375,9.375,000,9.375
2015-12-29,9.375,9.375,9.375,9.375,000,9.375
2015-12-28,9.375,9.375,9.375,9.375,000,9.375
2015-12-25,9.375,9.375,9.375,9.375,000,9.375
2015-12-24,9.375,9.375,9.375,9.375,000,9.375
2015-12-23,9.375,9.375,9.375,9.375,000,9.375
2015-12-22,9.375,9.375,9.375,9.375,000,9.375
2015-12-21,9.375,9.375,9.375,9.375,000,9.375
2015-12-18,9.375,9.375,9.375,9.375,000,9.375
2015-12-17,9.375,9.375,9.375,9.375,000,9.375
2015-12-16,9.375,9.375,9.375,9.375,000,9.375
2015-12-15,9.375,9.375,9.375,9.375,000,9.375
2015-12-14,9.375,9.375,9.375,9.375,000,9.375
2015-12-11,9.375,9.375,9.375,9.375,000,9.375
2015-12-10,9.375,9.375,9.375,9.375,000,9.375
2015-12-09,9.375,9.375,9.375,9.375,000,9.375
2015-12-08,9.375,9.375,9.375,9.375,000,9.375
2015-12-07,9.375,9.375,9.375,9.375,000,9.375
2015-12-04,9.375,9.375,9.375,9.375,000,9.375
2015-12-03,9.375,9.375,9.375,9.375,000,9.375
2015-12-02,9.375,9.375,9.375,9.375,000,9.375
2015-12-01,9.375,9.375,9.375,9.375,000,9.375
2015-11-30,9.375,9.375,9.375,9.375,000,9.375
2015-11-27,9.375,9.375,9.375,9.375,000,9.375
2015-11-26,9.375,9.375,9.375,9.375,000,9.375
2015-11-25,9.375,9.375,9.375,9.375,000,9.375
2015-11-24,9.375,9.375,9.375,9.375,000,9.375
2015-11-23,9.375,9.375,9.375,9.375,000,9.375
2015-11-20,9.375,9.375,9.375,9.375,000,9.375
2015-11-19,9.375,9.375,9.375,9.375,000,9.375
2015-11-18,9.375,9.375,9.375,9.375,000,9.375
2015-11-17,9.375,9.375,9.375,9.375,000,9.375
2015-11-16,9.375,9.375,9.375,9.375,000,9.375
2015-11-13,9.375,9.375,9.375,9.375,000,9.375
2015-11-12,9.375,9.375,9.375,9.375,000,9.375
2015-11-11,9.375,9.375,9.375,9.375,000,9.375
2015-11-10,9.375,9.375,9.375,9.375,000,9.375
2015-11-09,9.375,9.375,9.375,9.375,000,9.375
