Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.06,0.06,0.05,0.06,275000,0.06
2016-03-31,0.06,0.06,0.06,0.06,259900,0.06
2016-03-30,0.06,0.07,0.06,0.06,123000,0.06
2016-03-29,0.06,0.06,0.06,0.06,96800,0.06
2016-03-28,0.06,0.06,0.06,0.06,146000,0.06
2016-03-24,0.06,0.06,0.06,0.06,1000,0.06
2016-03-23,0.06,0.06,0.06,0.06,234500,0.06
2016-03-22,0.07,0.08,0.07,0.07,260300,0.07
2016-03-21,0.07,0.08,0.06,0.07,436900,0.07
2016-03-18,0.06,0.07,0.06,0.06,228100,0.06
2016-03-17,0.06,0.06,0.05,0.06,420000,0.06
2016-03-16,0.05,0.06,0.05,0.05,186500,0.05
2016-03-15,0.05,0.06,0.05,0.06,6000,0.06
2016-03-14,0.06,0.06,0.05,0.05,807200,0.05
2016-03-11,0.06,0.06,0.06,0.06,162500,0.06
2016-03-10,0.06,0.06,0.06,0.06,296500,0.06
2016-03-09,0.06,0.06,0.05,0.06,211100,0.06
2016-03-08,0.07,0.07,0.06,0.06,479100,0.06
2016-03-07,0.06,0.07,0.06,0.07,393100,0.07
2016-03-04,0.06,0.07,0.05,0.06,657000,0.06
2016-03-03,0.05,0.06,0.05,0.06,172500,0.06
2016-03-02,0.05,0.05,0.05,0.05,53100,0.05
2016-03-01,0.05,0.05,0.05,0.05,28000,0.05
2016-02-29,0.06,0.06,0.05,0.05,337300,0.05
2016-02-26,0.06,0.06,0.06,0.06,44900,0.06
2016-02-25,0.06,0.06,0.06,0.06,187200,0.06
2016-02-24,0.06,0.07,0.05,0.06,947800,0.06
2016-02-23,0.05,0.06,0.05,0.05,416100,0.05
2016-02-22,0.05,0.05,0.05,0.05,134200,0.05
2016-02-19,0.05,0.05,0.04,0.05,351000,0.05
2016-02-18,0.05,0.05,0.05,0.05,134300,0.05
2016-02-17,0.04,0.05,0.04,0.05,346000,0.05
2016-02-16,0.05,0.05,0.04,0.04,148600,0.04
2016-02-12,0.05,0.05,0.04,0.05,529200,0.05
2016-02-11,0.04,0.05,0.04,0.04,407800,0.04
2016-02-10,0.04,0.04,0.04,0.04,21900,0.04
2016-02-09,0.04,0.04,0.04,0.04,109000,0.04
2016-02-08,0.04,0.04,0.04,0.04,197900,0.04
2016-02-05,0.04,0.04,0.03,0.03,424000,0.03
2016-02-04,0.03,0.04,0.03,0.04,35000,0.04
2016-02-03,0.03,0.03,0.03,0.03,303000,0.03
2016-02-02,0.03,0.03,0.03,0.03,30000,0.03
2016-02-01,0.03,0.04,0.03,0.03,71000,0.03
2016-01-29,0.03,0.03,0.03,0.03,57500,0.03
2016-01-28,0.03,0.03,0.03,0.03,5000,0.03
2016-01-27,0.03,0.03,0.03,0.03,205000,0.03
2016-01-26,0.02,0.03,0.02,0.03,774700,0.03
2016-01-25,0.03,0.03,0.03,0.03,74500,0.03
2016-01-22,0.03,0.03,0.03,0.03,000,0.03
2016-01-21,0.03,0.03,0.03,0.03,77500,0.03
2016-01-20,0.03,0.03,0.03,0.03,50000,0.03
2016-01-19,0.03,0.03,0.03,0.03,000,0.03
2016-01-18,0.03,0.03,0.03,0.03,125000,0.03
2016-01-15,0.03,0.03,0.03,0.03,3300,0.03
2016-01-14,0.03,0.03,0.03,0.03,75800,0.03
2016-01-13,0.03,0.03,0.03,0.03,104200,0.03
2016-01-12,0.03,0.03,0.03,0.03,103400,0.03
2016-01-11,0.03,0.03,0.03,0.03,000,0.03
2016-01-08,0.03,0.03,0.03,0.03,24000,0.03
2016-01-07,0.03,0.03,0.03,0.03,000,0.03
2016-01-06,0.03,0.03,0.03,0.03,28000,0.03
2016-01-05,0.03,0.03,0.03,0.03,3500,0.03
2016-01-04,0.03,0.03,0.03,0.03,176800,0.03
2015-12-31,0.03,0.03,0.03,0.03,900,0.03
2015-12-30,0.03,0.03,0.03,0.03,90000,0.03
2015-12-29,0.03,0.03,0.03,0.03,6900,0.03
2015-12-24,0.03,0.03,0.03,0.03,31500,0.03
2015-12-23,0.03,0.03,0.03,0.03,59000,0.03
2015-12-22,0.03,0.03,0.03,0.03,22500,0.03
2015-12-21,0.02,0.03,0.02,0.03,18900,0.03
2015-12-18,0.03,0.03,0.03,0.03,23000,0.03
2015-12-17,0.03,0.03,0.03,0.03,30000,0.03
2015-12-16,0.03,0.03,0.03,0.03,39000,0.03
2015-12-15,0.03,0.03,0.03,0.03,9000,0.03
2015-12-14,0.03,0.03,0.03,0.03,18000,0.03
2015-12-11,0.03,0.03,0.03,0.03,252800,0.03
2015-12-10,0.03,0.03,0.03,0.03,157000,0.03
2015-12-09,0.03,0.03,0.03,0.03,40000,0.03
2015-12-08,0.03,0.03,0.02,0.02,95000,0.02
2015-12-07,0.03,0.03,0.03,0.03,123500,0.03
2015-12-04,0.03,0.03,0.03,0.03,35800,0.03
2015-12-03,0.03,0.03,0.03,0.03,000,0.03
2015-12-02,0.03,0.03,0.03,0.03,230000,0.03
2015-12-01,0.03,0.03,0.03,0.03,25000,0.03
