Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.13,0.13,0.13,0.13,000,0.13
2016-03-31,0.13,0.13,0.13,0.13,1500,0.13
2016-03-30,0.13,0.14,0.13,0.14,25100,0.14
2016-03-29,0.12,0.12,0.12,0.12,500,0.12
2016-03-28,0.13,0.13,0.13,0.13,2000,0.13
2016-03-24,0.12,0.12,0.12,0.12,500,0.12
2016-03-23,0.12,0.12,0.12,0.12,660500,0.12
2016-03-22,0.13,0.13,0.12,0.12,23200,0.12
2016-03-21,0.12,0.12,0.12,0.12,000,0.12
2016-03-18,0.13,0.13,0.12,0.12,4000,0.12
2016-03-17,0.13,0.13,0.13,0.13,000,0.13
2016-03-16,0.13,0.13,0.13,0.13,000,0.13
2016-03-15,0.13,0.13,0.13,0.13,12000,0.13
2016-03-14,0.13,0.13,0.13,0.13,1500,0.13
2016-03-11,0.13,0.13,0.13,0.13,2000,0.13
2016-03-10,0.13,0.13,0.13,0.13,35500,0.13
2016-03-09,0.13,0.13,0.13,0.13,000,0.13
2016-03-08,0.13,0.13,0.13,0.13,20000,0.13
2016-03-07,0.13,0.13,0.13,0.13,5000,0.13
2016-03-04,0.13,0.13,0.13,0.13,61500,0.13
2016-03-03,0.13,0.13,0.13,0.13,5400,0.13
2016-03-02,0.14,0.14,0.14,0.14,000,0.14
2016-03-01,0.13,0.14,0.13,0.14,28000,0.14
2016-02-29,0.12,0.13,0.12,0.13,73500,0.13
2016-02-26,0.13,0.13,0.13,0.13,16500,0.13
2016-02-25,0.12,0.12,0.12,0.12,17600,0.12
2016-02-24,0.13,0.13,0.12,0.12,7500,0.12
2016-02-23,0.13,0.13,0.13,0.13,19000,0.13
2016-02-22,0.13,0.13,0.11,0.13,56000,0.13
2016-02-19,0.14,0.14,0.14,0.14,000,0.14
2016-02-18,0.14,0.14,0.14,0.14,10000,0.14
2016-02-17,0.13,0.14,0.13,0.13,11000,0.13
2016-02-16,0.14,0.14,0.14,0.14,4000,0.14
2016-02-12,0.14,0.14,0.14,0.14,13000,0.14
2016-02-11,0.14,0.14,0.12,0.14,38000,0.14
2016-02-10,0.14,0.14,0.14,0.14,7000,0.14
2016-02-09,0.15,0.15,0.15,0.15,17000,0.15
2016-02-08,0.15,0.15,0.15,0.15,000,0.15
2016-02-05,0.15,0.15,0.15,0.15,10500,0.15
2016-02-04,0.15,0.15,0.14,0.14,10000,0.14
2016-02-03,0.14,0.14,0.14,0.14,500,0.14
2016-02-02,0.14,0.14,0.14,0.14,000,0.14
2016-02-01,0.14,0.14,0.14,0.14,140000,0.14
2016-01-29,0.13,0.14,0.13,0.13,131000,0.13
2016-01-28,0.14,0.14,0.14,0.14,61500,0.14
2016-01-27,0.14,0.14,0.14,0.14,000,0.14
2016-01-26,0.14,0.14,0.14,0.14,000,0.14
2016-01-25,0.14,0.14,0.14,0.14,2000,0.14
2016-01-22,0.15,0.15,0.15,0.15,23000,0.15
2016-01-21,0.14,0.14,0.14,0.14,10000,0.14
2016-01-20,0.15,0.15,0.14,0.14,53500,0.14
2016-01-19,0.15,0.16,0.15,0.15,102500,0.15
2016-01-18,0.17,0.17,0.17,0.17,1000,0.17
2016-01-15,0.17,0.17,0.17,0.17,49000,0.17
2016-01-14,0.16,0.17,0.15,0.16,246500,0.16
2016-01-13,0.17,0.17,0.17,0.17,000,0.17
2016-01-12,0.17,0.17,0.17,0.17,30000,0.17
2016-01-11,0.17,0.17,0.17,0.17,28000,0.17
2016-01-08,0.17,0.17,0.17,0.17,25000,0.17
2016-01-07,0.16,0.17,0.16,0.17,28000,0.17
2016-01-06,0.17,0.17,0.16,0.16,42000,0.16
2016-01-05,0.17,0.17,0.17,0.17,10000,0.17
2016-01-04,0.17,0.17,0.17,0.17,3500,0.17
2015-12-31,0.17,0.17,0.17,0.17,16500,0.17
2015-12-30,0.17,0.18,0.16,0.17,34500,0.17
2015-12-29,0.17,0.17,0.17,0.17,2000,0.17
2015-12-24,0.17,0.17,0.17,0.17,3000,0.17
2015-12-23,0.16,0.16,0.16,0.16,39300,0.16
2015-12-22,0.17,0.17,0.16,0.16,103800,0.16
2015-12-21,0.18,0.18,0.18,0.18,11000,0.18
2015-12-18,0.18,0.18,0.16,0.17,31000,0.17
2015-12-17,0.18,0.18,0.17,0.18,6000,0.18
2015-12-16,0.18,0.18,0.18,0.18,30000,0.18
2015-12-15,0.17,0.19,0.16,0.16,41000,0.16
2015-12-14,0.17,0.18,0.17,0.18,28500,0.18
2015-12-11,0.17,0.17,0.17,0.17,000,0.17
2015-12-10,0.17,0.17,0.17,0.17,6200,0.17
2015-12-09,0.16,0.16,0.16,0.16,4000,0.16
2015-12-08,0.16,0.16,0.16,0.16,000,0.16
2015-12-07,0.17,0.17,0.16,0.16,35500,0.16
2015-12-04,0.17,0.17,0.17,0.17,8000,0.17
2015-12-03,0.17,0.17,0.16,0.16,46100,0.16
2015-12-02,0.18,0.20,0.17,0.20,34000,0.20
2015-12-01,0.18,0.18,0.18,0.18,000,0.18
2015-11-30,0.18,0.18,0.18,0.18,11500,0.18
2015-11-27,0.18,0.18,0.18,0.18,5500,0.18
2015-11-26,0.16,0.18,0.16,0.18,49500,0.18
2015-11-25,0.16,0.17,0.16,0.16,62000,0.16
2015-11-24,0.16,0.16,0.16,0.16,1000,0.16
2015-11-23,0.17,0.17,0.17,0.17,5000,0.17
2015-11-20,0.17,0.17,0.17,0.17,3000,0.17
2015-11-19,0.17,0.17,0.17,0.17,000,0.17
2015-11-18,0.17,0.17,0.17,0.17,000,0.17
2015-11-17,0.16,0.17,0.16,0.17,951000,0.17
2015-11-16,0.18,0.18,0.17,0.17,18500,0.17
2015-11-13,0.18,0.18,0.18,0.18,20800,0.18
2015-11-12,0.17,0.17,0.16,0.16,45000,0.16
2015-11-11,0.18,0.18,0.18,0.18,000,0.18
2015-11-10,0.18,0.18,0.18,0.18,83000,0.18
2015-11-09,0.18,0.18,0.16,0.16,118000,0.16
2015-11-06,0.17,0.17,0.17,0.17,000,0.17
2015-11-05,0.17,0.17,0.17,0.17,10000,0.17
2015-11-04,0.17,0.17,0.17,0.17,000,0.17
2015-11-03,0.17,0.17,0.17,0.17,282500,0.17
2015-11-02,0.16,0.16,0.16,0.16,17900,0.16
2015-10-30,0.19,0.19,0.17,0.17,6500,0.17
2015-10-29,0.18,0.18,0.18,0.18,1000,0.18
2015-10-28,0.18,0.18,0.18,0.18,000,0.18
2015-10-27,0.18,0.18,0.18,0.18,000,0.18
2015-10-26,0.20,0.20,0.18,0.18,7500,0.18
2015-10-23,0.20,0.20,0.18,0.18,53500,0.18
2015-10-22,0.20,0.20,0.19,0.19,20000,0.19
2015-10-21,0.20,0.20,0.20,0.20,000,0.20
2015-10-20,0.24,0.24,0.20,0.20,6500,0.20
2015-10-19,0.20,0.20,0.20,0.20,000,0.20
2015-10-16,0.20,0.20,0.20,0.20,1000,0.20
2015-10-15,0.20,0.20,0.20,0.20,000,0.20
2015-10-14,0.19,0.20,0.19,0.20,18000,0.20
2015-10-13,0.19,0.19,0.19,0.19,4000,0.19
2015-10-09,0.20,0.20,0.17,0.18,25900,0.18
2015-10-08,0.20,0.20,0.20,0.20,500,0.20
2015-10-07,0.17,0.17,0.17,0.17,000,0.17
2015-10-06,0.17,0.17,0.17,0.17,19500,0.17
2015-10-05,0.18,0.18,0.18,0.18,1500,0.18
2015-10-02,0.18,0.19,0.18,0.19,12000,0.19
2015-10-01,0.19,0.19,0.19,0.19,3200,0.19
2015-09-30,0.20,0.21,0.20,0.20,11000,0.20
2015-09-29,0.17,0.20,0.17,0.20,4000,0.20
2015-09-28,0.19,0.19,0.19,0.19,24000,0.19
2015-09-25,0.16,0.19,0.16,0.19,18200,0.19
2015-09-24,0.19,0.19,0.19,0.19,2000,0.19
2015-09-23,0.19,0.19,0.19,0.19,15000,0.19
2015-09-22,0.20,0.20,0.19,0.19,11500,0.19
2015-09-21,0.20,0.20,0.20,0.20,1500,0.20
2015-09-18,0.20,0.20,0.19,0.20,12000,0.20
2015-09-17,0.20,0.20,0.20,0.20,5500,0.20
2015-09-16,0.20,0.20,0.20,0.20,25000,0.20
2015-09-15,0.20,0.20,0.20,0.20,1000,0.20
2015-09-14,0.20,0.20,0.20,0.20,000,0.20
2015-09-11,0.21,0.21,0.21,0.21,000,0.21
2015-09-10,0.20,0.21,0.20,0.21,4500,0.21
2015-09-09,0.20,0.20,0.20,0.20,000,0.20
2015-09-08,0.20,0.20,0.20,0.20,000,0.20
2015-09-04,0.20,0.20,0.20,0.20,000,0.20
2015-09-03,0.20,0.20,0.20,0.20,5400,0.20
2015-09-02,0.22,0.22,0.20,0.20,17500,0.20
2015-09-01,0.22,0.22,0.22,0.22,000,0.22
2015-08-31,0.22,0.22,0.22,0.22,7700,0.22
2015-08-28,0.22,0.22,0.22,0.22,1000,0.22
2015-08-27,0.20,0.20,0.20,0.20,10500,0.20
2015-08-26,0.22,0.22,0.22,0.22,2500,0.22
2015-08-25,0.22,0.22,0.22,0.22,1000,0.22
2015-08-24,0.22,0.22,0.22,0.22,2000,0.22
2015-08-21,0.20,0.22,0.19,0.22,37500,0.22
2015-08-20,0.21,0.22,0.21,0.22,11500,0.22
2015-08-19,0.22,0.22,0.22,0.22,1000,0.22
2015-08-18,0.23,0.24,0.23,0.24,2000,0.24
2015-08-17,0.23,0.23,0.22,0.22,8500,0.22
2015-08-14,0.22,0.23,0.22,0.23,21500,0.23
2015-08-13,0.23,0.23,0.23,0.23,5000,0.23
2015-08-12,0.23,0.23,0.22,0.22,7000,0.22
2015-08-11,0.23,0.24,0.21,0.23,26400,0.23
2015-08-10,0.24,0.24,0.24,0.24,000,0.24
2015-08-07,0.24,0.24,0.24,0.24,2000,0.24
2015-08-06,0.22,0.24,0.22,0.24,3700,0.24
2015-08-05,0.23,0.24,0.23,0.24,5000,0.24
2015-08-04,0.23,0.24,0.23,0.23,7000,0.23
2015-07-31,0.24,0.25,0.23,0.24,31000,0.24
2015-07-30,0.24,0.24,0.24,0.24,2500,0.24
2015-07-29,0.24,0.24,0.23,0.24,8500,0.24
2015-07-28,0.24,0.24,0.24,0.24,5000,0.24
2015-07-27,0.23,0.24,0.23,0.24,8300,0.24
2015-07-24,0.23,0.23,0.23,0.23,000,0.23
2015-07-23,0.24,0.24,0.24,0.24,2500,0.24
2015-07-22,0.23,0.25,0.23,0.25,23500,0.25
2015-07-21,0.23,0.23,0.23,0.23,1000,0.23
2015-07-20,0.22,0.23,0.21,0.23,5500,0.23
2015-07-17,0.23,0.23,0.23,0.23,1000,0.23
2015-07-16,0.23,0.23,0.23,0.23,2500,0.23
2015-07-15,0.23,0.23,0.22,0.23,6500,0.23
2015-07-14,0.23,0.23,0.23,0.23,9800,0.23
2015-07-13,0.23,0.23,0.23,0.23,4500,0.23
2015-07-10,0.21,0.21,0.21,0.21,66500,0.21
2015-07-09,0.23,0.23,0.23,0.23,2500,0.23
2015-07-08,0.23,0.23,0.21,0.21,16000,0.21
2015-07-07,0.25,0.25,0.25,0.25,4500,0.25
2015-07-06,0.25,0.25,0.25,0.25,500,0.25
2015-07-03,0.23,0.24,0.23,0.24,9000,0.24
2015-07-02,0.22,0.22,0.22,0.22,000,0.22
2015-06-30,0.22,0.22,0.22,0.22,500,0.22
2015-06-29,0.22,0.22,0.22,0.22,000,0.22
2015-06-26,0.22,0.22,0.22,0.22,19500,0.22
2015-06-25,0.22,0.22,0.22,0.22,5000,0.22
2015-06-24,0.21,0.21,0.21,0.21,4000,0.21
2015-06-23,0.23,0.23,0.23,0.23,000,0.23
2015-06-22,0.23,0.23,0.23,0.23,2500,0.23
2015-06-19,0.22,0.23,0.22,0.23,10000,0.23
2015-06-18,0.24,0.24,0.18,0.20,46400,0.20
2015-06-17,0.23,0.24,0.23,0.24,4000,0.24
2015-06-16,0.23,0.23,0.21,0.21,4500,0.21
2015-06-15,0.23,0.23,0.20,0.20,2000,0.20
2015-06-12,0.20,0.20,0.20,0.20,000,0.20
2015-06-11,0.22,0.22,0.22,0.22,000,0.22
2015-06-10,0.21,0.23,0.21,0.22,41000,0.22
2015-06-09,0.22,0.22,0.22,0.22,7000,0.22
2015-06-08,0.22,0.25,0.20,0.21,111500,0.21
2015-06-05,0.22,0.24,0.22,0.24,20000,0.24
2015-06-04,0.24,0.24,0.22,0.23,40000,0.23
2015-06-03,0.24,0.25,0.23,0.23,5500,0.23
2015-06-02,0.25,0.25,0.24,0.24,5600,0.24
2015-06-01,0.25,0.25,0.24,0.24,7000,0.24
2015-05-29,0.25,0.25,0.25,0.25,15000,0.25
2015-05-28,0.25,0.25,0.25,0.25,000,0.25
2015-05-27,0.24,0.24,0.24,0.24,000,0.24
2015-05-26,0.24,0.24,0.24,0.24,000,0.24
2015-05-25,0.24,0.24,0.24,0.24,000,0.24
2015-05-22,0.25,0.25,0.24,0.24,38000,0.24
2015-05-21,0.25,0.25,0.23,0.23,7000,0.23
2015-05-20,0.25,0.25,0.25,0.25,000,0.25
2015-05-19,0.25,0.25,0.25,0.25,2000,0.25
2015-05-18,0.24,0.24,0.24,0.24,000,0.24
2015-05-15,0.24,0.24,0.24,0.24,000,0.24
2015-05-14,0.24,0.24,0.24,0.24,20000,0.24
2015-05-13,0.23,0.23,0.23,0.23,000,0.23
2015-05-12,0.23,0.24,0.22,0.23,34500,0.23
2015-05-11,0.24,0.24,0.24,0.24,2500,0.24
2015-05-08,0.24,0.24,0.24,0.24,13500,0.24
2015-05-07,0.23,0.23,0.23,0.23,000,0.23
2015-05-06,0.24,0.24,0.23,0.23,46000,0.23
2015-05-05,0.24,0.25,0.23,0.24,17100,0.24
2015-05-04,0.22,0.22,0.22,0.22,000,0.22
2015-05-01,0.22,0.22,0.22,0.22,1000,0.22
2015-04-30,0.23,0.23,0.23,0.23,10000,0.23
2015-04-29,0.24,0.24,0.24,0.24,5000,0.24
2015-04-28,0.23,0.24,0.22,0.24,75500,0.24
2015-04-27,0.23,0.23,0.23,0.23,3500,0.23
2015-04-24,0.22,0.22,0.22,0.22,000,0.22
2015-04-23,0.22,0.22,0.22,0.22,000,0.22
2015-04-22,0.22,0.22,0.22,0.22,3000,0.22
2015-04-21,0.22,0.22,0.22,0.22,2000,0.22
2015-04-20,0.22,0.22,0.22,0.22,2500,0.22
2015-04-17,0.22,0.22,0.22,0.22,000,0.22
2015-04-16,0.21,0.22,0.18,0.22,33500,0.22
2015-04-15,0.22,0.22,0.22,0.22,15500,0.22
2015-04-14,0.21,0.22,0.21,0.22,24000,0.22
2015-04-13,0.22,0.22,0.22,0.22,13000,0.22
2015-04-10,0.22,0.22,0.22,0.22,7000,0.22
2015-04-09,0.22,0.22,0.22,0.22,5000,0.22
2015-04-08,0.20,0.22,0.19,0.22,24000,0.22
2015-04-07,0.22,0.22,0.20,0.20,60500,0.20
2015-04-06,0.23,0.23,0.23,0.23,4500,0.23
2015-04-02,0.23,0.23,0.23,0.23,5500,0.23
2015-04-01,0.24,0.24,0.22,0.22,5500,0.22
2015-03-31,0.25,0.25,0.22,0.23,55900,0.23
2015-03-30,0.25,0.25,0.25,0.25,5000,0.25
2015-03-27,0.23,0.25,0.22,0.25,29000,0.25
2015-03-26,0.26,0.26,0.20,0.24,68000,0.24
2015-03-25,0.26,0.26,0.26,0.26,5000,0.26
2015-03-24,0.25,0.25,0.25,0.25,000,0.25
2015-03-23,0.23,0.23,0.23,0.23,000,0.23
2015-03-20,0.27,0.27,0.23,0.23,14200,0.23
2015-03-19,0.26,0.26,0.25,0.26,30000,0.26
2015-03-18,0.25,0.27,0.25,0.26,29500,0.26
2015-03-17,0.23,0.24,0.22,0.24,4500,0.24
2015-03-16,0.24,0.24,0.24,0.24,2000,0.24
2015-03-13,0.24,0.24,0.24,0.24,3000,0.24
2015-03-12,0.23,0.24,0.23,0.24,15100,0.24
2015-03-11,0.25,0.25,0.25,0.25,500,0.25
2015-03-10,0.23,0.25,0.23,0.25,86000,0.25
2015-03-09,0.24,0.25,0.24,0.25,8000,0.25
2015-03-06,0.25,0.25,0.23,0.25,10000,0.25
2015-03-05,0.26,0.26,0.26,0.26,4500,0.26
2015-03-04,0.23,0.25,0.23,0.25,61000,0.25
2015-03-03,0.25,0.25,0.25,0.25,12000,0.25
2015-03-02,0.23,0.25,0.22,0.25,26000,0.25
2015-02-27,0.24,0.27,0.23,0.26,113500,0.26
2015-02-26,0.24,0.27,0.24,0.27,63400,0.27
2015-02-25,0.27,0.27,0.27,0.27,10000,0.27
2015-02-24,0.27,0.27,0.27,0.27,12000,0.27
2015-02-23,0.25,0.28,0.23,0.28,19300,0.28
2015-02-20,0.27,0.27,0.27,0.27,5100,0.27
2015-02-19,0.27,0.27,0.27,0.27,21000,0.27
2015-02-18,0.28,0.28,0.28,0.28,2000,0.28
2015-02-17,0.28,0.28,0.28,0.28,500,0.28
2015-02-13,0.28,0.28,0.28,0.28,4500,0.28
2015-02-12,0.25,0.29,0.25,0.27,53000,0.27
2015-02-11,0.24,0.26,0.24,0.26,109200,0.26
2015-02-10,0.26,0.26,0.26,0.26,5000,0.26
2015-02-09,0.25,0.25,0.25,0.25,15000,0.25
