Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.90,1.91,1.87,1.90,40900,1.90
2016-03-31,1.96,1.96,1.89,1.93,6200,1.93
2016-03-30,1.82,1.94,1.78,1.94,73200,1.94
2016-03-29,1.78,1.81,1.76,1.78,40600,1.78
2016-03-28,1.80,1.87,1.79,1.79,14800,1.79
2016-03-24,1.80,1.87,1.80,1.86,3700,1.86
2016-03-23,1.88,1.89,1.79,1.88,21300,1.88
2016-03-22,1.85,1.92,1.85,1.92,15300,1.92
2016-03-21,1.80,1.90,1.80,1.85,172200,1.85
2016-03-18,1.78,1.81,1.76,1.80,12700,1.80
2016-03-17,1.80,1.80,1.76,1.79,35300,1.767
2016-03-16,1.64,1.70,1.64,1.70,32400,1.678156
2016-03-15,1.60,1.68,1.58,1.64,37400,1.618927
2016-03-14,1.69,1.71,1.62,1.63,21100,1.609056
2016-03-11,1.66,1.70,1.65,1.68,9200,1.658413
2016-03-10,1.63,1.63,1.61,1.61,12800,1.589313
2016-03-09,1.60,1.64,1.57,1.60,20200,1.579441
2016-03-08,1.59,1.61,1.59,1.60,25200,1.579441
2016-03-07,1.61,1.64,1.60,1.62,36100,1.599184
2016-03-04,1.63,1.67,1.61,1.61,60500,1.589313
2016-03-03,1.49,1.62,1.49,1.61,70900,1.589313
2016-03-02,1.47,1.50,1.47,1.48,7800,1.460983
2016-03-01,1.45,1.47,1.43,1.47,5500,1.451112
2016-02-29,1.46,1.46,1.44,1.45,10000,1.431369
2016-02-26,1.43,1.45,1.43,1.45,5800,1.431369
2016-02-25,1.48,1.48,1.45,1.47,12000,1.451112
2016-02-24,1.47,1.47,1.42,1.42,7300,1.401754
2016-02-23,1.45,1.48,1.42,1.45,14200,1.431369
2016-02-22,1.44,1.50,1.44,1.48,17200,1.460983
2016-02-19,1.43,1.45,1.41,1.45,32800,1.431369
2016-02-18,1.35,1.41,1.35,1.40,13800,1.382011
2016-02-17,1.28,1.34,1.27,1.34,68700,1.322782
2016-02-16,1.35,1.38,1.27,1.27,17000,1.253682
2016-02-12,1.29,1.33,1.29,1.30,51000,1.283296
2016-02-11,1.26,1.27,1.24,1.25,92400,1.233939
2016-02-10,1.25,1.26,1.25,1.25,4600,1.233939
2016-02-09,1.30,1.30,1.27,1.28,83900,1.263553
2016-02-08,1.36,1.37,1.29,1.30,16800,1.283296
2016-02-05,1.38,1.38,1.35,1.38,16200,1.362268
2016-02-04,1.39,1.41,1.37,1.39,25700,1.37214
2016-02-03,1.31,1.35,1.31,1.35,11600,1.332654
2016-02-02,1.28,1.29,1.25,1.25,6700,1.233939
2016-02-01,1.35,1.36,1.29,1.32,17600,1.303039
2016-01-29,1.34,1.34,1.30,1.34,22700,1.322782
2016-01-28,1.27,1.30,1.23,1.30,28300,1.283296
2016-01-27,1.33,1.33,1.27,1.27,12500,1.253682
2016-01-26,1.22,1.34,1.20,1.34,22600,1.322782
2016-01-25,1.32,1.32,1.18,1.19,55700,1.17471
2016-01-22,1.38,1.38,1.32,1.32,30800,1.303039
2016-01-21,1.32,1.40,1.32,1.38,19000,1.362268
2016-01-20,1.19,1.32,1.19,1.31,67200,1.293168
2016-01-19,1.25,1.27,1.19,1.27,109400,1.253682
2016-01-15,1.41,1.41,1.26,1.26,72200,1.24381
