Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-04,8.889,8.889,8.889,8.889,000,8.769
2016-03-03,8.799,8.799,8.799,8.799,000,8.68
2016-03-02,8.781,8.781,8.781,8.781,000,8.662
2016-03-01,8.564,8.564,8.564,8.564,000,8.448
2016-02-29,8.492,8.748,8.492,8.748,000,8.63
2016-02-26,8.397,8.397,8.397,8.397,000,8.284
2016-02-25,8.175,8.175,8.175,8.175,000,8.065
2016-02-24,8.306,8.306,8.306,8.306,000,8.194
2016-02-23,8.446,8.446,8.446,8.446,000,8.332
2016-02-22,8.438,8.438,8.438,8.438,000,8.324
2016-02-19,8.459,8.459,8.459,8.459,000,8.345
2016-02-18,8.102,8.102,8.102,8.102,000,7.993
2016-02-17,7.772,7.772,7.772,7.772,000,7.667
2016-02-16,7.428,7.428,7.428,7.428,000,7.328
2016-02-15,7.36,7.36,7.36,7.36,000,7.261
2016-02-12,7.119,7.119,7.119,7.119,000,7.023
2016-02-11,7.296,7.296,7.296,7.296,000,7.198
2016-02-10,7.313,7.313,7.313,7.313,000,7.214
2016-02-09,7.445,7.445,7.445,7.445,000,7.344
2016-02-08,7.902,7.902,7.902,7.902,000,7.795
2016-02-05,7.665,7.665,7.665,7.665,000,7.562
2016-02-04,7.749,7.749,7.749,7.749,000,7.644
2016-02-03,7.696,7.696,7.696,7.696,000,7.592
2016-02-02,7.935,7.935,7.935,7.935,000,7.828
2016-02-01,8.077,8.077,8.077,8.077,000,7.968
2016-01-29,7.956,7.956,7.956,7.956,000,7.849
2016-01-28,8.08,8.08,8.08,8.08,000,7.971
2016-01-27,7.956,7.956,7.956,7.956,000,7.849
2016-01-26,7.841,7.841,7.841,7.841,000,7.735
2016-01-25,8.111,8.111,8.111,8.111,000,8.002
2016-01-22,8.24,8.24,8.24,8.24,000,8.129
2016-01-21,7.926,7.926,7.926,7.926,000,7.819
2016-01-20,7.794,7.794,7.794,7.794,000,7.689
2016-01-19,8.274,8.274,8.274,8.274,000,8.162
2016-01-18,8.196,8.196,8.196,8.196,000,8.085
2016-01-15,8.194,8.194,8.194,8.194,000,8.083
2016-01-14,8.468,8.468,8.468,8.468,000,8.354
2016-01-13,8.64,8.64,8.64,8.64,000,8.523
