Date,Open,High,Low,Close,Volume,Adj_Close
2016-01-25,43.669,43.669,43.669,43.669,000,43.669
2016-01-22,42.34,42.34,42.34,42.34,000,42.34
2016-01-21,41.811,41.811,41.811,41.811,000,41.811
2016-01-20,40.249,40.249,40.249,40.249,000,40.249
2016-01-19,40.72,40.72,40.72,40.72,000,40.72
2016-01-18,40.304,40.304,40.304,40.304,000,40.304
2016-01-15,40.959,40.959,40.959,40.959,000,40.959
2016-01-14,40.553,40.553,40.553,40.553,000,40.553
2016-01-13,41.54,41.54,41.54,41.54,000,41.54
2016-01-12,41.095,41.095,41.095,41.095,000,41.095
2016-01-11,40.099,40.099,40.099,40.099,000,40.099
2016-01-08,40.091,40.091,40.065,40.065,000,40.065
2016-01-07,40.745,40.745,40.238,40.238,300,40.238
2016-01-06,40.824,40.824,40.824,40.824,000,40.824
2016-01-05,40.555,41.181,40.555,41.181,100,41.181
2016-01-04,41.062,41.062,41.062,41.062,000,41.062
2016-01-01,41.698,41.698,41.698,41.698,000,41.698
2015-12-31,41.698,41.698,41.698,41.698,000,41.698
2015-12-30,41.698,41.698,41.698,41.698,000,41.698
2015-12-29,40.817,40.817,40.817,40.817,000,40.817
2015-12-28,41.029,41.029,41.029,41.029,000,41.029
2015-12-25,40.476,40.476,40.476,40.476,000,40.476
2015-12-24,40.476,40.476,40.476,40.476,000,40.476
2015-12-23,40.476,40.476,40.476,40.476,000,40.476
2015-12-22,40.35,40.35,40.35,40.35,000,40.35
2015-12-21,40.218,40.218,40.218,40.218,000,40.218
2015-12-18,41.90,41.90,41.90,41.90,300,41.90
2015-12-17,42.169,42.169,42.169,42.169,000,42.169
2015-12-16,41.323,41.323,41.323,41.323,000,41.323
2015-12-15,40.46,40.46,40.46,40.46,000,40.46
2015-12-14,41.035,41.035,41.035,41.035,000,41.035
2015-12-11,42.501,42.501,42.501,42.501,000,42.501
2015-12-10,41.297,41.297,41.297,41.297,000,41.297
2015-12-09,42.606,42.606,42.606,42.606,000,42.606
2015-12-08,42.908,42.908,42.908,42.908,000,42.908
2015-12-07,43.506,43.506,43.506,43.506,000,43.506
2015-12-04,42.678,42.678,42.678,42.678,000,42.678
2015-12-03,44.949,44.949,44.949,44.949,000,44.949
2015-12-02,45.261,45.261,45.261,45.261,000,45.261
2015-12-01,45.292,45.292,45.292,45.292,000,45.292
2015-11-30,44.965,44.965,44.965,44.965,000,44.965
2015-11-27,44.512,44.512,44.512,44.512,000,44.512
2015-11-26,44.582,44.582,44.582,44.582,000,44.582
2015-11-25,44.071,44.071,44.071,44.071,000,44.071
2015-11-24,44.289,44.289,44.289,44.289,000,44.289
2015-11-23,44.387,44.387,44.387,44.387,000,44.387
2015-11-20,43.929,43.929,43.929,43.929,000,43.929
2015-11-19,43.91,43.91,43.91,43.91,000,43.91
2015-11-18,43.479,43.479,43.479,43.479,000,43.479
2015-11-17,43.354,43.354,43.354,43.354,000,43.354
2015-11-16,42.581,42.581,42.581,42.581,000,42.581
2015-11-13,43.208,43.208,43.208,43.208,000,43.208
2015-11-12,43.838,43.838,43.838,43.838,000,43.838
2015-11-11,43.762,44.163,43.762,44.163,000,44.163
2015-11-10,44.23,44.23,44.23,44.23,000,44.23
2015-11-09,44.559,44.559,44.559,44.559,000,44.559
2015-11-06,43.505,43.505,43.505,43.505,000,43.505
2015-11-05,43.827,43.827,43.827,43.827,000,43.827
2015-11-04,43.188,43.188,43.188,43.188,000,43.188
2015-11-03,42.364,42.364,42.364,42.364,000,42.364
2015-11-02,42.241,42.241,42.241,42.241,000,42.241
2015-10-30,42.595,42.595,42.595,42.595,000,42.595
2015-10-29,43.134,43.134,43.049,43.049,000,43.049
2015-10-28,41.418,41.418,41.418,41.418,000,41.418
2015-10-27,41.98,41.98,41.98,41.98,000,41.98
2015-10-26,42.991,42.991,42.507,42.507,000,42.507
2015-10-23,42.343,42.343,42.343,42.343,000,42.343
2015-10-22,40.425,40.425,40.425,40.425,000,40.425
2015-10-21,40.743,40.743,40.743,40.743,000,40.743
2015-10-20,40.73,40.73,40.73,40.73,000,40.73
2015-10-19,40.435,40.435,40.435,40.435,000,40.435
2015-10-16,40.954,40.954,40.954,40.954,000,40.954
2015-10-15,39.705,39.705,39.705,39.705,000,39.705
2015-10-14,40.376,40.376,40.376,40.376,000,40.376
2015-10-13,41.296,41.296,41.296,41.296,000,41.296
2015-10-12,40.812,40.812,40.812,40.812,000,40.812
2015-10-09,40.821,40.821,40.821,40.821,000,40.821
2015-10-08,40.733,40.733,40.733,40.733,000,40.733
2015-10-07,40.171,40.171,40.171,40.171,000,40.171
2015-10-06,40.967,40.967,40.967,40.967,000,40.967
2015-10-05,39.569,39.569,39.569,39.569,000,39.569
2015-10-02,40.278,40.278,40.278,40.278,000,40.278
2015-10-01,40.266,40.266,40.266,40.266,000,40.266
2015-09-30,39.162,39.162,39.162,39.162,000,39.162
2015-09-29,38.794,38.794,38.794,38.794,000,38.794
2015-09-28,39.475,39.475,39.475,39.475,000,39.475
2015-09-25,39.461,39.461,39.461,39.461,000,39.461
2015-09-24,39.322,39.322,39.322,39.322,000,39.322
2015-09-23,39.187,39.187,39.187,39.187,000,39.187
2015-09-22,39.502,39.502,39.502,39.502,000,39.502
2015-09-21,38.499,38.499,38.499,38.499,000,38.499
2015-09-18,38.338,38.338,38.338,38.338,000,38.338
2015-09-17,38.75,38.75,38.75,38.75,000,38.75
2015-09-16,38.73,38.73,38.73,38.73,000,38.73
2015-09-15,38.16,38.16,38.16,38.16,000,38.16
2015-09-14,38.348,38.865,38.348,38.865,000,38.865
2015-09-11,38.378,38.378,38.378,38.378,000,38.378
2015-09-10,37.70,37.70,37.70,37.70,000,37.70
2015-09-09,38.95,38.95,38.95,38.95,000,38.95
2015-09-08,37.22,37.991,37.22,37.991,100,37.991
2015-09-07,37.387,37.387,37.387,37.387,000,37.387
2015-09-04,38.171,38.171,38.171,38.171,000,38.171
2015-09-03,38.168,39.20,38.168,38.857,400,38.857
2015-09-02,37.604,37.604,37.604,37.604,000,37.604
2015-09-01,38.618,38.618,38.618,38.618,000,38.618
2015-08-31,39.344,39.854,39.344,39.854,000,39.854
2015-08-28,39.202,39.202,39.202,39.202,000,39.202
2015-08-27,36.967,36.967,36.967,36.967,000,36.967
2015-08-26,36.029,36.029,36.029,36.029,000,36.029
2015-08-25,37.009,37.009,37.009,37.009,000,37.009
2015-08-24,36.173,36.173,36.173,36.173,000,36.173
2015-08-21,39.159,39.159,39.159,39.159,000,39.159
2015-08-20,38.641,38.641,38.641,38.641,000,38.641
2015-08-19,39.374,39.374,39.374,39.374,000,39.374
2015-08-18,39.382,39.382,39.382,39.382,000,39.382
2015-08-17,39.118,39.118,39.118,39.118,000,39.118
2015-08-14,38.654,38.654,38.654,38.654,000,38.654
2015-08-13,38.773,38.773,38.773,38.773,000,38.773
2015-08-12,38.739,38.739,38.739,38.739,000,38.739
2015-08-11,39.406,39.406,39.406,39.406,000,39.406
2015-08-10,39.204,39.204,39.204,39.204,000,39.204
2015-08-07,39.347,39.347,39.347,39.347,000,39.347
2015-08-06,39.706,39.706,39.706,39.706,000,39.706
2015-08-05,39.887,39.957,39.50,39.50,300,39.50
2015-08-04,39.576,39.576,39.576,39.576,000,39.576
2015-08-03,39.354,39.354,39.354,39.354,000,39.354
2015-07-31,39.125,39.125,39.125,39.125,000,39.125
2015-07-30,38.993,38.993,38.993,38.993,000,38.993
2015-07-29,38.726,38.726,38.726,38.726,000,38.726
2015-07-28,38.571,38.571,38.571,38.571,000,38.571
2015-07-27,39.61,39.61,39.61,39.61,000,39.61
2015-07-24,40.889,40.889,40.889,40.889,000,40.889
2015-07-23,38.349,38.349,38.349,38.349,000,38.349
2015-07-22,38.213,38.213,38.213,38.213,000,38.213
2015-07-21,38.693,38.693,38.693,38.693,000,38.693
2015-07-20,39.219,39.219,39.219,39.219,000,39.219
2015-07-17,39.721,39.721,39.721,39.721,000,39.721
2015-07-16,39.309,39.309,39.309,39.309,000,39.309
2015-07-15,39.325,39.325,39.325,39.325,000,39.325
2015-07-14,39.424,39.424,39.424,39.424,000,39.424
2015-07-13,38.923,38.923,38.923,38.923,000,38.923
2015-07-10,39.024,39.024,39.024,39.024,000,39.024
2015-07-09,39.087,39.087,39.087,39.087,000,39.087
2015-07-08,41.179,41.179,41.179,41.179,000,41.179
2015-07-07,41.587,41.587,41.587,41.587,000,41.587
2015-07-06,40.90,40.90,40.90,40.90,000,40.90
2015-07-03,41.573,41.573,41.573,41.573,000,41.573
2015-07-02,42.295,42.295,42.295,42.295,000,42.295
2015-07-01,42.258,42.258,42.258,42.258,000,42.258
2015-06-30,41.666,41.666,41.666,41.666,000,41.666
2015-06-29,41.757,41.757,41.757,41.757,000,41.757
2015-06-26,41.829,41.829,41.829,41.829,000,41.829
2015-06-25,41.386,41.386,41.386,41.386,000,41.386
2015-06-24,41.923,41.923,41.923,41.923,000,41.923
2015-06-23,41.773,41.773,41.773,41.773,000,41.773
2015-06-22,41.263,41.263,41.263,41.263,000,41.263
2015-06-19,41.62,41.62,41.62,41.62,000,41.62
2015-06-18,41.386,41.386,41.386,41.386,000,41.386
2015-06-17,42.007,42.007,42.007,42.007,000,42.007
2015-06-16,40.883,40.883,40.883,40.883,000,40.883
2015-06-15,41.36,41.36,41.36,41.36,000,41.36
2015-06-12,41.952,41.952,41.952,41.952,000,41.952
2015-06-11,41.705,41.705,41.705,41.705,000,41.705
2015-06-10,41.219,41.219,41.219,41.219,000,41.219
2015-06-09,41.719,41.719,41.719,41.719,000,41.719
2015-06-08,42.991,42.991,42.991,42.991,000,42.991
2015-06-05,42.53,42.53,42.53,42.53,000,42.53
2015-06-04,42.522,42.522,42.522,42.522,000,42.522
2015-06-03,42.625,42.625,42.625,42.625,000,42.625
2015-06-02,43.546,43.546,43.546,43.546,000,43.546
2015-06-01,42.996,42.996,42.996,42.996,000,42.996
2015-05-29,43.109,43.109,43.109,43.109,000,43.109
2015-05-28,43.204,43.662,43.204,43.662,000,43.662
2015-05-27,42.767,42.767,42.767,42.767,000,42.767
2015-05-26,41.024,42.70,40.578,42.70,800,42.70
2015-05-25,39.64,39.64,39.64,39.64,000,39.64
2015-05-22,39.64,39.64,39.64,39.64,000,39.64
2015-05-21,39.752,39.752,39.752,39.752,000,39.752
2015-05-20,40.281,40.281,40.281,40.281,000,40.281
2015-05-19,39.506,39.70,39.506,39.70,100,39.70
2015-05-18,38.781,38.781,38.781,38.781,000,38.781
