Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,18.99,18.99,18.99,18.00,15000,18.00
2016-03-31,17.51,20.00,17.01,17.50,50600,17.50
2016-03-30,18.76,19.99,18.76,18.75,53000,18.75
2016-03-29,20.50,20.50,19.00,19.50,13600,19.50
2016-03-28,19.50,19.50,19.50,19.50,000,19.50
2016-03-24,20.00,20.50,20.00,19.50,13500,19.50
2016-03-23,19.25,19.25,19.25,19.25,000,19.25
2016-03-22,18.60,20.00,18.60,19.25,20300,19.25
2016-03-21,18.665,18.665,18.665,19.25,15000,19.25
2016-03-18,19.025,19.025,18.665,19.25,23000,19.25
2016-03-17,19.025,19.025,19.025,19.25,1700,19.25
2016-03-16,19.025,20.00,19.025,19.25,7600,19.25
2016-03-15,19.25,19.25,19.25,19.25,000,19.25
2016-03-14,20.00,20.00,20.00,19.25,15000,19.25
2016-03-11,20.00,20.00,19.025,19.25,15200,19.25
2016-03-10,18.99,20.00,18.99,19.25,169500,19.25
2016-03-09,18.75,18.90,18.75,18.50,93500,18.50
2016-03-08,18.50,18.50,18.50,18.50,000,18.50
2016-03-07,18.74,18.74,18.74,18.50,60500,18.50
2016-03-04,18.75,18.75,18.75,18.50,10500,18.50
2016-03-03,18.10,19.00,18.10,18.50,25500,18.50
2016-03-02,18.80,18.80,18.10,18.50,23800,18.50
2016-03-01,18.10,18.10,18.10,18.50,3000,18.50
2016-02-29,18.80,18.80,18.10,18.50,2000,18.50
2016-02-26,18.50,18.80,18.80,18.50,7700,18.50
2016-02-25,18.00,18.80,18.50,18.50,52700,18.50
2016-02-24,18.00,18.40,18.40,18.00,57000,18.00
2016-02-23,21.50,21.00,18.40,18.00,18300,18.00
2016-02-22,21.50,20.25,20.25,21.50,1000,21.50
2016-02-19,22.25,22.25,22.25,21.50,20000,21.50
2016-02-18,21.50,21.50,21.50,21.50,000,21.50
2016-02-17,22.35,22.35,22.35,21.50,25000,21.50
2016-02-16,21.50,21.50,21.50,21.50,000,21.50
2016-02-15,21.50,21.50,21.50,21.50,000,21.50
2016-02-12,21.50,21.50,21.50,21.50,000,21.50
2016-02-11,21.50,21.50,21.50,21.50,000,21.50
2016-02-10,21.50,21.50,21.50,21.50,000,21.50
2016-02-09,21.50,21.50,21.50,21.50,000,21.50
2016-02-08,23.50,23.50,20.05,21.50,26600,21.50
2016-02-05,20.05,20.05,20.05,22.00,2000,22.00
2016-02-04,23.50,23.50,23.50,22.00,5000,22.00
2016-02-03,22.00,23.50,22.00,22.00,45900,22.00
2016-02-02,22.85,22.85,22.85,21.50,1900,21.50
2016-02-01,21.50,21.50,21.50,21.50,000,21.50
2016-01-29,21.50,21.50,21.50,21.50,000,21.50
2016-01-28,21.50,21.50,21.50,21.50,000,21.50
2016-01-27,22.00,23.00,20.00,21.50,132000,21.50
2016-01-26,22.05,22.05,22.05,22.00,10700,22.00
2016-01-25,25.00,25.00,23.00,24.00,6000,24.00
2016-01-22,23.00,26.00,23.00,24.50,61400,24.50
2016-01-21,23.25,23.25,21.50,24.00,87800,24.00
2016-01-20,27.80,27.80,23.25,25.00,50000,25.00
2016-01-19,26.80,28.00,24.20,26.00,94000,26.00
2016-01-18,22.05,25.40,22.05,24.50,16700,24.50
2016-01-15,20.95,24.70,20.95,24.00,98400,24.00
2016-01-14,21.00,21.00,21.00,20.00,1000,20.00
2016-01-13,18.21,20.985,18.21,20.00,48900,20.00
2016-01-12,18.15,21.00,18.00,21.00,16700,21.00
2016-01-11,19.90,19.90,19.90,19.50,5000,19.50
2016-01-08,18.10,18.10,18.10,19.00,1700,19.00
