Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,2.865,2.865,2.865,2.865,000,2.865
2015-03-31,2.867,2.867,2.867,2.867,000,2.867
2015-03-30,2.843,2.843,2.843,2.843,000,2.843
2015-03-27,2.896,2.896,2.896,2.896,000,2.896
2015-03-26,2.988,2.988,2.988,2.988,000,2.988
2015-03-25,2.949,2.949,2.949,2.949,000,2.949
2015-03-24,2.904,2.904,2.893,2.893,000,2.893
2015-03-23,2.847,2.847,2.847,2.847,000,2.847
2015-03-20,2.767,2.767,2.767,2.767,000,2.767
2015-03-19,2.735,2.735,2.735,2.735,000,2.735
2015-03-18,2.774,2.774,2.774,2.774,000,2.774
2015-03-17,2.767,2.767,2.767,2.767,000,2.767
2015-03-16,2.813,2.813,2.813,2.813,000,2.813
2015-03-13,2.806,2.806,2.806,2.806,000,2.806
2015-03-12,2.80,2.80,2.80,2.80,000,2.80
2015-03-11,2.767,2.767,2.767,2.767,000,2.767
2015-03-10,2.71,2.71,2.71,2.71,000,2.71
2015-03-09,2.751,2.751,2.751,2.751,000,2.751
2015-03-06,2.776,2.776,2.776,2.776,000,2.776
2015-03-05,2.799,2.799,2.799,2.799,000,2.799
2015-03-04,2.79,2.79,2.79,2.79,000,2.79
2015-03-03,2.783,2.783,2.783,2.783,000,2.783
2015-03-02,2.826,2.826,2.826,2.826,000,2.826
2015-02-27,2.852,2.852,2.852,2.852,000,2.852
2015-02-26,2.85,2.85,2.85,2.85,000,2.85
2015-02-25,2.814,2.814,2.814,2.814,000,2.814
2015-02-24,2.828,2.828,2.828,2.828,000,2.828
2015-02-23,2.742,2.742,2.742,2.742,000,2.742
2015-02-20,2.725,2.725,2.725,2.725,000,2.725
2015-02-19,2.797,2.797,2.797,2.797,000,2.797
2015-02-18,2.798,2.798,2.798,2.798,000,2.798
2015-02-17,2.812,2.812,2.812,2.812,000,2.812
2015-02-16,2.80,2.80,2.80,2.80,000,2.80
2015-02-13,2.757,2.757,2.757,2.757,000,2.757
2015-02-12,2.764,2.764,2.764,2.764,000,2.764
2015-02-11,2.826,2.826,2.826,2.826,000,2.826
2015-02-10,2.859,2.859,2.859,2.859,000,2.859
2015-02-09,2.86,2.86,2.86,2.86,000,2.86
2015-02-06,2.77,2.77,2.77,2.77,000,2.77
2015-02-05,2.813,2.813,2.813,2.813,000,2.813
2015-02-04,2.804,2.804,2.804,2.804,000,2.804
2015-02-03,2.704,2.704,2.704,2.704,000,2.704
2015-02-02,2.768,2.768,2.768,2.768,000,2.768
2015-01-30,2.724,2.724,2.724,2.724,000,2.724
2015-01-29,2.742,2.742,2.742,2.742,000,2.742
2015-01-28,2.723,2.723,2.723,2.723,000,2.723
2015-01-27,2.712,2.712,2.712,2.712,000,2.712
2015-01-26,2.677,2.677,2.677,2.677,000,2.677
2015-01-23,2.692,2.692,2.692,2.692,000,2.692
2015-01-22,2.526,2.526,2.526,2.526,000,2.526
2015-01-21,2.487,2.487,2.487,2.487,000,2.487
2015-01-20,2.562,2.562,2.562,2.562,000,2.562
2015-01-19,2.547,2.547,2.547,2.547,000,2.547
2015-01-16,2.492,2.492,2.492,2.492,000,2.492
2015-01-15,2.505,2.505,2.505,2.505,000,2.505
2015-01-14,2.504,2.504,2.504,2.504,000,2.504
2015-01-13,2.558,2.558,2.558,2.558,000,2.558
2015-01-12,2.623,2.623,2.623,2.623,000,2.623
2015-01-09,2.612,2.612,2.612,2.612,000,2.612
2015-01-08,2.66,2.66,2.66,2.66,000,2.66
2015-01-07,2.647,2.65,2.647,2.65,000,2.65
2015-01-06,2.693,2.693,2.693,2.693,000,2.693
2015-01-05,2.808,2.808,2.808,2.808,000,2.808
2015-01-02,2.712,2.712,2.712,2.712,000,2.712
2015-01-01,2.704,2.704,2.704,2.704,000,2.704
2014-12-31,2.704,2.704,2.704,2.704,000,2.704
2014-12-30,2.704,2.704,2.704,2.704,000,2.704
2014-12-29,2.725,2.725,2.725,2.725,000,2.725
2014-12-26,2.719,2.719,2.719,2.719,000,2.719
2014-12-25,2.719,2.719,2.719,2.719,000,2.719
2014-12-24,2.719,2.719,2.719,2.719,000,2.719
2014-12-23,2.719,2.719,2.719,2.719,000,2.719
2014-12-22,2.742,2.742,2.742,2.742,000,2.742
2014-12-19,2.698,2.698,2.698,2.698,000,2.698
2014-12-18,2.727,2.727,2.727,2.727,000,2.727
2014-12-17,2.534,2.646,2.534,2.646,000,2.646
2014-12-16,2.414,2.414,2.414,2.414,000,2.414
2014-12-15,2.468,2.468,2.468,2.468,000,2.468
2014-12-12,2.487,2.487,2.487,2.487,000,2.487
2014-12-11,2.497,2.497,2.497,2.497,000,2.497
2014-12-10,2.545,2.545,2.544,2.544,000,2.544
2014-12-09,2.617,2.617,2.617,2.617,000,2.617
2014-12-08,2.63,2.63,2.592,2.592,5000,2.592
2014-12-05,2.675,2.675,2.675,2.675,000,2.675
2014-12-04,2.714,2.714,2.714,2.714,000,2.714
2014-12-03,2.646,2.646,2.646,2.646,000,2.646
2014-12-02,2.611,2.611,2.611,2.611,000,2.611
2014-12-01,2.60,2.60,2.60,2.60,000,2.60
2014-11-28,2.687,2.687,2.687,2.687,000,2.687
2014-11-27,2.638,2.638,2.638,2.638,000,2.638
2014-11-26,2.686,2.686,2.686,2.686,000,2.686
2014-11-25,2.641,2.641,2.641,2.641,000,2.641
2014-11-24,2.591,2.591,2.591,2.591,000,2.591
2014-11-21,2.567,2.567,2.567,2.567,000,2.567
2014-11-20,2.477,2.477,2.477,2.477,000,2.477
2014-11-19,2.469,2.469,2.469,2.469,000,2.469
2014-11-18,2.527,2.527,2.527,2.527,000,2.527
2014-11-17,2.521,2.521,2.521,2.521,000,2.521
2014-11-14,2.616,2.616,2.616,2.616,000,2.616
2014-11-13,2.608,2.608,2.608,2.608,000,2.608
2014-11-12,2.588,2.588,2.588,2.588,000,2.588
2014-11-11,2.58,2.58,2.58,2.58,000,2.58
2014-11-10,2.562,2.562,2.562,2.562,000,2.562
2014-11-07,2.497,2.497,2.497,2.497,000,2.497
2014-11-06,2.448,2.448,2.448,2.448,000,2.448
2014-11-05,2.521,2.521,2.521,2.521,000,2.521
2014-11-04,2.562,2.562,2.562,2.562,000,2.562
2014-11-03,2.59,2.59,2.59,2.59,000,2.59
2014-10-31,2.608,2.608,2.608,2.608,000,2.608
2014-10-30,2.561,2.561,2.561,2.561,000,2.561
2014-10-29,2.608,2.608,2.608,2.608,000,2.608
2014-10-28,2.527,2.527,2.527,2.527,000,2.527
2014-10-27,2.576,2.576,2.576,2.576,000,2.576
2014-10-24,2.585,2.585,2.585,2.585,000,2.585
2014-10-23,2.464,2.464,2.464,2.464,000,2.464
2014-10-22,2.478,2.478,2.478,2.478,000,2.478
2014-10-21,2.421,2.421,2.421,2.421,000,2.421
2014-10-20,2.546,2.546,2.546,2.546,000,2.546
2014-10-17,2.428,2.428,2.428,2.428,000,2.428
2014-10-16,2.455,2.455,2.455,2.455,000,2.455
2014-10-15,2.595,2.595,2.595,2.595,000,2.595
2014-10-14,2.606,2.606,2.606,2.606,000,2.606
2014-10-13,2.59,2.59,2.59,2.59,000,2.59
2014-10-10,2.564,2.564,2.564,2.564,000,2.564
2014-10-09,2.613,2.613,2.613,2.613,000,2.613
2014-10-08,2.702,2.702,2.702,2.702,000,2.702
2014-10-07,2.717,2.717,2.717,2.717,000,2.717
2014-10-06,2.829,2.829,2.829,2.829,000,2.829
2014-10-03,2.752,2.752,2.752,2.752,000,2.752
2014-10-02,2.815,2.815,2.815,2.815,000,2.815
2014-10-01,2.915,2.915,2.915,2.915,000,2.915
2014-09-30,2.954,2.954,2.954,2.954,000,2.954
2014-09-29,2.994,2.994,2.994,2.994,000,2.994
2014-09-26,2.979,2.979,2.979,2.979,000,2.979
2014-09-25,2.977,2.977,2.977,2.977,000,2.977
2014-09-24,2.96,2.96,2.96,2.96,000,2.96
2014-09-23,2.949,2.949,2.949,2.949,000,2.949
2014-09-22,2.941,2.941,2.941,2.941,000,2.941
2014-09-19,2.987,2.987,2.987,2.987,000,2.987
2014-09-18,3.014,3.014,3.014,3.014,000,3.014
2014-09-17,3.025,3.025,3.025,3.025,000,3.025
2014-09-16,3.063,3.063,3.063,3.063,000,3.063
2014-09-15,3.152,3.152,3.152,3.152,000,3.152
2014-09-12,3.16,3.16,3.16,3.16,000,3.16
2014-09-11,3.17,3.17,3.17,3.17,000,3.17
2014-09-10,3.139,3.139,3.139,3.139,000,3.139
2014-09-09,3.252,3.252,3.252,3.252,000,3.252
2014-09-08,3.214,3.214,3.214,3.214,000,3.214
2014-09-05,3.193,3.193,3.193,3.193,000,3.193
2014-09-04,3.192,3.192,3.192,3.192,000,3.192
2014-09-03,3.249,3.249,3.249,3.249,000,3.249
2014-09-02,3.279,3.279,3.279,3.279,000,3.279
2014-09-01,3.226,3.226,3.226,3.226,000,3.226
2014-08-29,3.173,3.173,3.173,3.173,000,3.173
2014-08-28,3.24,3.24,3.24,3.24,000,3.24
2014-08-27,3.259,3.259,3.259,3.259,000,3.259
2014-08-26,3.23,3.23,3.23,3.23,000,3.23
2014-08-25,3.236,3.236,3.236,3.236,000,3.236
2014-08-22,3.228,3.228,3.228,3.228,000,3.228
2014-08-21,3.291,3.291,3.291,3.291,000,3.291
2014-08-20,3.285,3.285,3.285,3.285,000,3.285
2014-08-19,3.364,3.364,3.364,3.364,000,3.364
2014-08-18,3.204,3.204,3.204,3.204,000,3.204
2014-08-15,3.255,3.255,3.255,3.255,000,3.255
2014-08-14,3.30,3.30,3.30,3.30,000,3.30
2014-08-13,3.301,3.301,3.301,3.301,000,3.301
2014-08-12,3.205,3.205,3.205,3.205,000,3.205
2014-08-11,3.115,3.115,3.115,3.115,000,3.115
2014-08-08,3.399,3.399,3.399,3.399,000,3.399
2014-08-07,3.513,3.513,3.513,3.513,000,3.513
2014-08-06,3.35,3.35,3.35,3.35,000,3.35
2014-08-05,3.495,3.495,3.495,3.495,000,3.495
2014-08-04,3.548,3.548,3.548,3.548,000,3.548
2014-08-01,3.498,3.498,3.498,3.498,000,3.498
2014-07-31,3.492,3.492,3.492,3.492,000,3.492
2014-07-30,3.55,3.55,3.55,3.55,000,3.55
2014-07-29,3.533,3.533,3.533,3.533,000,3.533
2014-07-28,3.525,3.525,3.525,3.525,000,3.525
2014-07-25,3.489,3.489,3.489,3.489,000,3.489
