Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,36.85,36.85,35.10,35.10,600,35.10
2016-03-31,35.50,36.47,35.50,36.47,000,36.47
2016-03-30,36.46,36.60,36.00,36.35,300,36.35
2016-03-29,36.69,36.69,36.69,36.69,000,36.69
2016-03-28,36.69,36.69,36.69,36.69,000,36.69
2016-03-25,36.69,36.69,36.69,36.69,000,36.69
2016-03-24,36.69,36.69,36.69,36.69,000,36.69
2016-03-23,36.69,36.69,36.69,36.69,000,36.69
2016-03-22,35.26,35.90,35.11,35.90,200,35.90
2016-03-21,36.99,36.99,36.99,36.99,000,36.99
2016-03-18,36.98,36.99,36.98,36.99,000,36.99
2016-03-17,37.09,37.09,36.99,36.99,000,36.99
2016-03-16,36.49,37.09,36.49,37.08,100,37.08
2016-03-15,36.39,36.50,36.39,36.50,100,36.50
2016-03-14,36.47,36.47,36.47,36.47,300,36.47
2016-03-11,35.20,36.48,34.51,34.51,000,34.51
2016-03-10,34.56,34.56,34.50,34.50,100,34.50
2016-03-09,36.49,36.50,34.01,34.55,400,34.55
2016-03-08,36.19,36.50,36.19,36.50,100,36.50
2016-03-07,34.65,36.50,34.65,36.19,700,36.19
2016-03-04,34.70,34.70,34.02,34.06,100,34.06
2016-03-03,35.00,35.00,35.00,35.00,000,35.00
2016-03-02,35.00,35.00,34.79,35.00,100,35.00
2016-03-01,35.07,35.08,33.70,33.70,100,33.70
2016-02-29,33.61,35.08,33.57,35.07,100,35.07
2016-02-26,34.50,35.09,34.50,35.09,200,35.09
2016-02-25,34.00,34.00,34.00,34.00,000,34.00
2016-02-24,33.91,33.91,33.90,33.91,000,33.91
2016-02-23,36.00,36.00,33.70,33.70,400,33.70
2016-02-22,33.57,35.23,33.57,35.22,700,35.22
2016-02-19,36.45,36.45,36.45,36.45,000,36.45
2016-02-18,36.48,36.48,36.45,36.45,000,36.45
2016-02-17,33.62,36.47,33.30,36.47,300,36.47
2016-02-16,33.61,33.61,33.61,33.61,000,33.61
2016-02-15,35.00,35.00,33.30,33.61,200,33.61
2016-02-12,35.97,35.97,33.33,35.88,000,35.88
2016-02-11,35.98,35.98,35.98,35.98,000,35.98
2016-02-10,35.06,37.08,35.05,35.98,300,35.98
2016-02-09,36.41,36.41,33.37,35.03,100,35.03
2016-02-08,36.42,36.50,34.71,36.42,300,36.42
2016-02-05,36.97,36.97,36.39,36.50,400,36.50
2016-02-04,35.51,35.51,35.01,35.01,200,35.01
2016-02-03,35.92,36.98,35.52,35.52,000,35.52
2016-02-02,37.48,37.48,37.48,37.48,000,37.48
2016-02-01,37.79,37.79,37.48,37.48,200,37.48
2016-01-29,36.00,36.00,35.80,35.80,300,35.80
2016-01-28,36.32,36.32,36.20,36.20,100,36.20
2016-01-27,37.85,37.85,36.26,36.26,100,36.26
2016-01-26,36.11,36.12,36.10,36.10,000,36.10
2016-01-25,37.97,37.97,37.97,37.97,000,37.97
2016-01-22,36.50,37.99,36.50,37.99,100,37.99
2016-01-21,36.50,36.50,36.50,36.50,000,36.50
2016-01-20,36.65,37.00,35.50,35.52,600,35.52
2016-01-19,36.00,37.40,36.00,37.39,400,37.39
2016-01-18,39.60,39.60,39.60,39.60,000,39.60
2016-01-15,37.00,37.00,35.51,36.01,600,36.01
2016-01-14,37.05,37.05,37.00,37.00,400,37.00
2016-01-13,37.00,38.99,37.00,38.77,000,38.77
2016-01-12,37.50,37.59,36.80,36.80,900,36.80
2016-01-11,39.99,40.00,37.35,38.20,1300,38.20
2016-01-08,39.53,39.53,39.49,39.49,100,39.49
2016-01-07,38.60,38.60,38.11,38.16,000,38.16
2016-01-06,39.86,39.86,39.60,39.60,000,39.60
2016-01-05,38.60,39.87,38.60,39.87,000,39.87
2016-01-04,38.65,39.97,38.65,39.97,300,39.97
2016-01-01,39.80,39.80,39.80,39.80,000,39.80
2015-12-31,38.23,38.23,38.23,38.23,000,38.23
2015-12-30,38.53,39.80,38.51,39.80,300,39.80
2015-12-29,39.80,39.80,38.11,39.79,100,39.79
2015-12-28,38.25,39.60,38.25,39.47,200,39.47
2015-12-25,39.56,39.56,39.56,39.56,000,39.56
2015-12-24,38.21,39.60,38.21,39.56,100,39.56
2015-12-23,39.76,39.76,39.75,39.76,100,39.76
2015-12-22,39.78,39.78,39.77,39.77,000,39.77
2015-12-21,39.10,40.00,38.31,39.78,400,39.78
2015-12-18,40.00,40.84,39.96,39.96,200,39.96
2015-12-17,39.99,40.00,39.99,40.00,000,40.00
2015-12-16,40.89,40.89,40.89,40.89,000,40.89
2015-12-15,40.75,40.75,40.75,40.75,000,40.75
2015-12-14,40.00,40.00,40.00,40.00,000,40.00
2015-12-11,40.35,40.35,39.90,39.90,100,39.90
2015-12-10,40.32,40.32,40.11,40.11,100,40.11
2015-12-09,40.99,40.99,40.31,40.99,000,40.99
2015-12-08,40.32,40.37,40.32,40.37,200,40.37
2015-12-07,41.80,41.86,39.99,41.10,1300,41.10
2015-12-04,41.49,41.49,41.49,41.49,000,41.49
2015-12-03,41.49,41.49,41.49,41.49,000,41.49
2015-12-02,41.50,41.50,40.50,41.49,500,41.49
