Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,6.79,6.79,6.54,6.57,32200,6.57
2016-03-31,6.68,6.80,6.66,6.73,20100,6.73
2016-03-30,6.55,6.89,6.43,6.70,188900,6.70
2016-03-29,6.40,6.47,6.40,6.43,16200,6.43
2016-03-28,6.50,6.50,6.39,6.40,16800,6.40
2016-03-25,6.45,6.49,6.43,6.44,10300,6.44
2016-03-24,6.40,6.48,6.30,6.43,33500,6.43
2016-03-23,6.33,6.44,6.33,6.40,24100,6.40
2016-03-22,6.48,6.48,6.32,6.40,20600,6.40
2016-03-21,6.50,6.53,6.45,6.48,17300,6.48
2016-03-18,6.58,6.58,6.48,6.48,38000,6.48
2016-03-17,6.60,6.63,6.50,6.52,64400,6.52
2016-03-16,6.55,6.65,6.52,6.55,36900,6.55
2016-03-15,6.63,6.69,6.50,6.55,112100,6.55
2016-03-14,6.50,6.62,6.20,6.61,98200,6.61
2016-03-11,6.95,6.98,6.50,6.54,301900,6.54
2016-03-10,6.87,6.97,6.80,6.87,202300,6.87
2016-03-09,6.84,6.86,6.80,6.84,12300,6.84
2016-03-08,6.71,6.88,6.71,6.83,13300,6.83
2016-03-07,6.80,6.90,6.78,6.82,23500,6.82
2016-03-04,6.88,6.88,6.74,6.78,29100,6.78
2016-03-03,6.93,6.93,6.80,6.80,36500,6.80
2016-03-02,6.73,7.00,6.71,6.88,121700,6.88
2016-03-01,6.89,6.89,6.70,6.70,57600,6.70
2016-02-29,6.74,6.89,6.74,6.84,15900,6.84
2016-02-26,6.79,6.94,6.72,6.73,80600,6.73
2016-02-25,6.69,6.79,6.65,6.74,31600,6.74
2016-02-24,6.72,6.79,6.66,6.69,33700,6.69
2016-02-23,6.63,6.74,6.60,6.72,52600,6.72
2016-02-22,6.69,6.75,6.58,6.63,165100,6.63
2016-02-19,6.62,6.69,6.58,6.63,175300,6.63
2016-02-18,6.50,6.65,6.45,6.58,57200,6.58
2016-02-17,6.46,6.60,6.43,6.60,117000,6.60
2016-02-16,6.44,6.60,6.33,6.46,25400,6.46
2016-02-15,6.45,6.45,6.13,6.33,33900,6.33
2016-02-12,6.27,6.40,6.05,6.38,23500,6.38
2016-02-11,6.27,6.34,6.10,6.19,24400,6.19
2016-02-10,6.08,6.30,6.08,6.27,15900,6.27
2016-02-09,6.20,6.28,5.98,6.10,54800,6.10
2016-02-08,6.34,6.39,6.16,6.20,30100,6.20
2016-02-05,6.38,6.45,6.31,6.31,40700,6.31
2016-02-04,6.49,6.49,6.38,6.41,51300,6.41
2016-02-03,6.48,6.48,6.31,6.43,25100,6.43
2016-02-02,6.59,6.64,6.38,6.38,60300,6.38
2016-02-01,6.70,6.70,6.46,6.46,29900,6.46
2016-01-29,6.60,6.72,6.54,6.69,178800,6.69
2016-01-28,6.51,6.59,6.48,6.57,22400,6.57
2016-01-27,6.57,6.68,6.51,6.51,16900,6.51
2016-01-26,6.61,6.64,6.50,6.57,11300,6.57
2016-01-21,6.51,6.78,6.48,6.48,37000,6.48
2016-01-20,6.45,6.80,6.45,6.61,34400,6.61
2016-01-19,6.70,6.75,6.61,6.61,33400,6.61
2016-01-18,6.66,6.89,6.66,6.70,56900,6.70
2016-01-15,6.82,6.91,6.79,6.86,40100,6.86
2016-01-14,6.95,7.05,6.80,6.84,25500,6.84
2016-01-12,6.88,7.00,6.79,6.84,19100,6.84
2016-01-11,6.82,6.98,6.80,6.88,8300,6.88
2016-01-08,6.93,7.00,6.91,6.91,2100,6.91
2016-01-07,6.86,7.01,6.81,6.95,27500,6.95
2016-01-06,7.01,7.02,6.91,6.98,12900,6.98
2016-01-05,7.00,7.20,6.96,7.01,24100,7.01
2016-01-04,6.82,7.24,6.78,7.20,25400,7.20
2016-01-01,6.85,6.85,6.85,6.85,000,6.85
2015-12-31,7.03,7.08,6.85,6.85,11600,6.85
2015-12-30,7.01,7.10,7.00,7.03,6200,7.03
2015-12-29,7.00,7.10,7.00,7.01,9100,7.01
2015-12-28,7.11,7.15,7.08,7.11,7000,7.11
2015-12-25,7.09,7.14,6.99,7.12,33200,7.12
2015-12-24,7.15,7.15,7.06,7.09,16000,7.09
2015-12-23,7.06,7.15,7.05,7.10,27500,7.10
2015-12-22,7.13,7.15,7.05,7.06,8700,7.06
2015-12-21,7.14,7.20,7.09,7.13,4700,7.13
2015-12-18,7.09,7.13,7.06,7.09,12600,7.09
2015-12-17,7.20,7.20,7.08,7.13,19100,7.13
2015-12-16,7.06,7.21,7.01,7.08,66000,7.08
2015-12-15,6.80,7.10,6.76,7.06,48300,7.06
2015-12-14,6.87,6.95,6.50,6.79,103200,6.79
2015-12-11,7.12,7.12,6.77,6.86,24900,6.86
2015-12-10,7.15,7.15,6.95,7.09,35000,7.09
2015-12-09,7.12,7.18,7.01,7.16,30100,7.16
2015-12-08,7.11,7.24,6.98,7.12,59800,7.12
2015-12-07,7.24,7.25,7.00,7.20,37700,7.20
2015-12-04,7.11,7.15,6.97,7.15,29200,7.15
2015-12-03,7.17,7.17,7.05,7.05,35000,7.05
2015-12-02,7.28,7.31,7.03,7.17,47900,7.17
2015-12-01,7.05,7.34,7.02,7.05,261500,7.05
2015-11-27,7.01,7.08,7.00,7.01,7600,7.01
2015-11-26,6.97,7.07,6.97,6.97,12900,6.97
2015-11-25,7.01,7.17,6.99,7.01,25100,7.01
2015-11-24,6.97,7.15,6.92,6.97,51500,6.97
2015-11-23,7.26,7.34,7.16,7.26,15400,7.26
2015-11-20,7.36,7.46,7.36,7.36,8800,7.36
2015-11-19,7.40,7.53,7.40,7.42,53500,7.42
2015-11-18,7.38,7.52,7.35,7.38,220200,7.38
2015-11-17,7.15,7.26,7.13,7.26,140000,7.26
2015-11-16,7.00,7.00,6.95,6.95,26000,6.95
2015-11-13,7.15,7.17,7.12,7.15,69200,7.15
2015-11-12,6.81,7.15,6.81,7.10,320800,7.10
2015-11-11,6.61,6.64,6.49,6.57,43700,6.57
2015-11-10,6.54,6.72,6.54,6.61,105300,6.61
2015-11-09,6.49,6.50,6.40,6.49,35100,6.49
2015-11-06,6.30,6.45,5.90,6.45,118300,6.45
2015-11-05,6.25,6.26,6.21,6.21,31700,6.21
2015-11-04,6.38,6.39,6.25,6.30,88400,6.30
2015-11-03,6.37,6.39,6.35,6.37,18100,6.37
2015-11-02,6.30,6.40,6.30,6.30,63700,6.30
2015-10-30,6.27,6.27,6.20,6.27,11100,6.27
2015-10-29,6.25,6.25,6.25,6.25,000,6.25
2015-10-28,6.30,6.30,6.19,6.25,16400,6.25
2015-10-27,6.30,6.38,6.24,6.30,18400,6.30
2015-10-26,6.42,6.42,6.34,6.34,5100,6.34
2015-10-23,6.59,6.64,6.47,6.54,42300,6.54
2015-10-22,6.53,7.00,6.50,6.58,134100,6.58
2015-10-21,6.42,6.44,6.39,6.42,37800,6.42
2015-10-20,6.50,6.50,6.35,6.41,29300,6.41
2015-10-19,6.43,6.47,6.42,6.44,5800,6.44
2015-10-16,6.43,6.54,6.40,6.43,22200,6.43
2015-10-15,6.45,6.47,6.38,6.45,101400,6.45
2015-10-14,6.34,6.38,6.30,6.30,57100,6.30
2015-10-13,6.18,6.39,6.18,6.38,145100,6.38
2015-10-12,6.17,6.17,6.05,6.17,70000,6.17
2015-10-09,6.06,6.10,6.05,6.06,14400,6.06
2015-10-08,6.07,6.08,6.04,6.07,38400,6.07
2015-10-07,6.04,6.09,6.02,6.04,48800,6.04
2015-10-05,6.14,6.15,6.10,6.14,36900,6.14
2015-10-02,6.08,6.08,6.02,6.04,7200,6.04
2015-09-30,6.03,6.11,6.02,6.03,30800,6.03
2015-09-29,6.11,6.15,6.07,6.11,17900,6.11
2015-09-28,6.16,6.19,6.13,6.17,19600,6.17
2015-09-24,6.14,6.14,6.14,6.14,000,6.14
2015-09-23,6.20,6.22,6.14,6.14,77100,6.14
2015-09-22,6.14,6.17,6.12,6.14,162100,6.14
2015-09-21,6.12,6.20,6.12,6.16,96100,6.16
2015-09-18,6.18,6.21,6.12,6.18,15300,6.18
2015-09-17,6.12,6.27,6.12,6.12,92400,6.12
2015-09-16,6.23,6.32,6.23,6.23,17500,6.23
2015-09-15,6.24,6.24,6.16,6.24,22600,6.24
2015-09-14,6.25,6.27,6.15,6.15,13600,6.15
2015-09-11,6.29,6.36,6.28,6.29,21800,6.29
2015-09-10,6.28,6.30,6.20,6.28,36400,6.28
2015-09-09,6.22,6.26,6.21,6.22,25300,6.22
2015-09-08,6.25,6.25,6.20,6.20,29700,6.20
2015-09-07,6.26,6.28,6.21,6.26,22500,6.26
2015-09-04,6.18,6.21,6.13,6.14,19400,6.14
2015-09-03,6.05,6.08,6.03,6.05,11100,6.05
2015-09-02,6.08,6.10,6.04,6.04,15700,6.04
2015-09-01,6.14,6.14,5.96,6.05,41100,6.05
2015-08-31,6.20,6.24,6.19,6.20,12400,6.20
2015-08-28,6.21,6.30,6.18,6.21,6800,6.21
2015-08-27,6.23,6.27,6.18,6.23,20600,6.23
2015-08-26,6.38,6.40,6.28,6.29,32200,6.29
2015-08-25,6.13,6.22,6.09,6.20,21100,6.20
2015-08-24,6.11,6.12,5.90,5.90,37200,5.90
2015-08-21,6.12,6.20,6.06,6.20,33700,6.20
2015-08-20,6.17,6.22,6.10,6.17,56000,6.17
2015-08-19,6.43,6.43,6.26,6.29,25000,6.29
2015-08-18,6.21,6.28,6.20,6.25,31000,6.25
2015-08-17,6.16,6.20,6.10,6.18,15200,6.18
2015-08-14,6.33,6.39,6.29,6.39,57000,6.39
2015-08-13,6.28,6.32,6.05,6.28,49400,6.28
2015-08-12,6.34,6.40,6.30,6.34,11600,6.34
2015-08-11,6.35,6.39,6.34,6.36,54300,6.36
2015-08-10,6.22,6.28,6.15,6.24,34900,6.24
2015-08-07,6.56,6.60,6.46,6.50,17300,6.50
2015-08-06,6.58,6.72,6.58,6.58,66400,6.58
2015-08-05,6.54,6.59,6.50,6.54,54500,6.54
2015-08-04,6.56,6.60,6.34,6.56,303800,6.56
2015-08-03,6.23,6.45,6.22,6.23,48900,6.23
2015-07-31,6.45,6.45,6.27,6.45,323800,6.45
2015-07-30,6.25,6.31,6.17,6.30,123300,6.30
2015-07-29,6.02,6.10,6.00,6.02,32800,6.02
2015-07-28,6.03,6.07,6.00,6.03,30400,6.03
2015-07-27,6.03,6.10,6.00,6.03,29500,6.03
2015-07-24,5.95,6.04,5.93,6.01,51600,6.01
2015-07-23,6.09,6.16,5.91,6.00,205400,6.00
2015-07-22,6.01,6.17,5.99,6.08,172000,6.08
2015-07-21,5.68,5.99,5.68,5.93,583600,5.93
2015-07-20,5.58,5.59,5.51,5.57,63900,5.57
2015-07-17,5.56,5.56,5.56,5.56,000,5.56
2015-07-16,5.56,5.60,5.46,5.56,22400,5.56
2015-07-15,5.50,5.50,5.48,5.49,10500,5.49
2015-07-14,5.50,5.62,5.46,5.50,34700,5.50
2015-07-13,5.56,5.60,5.52,5.55,23500,5.55
2015-07-10,5.49,5.59,5.45,5.59,49200,5.59
2015-07-09,5.52,5.52,5.40,5.52,28900,5.52
2015-07-08,5.43,5.48,5.33,5.43,6400,5.43
2015-07-07,5.45,5.52,5.40,5.48,69600,5.48
2015-07-06,5.33,5.35,5.33,5.33,9900,5.33
2015-07-03,5.41,5.41,5.31,5.31,37000,5.31
2015-07-02,5.29,5.60,5.29,5.47,48100,5.47
2015-07-01,5.25,5.35,5.23,5.25,21200,5.25
2015-06-30,5.30,5.38,5.27,5.30,36900,5.30
2015-06-29,5.54,5.60,5.40,5.40,58900,5.40
2015-06-26,5.56,5.70,5.53,5.56,56000,5.56
2015-06-25,5.69,5.80,5.66,5.69,100100,5.69
2015-06-24,5.62,5.73,5.62,5.62,8500,5.62
2015-06-23,5.77,5.77,5.70,5.74,21700,5.74
2015-06-22,5.83,5.84,5.70,5.83,115000,5.83
2015-06-19,5.66,5.69,5.62,5.66,25300,5.66
2015-06-18,5.64,5.74,5.51,5.64,55200,5.64
2015-06-17,5.80,5.83,5.76,5.80,9800,5.80
2015-06-16,5.75,5.80,5.55,5.75,66000,5.75
2015-06-15,5.57,5.77,5.57,5.57,81000,5.57
2015-06-12,5.85,6.05,5.85,5.93,132600,5.93
2015-06-11,5.93,5.93,5.72,5.83,154700,5.83
2015-06-10,5.40,5.64,5.38,5.56,72500,5.56
2015-06-09,5.37,5.37,5.28,5.37,27600,5.37
2015-06-08,5.24,5.34,5.18,5.24,62100,5.24
2015-06-05,5.38,5.49,5.38,5.38,29700,5.38
2015-06-04,5.42,5.47,5.37,5.42,18100,5.42
2015-06-03,5.42,5.46,5.30,5.42,40600,5.42
2015-06-02,5.21,5.34,5.21,5.25,38500,5.25
2015-06-01,5.26,5.28,5.09,5.11,55600,5.11
2015-05-29,5.25,5.37,5.25,5.27,53600,5.27
2015-05-28,5.33,5.38,5.26,5.33,36300,5.33
2015-05-27,5.51,5.65,5.47,5.51,66300,5.51
2015-05-26,5.60,5.73,5.54,5.56,222000,5.56
2015-05-25,5.42,5.46,5.40,5.42,41300,5.42
2015-05-22,5.49,5.50,5.26,5.45,102000,5.45
2015-05-21,5.20,5.24,5.19,5.20,49800,5.20
2015-05-20,5.14,5.22,5.10,5.10,113200,5.10
2015-05-19,5.24,5.24,5.24,5.24,000,5.24
2015-05-18,5.24,5.34,5.16,5.24,60900,5.24
2015-05-15,5.06,5.30,5.04,5.30,235500,5.30
2015-05-14,5.05,5.06,5.03,5.05,259900,5.05
2015-05-13,5.02,5.03,4.97,5.02,124400,5.02
2015-05-12,4.82,4.92,4.82,4.84,148200,4.84
2015-05-11,4.67,4.69,4.60,4.60,48100,4.60
2015-05-08,4.60,4.65,4.57,4.61,49000,4.61
2015-05-07,4.64,4.64,4.60,4.62,17800,4.62
2015-05-06,4.65,4.69,4.59,4.65,98000,4.65
