Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.85,0.85,0.85,0.85,400,0.85
2016-03-31,0.98,0.98,0.98,0.98,000,0.98
2016-03-30,0.98,0.98,0.98,0.98,000,0.98
2016-03-29,0.96,0.98,0.80,0.98,1100,0.98
2016-03-28,0.95,0.98,0.95,0.98,1400,0.919
2016-03-24,0.99,1.00,0.98,1.00,1600,0.937755
2016-03-23,0.99,0.99,0.99,0.99,500,0.928378
2016-03-22,0.97,0.97,0.95,0.95,2000,0.890867
2016-03-21,0.95,0.95,0.95,0.95,1000,0.890867
2016-03-18,0.90,0.90,0.90,0.90,000,0.84398
2016-03-17,0.90,0.90,0.90,0.90,000,0.84398
2016-03-16,0.80,0.90,0.80,0.90,3500,0.84398
2016-03-15,0.74,0.74,0.74,0.74,000,0.693939
2016-03-14,0.74,0.74,0.74,0.74,000,0.693939
2016-03-11,0.85,0.85,0.74,0.74,3400,0.693939
2016-03-10,0.77,0.77,0.77,0.77,000,0.722071
2016-03-09,0.77,0.77,0.77,0.77,200,0.722071
2016-03-08,0.71,0.71,0.71,0.71,000,0.665806
2016-03-07,0.71,0.71,0.71,0.71,000,0.665806
2016-03-04,0.71,0.71,0.71,0.71,000,0.665806
2016-03-03,0.71,0.71,0.71,0.71,000,0.665806
2016-03-02,0.71,0.71,0.71,0.71,000,0.665806
2016-03-01,0.71,0.71,0.71,0.71,000,0.665806
2016-02-29,0.71,0.71,0.71,0.71,1000,0.665806
2016-02-26,0.75,0.75,0.75,0.75,000,0.703316
2016-02-25,0.75,0.75,0.75,0.75,000,0.703316
2016-02-24,0.75,0.75,0.75,0.75,600,0.703316
2016-02-23,0.97,0.97,0.97,0.97,000,0.909622
2016-02-22,0.97,0.97,0.97,0.97,000,0.909622
2016-02-19,0.97,0.97,0.97,0.97,000,0.909622
2016-02-18,0.97,0.97,0.97,0.97,000,0.909622
2016-02-17,0.97,0.97,0.97,0.97,000,0.909622
2016-02-16,0.97,0.97,0.97,0.97,000,0.909622
2016-02-12,0.97,0.97,0.97,0.97,000,0.909622
2016-02-11,0.97,0.97,0.97,0.97,000,0.909622
2016-02-10,0.97,0.97,0.97,0.97,000,0.909622
2016-02-09,0.97,0.97,0.97,0.97,1200,0.909622
2016-02-08,0.87,0.87,0.87,0.87,000,0.815847
2016-02-05,0.87,0.87,0.87,0.87,000,0.815847
2016-02-04,0.75,0.87,0.75,0.87,4900,0.815847
2016-02-03,0.98,0.98,0.84,0.84,1700,0.787714
2016-02-02,0.88,0.88,0.88,0.88,000,0.825224
2016-02-01,0.99,0.99,0.88,0.88,1100,0.825224
2016-01-29,0.98,0.98,0.98,0.98,600,0.919
2016-01-28,0.84,0.84,0.84,0.84,000,0.787714
2016-01-27,0.84,0.84,0.84,0.84,000,0.787714
2016-01-26,0.84,0.84,0.84,0.84,000,0.787714
2016-01-25,0.84,0.84,0.84,0.84,000,0.787714
2016-01-22,0.98,0.98,0.84,0.84,1900,0.787714
2016-01-21,0.93,0.95,0.93,0.95,1300,0.890867
2016-01-20,0.98,0.98,0.98,0.98,000,0.919
2016-01-19,0.98,0.98,0.98,0.98,000,0.919
2016-01-15,0.98,0.98,0.98,0.98,000,0.919
2016-01-14,0.98,0.98,0.98,0.98,000,0.919
2016-01-13,0.95,1.00,0.95,0.98,20900,0.919
2016-01-12,1.03,1.05,0.82,0.90,18900,0.84398
2016-01-11,1.08,1.10,1.00,1.00,9800,0.937755
2016-01-08,1.22,1.22,1.22,1.22,000,1.144061
2016-01-07,1.22,1.22,1.22,1.22,000,1.144061
2016-01-06,1.22,1.22,1.22,1.22,000,1.144061
2016-01-05,1.22,1.22,1.22,1.22,000,1.144061
2016-01-04,1.22,1.22,1.22,1.22,000,1.144061
2015-12-31,1.02,1.22,1.02,1.22,4300,1.144061
2015-12-30,1.18,1.18,1.18,1.18,000,1.106551
2015-12-29,1.02,1.18,1.02,1.18,500,1.106551
2015-12-28,1.01,1.10,1.01,1.10,1700,0.99402
2015-12-24,1.09,1.09,1.09,1.09,000,0.984984
2015-12-23,1.09,1.09,1.09,1.09,000,0.984984
2015-12-22,1.10,1.10,1.01,1.09,1300,0.984984
2015-12-21,1.13,1.13,1.13,1.13,000,1.02113
2015-12-18,1.01,1.13,1.01,1.13,2200,1.02113
2015-12-17,1.14,1.14,1.14,1.14,000,1.030167
2015-12-16,1.14,1.14,1.14,1.14,000,1.030167
2015-12-15,1.00,1.14,1.00,1.14,4300,1.030167
2015-12-14,1.13,1.13,1.13,1.13,000,1.02113
2015-12-11,1.13,1.13,1.13,1.13,200,1.02113
2015-12-10,1.14,1.14,1.14,1.14,000,1.030167
2015-12-09,1.09,1.14,1.03,1.14,4200,1.030167
2015-12-08,1.08,1.14,1.07,1.14,2000,1.030167
2015-12-07,1.09,1.16,1.07,1.16,6000,1.04824
2015-12-04,1.15,1.15,1.15,1.15,000,1.039203
2015-12-03,1.15,1.15,1.15,1.15,000,1.039203
2015-12-02,1.15,1.15,1.15,1.15,200,1.039203
2015-12-01,1.10,1.15,1.10,1.10,400,0.99402
2015-11-30,1.15,1.15,1.15,1.15,200,1.039203
2015-11-27,1.11,1.11,1.11,1.11,000,1.003057
2015-11-25,1.11,1.11,1.11,1.11,000,1.003057
2015-11-24,1.16,1.16,1.11,1.11,300,1.003057
2015-11-23,1.10,1.16,1.10,1.10,4000,0.99402
2015-11-20,1.22,1.22,1.22,1.22,000,1.102459
2015-11-19,1.22,1.22,1.22,1.22,000,1.102459
2015-11-18,1.11,1.22,1.11,1.22,300,1.102459
2015-11-17,1.22,1.22,1.22,1.22,200,1.102459
2015-11-16,1.15,1.16,1.10,1.14,2000,1.030167
2015-11-13,1.25,1.25,1.25,1.25,000,1.129569
2015-11-12,1.25,1.25,1.25,1.25,700,1.129569
2015-11-11,1.20,1.20,1.20,1.20,000,1.084386
2015-11-10,1.20,1.20,1.20,1.20,200,1.084386
2015-11-09,1.20,1.20,1.20,1.20,000,1.084386
2015-11-06,1.20,1.20,1.20,1.20,000,1.084386
2015-11-05,1.20,1.20,1.20,1.20,500,1.084386
2015-11-04,1.20,1.20,1.20,1.20,000,1.084386
2015-11-03,1.20,1.20,1.20,1.20,000,1.084386
2015-11-02,1.26,1.26,1.11,1.20,4800,1.084386
2015-10-30,1.27,1.27,1.27,1.27,800,1.147642
2015-10-29,1.27,1.27,1.27,1.27,400,1.147642
2015-10-28,1.28,1.28,1.28,1.28,000,1.156678
2015-10-27,1.28,1.28,1.28,1.28,500,1.156678
2015-10-26,1.22,1.22,1.22,1.22,000,1.102459
2015-10-23,1.15,1.22,1.15,1.22,400,1.102459
2015-10-22,1.32,1.32,1.32,1.32,000,1.192825
2015-10-21,1.32,1.32,1.32,1.32,000,1.192825
2015-10-20,1.32,1.32,1.32,1.32,000,1.192825
2015-10-19,1.32,1.32,1.32,1.32,000,1.192825
2015-10-16,1.32,1.32,1.14,1.32,1300,1.192825
2015-10-15,1.20,1.28,1.14,1.28,1900,1.156678
2015-10-14,1.14,1.14,1.14,1.14,000,1.030167
2015-10-13,1.14,1.15,1.14,1.14,1800,1.030167
2015-10-12,1.14,1.14,1.11,1.14,5200,1.030167
2015-10-09,1.09,1.14,1.09,1.10,1200,0.99402
2015-10-08,1.10,1.10,1.10,1.10,600,0.99402
2015-10-07,1.05,1.10,1.05,1.05,2300,0.948838
2015-10-06,1.10,1.10,1.10,1.10,200,0.99402
2015-10-05,1.10,1.10,1.10,1.10,000,0.99402
2015-10-02,1.04,1.10,1.04,1.10,1200,0.99402
2015-10-01,1.02,1.12,1.02,1.12,2200,1.012094
2015-09-30,1.10,1.10,1.10,1.10,100,0.99402
2015-09-29,1.03,1.03,1.02,1.02,600,0.921728
2015-09-28,1.03,1.03,1.01,1.01,2000,0.912691
2015-09-25,1.10,1.10,1.06,1.08,5800,0.929861
2015-09-24,1.07,1.07,1.07,1.07,000,0.921251
2015-09-23,1.07,1.07,1.07,1.07,600,0.921251
2015-09-22,1.06,1.06,1.03,1.03,1600,0.886812
2015-09-21,1.07,1.07,1.06,1.07,2900,0.921251
2015-09-18,0.99,1.07,0.99,1.07,5900,0.921251
2015-09-17,1.00,1.00,1.00,1.00,2300,0.860982
2015-09-16,1.05,1.05,1.05,1.05,600,0.904031
2015-09-15,1.07,1.07,1.07,1.07,500,0.921251
2015-09-14,1.07,1.07,1.07,1.07,000,0.921251
2015-09-11,1.10,1.10,1.07,1.07,500,0.921251
2015-09-10,1.10,1.10,1.07,1.07,1300,0.921251
2015-09-09,1.15,1.15,1.15,1.15,100,0.99013
2015-09-08,1.07,1.07,1.07,1.07,1000,0.921251
2015-09-04,1.15,1.15,1.15,1.15,000,0.99013
2015-09-03,1.15,1.15,1.15,1.15,000,0.99013
2015-09-02,1.15,1.15,1.15,1.15,000,0.99013
2015-09-01,1.15,1.15,1.15,1.15,000,0.99013
2015-08-31,1.15,1.15,1.15,1.15,100,0.99013
2015-08-28,1.05,1.15,1.05,1.06,800,0.912641
2015-08-27,1.17,1.17,1.17,1.17,000,1.007349
2015-08-26,1.15,1.17,1.15,1.17,600,1.007349
2015-08-25,1.06,1.06,1.06,1.06,000,0.912641
2015-08-24,1.06,1.06,1.06,1.06,000,0.912641
2015-08-21,1.07,1.07,1.06,1.06,3500,0.912641
2015-08-20,1.10,1.10,1.10,1.10,100,0.947081
2015-08-19,1.12,1.12,1.10,1.10,400,0.947081
2015-08-18,1.15,1.15,1.15,1.15,500,0.99013
2015-08-17,1.15,1.15,1.15,1.15,1000,0.99013
2015-08-14,1.15,1.15,1.15,1.15,100,0.99013
2015-08-13,1.17,1.17,1.17,1.17,000,1.007349
2015-08-12,1.15,1.17,1.15,1.17,2100,1.007349
2015-08-11,1.19,1.19,1.19,1.19,000,1.024569
2015-08-10,1.19,1.19,1.19,1.19,000,1.024569
2015-08-07,1.20,1.20,1.19,1.19,1700,1.024569
2015-08-06,1.25,1.25,1.25,1.25,200,1.076228
2015-08-05,1.25,1.25,1.25,1.25,100,1.076228
2015-08-04,1.25,1.25,1.25,1.25,000,1.076228
2015-08-03,1.35,1.35,1.25,1.25,5700,1.076228
2015-07-31,1.44,1.44,1.43,1.43,500,1.231205
2015-07-30,1.30,1.35,1.30,1.35,1100,1.162326
2015-07-29,1.32,1.32,1.32,1.32,700,1.136497
2015-07-28,1.28,1.28,1.28,1.28,000,1.102057
2015-07-27,1.28,1.28,1.28,1.28,1500,1.102057
2015-07-24,1.28,1.28,1.28,1.28,200,1.102057
2015-07-23,1.44,1.44,1.44,1.44,000,1.239815
2015-07-22,1.44,1.44,1.44,1.44,100,1.239815
2015-07-21,1.32,1.32,1.32,1.32,000,1.136497
2015-07-20,1.44,1.44,1.32,1.32,200,1.136497
2015-07-17,1.43,1.43,1.43,1.43,000,1.231205
2015-07-16,1.34,1.43,1.34,1.43,300,1.231205
2015-07-15,1.40,1.40,1.32,1.34,2600,1.153716
2015-07-14,1.44,1.44,1.44,1.44,100,1.239815
2015-07-13,1.40,1.44,1.40,1.44,600,1.239815
2015-07-10,1.55,1.55,1.55,1.55,000,1.334523
2015-07-09,1.55,1.55,1.55,1.55,000,1.334523
2015-07-08,1.55,1.55,1.55,1.55,000,1.334523
2015-07-07,1.55,1.55,1.55,1.55,000,1.334523
2015-07-06,1.55,1.55,1.55,1.55,000,1.334523
2015-07-02,1.55,1.55,1.55,1.55,000,1.334523
2015-07-01,1.55,1.55,1.55,1.55,000,1.334523
2015-06-30,1.55,1.55,1.55,1.55,100,1.334523
2015-06-29,1.27,1.35,1.27,1.35,1300,1.162326
2015-06-26,1.38,1.65,1.25,1.64,3600,1.412011
2015-06-25,1.60,1.65,1.52,1.59,2800,1.356047
2015-06-24,1.65,1.68,1.65,1.68,1600,1.432805
2015-06-23,1.60,1.68,1.57,1.68,800,1.432805
2015-06-22,1.62,1.65,1.57,1.65,3200,1.407219
2015-06-19,1.82,1.82,1.60,1.66,5700,1.415747
2015-06-18,1.85,1.85,1.85,1.85,000,1.577791
2015-06-17,1.85,1.85,1.85,1.85,300,1.577791
2015-06-16,1.85,1.85,1.85,1.85,500,1.577791
2015-06-15,1.90,1.90,1.90,1.90,000,1.620434
2015-06-12,1.90,1.90,1.90,1.90,000,1.620434
2015-06-11,1.94,1.94,1.75,1.90,300,1.620434
2015-06-10,1.63,1.70,1.63,1.70,3000,1.449862
2015-06-09,1.96,1.96,1.96,1.96,700,1.671605
2015-06-08,1.75,1.75,1.75,1.75,3600,1.492505
2015-06-05,1.94,1.95,1.94,1.95,2600,1.663077
2015-06-04,1.95,1.95,1.95,1.95,500,1.663077
2015-06-03,1.95,1.95,1.95,1.95,000,1.663077
2015-06-02,1.95,1.95,1.95,1.95,000,1.663077
2015-06-01,1.95,1.95,1.95,1.95,000,1.663077
2015-05-29,1.94,1.95,1.94,1.95,700,1.663077
2015-05-28,1.85,1.90,1.85,1.90,900,1.620434
2015-05-27,1.90,1.90,1.90,1.90,500,1.620434
2015-05-26,1.85,1.85,1.85,1.85,3400,1.577791
2015-05-22,1.85,1.85,1.85,1.85,000,1.577791
2015-05-21,1.80,1.86,1.80,1.85,1800,1.577791
2015-05-20,1.80,1.80,1.80,1.80,5900,1.535148
2015-05-19,1.90,1.90,1.75,1.80,1600,1.535148
2015-05-18,1.78,1.78,1.61,1.61,4100,1.373104
2015-05-15,1.95,1.95,1.95,1.95,400,1.663077
2015-05-14,1.94,1.95,1.94,1.95,1800,1.663077
2015-05-13,1.80,1.94,1.75,1.94,1000,1.654548
2015-05-12,2.00,2.00,1.99,1.99,1100,1.697191
