Date,Open,High,Low,Close,Volume,Adj_Close
2016-02-11,21.795,21.795,21.795,21.795,000,9.295
2016-02-10,21.44,21.44,21.44,21.44,000,9.144
2016-02-09,22.135,22.135,22.135,22.135,000,9.44
2016-02-08,22.845,22.845,22.845,22.845,000,9.743
2016-02-05,22.55,22.55,22.55,22.55,000,9.617
2016-02-04,22.94,22.94,22.94,22.94,000,9.783
2016-02-03,23.35,23.35,23.35,23.35,000,9.958
2016-02-02,23.745,23.745,23.745,23.745,000,10.127
2016-02-01,23.275,23.275,23.275,23.275,000,9.926
2016-01-29,23.49,23.49,23.49,23.49,000,10.018
2016-01-28,23.055,23.055,23.055,23.055,000,9.832
2016-01-27,22.98,22.98,22.98,22.98,000,9.80
2016-01-26,22.455,22.455,22.455,22.455,000,9.576
2016-01-25,22.645,22.645,22.645,22.645,000,9.658
2016-01-22,22.40,22.40,22.40,22.40,000,9.553
2016-01-21,21.46,21.46,21.46,21.46,000,9.152
2016-01-20,21.855,22.715,21.855,22.715,000,9.687
2016-01-19,22.795,22.795,22.795,22.795,000,9.721
2016-01-18,22.76,22.76,22.76,22.76,000,9.707
2016-01-15,22.80,22.80,22.80,22.80,000,9.724
2016-01-14,23.375,23.375,23.375,23.375,000,9.969
2016-01-13,24.49,24.49,24.49,24.49,000,10.444
2016-01-12,24.065,24.065,24.065,24.065,000,10.263
2016-01-11,24.08,24.08,24.08,24.08,000,10.269
2016-01-08,24.29,24.29,24.29,24.29,000,10.359
2016-01-07,24.995,24.995,24.995,24.995,000,10.66
2016-01-06,25.215,25.215,25.215,25.215,000,10.754
2016-01-05,24.875,24.875,24.875,24.875,000,10.609
2016-01-04,25.01,25.01,25.01,25.01,000,10.666
2016-01-01,25.32,25.32,25.32,25.32,000,10.798
2015-12-31,25.32,25.32,25.32,25.32,000,10.798
2015-12-30,25.32,25.32,25.32,25.32,000,10.798
2015-12-29,25.135,25.135,25.135,25.135,000,10.719
2015-12-28,24.88,24.88,24.88,24.88,000,10.611
2015-12-25,25.05,25.05,25.05,25.05,000,10.683
2015-12-24,25.05,25.05,25.05,25.05,000,10.683
2015-12-23,25.05,25.05,25.05,25.05,000,10.683
2015-12-22,25.44,25.44,25.44,25.44,000,10.849
2015-12-21,25.215,25.215,25.215,25.215,000,10.754
2015-12-18,25.11,25.11,25.11,25.11,000,10.709
2015-12-17,25.08,25.08,25.08,25.08,000,10.696
2015-12-16,24.32,24.32,24.32,24.32,000,10.372
2015-12-15,24.11,24.11,24.11,24.11,000,10.282
2015-12-14,24.725,24.725,24.725,24.725,000,10.545
2015-12-11,24.795,24.795,24.795,24.795,000,10.574
2015-12-10,24.775,24.775,24.775,24.775,000,10.566
2015-12-09,25.015,25.015,25.015,25.015,000,10.668
2015-12-08,25.115,25.115,25.115,25.115,000,10.711
2015-12-07,25.25,25.25,25.25,25.25,000,10.768
2015-12-04,24.875,24.875,24.875,24.875,000,10.609
2015-12-03,25.735,25.735,25.735,25.735,000,10.975
2015-12-02,25.90,25.90,25.90,25.90,000,11.046
2015-12-01,25.43,25.43,25.43,25.43,000,10.845
2015-11-30,24.99,24.99,24.99,24.99,000,10.658
2015-11-27,25.485,25.485,25.485,25.485,000,10.869
2015-11-26,25.595,25.595,25.595,25.595,000,10.916
2015-11-25,25.39,25.39,25.39,25.39,000,10.828
2015-11-24,25.37,25.37,25.37,25.37,000,10.82
2015-11-23,24.92,24.92,24.92,24.92,000,10.628
2015-11-20,24.77,24.77,24.77,24.77,000,10.564
2015-11-19,24.525,24.525,24.525,24.525,000,10.459
2015-11-18,24.48,24.48,24.48,24.48,000,10.44
2015-11-17,24.38,24.38,24.38,24.38,000,10.397
2015-11-16,23.895,23.895,23.895,23.895,000,10.191
2015-11-13,23.82,23.82,23.82,23.82,000,10.159
2015-11-12,23.865,23.865,23.865,23.865,000,10.178
2015-11-11,23.905,23.905,23.905,23.905,000,10.195
2015-11-10,23.69,23.69,23.69,23.69,000,10.103
2015-11-09,23.78,23.78,23.78,23.78,000,10.142
2015-11-06,23.685,23.685,23.685,23.685,000,10.101
2015-11-05,23.86,23.86,23.86,23.86,000,10.176
2015-11-04,23.58,23.58,23.58,23.58,000,10.056
2015-11-03,22.41,22.41,22.41,22.41,000,9.557
2015-11-02,22.75,22.75,22.75,22.75,000,9.702
2015-10-30,23.545,23.545,23.545,23.545,000,10.041
2015-10-29,23.53,23.53,23.53,23.53,000,10.035
2015-10-28,23.14,23.14,23.14,23.14,000,9.869
2015-10-27,22.92,22.92,22.92,22.92,000,9.775
2015-10-26,22.79,22.79,22.79,22.79,000,9.719
2015-10-23,22.82,22.82,22.82,22.82,000,9.732
2015-10-22,22.03,22.03,22.03,22.03,000,9.395
2015-10-21,22.12,22.12,22.12,22.12,000,9.434
2015-10-20,22.155,22.155,22.155,22.155,000,9.449
2015-10-19,21.91,21.91,21.91,21.91,000,9.344
2015-10-16,21.67,22.05,21.67,22.05,000,9.404
2015-10-15,21.65,21.65,21.65,21.65,000,9.233
2015-10-14,21.84,21.84,21.84,21.84,000,9.314
2015-10-13,21.045,21.045,21.045,21.045,000,8.975
2015-10-12,21.125,21.125,21.125,21.125,000,9.009
2015-10-09,21.41,21.41,21.41,21.41,000,9.131
2015-10-08,21.00,21.00,21.00,21.00,000,8.956
2015-10-07,21.25,21.25,21.25,21.25,000,9.063
2015-10-06,21.15,21.15,21.15,21.15,000,9.02
2015-10-05,21.065,21.065,21.065,21.065,000,8.984
2015-10-02,21.02,21.02,21.02,21.02,000,8.964
2015-10-01,20.635,20.635,20.635,20.635,000,8.80
2015-09-30,19.94,19.94,19.94,19.94,000,8.504
2015-09-29,19.57,19.57,19.57,19.57,000,8.346
2015-09-28,20.49,20.49,20.49,20.49,000,8.738
2015-09-25,19.965,19.965,19.965,19.965,000,8.515
2015-09-24,19.445,19.445,19.445,19.445,000,8.293
2015-09-23,19.245,19.245,19.245,19.245,000,8.207
2015-09-22,19.45,19.45,19.45,19.45,000,8.295
2015-09-21,19.315,19.315,19.315,19.315,000,8.237
2015-09-18,19.445,19.445,19.445,19.445,000,8.293
2015-09-17,19.735,19.735,19.735,19.735,000,8.416
2015-09-16,19.855,19.855,19.855,19.855,000,8.468
2015-09-15,20.065,20.065,20.065,20.065,000,8.557
2015-09-14,19.905,19.905,19.905,19.905,000,8.489
2015-09-11,20.04,20.04,20.04,20.04,000,8.547
2015-09-10,19.795,19.795,19.795,19.795,000,8.442
2015-09-09,20.485,20.485,20.485,20.485,000,8.736
2015-09-08,20.055,20.055,20.055,20.055,000,8.553
2015-09-07,19.625,19.625,19.625,19.625,000,8.37
2015-09-04,19.57,19.57,19.57,19.57,000,8.346
2015-09-03,19.675,19.675,19.675,19.675,000,8.391
2015-09-02,19.565,19.565,19.565,19.565,000,8.344
2015-09-01,19.33,19.33,19.33,19.33,000,8.244
2015-08-31,19.87,19.87,19.87,19.87,000,8.474
2015-08-28,20.00,20.00,20.00,20.00,000,6.397
2015-08-27,19.41,19.41,19.41,19.41,000,2.21
2015-08-26,18.75,18.75,18.75,18.75,000,0.712
2015-08-25,18.615,18.615,18.615,18.615,000,0.707
2015-08-24,19.43,19.43,19.43,19.43,000,0.737
2015-08-21,20.47,20.47,20.47,20.47,000,0.777
2015-08-20,21.085,21.085,21.085,21.085,000,0.80
2015-08-19,21.73,21.73,21.73,21.73,000,0.825
2015-08-18,22.245,22.245,22.245,22.245,000,0.844
2015-08-17,22.52,22.52,22.52,22.52,000,0.855
2015-08-14,22.48,22.48,22.48,22.48,000,0.853
2015-08-13,22.335,22.335,22.335,22.335,000,0.848
2015-08-12,22.265,22.265,22.265,22.265,000,0.845
2015-08-11,22.44,22.44,22.44,22.44,000,0.852
2015-08-10,22.82,22.82,22.82,22.82,000,0.866
2015-08-07,22.695,22.695,22.695,22.695,000,0.861
2015-08-06,22.905,22.905,22.905,22.905,000,0.869
2015-08-05,23.19,23.19,23.19,23.19,000,0.88
2015-08-04,22.30,22.30,22.30,22.30,000,0.846
2015-08-03,21.64,21.64,21.64,21.64,000,0.821
2015-07-31,21.365,21.365,21.365,21.365,000,0.811
2015-07-30,21.505,21.505,21.505,21.505,000,0.816
2015-07-29,21.54,21.54,21.54,21.54,000,0.818
2015-07-28,21.115,21.115,21.115,21.115,000,0.801
2015-07-27,21.35,21.35,21.35,21.35,000,0.81
2015-07-24,21.565,21.565,21.565,21.565,000,0.819
2015-07-23,21.795,21.795,21.795,21.795,000,0.827
2015-07-22,21.87,21.87,21.87,21.87,000,0.83
2015-07-21,22.29,22.29,22.29,22.29,000,0.846
2015-07-20,22.185,22.185,22.185,22.185,000,0.842
2015-07-17,22.09,22.09,22.09,22.09,000,0.838
2015-07-16,22.37,22.37,22.37,22.37,000,0.849
2015-07-15,22.31,22.31,22.31,22.31,000,0.847
2015-07-14,21.52,21.52,21.52,21.52,000,0.817
2015-07-13,21.16,21.16,21.16,21.16,000,0.803
2015-07-10,21.11,21.11,21.11,21.11,000,0.801
2015-07-09,21.155,21.155,21.155,21.155,000,0.803
2015-07-08,21.865,21.865,21.865,21.865,000,0.83
2015-07-07,22.26,22.26,22.26,22.26,000,0.845
2015-07-06,21.91,21.91,21.91,21.91,000,0.832
2015-07-03,22.05,22.05,22.05,22.05,000,0.837
