Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1820.00,1820.00,1795.00,1809.00,476000,1779.173
2016-03-31,1828.00,1835.00,1814.00,1827.00,605800,1796.876
2016-03-30,1825.00,1844.00,1824.00,1831.00,452600,1800.81
2016-03-29,1771.00,1813.00,1770.00,1812.00,722000,1782.123
2016-03-28,1765.00,1765.00,1765.00,1765.00,000,1735.898
2016-03-24,1804.00,1804.00,1762.00,1765.00,725700,1735.898
2016-03-23,1793.00,1817.00,1793.00,1817.00,500000,1787.041
2016-03-22,1793.00,1796.00,1756.00,1796.00,507800,1766.387
2016-03-21,1808.00,1814.65,1792.00,1799.00,550800,1769.338
2016-03-18,1810.00,1842.00,1803.30,1818.00,777700,1788.025
2016-03-17,1808.00,1812.70,1776.00,1803.00,538800,1773.272
2016-03-16,1803.00,1811.00,1787.00,1800.00,815000,1770.321
2016-03-15,1786.00,1799.00,1781.00,1798.00,482900,1768.354
2016-03-14,1781.00,1801.00,1772.00,1789.00,715300,1759.503
2016-03-11,1778.00,1786.00,1763.00,1780.00,603000,1750.651
2016-03-10,1777.00,1797.00,1754.00,1754.00,1108600,1725.08
2016-03-09,1790.00,1795.11,1768.00,1780.00,770700,1750.651
2016-03-08,1779.00,1800.00,1778.00,1790.00,1085600,1760.486
2016-03-07,1777.00,1795.00,1746.00,1795.00,848900,1765.404
2016-03-04,1844.00,1846.00,1781.00,1783.00,1383500,1753.602
2016-03-03,1807.00,1881.00,1768.00,1849.00,1288500,1818.513
2016-03-02,1817.00,1835.00,1794.50,1796.00,681600,1766.387
2016-03-01,1784.00,1816.00,1779.00,1812.00,655600,1782.123
2016-02-29,1767.00,1792.00,1753.10,1792.00,722000,1762.453
2016-02-26,1757.00,1784.00,1752.00,1774.00,554400,1744.75
2016-02-25,1728.00,1750.00,1707.00,1744.00,648800,1715.245
2016-02-24,1728.00,1736.00,1699.64,1715.00,717800,1686.723
2016-02-23,1760.00,1762.56,1729.00,1734.00,1137200,1705.41
2016-02-22,1794.00,1819.00,1765.00,1773.00,331200,1743.767
2016-02-19,1794.00,1806.00,1774.00,1786.00,349300,1756.552
2016-02-18,1814.00,1814.00,1782.00,1799.00,426800,1769.338
2016-02-17,1748.00,1804.00,1748.00,1804.00,465700,1774.255
