Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,8.98,8.98,8.80,8.80,4900,8.80
2016-03-31,8.94,8.97,8.70,8.75,11700,8.75
2016-03-30,8.66,8.98,8.66,8.80,29200,8.80
2016-03-29,8.85,8.87,8.46,8.63,15900,8.63
2016-03-28,8.92,9.00,8.85,8.91,21800,8.847
2016-03-24,9.49,9.49,9.00,9.15,41400,9.085303
2016-03-23,9.25,9.59,9.15,9.33,61300,9.26403
2016-03-22,8.10,9.11,8.10,9.00,85700,8.936364
2016-03-21,8.18,8.21,7.33,7.99,126700,7.933505
2016-03-18,8.60,9.00,7.40,8.40,194300,8.340606
2016-03-17,9.90,10.22,9.89,10.20,14000,10.127878
2016-03-16,9.68,9.82,9.61,9.80,7900,9.730707
2016-03-15,9.77,9.82,9.61,9.61,3500,9.54205
2016-03-14,9.58,9.74,9.49,9.70,8100,9.631414
2016-03-11,9.38,9.59,9.35,9.59,13300,9.522192
2016-03-10,9.57,9.60,9.40,9.60,10200,9.532121
2016-03-09,9.51,9.56,9.02,9.55,16100,9.482475
2016-03-08,9.52,9.60,9.42,9.56,9100,9.492404
2016-03-07,9.74,9.77,9.40,9.54,21000,9.472545
2016-03-04,10.12,10.12,9.60,9.70,13600,9.631414
2016-03-03,10.03,10.10,10.00,10.00,7900,9.929293
2016-03-02,10.04,10.20,10.04,10.08,1100,10.008727
2016-03-01,10.18,10.25,9.99,10.25,138200,10.177525
2016-02-29,10.22,10.23,9.99,10.00,6800,9.929293
2016-02-26,9.61,10.00,9.61,9.99,6400,9.919363
2016-02-25,9.73,9.82,9.33,9.60,13500,9.532121
2016-02-24,9.95,9.95,9.73,9.87,13900,9.800212
2016-02-23,10.01,10.23,9.89,9.98,17200,9.909434
2016-02-22,10.14,10.40,10.14,10.20,8000,10.127878
2016-02-19,10.36,10.40,10.24,10.28,13100,10.207313
2016-02-18,10.25,10.36,10.25,10.36,6300,10.286747
2016-02-17,10.24,10.42,10.07,10.20,19600,10.127878
2016-02-16,10.24,11.24,10.19,10.25,10800,10.177525
2016-02-12,9.85,10.02,9.76,10.02,23600,9.949152
2016-02-11,10.01,10.01,9.67,9.81,60500,9.740637
2016-02-10,9.91,10.11,9.90,10.01,9200,9.939222
2016-02-09,9.92,10.00,9.90,9.91,24800,9.839929
2016-02-08,10.15,10.16,9.92,9.92,33500,9.849859
2016-02-05,10.00,10.20,9.93,10.07,27200,9.998798
2016-02-04,11.04,11.04,10.28,10.30,51500,10.227172
2016-02-03,11.55,11.55,11.02,11.03,18800,10.95201
2016-02-02,11.59,11.76,11.50,11.56,6300,11.478263
2016-02-01,11.81,11.81,11.05,11.50,12900,11.418687
2016-01-29,11.94,12.25,11.94,11.99,45800,11.905222
2016-01-28,11.45,11.75,11.35,11.67,10400,11.587485
2016-01-27,11.50,11.55,11.35,11.46,20100,11.37897
