Date,Open,High,Low,Close,Volume,Adj_Close
2016-01-07,0.502,0.502,0.502,0.502,000,0.502
2016-01-06,0.502,0.502,0.502,0.502,000,0.502
2016-01-05,0.491,0.502,0.502,0.502,4000,0.502
2016-01-04,0.491,0.491,0.491,0.491,000,0.491
2015-12-31,0.486,0.509,0.486,0.499,10000,0.499
2015-12-30,0.51,0.492,0.492,0.505,1000,0.505
2015-12-29,0.44,0.51,0.51,0.51,3800,0.51
2015-12-28,0.49,0.44,0.44,0.44,16100,0.44
2015-12-24,0.509,0.49,0.49,0.49,14200,0.49
2015-12-23,0.509,0.509,0.509,0.509,000,0.509
2015-12-22,0.496,0.509,0.509,0.509,5000,0.509
2015-12-21,0.496,0.496,0.496,0.496,000,0.496
2015-12-17,0.496,0.496,0.496,0.496,000,0.496
2015-12-16,0.496,0.496,0.496,0.496,000,0.496
2015-12-15,0.496,0.496,0.496,0.496,000,0.496
2015-12-14,0.496,0.496,0.496,0.496,000,0.496
2015-12-10,0.496,0.495,0.495,0.496,2000,0.496
2015-12-09,0.496,0.496,0.496,0.496,3800,0.496
2015-12-08,0.515,0.515,0.515,0.515,000,0.515
2015-12-07,0.513,0.513,0.513,0.515,3500,0.515
2015-12-03,0.519,0.539,0.539,0.539,3800,0.539
2015-12-02,0.519,0.519,0.519,0.519,000,0.519
2015-12-01,0.529,0.519,0.519,0.519,5700,0.519
2015-11-30,0.529,0.529,0.529,0.529,000,0.529
2015-11-26,0.529,0.529,0.529,0.529,000,0.529
2015-11-25,0.529,0.529,0.529,0.529,000,0.529
2015-11-24,0.529,0.529,0.529,0.529,000,0.529
2015-11-23,0.529,0.529,0.529,0.529,000,0.529
2015-11-19,0.529,0.529,0.529,0.529,000,0.529
2015-11-18,0.515,0.529,0.529,0.529,5000,0.529
2015-11-17,0.515,0.515,0.515,0.515,000,0.515
2015-11-16,0.517,0.517,0.517,0.515,000,0.515
2015-11-12,0.51,0.515,0.515,0.515,3700,0.515
2015-11-11,0.51,0.51,0.51,0.51,000,0.51
2015-11-10,0.51,0.51,0.51,0.51,000,0.51
2015-11-09,0.51,0.51,0.51,0.51,3700,0.51
2015-11-05,0.53,0.53,0.53,0.53,5000,0.53
2015-11-04,0.528,0.528,0.528,0.528,000,0.528
2015-11-03,0.519,0.535,0.519,0.528,9700,0.528
2015-11-02,0.535,0.535,0.535,0.535,000,0.535
2015-10-29,0.53,0.535,0.535,0.535,8000,0.535
2015-10-28,0.53,0.53,0.53,0.53,4500,0.53
2015-10-27,0.507,0.526,0.526,0.526,5400,0.526
2015-10-26,0.507,0.507,0.507,0.507,99800,0.507
2015-10-22,0.48,0.496,0.48,0.495,32600,0.495
2015-10-21,0.48,0.489,0.48,0.483,23200,0.483
2015-10-20,0.484,0.484,0.484,0.484,10000,0.484
2015-10-19,0.484,0.484,0.484,0.484,000,0.484
2015-10-15,0.484,0.484,0.484,0.484,4600,0.484
2015-10-14,0.454,0.472,0.454,0.466,13300,0.466
2015-10-13,0.472,0.472,0.472,0.472,4400,0.472
2015-10-12,0.49,0.49,0.49,0.49,000,0.49
2015-10-08,0.49,0.49,0.49,0.49,000,0.49
2015-10-07,0.48,0.49,0.49,0.49,4200,0.49
2015-10-06,0.48,0.48,0.48,0.48,000,0.48
2015-10-05,0.48,0.48,0.48,0.48,000,0.48
2015-10-01,0.477,0.49,0.49,0.48,1000,0.48
2015-09-30,0.477,0.477,0.477,0.477,000,0.477
2015-09-29,0.477,0.477,0.477,0.477,000,0.477
2015-09-28,0.477,0.477,0.477,0.477,000,0.477
2015-09-24,0.477,0.477,0.477,0.477,000,0.477
2015-09-23,0.477,0.477,0.477,0.477,000,0.477
2015-09-22,0.477,0.477,0.477,0.477,000,0.477
2015-09-21,0.477,0.477,0.477,0.477,000,0.477
2015-09-17,0.477,0.477,0.477,0.477,000,0.477
2015-09-16,0.477,0.477,0.477,0.477,000,0.477
2015-09-15,0.477,0.477,0.477,0.477,000,0.477
2015-09-10,0.479,0.479,0.475,0.477,22000,0.477
2015-09-09,0.469,0.469,0.469,0.469,000,0.469
2015-09-08,0.463,0.469,0.469,0.469,24000,0.469
2015-09-07,0.463,0.463,0.463,0.463,000,0.463
2015-09-03,0.46,0.46,0.46,0.46,5500,0.46
2015-09-02,0.458,0.45,0.45,0.45,40500,0.45
2015-09-01,0.458,0.458,0.458,0.458,4500,0.458
2015-08-31,0.45,0.45,0.45,0.45,000,0.45
2015-08-27,0.368,0.368,0.368,0.368,000,0.368
2015-08-26,0.368,0.368,0.368,0.368,000,0.368
2015-08-25,0.368,0.368,0.368,0.368,000,0.368
2015-08-24,0.368,0.368,0.368,0.368,000,0.368
2015-08-20,0.368,0.368,0.368,0.368,000,0.368
2015-08-19,0.368,0.368,0.368,0.368,000,0.368
