Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,4.31,4.41,4.28,4.37,1300100,4.37
2016-03-31,4.31,4.38,4.22,4.25,1791800,4.25
2016-03-30,4.45,4.45,4.28,4.34,934400,4.34
2016-03-29,4.38,4.46,4.25,4.44,1481200,4.44
2016-03-28,4.25,4.44,4.01,4.36,2276900,4.36
2016-03-24,4.18,4.49,4.07,4.49,692100,4.49
2016-03-23,4.55,4.56,3.98,4.24,1704700,4.24
2016-03-22,4.27,4.50,4.15,4.50,2462000,4.50
2016-03-21,4.10,4.32,4.06,4.24,1770900,4.24
2016-03-18,4.15,4.16,4.01,4.10,912600,4.10
2016-03-17,4.00,4.15,3.96,4.15,776600,4.15
2016-03-16,4.00,4.07,3.95,4.03,606500,4.03
2016-03-15,4.10,4.16,4.00,4.00,766400,4.00
2016-03-14,4.15,4.20,3.96,4.15,907600,4.15
2016-03-11,4.16,4.20,3.90,4.15,1270200,4.15
2016-03-10,4.50,4.63,3.60,4.00,3263000,4.00
2016-03-09,4.20,4.55,4.09,4.36,2840400,4.36
2016-03-08,4.00,4.05,3.75,3.95,1835700,3.95
2016-03-07,3.75,3.94,3.60,3.94,2500600,3.94
2016-03-04,3.30,3.59,3.30,3.53,2531500,3.53
2016-03-03,3.28,3.42,3.12,3.20,2490800,3.20
2016-03-02,2.75,3.09,2.71,3.05,2126800,3.05
2016-03-01,3.06,3.24,2.76,2.81,2204800,2.81
2016-02-29,3.50,3.52,3.20,3.21,1515800,3.21
2016-02-26,3.62,3.62,3.30,3.49,1274000,3.49
2016-02-25,3.50,3.60,3.47,3.50,852600,3.50
2016-02-24,3.27,3.60,3.27,3.58,1245600,3.58
2016-02-23,3.28,3.69,3.17,3.40,1267800,3.40
2016-02-22,3.34,3.50,2.82,3.37,4958400,3.37
2016-02-19,4.07,4.24,3.56,3.71,5149600,3.71
2016-02-18,3.97,4.19,3.81,4.16,2343900,4.16
2016-02-17,4.21,4.35,3.99,4.10,2288000,4.10
2016-02-16,3.97,4.24,3.93,4.15,2833700,4.15
2016-02-12,4.07,4.12,3.75,3.82,3416800,3.82
2016-02-11,4.09,4.28,3.86,4.28,2351800,4.28
2016-02-10,4.21,4.79,3.40,4.21,7835000,4.21
2016-02-09,3.77,4.40,3.64,4.40,6942300,4.40
2016-02-08,3.66,3.66,3.50,3.61,4423400,3.61
2016-02-05,3.40,3.49,3.30,3.39,3817500,3.39
2016-02-04,3.15,3.35,3.12,3.26,3308300,3.26
2016-02-03,3.23,3.28,2.96,3.13,2287000,3.13
2016-02-02,3.08,3.22,2.91,3.12,3884100,3.12
2016-02-01,3.20,3.43,2.95,3.07,8680300,3.07
2016-01-29,3.08,3.09,2.56,2.76,6041300,2.76
2016-01-28,3.05,3.50,2.75,3.02,8396800,3.02
2016-01-27,2.60,2.89,2.39,2.65,9545800,2.65
2016-01-26,1.74,2.15,1.66,2.08,880300,2.08
2016-01-25,1.84,1.89,1.73,1.74,243000,1.74
2016-01-22,1.86,1.90,1.70,1.85,468500,1.85
2016-01-21,1.93,1.98,1.76,1.79,318500,1.79
2016-01-20,1.68,1.96,1.54,1.88,582800,1.88
2016-01-19,1.70,1.80,1.61,1.69,465500,1.69
2016-01-15,1.77,1.80,1.60,1.66,403900,1.66
2016-01-14,1.82,1.90,1.65,1.83,446600,1.83
2016-01-13,1.93,1.99,1.77,1.77,567900,1.77
2016-01-12,2.00,2.05,1.86,1.93,416000,1.93
2016-01-11,2.08,2.20,1.98,2.00,581800,2.00
2016-01-08,2.17,2.24,2.06,2.07,354500,2.07
2016-01-07,2.21,2.29,2.06,2.15,472700,2.15
2016-01-06,2.27,2.33,2.22,2.23,250600,2.23
2016-01-05,2.36,2.41,2.26,2.32,164000,2.32
2016-01-04,2.47,2.50,2.32,2.33,293000,2.33
2015-12-31,2.42,2.55,2.38,2.48,453800,2.48
2015-12-30,2.46,2.53,2.40,2.41,262000,2.41
2015-12-29,2.49,2.56,2.41,2.48,294700,2.48
2015-12-28,2.58,2.58,2.42,2.49,264000,2.49
2015-12-24,2.31,2.60,2.26,2.51,546500,2.51
2015-12-23,2.29,2.35,2.28,2.29,185700,2.29
2015-12-22,2.26,2.33,2.25,2.29,226900,2.29
2015-12-21,2.38,2.40,2.19,2.28,454400,2.28
2015-12-18,2.36,2.39,2.29,2.33,476700,2.33
2015-12-17,2.36,2.48,2.31,2.32,223700,2.32
2015-12-16,2.38,2.40,2.33,2.39,285400,2.39
2015-12-15,2.18,2.42,2.18,2.39,335800,2.39
2015-12-14,2.21,2.27,2.11,2.19,375600,2.19
2015-12-11,2.34,2.38,2.22,2.22,387800,2.22
2015-12-10,2.35,2.44,2.29,2.39,175400,2.39
2015-12-09,2.35,2.41,2.26,2.32,266700,2.32
2015-12-08,2.32,2.42,2.26,2.35,242600,2.35
