Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.77,1.78,1.73,1.75,2441000,1.75
2016-03-31,1.77,1.78,1.75,1.76,1440300,1.76
2016-03-30,1.74,1.77,1.73,1.76,2539600,1.76
2016-03-29,1.76,1.77,1.72,1.73,2845800,1.73
2016-03-28,1.73,1.75,1.71,1.75,2813500,1.75
2016-03-25,1.73,1.75,1.71,1.72,2025400,1.72
2016-03-24,1.72,1.75,1.71,1.73,3683600,1.73
2016-03-23,1.76,1.77,1.72,1.72,2869900,1.72
2016-03-22,1.81,1.82,1.73,1.76,4858200,1.76
2016-03-21,1.80,1.85,1.78,1.81,7094400,1.81
2016-03-18,1.70,1.80,1.69,1.78,13097900,1.78
2016-03-17,1.69,1.70,1.66,1.69,2674600,1.69
2016-03-16,1.70,1.72,1.67,1.67,2611800,1.67
2016-03-15,1.74,1.77,1.70,1.71,4955200,1.71
2016-03-14,1.72,1.78,1.71,1.73,6471100,1.73
2016-03-11,1.77,1.78,1.72,1.72,4783700,1.72
2016-03-10,1.79,1.81,1.72,1.76,6981500,1.76
2016-03-09,1.74,1.81,1.73,1.78,7565000,1.78
2016-03-08,1.81,1.81,1.73,1.73,4223100,1.73
2016-03-07,1.84,1.87,1.80,1.80,8290000,1.80
2016-03-04,1.88,1.92,1.82,1.83,7331600,1.83
2016-03-03,1.92,1.94,1.87,1.87,7340800,1.87
2016-03-02,1.97,1.98,1.91,1.91,9735400,1.91
2016-03-01,1.90,2.03,1.87,1.95,33003300,1.95
2016-02-29,1.90,1.93,1.88,1.89,6428100,1.89
2016-02-26,1.98,2.03,1.89,1.91,13613100,1.91
2016-02-25,1.88,2.02,1.87,1.96,30016100,1.96
2016-02-24,1.85,1.92,1.79,1.86,28197700,1.86
2016-02-23,1.81,2.11,1.61,1.81,58799000,1.81
2016-02-22,1.74,1.83,1.68,1.80,16938900,1.80
2016-02-19,1.84,1.87,1.75,1.75,17084300,1.75
2016-02-18,1.73,1.84,1.73,1.81,25605200,1.81
2016-02-17,1.64,1.77,1.61,1.73,32349600,1.73
2016-02-16,1.90,1.92,1.61,1.63,42544300,1.63
2016-02-15,1.84,1.93,1.78,1.87,28127300,1.87
2016-02-12,1.80,1.94,1.78,1.85,39628500,1.85
2016-02-11,1.57,1.85,1.53,1.80,48495400,1.80
2016-02-10,1.54,1.60,1.50,1.56,22864800,1.56
2016-02-09,1.39,1.62,1.35,1.57,21673000,1.57
2016-02-08,1.47,1.48,1.39,1.39,5238900,1.39
2016-02-05,1.54,1.62,1.45,1.47,18729800,1.47
2016-02-04,1.36,1.51,1.34,1.51,7511400,1.51
2016-02-03,1.37,1.42,1.34,1.34,8096300,1.34
2016-02-02,1.30,1.51,1.29,1.37,22846200,1.37
2016-02-01,1.28,1.33,1.27,1.31,3315900,1.31
