Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.55,1.613,1.50,1.55,843600,1.55
2016-03-31,1.65,1.89,1.613,1.575,276300,1.575
2016-03-30,1.95,1.95,1.585,1.75,1247900,1.75
2016-03-29,2.02,2.02,1.533,1.625,1309300,1.625
2016-03-28,2.075,2.075,2.075,2.075,000,2.075
2016-03-24,2.305,2.36,2.00,2.075,1464300,2.075
2016-03-23,2.09,2.45,2.09,2.35,1925700,2.35
2016-03-22,2.011,2.08,1.775,2.00,802400,2.00
2016-03-21,2.40,2.65,2.013,2.075,3342700,2.075
2016-03-18,1.699,2.50,1.55,2.425,4011000,2.425
2016-03-17,1.49,1.84,1.49,1.60,1185800,1.60
2016-03-16,1.415,1.415,1.415,1.45,83200,1.45
2016-03-15,1.445,1.499,1.40,1.45,358000,1.45
2016-03-14,1.488,1.50,1.35,1.375,1589700,1.375
2016-03-11,1.38,1.70,1.38,1.40,1117900,1.40
2016-03-10,1.28,1.35,1.04,1.35,2306900,1.35
2016-03-09,1.18,1.18,1.18,1.225,32100,1.225
2016-03-08,1.199,1.29,1.13,1.225,629500,1.225
2016-03-07,1.101,1.20,1.10,1.15,1046400,1.15
2016-03-04,1.15,1.15,1.07,1.175,642600,1.175
2016-03-03,1.199,1.199,1.149,1.075,229800,1.075
2016-03-02,1.07,1.166,1.07,1.10,121000,1.10
2016-03-01,1.20,1.249,1.06,1.125,357100,1.125
2016-02-29,1.049,1.15,1.04,1.15,990400,1.15
2016-02-26,1.075,1.14,0.989,1.00,1681100,1.00
2016-02-25,1.125,1.14,0.915,1.075,3661000,1.075
2016-02-24,1.25,1.24,1.013,1.125,1278600,1.125
2016-02-23,1.30,1.322,1.201,1.25,727600,1.25
2016-02-22,1.30,1.322,1.322,1.30,95000,1.30
2016-02-19,1.438,1.438,1.222,1.30,1018200,1.30
2016-02-18,1.14,1.69,1.14,1.375,2989100,1.375
2016-02-17,1.15,1.225,0.959,1.075,1081900,1.075
2016-02-16,1.04,1.34,0.945,1.15,1286500,1.15
2016-02-15,1.194,1.30,1.194,1.325,267500,1.325
2016-02-12,1.30,1.475,1.30,1.375,241800,1.375
2016-02-11,1.34,1.34,1.255,1.275,170700,1.275
2016-02-10,1.425,1.425,1.275,1.35,1000600,1.35
2016-02-09,1.40,1.437,1.35,1.425,222500,1.425
2016-02-08,1.53,1.53,1.40,1.45,362700,1.45
2016-02-05,1.53,1.53,1.477,1.625,282300,1.625
2016-02-04,1.66,1.70,1.53,1.625,48800,1.625
2016-02-03,1.55,1.675,1.53,1.625,137200,1.625
2016-02-02,1.51,1.70,1.51,1.65,409000,1.65
2016-02-01,1.60,1.60,1.60,1.60,000,1.60
2016-01-29,1.451,1.70,1.401,1.60,836900,1.60
2016-01-28,1.533,1.55,1.415,1.475,171500,1.475
2016-01-27,1.451,1.59,1.40,1.525,882500,1.525
2016-01-26,1.499,1.59,1.42,1.475,570500,1.475
