Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,5.926,5.926,5.926,5.926,000,2.92107
2015-03-31,5.921,5.926,5.921,5.926,100,2.92107
2015-03-30,5.921,5.921,5.921,5.921,000,2.91861
2015-03-27,5.921,5.921,5.921,5.921,000,2.91861
2015-03-26,5.921,5.921,5.921,5.921,000,2.91861
2015-03-25,5.921,5.921,5.921,5.921,000,2.91861
2015-03-24,5.921,5.921,5.921,5.921,000,2.91861
2015-03-23,5.921,5.921,5.921,5.921,000,2.91861
2015-03-20,6.044,6.044,6.044,6.044,000,2.97924
2015-03-19,6.102,6.102,6.102,6.102,000,3.00783
2015-03-18,5.788,6.214,5.788,6.214,200,3.06303
2015-03-17,5.634,5.634,5.634,5.634,000,2.77714
2015-03-16,5.634,5.634,5.634,5.634,000,2.77714
2015-03-13,5.515,5.515,5.515,5.515,000,2.71848
2015-03-12,5.384,5.384,5.384,5.384,000,2.65391
2015-03-11,5.178,5.178,5.178,5.178,000,2.55236
2015-03-10,5.10,5.10,5.10,5.10,000,2.51391
2015-03-09,5.565,5.565,5.077,5.077,300,2.50258
2015-03-06,6.113,6.113,6.113,6.113,000,3.01325
2015-03-05,6.318,6.318,6.318,6.318,000,3.1143
2015-03-04,6.524,6.524,6.524,6.524,000,3.21584
2015-03-03,6.553,6.553,6.553,6.553,000,3.23013
2015-03-02,6.099,6.553,6.099,6.553,100,3.23013
2015-02-27,6.069,6.069,6.069,6.069,000,2.99156
2015-02-26,5.952,5.952,5.952,5.952,000,2.93389
2015-02-25,5.903,5.903,5.903,5.903,000,2.90973
2015-02-24,5.903,5.903,5.903,5.903,000,2.90973
2015-02-23,5.903,5.903,5.903,5.903,000,2.90973
2015-02-20,5.903,5.903,5.903,5.903,000,2.90973
2015-02-19,5.932,5.932,5.932,5.932,000,2.92403
2015-02-18,5.785,5.987,5.785,5.987,800,2.95114
2015-02-17,5.785,5.785,5.785,5.785,000,2.85157
2015-02-16,5.785,5.785,5.785,5.785,000,2.85157
2015-02-13,5.785,5.785,5.785,5.785,000,2.85157
2015-02-12,5.785,5.785,5.785,5.785,000,2.85157
2015-02-11,5.785,5.785,5.785,5.785,000,2.85157
