Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,598.50,606.843,593.50,604.00,1239300,587.356
2016-03-31,607.00,612.00,600.00,601.00,1041900,584.438
2016-03-30,606.50,608.50,600.50,604.50,794600,587.842
2016-03-29,600.00,603.50,594.652,601.50,821500,584.924
2016-03-28,598.00,598.00,598.00,598.00,000,581.521
2016-03-24,596.50,604.00,591.50,598.00,916800,581.521
2016-03-23,595.50,600.50,592.50,597.50,763000,581.035
2016-03-22,596.50,598.00,587.50,598.00,1225800,581.521
2016-03-21,597.50,603.50,593.32,596.00,1112000,579.576
2016-03-18,598.00,606.00,596.00,597.00,7046300,580.548
2016-03-17,603.50,606.50,595.50,597.00,1122400,580.548
2016-03-16,601.00,603.00,596.50,598.00,764000,581.521
2016-03-15,601.50,607.50,595.00,597.00,1452800,580.548
2016-03-14,598.50,603.50,598.50,601.00,854100,584.438
2016-03-11,592.50,598.00,591.00,597.50,692200,581.035
2016-03-10,588.50,595.50,586.00,586.00,1443800,569.852
2016-03-09,591.50,591.50,586.50,588.00,719400,571.796
2016-03-08,589.50,592.50,587.00,589.00,827000,572.769
2016-03-07,595.50,599.00,592.50,593.00,573400,576.659
2016-03-04,589.50,597.50,585.50,596.00,2016300,579.576
2016-03-03,588.00,591.00,579.00,586.50,953100,570.338
2016-03-02,597.00,599.50,588.50,590.50,1399000,574.228
2016-03-01,591.50,599.75,589.50,594.00,1584300,577.631
2016-02-29,580.50,593.00,577.50,590.50,1006900,574.228
2016-02-26,589.00,591.50,579.00,585.00,1545500,568.879
2016-02-25,566.00,583.50,563.50,580.00,2514600,564.017
2016-02-24,526.50,534.00,525.00,534.00,850200,519.285
2016-02-23,532.00,532.00,523.00,529.00,1051500,514.422
2016-02-22,523.00,534.00,523.00,529.50,1127000,514.909
2016-02-19,516.50,524.35,514.00,518.50,1023700,504.212
2016-02-18,516.00,519.75,512.00,519.00,655500,504.698
2016-02-17,507.00,516.50,505.00,516.00,1001000,501.781
2016-02-16,497.60,504.00,494.70,504.00,1886800,490.111
2016-02-15,497.10,500.50,495.30,495.30,908800,481.651
2016-02-12,483.50,489.50,483.50,489.30,825200,475.816
2016-02-11,491.50,491.50,480.00,482.50,858000,469.204
