Date,Open,High,Low,Close,Volume,Adj_Close
2015-09-28,166.00,166.00,166.00,166.00,000,166.00
2015-09-25,166.00,166.00,166.00,166.00,000,166.00
2015-09-24,166.00,166.00,166.00,166.00,000,166.00
2015-09-23,166.00,166.00,166.00,166.00,000,166.00
2015-09-22,166.00,166.00,166.00,166.00,000,166.00
2015-09-21,166.00,166.00,166.00,166.00,000,166.00
2015-09-18,166.00,166.00,166.00,166.00,000,166.00
2015-09-17,166.00,166.00,166.00,166.00,000,166.00
2015-09-16,166.00,166.00,166.00,166.00,000,166.00
2015-09-15,166.00,166.00,166.00,166.00,000,166.00
2015-09-14,166.00,166.00,166.00,166.00,000,166.00
2015-09-11,166.00,166.00,166.00,166.00,000,166.00
2015-09-10,166.00,166.00,166.00,166.00,000,166.00
2015-09-09,166.00,166.00,166.00,166.00,000,166.00
2015-09-08,166.00,166.00,166.00,166.00,000,166.00
2015-09-07,166.00,166.00,166.00,166.00,000,166.00
2015-09-04,166.00,166.00,166.00,166.00,000,166.00
2015-09-03,166.00,166.00,166.00,166.00,000,166.00
2015-09-02,166.00,166.00,166.00,166.00,000,166.00
2015-09-01,166.00,166.00,166.00,166.00,000,166.00
2015-08-31,166.00,166.00,166.00,166.00,000,166.00
2015-08-28,166.00,166.00,166.00,166.00,000,166.00
2015-08-27,166.00,166.00,166.00,166.00,000,166.00
2015-08-26,166.00,166.00,166.00,166.00,000,166.00
2015-08-25,166.00,166.00,166.00,166.00,000,166.00
2015-08-24,166.00,166.00,166.00,166.00,000,166.00
2015-08-21,166.00,166.00,166.00,166.00,000,166.00
2015-08-20,166.00,166.00,166.00,166.00,000,166.00
2015-08-19,166.00,166.00,166.00,166.00,000,166.00
2015-08-18,166.00,166.00,166.00,166.00,000,166.00
2015-08-17,166.00,166.00,166.00,166.00,000,166.00
2015-08-14,166.00,166.00,166.00,166.00,000,166.00
2015-08-13,166.00,166.00,166.00,166.00,000,166.00
2015-08-12,166.00,166.00,166.00,166.00,000,166.00
2015-08-11,166.00,166.00,166.00,166.00,000,166.00
2015-08-10,166.00,166.00,166.00,166.00,000,166.00
2015-08-07,166.00,166.00,166.00,166.00,000,166.00
2015-08-06,166.00,166.00,166.00,166.00,000,166.00
2015-08-05,166.00,166.00,166.00,166.00,000,166.00
2015-08-04,166.00,166.00,166.00,166.00,000,166.00
2015-08-03,166.00,166.00,166.00,166.00,000,166.00
2015-07-31,166.00,166.00,166.00,166.00,000,166.00
2015-07-30,166.00,166.00,166.00,166.00,000,166.00
2015-07-29,166.00,166.00,166.00,166.00,000,166.00
2015-07-28,166.00,166.00,166.00,166.00,000,166.00
2015-07-27,166.00,166.00,166.00,166.00,000,166.00
2015-07-24,166.00,166.00,166.00,166.00,000,166.00
2015-07-23,166.00,166.00,166.00,166.00,000,166.00
2015-07-22,166.00,166.00,166.00,166.00,000,166.00
2015-07-21,166.00,166.00,166.00,166.00,000,166.00
2015-07-20,166.00,166.00,166.00,166.00,000,166.00
2015-07-17,166.00,166.00,166.00,166.00,000,166.00
2015-07-16,166.00,166.00,166.00,166.00,000,166.00
2015-07-15,166.00,166.00,166.00,166.00,000,166.00
2015-07-14,166.00,166.00,166.00,166.00,000,166.00
2015-07-13,166.00,166.00,166.00,166.00,000,166.00
2015-07-10,166.00,166.00,166.00,166.00,000,166.00
2015-07-09,166.00,166.00,166.00,166.00,000,166.00
2015-07-08,166.00,166.00,166.00,166.00,000,166.00
2015-07-07,166.00,166.00,166.00,166.00,000,166.00
2015-07-06,166.00,166.00,166.00,166.00,000,166.00
2015-07-03,166.00,166.00,166.00,166.00,000,166.00
2015-07-02,166.00,166.00,166.00,166.00,000,166.00
2015-07-01,166.00,166.00,166.00,166.00,000,166.00
2015-06-30,166.00,166.00,166.00,166.00,000,166.00
2015-06-29,166.00,166.00,166.00,166.00,000,166.00
