Date,Open,High,Low,Close,Volume,Adj_Close
2013-04-02,455.60,455.60,455.60,455.60,000,455.60
2013-04-01,445.69,445.69,445.69,445.69,000,445.69
2013-03-29,445.69,445.69,445.69,445.69,000,445.69
2013-03-28,445.69,445.69,445.69,445.69,000,445.69
2013-03-27,444.00,444.00,444.00,444.00,000,444.00
2013-03-26,433.80,433.80,433.80,433.80,000,433.80
2013-03-25,436.44,436.44,436.44,436.44,000,436.44
2013-03-22,430.25,430.25,430.25,430.25,000,430.25
2013-03-21,443.35,443.35,443.35,443.35,000,443.35
2013-03-20,433.94,443.40,433.94,443.40,000,443.40
2013-03-19,443.35,443.35,443.35,443.35,000,443.35
2013-03-18,449.10,449.10,449.10,449.10,000,449.10
2013-03-15,452.05,452.05,452.05,452.05,000,452.05
2013-03-14,446.00,446.00,446.00,446.00,000,446.00
2013-03-13,440.30,447.00,440.30,447.00,000,447.00
2013-03-12,435.85,435.85,435.85,435.85,000,435.85
2013-03-11,433.80,433.80,433.80,433.80,000,433.80
2013-03-08,432.00,432.00,432.00,432.00,000,432.00
2013-03-07,430.89,430.89,430.89,430.89,000,430.89
2013-03-06,441.75,441.75,441.75,441.75,000,441.75
2013-03-05,437.19,444.55,437.19,444.55,000,444.55
2013-03-04,437.05,437.05,437.05,437.05,000,437.05
2013-03-01,434.30,434.30,434.30,434.30,000,434.30
2013-02-28,422.75,422.75,422.75,422.75,000,422.75
2013-02-27,423.89,423.89,423.89,423.89,000,423.89
2013-02-26,422.25,422.25,422.25,422.25,000,422.25
2013-02-25,420.39,420.39,420.39,420.39,000,420.39
2013-02-22,426.69,426.69,426.69,426.69,000,426.69
2013-02-21,430.55,430.55,430.55,430.55,000,430.55
2013-02-20,427.05,427.05,427.05,427.05,000,427.05
2013-02-19,422.00,422.00,422.00,422.00,000,422.00
2013-02-18,424.44,424.44,424.44,424.44,000,424.44
2013-02-15,423.64,423.64,423.64,423.64,000,423.64
2013-02-14,422.50,422.50,422.50,422.50,000,422.50
2013-02-13,421.23,421.23,421.23,421.23,000,421.23
2013-02-12,420.55,420.55,420.55,420.55,000,420.55
2013-02-11,422.14,422.14,422.14,422.14,000,422.14
2013-02-08,420.14,423.40,420.14,423.40,000,423.40
2013-02-07,429.55,429.55,429.55,429.55,000,429.55
2013-02-06,437.39,437.39,437.39,437.39,000,437.39
2013-02-05,441.94,441.94,439.65,439.65,000,439.65
2013-02-04,421.55,427.35,421.55,427.35,000,427.35
2013-02-01,401.94,401.94,401.94,401.94,000,401.94
2013-01-31,397.35,397.35,397.00,397.00,000,397.00
2013-01-30,402.10,402.10,402.10,402.10,000,402.10
2013-01-29,404.89,404.89,404.89,404.89,000,404.89
2013-01-28,402.94,406.30,402.94,404.35,000,404.35
2013-01-25,405.80,405.80,405.80,405.80,000,405.80
2013-01-24,402.14,402.14,402.14,402.14,000,402.14
2013-01-23,405.72,405.72,405.72,405.72,000,405.72
2013-01-22,410.60,410.60,410.60,410.60,000,410.60
2013-01-21,416.80,416.80,416.80,416.80,000,416.80
2013-01-18,417.40,417.40,417.40,417.40,000,417.40
2013-01-17,419.80,419.80,419.80,419.80,000,419.80
2013-01-16,420.30,420.30,420.30,420.30,000,420.30
2013-01-15,414.75,414.75,414.75,414.75,000,414.75
2013-01-14,401.75,401.75,401.75,401.75,000,401.75
2013-01-11,407.05,407.05,407.05,407.05,000,407.05
2013-01-10,414.95,414.95,414.95,414.95,000,414.95
2013-01-09,408.00,408.00,408.00,408.00,000,408.00
2013-01-08,408.65,408.65,408.65,408.65,000,408.65
2013-01-07,405.40,410.50,405.40,410.50,000,410.50
2013-01-04,383.00,383.00,383.00,383.00,000,383.00
2013-01-03,383.25,383.25,383.25,383.25,000,383.25
2013-01-02,380.30,380.30,380.30,380.30,000,380.30
2013-01-01,380.30,380.30,380.30,380.30,000,380.30
2012-12-31,380.30,380.30,380.30,380.30,000,380.30
2012-12-28,380.30,380.30,380.30,380.30,000,380.30
2012-12-27,381.00,381.00,381.00,381.00,000,381.00
2012-12-26,385.85,385.85,385.85,385.85,000,385.85
2012-12-25,385.85,385.85,385.85,385.85,000,385.85
2012-12-24,385.85,385.85,385.85,385.85,000,385.85
2012-12-21,385.85,385.85,385.85,385.85,000,385.85
2012-12-20,384.65,384.65,384.65,384.65,000,384.65
2012-12-19,379.30,383.90,379.30,383.90,000,383.90
2012-12-18,381.30,381.30,381.30,381.30,000,381.30
2012-12-17,383.60,383.60,383.60,383.60,000,383.60
2012-12-14,369.40,369.40,369.40,369.40,000,369.40
2012-12-13,376.05,376.05,376.05,376.05,000,376.05
2012-12-12,377.75,377.75,377.75,377.75,000,377.75
2012-12-11,379.55,379.55,379.55,379.55,000,379.55
2012-12-10,377.85,377.85,377.85,377.85,000,377.85
2012-12-07,376.50,376.50,376.50,376.50,000,376.50
2012-12-06,367.70,376.30,367.70,376.30,000,376.30
2012-12-05,370.30,370.30,370.30,370.30,000,370.30
2012-12-04,371.70,373.60,371.70,373.60,000,373.60
2012-12-03,372.20,372.20,372.20,372.20,000,372.20
2012-11-30,364.90,364.90,364.90,364.90,000,364.90
2012-11-29,363.90,363.90,363.90,363.90,000,363.90
2012-11-28,362.35,362.35,362.35,362.35,000,362.35
2012-11-27,359.90,359.90,359.90,359.90,000,359.90
2012-11-26,363.40,363.40,363.40,363.40,000,363.40
2012-11-23,360.70,360.70,360.70,360.70,000,360.70
2012-11-22,357.70,357.70,357.70,357.70,000,357.70
2012-11-21,358.40,358.40,358.40,358.40,000,358.40
2012-11-20,353.15,353.15,353.15,353.15,000,353.15
2012-11-19,339.95,346.30,339.95,346.30,000,346.30
2012-11-16,342.80,342.80,342.80,342.80,000,342.80
2012-11-15,346.10,346.10,346.10,346.10,000,346.10
2012-11-14,350.70,350.70,350.70,350.70,000,350.70
2012-11-13,349.45,349.45,349.45,349.45,000,349.45
2012-11-12,343.05,343.05,343.05,343.05,000,343.05
2012-11-09,342.70,342.70,342.70,342.70,000,342.70
2012-11-08,336.85,336.85,336.85,336.85,000,336.85
2012-11-07,339.20,339.20,339.20,339.20,000,339.20
2012-11-06,340.55,340.55,340.55,340.55,000,340.55
2012-11-05,342.95,342.95,342.95,342.95,000,342.95
2012-11-02,334.00,334.00,334.00,334.00,000,334.00
2012-11-01,318.30,318.30,318.30,318.30,000,318.30
2012-10-31,320.10,320.10,320.10,320.10,000,320.10
2012-10-30,314.90,314.90,314.90,314.90,000,314.90
2012-10-29,315.30,315.30,315.30,315.30,000,315.30
2012-10-26,312.65,312.65,312.65,312.65,000,312.65
2012-10-25,311.90,311.90,311.90,311.90,000,311.90
2012-10-24,312.65,312.65,312.65,312.65,000,312.65
2012-10-23,317.60,317.60,317.60,317.60,000,317.60
2012-10-22,316.90,316.90,316.90,316.90,000,316.90
2012-10-19,318.50,318.50,318.50,318.50,000,318.50
2012-10-18,325.80,325.80,325.80,325.80,000,325.80
2012-10-17,321.90,321.90,321.90,321.90,000,321.90
2012-10-16,315.35,315.35,315.35,315.35,000,315.35
2012-10-15,311.55,311.55,311.55,311.55,000,311.55
2012-10-12,313.40,313.40,313.40,313.40,000,313.40
2012-10-11,303.80,303.80,303.80,303.80,000,303.80
2012-10-10,305.30,306.05,305.30,306.05,000,306.05
2012-10-09,306.40,306.40,306.40,306.40,000,306.40
2012-10-08,311.15,311.15,311.15,311.15,000,311.15
2012-10-05,308.30,308.30,308.30,308.30,000,308.30
2012-10-04,311.90,311.90,311.10,311.10,000,311.10
2012-10-03,316.70,316.70,316.70,316.70,000,316.70
2012-10-02,314.55,314.55,314.55,314.55,000,314.55
2012-10-01,309.15,314.55,309.15,314.55,000,314.55
2012-09-28,308.25,308.25,308.25,308.25,000,308.25
2012-09-27,314.60,315.15,314.60,315.15,000,315.15
2012-09-26,322.90,322.90,322.90,322.90,000,322.90
2012-09-25,321.65,321.65,321.65,321.65,000,321.65
2012-09-24,323.20,323.20,323.20,323.20,000,323.20
2012-09-21,326.43,326.43,326.43,326.43,000,326.43
2012-09-20,327.85,327.85,327.85,327.85,000,327.85
2012-09-19,326.35,329.30,326.35,329.30,000,329.30
2012-09-18,330.85,330.85,330.85,330.85,000,330.85
2012-09-17,335.55,335.55,335.55,335.55,000,335.55
2012-09-14,328.10,328.10,328.10,328.10,000,328.10
2012-09-13,328.95,329.00,328.95,329.00,000,329.00
2012-09-12,333.85,333.85,333.85,333.85,000,333.85
2012-09-11,341.55,341.55,341.55,341.55,000,341.55
2012-09-10,339.30,339.30,339.30,339.30,000,339.30
2012-09-07,335.40,335.40,335.40,335.40,000,335.40
2012-09-06,329.75,329.75,329.75,329.75,000,329.75
2012-09-05,328.35,328.35,328.35,328.35,000,328.35
2012-09-04,330.90,330.90,330.90,330.90,000,330.90
2012-09-03,324.05,324.05,324.05,324.05,000,324.05
2012-08-31,325.05,328.00,325.05,328.00,000,328.00
2012-08-30,328.30,328.30,328.30,328.30,000,328.30
2012-08-29,327.95,328.05,327.95,328.05,000,328.05
2012-08-28,333.20,333.20,330.40,330.40,000,330.40
2012-08-27,332.25,332.25,332.25,332.25,000,332.25
2012-08-24,338.05,338.05,333.95,333.95,000,333.95
2012-08-23,337.75,337.75,336.15,336.15,000,336.15
2012-08-22,337.65,340.15,337.65,340.15,000,340.15
2012-08-21,340.45,340.45,340.00,340.00,000,340.00
2012-08-20,337.90,337.90,337.90,337.90,000,337.90
2012-08-17,341.80,341.80,341.80,341.80,000,341.80
2012-08-16,338.30,338.30,338.30,338.30,000,338.30
2012-08-15,337.35,339.15,337.35,339.15,000,339.15
2012-08-14,331.10,331.10,331.10,331.10,000,331.10
2012-08-13,335.90,335.90,335.90,335.90,000,335.90
2012-08-10,335.15,335.15,335.15,335.15,000,335.15
2012-08-09,336.20,338.00,336.20,338.00,000,338.00
2012-08-08,332.75,332.75,331.60,331.60,000,331.60
2012-08-07,329.40,334.25,329.40,334.25,000,334.25
2012-08-06,320.55,333.55,320.55,333.55,000,333.55
2012-08-03,317.00,317.00,317.00,317.00,000,317.00
2012-08-02,325.10,328.80,325.10,328.80,000,328.80
2012-08-01,329.15,330.60,329.15,330.60,100,330.60
2012-07-31,329.10,329.10,329.10,329.10,000,329.10
2012-07-30,329.75,329.75,329.75,329.75,000,329.75
2012-07-27,322.65,322.65,322.65,322.65,000,322.65
2012-07-26,313.80,313.80,313.80,313.80,000,313.80
2012-07-25,306.75,306.75,306.75,306.75,000,306.75
2012-07-24,307.30,307.30,307.30,307.30,000,307.30
2012-07-23,302.55,302.55,302.55,302.55,000,302.55
2012-07-20,309.15,309.15,309.15,309.15,000,309.15
2012-07-19,302.80,302.80,302.80,302.80,000,302.80
2012-07-18,292.50,292.50,292.50,292.50,000,292.50
2012-07-17,288.00,297.45,288.00,295.55,000,295.55
2012-07-16,293.15,293.15,288.55,288.55,000,288.55
2012-07-13,287.45,293.65,287.45,293.55,000,293.55
2012-07-12,299.35,299.35,299.35,299.35,000,299.35
2012-07-11,304.80,304.80,302.15,302.15,000,302.15
2012-07-10,300.25,308.45,300.25,308.45,000,308.45
2012-07-09,306.80,306.80,306.80,306.80,000,306.80
2012-07-06,316.05,316.05,316.05,316.05,000,316.05
2012-07-05,315.40,318.00,315.40,318.00,000,318.00
2012-07-04,314.70,314.70,314.70,314.70,000,314.70
2012-07-03,310.05,310.05,310.05,310.05,000,310.05
2012-07-02,309.50,309.50,309.50,309.50,000,309.50
2012-06-29,305.45,309.00,305.45,309.00,000,309.00
2012-06-28,306.50,306.50,301.95,301.95,100,301.95
2012-06-27,304.55,304.55,304.55,304.55,000,304.55
2012-06-26,303.30,305.00,302.60,305.00,000,305.00
2012-06-25,306.45,306.45,306.45,306.45,000,306.45
2012-06-22,314.45,314.45,314.45,314.45,000,314.45
2012-06-21,312.00,312.00,312.00,312.00,000,312.00
2012-06-20,312.55,312.55,312.55,312.55,000,312.55
2012-06-19,306.25,306.25,306.25,306.25,000,306.25
2012-06-18,302.35,302.35,302.35,302.35,000,302.35
2012-06-15,295.05,295.05,295.05,295.05,000,295.05
2012-06-14,302.15,302.15,302.15,302.15,000,302.15
2012-06-13,302.00,302.00,302.00,302.00,000,302.00
2012-06-12,308.20,308.20,304.25,304.25,000,304.25
2012-06-11,313.50,313.50,313.50,313.50,000,313.50
