Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,5.895,5.895,5.895,5.895,000,5.895
2016-03-31,6.088,6.088,6.088,6.088,000,6.088
2016-03-30,6.307,6.307,6.307,6.307,000,6.307
2016-03-29,6.364,6.364,6.364,6.364,000,6.364
2016-03-28,6.267,6.267,6.267,6.267,000,6.267
2016-03-25,6.267,6.267,6.267,6.267,000,6.267
2016-03-24,6.267,6.267,6.267,6.267,000,6.267
2016-03-23,6.221,6.221,6.221,6.221,000,6.221
2016-03-22,6.184,6.184,6.184,6.184,000,6.184
2016-03-21,6.046,6.046,6.046,6.046,000,6.046
2016-03-18,6.118,6.118,6.118,6.118,000,6.118
2016-03-17,6.122,6.122,6.122,6.122,000,6.122
2016-03-16,6.105,6.105,6.105,6.105,000,6.105
2016-03-15,6.146,6.146,6.146,6.146,000,6.146
2016-03-14,6.079,6.079,6.079,6.079,000,6.079
2016-03-11,6.025,6.025,6.025,6.025,000,6.025
2016-03-10,6.138,6.138,6.138,6.138,000,6.138
2016-03-09,6.083,6.083,6.083,6.083,000,6.083
2016-03-08,5.957,5.957,5.957,5.957,000,5.957
2016-03-07,5.879,5.879,5.879,5.879,000,5.879
2016-03-04,5.994,5.994,5.994,5.994,000,5.994
2016-03-03,5.977,5.977,5.977,5.977,000,5.977
2016-03-02,5.919,5.919,5.919,5.919,000,5.919
2016-03-01,5.926,5.926,5.926,5.926,000,5.926
2016-02-29,5.836,5.836,5.836,5.836,000,5.836
2016-02-26,5.903,5.903,5.903,5.903,000,5.903
2016-02-25,5.965,5.965,5.965,5.965,000,5.965
2016-02-24,6.039,6.039,6.039,6.039,000,6.039
2016-02-23,5.945,5.945,5.945,5.945,000,5.945
2016-02-22,5.902,5.902,5.902,5.902,000,5.902
2016-02-19,5.926,5.926,5.926,5.926,000,5.926
2016-02-18,5.992,5.992,5.992,5.992,000,5.992
2016-02-17,5.997,5.997,5.997,5.997,000,5.997
2016-02-16,5.969,6.155,5.969,6.155,000,6.155
2016-02-15,6.071,6.071,6.071,6.071,000,6.071
2016-02-12,5.835,5.835,5.835,5.835,000,5.835
2016-02-11,5.93,5.93,5.93,5.93,000,5.93
2016-02-10,5.825,6.183,5.825,6.183,000,6.183
2016-02-09,6.192,6.192,6.192,6.192,000,6.192
2016-02-08,6.227,6.227,6.227,6.227,000,6.227
2016-02-05,6.01,6.01,6.01,6.01,000,6.01
2016-02-04,5.697,5.905,5.697,5.905,000,5.905
2016-02-03,5.982,5.982,5.982,5.982,000,5.982
2016-02-02,5.96,5.96,5.96,5.96,000,5.96
2016-02-01,5.906,5.906,5.906,5.906,000,5.906
2016-01-29,5.753,5.905,5.753,5.905,000,5.905
2016-01-28,5.723,5.723,5.723,5.723,000,5.723
2016-01-27,5.701,5.701,5.701,5.701,000,5.701
