Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,8.23,8.24,8.20,8.20,2200,8.20
2016-03-31,8.27,8.27,8.20,8.26,57800,8.26
2016-03-30,8.20,8.29,8.20,8.29,6600,8.29
2016-03-29,8.08,8.18,8.08,8.18,1500,8.18
2016-03-28,8.19,8.25,8.19,8.24,17800,8.198
2016-03-24,8.25,8.25,8.21,8.21,9600,8.168153
2016-03-23,8.24,8.24,8.22,8.22,7600,8.178102
2016-03-22,8.19,8.25,8.15,8.25,13400,8.207949
2016-03-21,8.26,8.29,8.17,8.24,23000,8.198
2016-03-18,8.30,8.34,8.26,8.30,18200,8.257694
2016-03-17,8.24,8.35,8.24,8.35,17700,8.30744
2016-03-16,8.15,8.33,8.15,8.33,16000,8.287541
2016-03-15,8.22,8.30,8.13,8.27,13500,8.227848
2016-03-14,8.27,8.27,8.24,8.25,3100,8.207949
2016-03-11,8.23,8.33,8.22,8.28,6300,8.237796
2016-03-10,8.22,8.22,8.10,8.20,45200,8.158204
2016-03-09,8.19,8.19,8.15,8.15,21800,8.108458
2016-03-08,8.27,8.28,8.10,8.20,21600,8.158204
2016-03-07,8.42,8.42,8.25,8.27,34800,8.227848
2016-03-04,8.27,8.43,8.27,8.42,42400,8.377083
2016-03-03,8.27,8.28,8.25,8.27,27000,8.227848
2016-03-02,8.31,8.31,8.27,8.27,600,8.227848
2016-03-01,8.20,8.20,8.20,8.20,10400,8.158204
2016-02-29,8.33,8.33,8.20,8.20,20900,8.158204
2016-02-26,8.20,8.27,8.20,8.26,16800,8.217898
2016-02-25,8.19,8.19,8.19,8.19,000,8.148254
2016-02-24,8.14,8.19,8.00,8.19,9300,8.106469
2016-02-23,8.20,8.22,8.20,8.22,2100,8.136163
2016-02-22,8.39,8.39,8.20,8.25,21000,8.165857
2016-02-19,8.31,8.31,8.20,8.20,6500,8.116367
2016-02-18,8.32,8.33,8.31,8.31,3700,8.225246
2016-02-17,8.29,8.31,8.25,8.31,5100,8.225246
2016-02-16,8.10,8.15,8.10,8.15,8500,8.066877
2016-02-15,7.85,7.85,7.85,7.85,000,7.769937
2016-02-12,7.85,7.98,7.85,7.98,9000,7.898611
2016-02-11,7.80,7.85,7.75,7.85,6400,7.769937
2016-02-10,7.98,8.00,7.88,7.95,26600,7.868917
2016-02-09,8.00,8.00,7.85,7.96,17600,7.878815
2016-02-08,8.21,8.22,8.05,8.20,12500,8.116367
2016-02-05,8.37,8.40,8.34,8.35,4300,8.264838
2016-02-04,8.29,8.46,8.29,8.40,17400,8.314327
2016-02-03,8.50,8.50,8.36,8.43,27500,8.344022
2016-02-02,8.68,8.68,8.46,8.46,40500,8.373715
2016-02-01,8.76,8.76,8.70,8.70,3900,8.611267
2016-01-29,8.52,8.74,8.52,8.74,12100,8.650859
2016-01-28,8.54,8.61,8.50,8.55,24800,8.462798
2016-01-27,8.61,8.63,8.50,8.50,42300,8.413307
2016-01-26,8.67,8.67,8.61,8.63,12800,8.50041
2016-01-25,8.78,8.78,8.66,8.66,7300,8.529959
2016-01-22,8.74,8.86,8.74,8.77,85400,8.638308
2016-01-21,8.57,8.67,8.51,8.64,30400,8.51026
2016-01-20,8.40,8.68,8.40,8.59,33900,8.46101
2016-01-19,8.52,8.73,8.50,8.52,45600,8.392062
2016-01-18,8.57,8.71,8.52,8.52,24900,8.392062
2016-01-15,8.57,8.71,8.55,8.66,14200,8.529959
2016-01-14,8.78,8.80,8.73,8.77,12100,8.638308
2016-01-13,8.67,8.80,8.65,8.65,30100,8.520109
2016-01-12,8.75,8.83,8.66,8.72,14900,8.589058
2016-01-11,8.75,8.75,8.55,8.73,72300,8.598908
2016-01-08,8.74,8.90,8.68,8.68,124400,8.549659
2016-01-07,8.81,8.84,8.66,8.75,78200,8.618608
2016-01-06,9.04,9.04,8.90,8.95,75200,8.815604
2016-01-05,9.07,9.30,8.97,9.30,44300,9.160349
2016-01-04,9.10,9.12,9.05,9.12,2200,8.983052
2015-12-31,9.26,9.33,9.23,9.33,3500,9.189898
2015-12-30,9.29,9.30,9.27,9.29,4800,9.150499
2015-12-29,9.20,9.35,9.20,9.35,18200,9.209598
2015-12-28,9.28,9.28,9.28,9.28,000,9.09928
2015-12-24,9.23,9.27,9.04,9.23,54300,9.050253
2015-12-23,9.21,9.30,9.21,9.28,18600,9.09928
2015-12-22,9.11,9.18,9.10,9.18,74100,9.001228
2015-12-21,9.07,9.15,9.00,9.15,134000,8.971811
2015-12-18,9.04,9.23,9.02,9.23,34700,9.050253
2015-12-17,8.94,8.94,8.94,8.94,000,8.765901
2015-12-16,8.80,8.80,8.80,8.80,000,8.628628
2015-12-15,8.80,8.80,8.80,8.80,000,8.628628
2015-12-14,8.80,8.80,8.80,8.80,000,8.628628
2015-12-11,8.84,8.84,8.62,8.80,30500,8.628628
2015-12-10,8.89,8.89,8.89,8.89,000,8.716875
2015-12-09,8.82,8.92,8.75,8.92,28600,8.746291
2015-12-08,8.96,8.96,8.96,8.96,000,8.785512
2015-12-07,8.96,8.96,8.96,8.96,000,8.785512
2015-12-04,8.78,8.96,8.78,8.96,17400,8.785512
2015-12-03,8.89,8.89,8.71,8.80,28100,8.628628
2015-12-02,9.00,9.00,9.00,9.00,000,8.824733
2015-12-01,8.89,8.89,8.89,8.89,000,8.716875
2015-11-30,8.89,8.89,8.89,8.89,000,8.716875
2015-11-27,8.88,8.89,8.82,8.89,18300,8.716875
2015-11-26,8.92,8.92,8.92,8.92,000,8.746291
2015-11-25,8.97,8.97,8.97,8.97,000,8.754135
2015-11-24,9.06,9.06,9.06,9.06,000,8.841969
2015-11-23,9.06,9.06,9.06,9.06,000,8.841969
2015-11-20,9.04,9.06,8.98,9.06,28900,8.841969
2015-11-19,8.71,8.71,8.71,8.71,000,8.500392
2015-11-18,8.81,8.81,8.81,8.81,000,8.597986
2015-11-17,8.75,8.75,8.75,8.75,000,8.539429
2015-11-16,8.75,8.75,8.75,8.75,000,8.539429
2015-11-13,8.81,8.95,8.70,8.75,9800,8.539429
2015-11-12,8.98,8.98,8.75,8.82,17200,8.607744
2015-11-11,9.04,9.04,9.04,9.04,000,8.82245
2015-11-10,8.98,8.98,8.98,8.98,000,8.763894
2015-11-09,9.09,9.09,9.09,9.09,000,8.871247
2015-11-06,9.04,9.10,9.00,9.09,9200,8.871247
2015-11-05,9.04,9.04,9.04,9.04,000,8.82245
2015-11-04,9.12,9.12,9.12,9.12,000,8.900525
2015-11-03,9.00,9.00,9.00,9.00,000,8.783413
2015-11-02,9.00,9.00,9.00,9.00,000,8.783413
2015-10-30,9.00,9.07,8.95,9.00,33200,8.783413
2015-10-29,8.85,8.85,8.85,8.85,000,8.637023
2015-10-28,8.85,8.85,8.85,8.85,000,8.637023
2015-10-27,8.92,8.92,8.92,8.92,000,8.664349
2015-10-26,8.92,8.92,8.92,8.92,000,8.664349
2015-10-23,8.96,8.96,8.85,8.92,10900,8.664349
2015-10-22,8.57,8.57,8.57,8.57,000,8.324379
2015-10-21,8.66,8.66,8.66,8.66,000,8.4118
2015-10-20,8.70,8.70,8.70,8.70,000,8.450654
2015-10-19,8.70,8.70,8.70,8.70,000,8.450654
2015-10-16,8.59,8.70,8.59,8.70,15700,8.450654
2015-10-15,8.55,8.55,8.55,8.55,000,8.304953
2015-10-14,8.68,8.68,8.68,8.68,000,8.431227
2015-10-13,8.68,8.68,8.68,8.68,000,8.431227
2015-10-09,8.70,8.74,8.65,8.68,16100,8.431227
2015-10-08,8.77,8.77,8.77,8.77,000,8.518648
2015-10-07,8.75,8.75,8.75,8.75,000,8.499221
2015-10-06,8.58,8.58,8.58,8.58,000,8.334093
2015-10-05,8.58,8.58,8.58,8.58,000,8.334093
2015-10-02,8.60,8.60,8.55,8.58,3800,8.334093
2015-10-01,8.72,8.72,8.72,8.72,000,8.470081
2015-09-30,8.61,8.61,8.61,8.61,000,8.363233
