Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-11,2.654,2.654,2.654,2.654,000,2.654
2016-03-10,2.897,2.897,2.897,2.897,100,2.897
2016-03-09,2.58,2.58,2.58,2.58,000,2.58
2016-03-08,3.079,3.079,3.079,3.079,000,3.079
2016-03-07,2.561,2.561,2.561,2.561,000,2.561
2016-03-04,2.383,2.383,2.383,2.383,000,2.383
2016-03-03,2.366,2.416,2.366,2.416,300,2.416
2016-03-02,1.961,1.961,1.961,1.961,000,1.961
2016-03-01,1.64,1.64,1.64,1.64,000,1.64
2016-02-29,1.443,1.443,1.443,1.443,000,1.443
2016-02-26,1.429,1.429,1.429,1.429,000,1.429
2016-02-25,1.394,1.394,1.394,1.394,000,1.394
2016-02-24,1.372,1.372,1.372,1.372,000,1.372
2016-02-23,1.43,1.43,1.43,1.43,000,1.43
2016-02-22,1.401,1.401,1.401,1.401,000,1.401
2016-02-19,1.456,1.456,1.456,1.456,000,1.456
2016-02-18,1.496,1.496,1.496,1.496,000,1.496
2016-02-17,1.405,1.405,1.405,1.405,000,1.405
2016-02-16,1.442,1.442,1.442,1.442,000,1.442
2016-02-15,1.423,1.423,1.423,1.423,000,1.423
2016-02-12,1.335,1.335,1.335,1.335,000,1.335
2016-02-11,1.417,1.417,1.417,1.417,000,1.417
2016-02-10,1.373,1.373,1.373,1.373,000,1.373
2016-02-09,1.431,1.431,1.431,1.431,000,1.431
2016-02-08,1.505,1.505,1.505,1.505,000,1.505
2016-02-05,1.577,1.577,1.577,1.577,000,1.577
2016-02-04,1.594,1.594,1.594,1.594,000,1.594
2016-02-03,1.493,1.493,1.493,1.493,000,1.493
2016-02-02,1.599,1.599,1.599,1.599,000,1.599
2016-02-01,1.832,1.832,1.832,1.832,000,1.832
2016-01-29,1.636,1.636,1.636,1.636,000,1.636
2016-01-28,1.527,1.527,1.527,1.527,000,1.527
2016-01-27,1.536,1.536,1.536,1.536,000,1.536
2016-01-26,1.447,1.447,1.447,1.447,000,1.447
2016-01-25,1.525,1.525,1.525,1.525,000,1.525
2016-01-22,1.431,1.431,1.431,1.431,000,1.431
2016-01-21,1.25,1.25,1.25,1.25,000,1.25
2016-01-20,1.286,1.286,1.286,1.286,000,1.286
2016-01-19,1.407,1.407,1.407,1.407,000,1.407
2016-01-18,1.405,1.405,1.405,1.405,000,1.405
2016-01-15,1.441,1.441,1.441,1.441,000,1.441
2016-01-14,1.407,1.407,1.407,1.407,000,1.407
2016-01-13,1.547,1.547,1.547,1.547,000,1.547
2016-01-12,1.601,1.601,1.601,1.601,000,1.601
2016-01-11,1.715,1.715,1.715,1.715,000,1.715
2016-01-08,1.743,1.743,1.743,1.743,000,1.743
2016-01-07,1.903,1.903,1.903,1.903,000,1.903
2016-01-06,2.017,2.017,2.017,2.017,000,2.017
2016-01-05,2.146,2.146,2.146,2.146,000,2.146
2016-01-04,2.06,2.06,2.06,2.06,000,2.06
2016-01-01,2.11,2.11,2.11,2.11,000,2.11
2015-12-31,2.11,2.11,2.11,2.11,000,2.11
2015-12-30,2.118,2.118,2.11,2.11,000,2.11
2015-12-29,2.119,2.119,2.119,2.119,000,2.119
2015-12-28,2.339,2.339,2.339,2.339,000,2.339
2015-12-25,1.865,1.865,1.865,1.865,000,1.865
2015-12-24,1.865,1.865,1.865,1.865,000,1.865
2015-12-23,1.865,1.865,1.865,1.865,000,1.865
2015-12-22,1.905,1.905,1.905,1.905,000,1.905
2015-12-21,2.047,2.047,2.047,2.047,000,2.047
2015-12-18,2.248,2.248,2.248,2.248,000,2.248
2015-12-17,2.464,2.464,2.372,2.372,1500,2.372
2015-12-16,2.526,2.526,2.526,2.526,000,2.526
2015-12-15,2.363,2.363,2.363,2.363,000,2.363
2015-12-14,2.601,2.601,2.601,2.601,000,2.601
2015-12-11,2.831,2.831,2.831,2.831,000,2.831
2015-12-10,2.81,2.81,2.81,2.81,000,2.81
2015-12-09,2.828,2.828,2.828,2.828,000,2.828
2015-12-08,3.045,3.045,3.045,3.045,000,3.045
2015-12-07,3.086,3.086,3.086,3.086,000,3.086
2015-12-04,3.233,3.233,3.233,3.233,000,3.233
2015-12-03,3.314,3.314,3.314,3.314,000,3.314
2015-12-02,3.356,3.356,3.356,3.356,000,3.356
2015-12-01,3.473,3.473,3.473,3.473,000,3.473
2015-11-30,3.262,3.262,3.262,3.262,000,3.262
2015-11-27,3.385,3.385,3.385,3.385,000,3.385
2015-11-26,3.389,3.389,3.389,3.389,000,3.389
2015-11-25,3.327,3.327,3.327,3.327,000,3.327
2015-11-24,3.165,3.165,3.165,3.165,000,3.165
2015-11-23,3.121,3.121,3.121,3.121,000,3.121
2015-11-20,3.12,3.12,3.12,3.12,000,3.12
2015-11-19,3.283,3.283,3.283,3.283,000,3.283
2015-11-18,3.167,3.167,3.167,3.167,000,3.167
2015-11-17,3.30,3.30,3.30,3.30,000,3.30
2015-11-16,3.01,3.01,3.01,3.01,000,3.01
2015-11-13,2.982,2.982,2.982,2.982,000,2.982
2015-11-12,3.242,3.242,3.242,3.242,000,3.242
2015-11-11,3.578,3.578,3.578,3.578,000,3.578
2015-11-10,3.468,3.468,3.468,3.468,000,3.468
2015-11-09,3.378,3.378,3.378,3.378,000,3.378
2015-11-06,3.411,3.411,3.411,3.411,000,3.411
2015-11-05,3.033,3.033,3.033,3.033,000,3.033
2015-11-04,3.089,3.089,3.089,3.089,000,3.089
2015-11-03,2.899,2.899,2.899,2.899,000,2.899
2015-11-02,2.899,2.899,2.899,2.899,000,2.899
2015-10-30,2.917,2.917,2.917,2.917,000,2.917
2015-10-29,2.935,2.935,2.935,2.935,000,2.935
2015-10-28,2.754,2.754,2.754,2.754,000,2.754
2015-10-27,2.952,2.952,2.952,2.952,000,2.952
2015-10-26,3.067,3.067,3.067,3.067,000,3.067
2015-10-23,3.016,3.016,3.016,3.016,000,3.016
2015-10-22,2.926,2.926,2.926,2.926,000,2.926
2015-10-21,3.014,3.014,3.014,3.014,000,3.014
2015-10-20,2.95,2.95,2.95,2.95,000,2.95
2015-10-19,3.019,3.019,3.019,3.019,000,3.019
2015-10-16,2.99,2.99,2.99,2.99,000,2.99
2015-10-15,2.72,2.72,2.72,2.72,000,2.72
2015-10-14,2.82,2.82,2.82,2.82,000,2.82
2015-10-13,2.913,2.913,2.913,2.913,000,2.913
2015-10-12,3.096,3.096,3.096,3.096,000,3.096
2015-10-09,3.155,3.155,3.155,3.155,000,3.155
2015-10-08,2.952,2.952,2.952,2.952,000,2.952
2015-10-07,2.978,2.978,2.978,2.978,000,2.978
2015-10-06,2.743,2.743,2.743,2.743,000,2.743
2015-10-05,2.532,2.532,2.532,2.532,000,2.532
2015-10-02,2.544,2.544,2.544,2.544,000,2.544
2015-10-01,2.64,2.64,2.64,2.64,000,2.64
2015-09-30,2.652,2.652,2.652,2.652,000,2.652
2015-09-29,2.69,2.69,2.69,2.69,000,2.69
2015-09-28,2.849,2.849,2.849,2.849,000,2.849
2015-09-25,2.993,2.993,2.993,2.993,000,2.993
2015-09-24,2.997,2.997,2.997,2.997,000,2.997
2015-09-23,3.121,3.121,3.121,3.121,000,3.121
2015-09-22,3.20,3.20,3.20,3.20,000,3.20
2015-09-21,3.191,3.191,3.191,3.191,000,3.191
