Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.536,0.551,0.476,0.476,000,0.476
2016-03-31,0.526,0.58,0.526,0.54,000,0.54
2016-03-30,0.553,0.58,0.54,0.58,000,0.58
2016-03-29,0.55,0.58,0.55,0.58,000,0.58
2016-03-28,0.558,0.558,0.558,0.558,000,0.558
2016-03-25,0.558,0.558,0.558,0.558,000,0.558
2016-03-24,0.55,0.566,0.55,0.558,000,0.558
2016-03-23,0.55,0.59,0.546,0.566,4000,0.566
2016-03-22,0.55,0.554,0.526,0.526,000,0.526
2016-03-21,0.549,0.57,0.546,0.55,000,0.55
2016-03-18,0.548,0.556,0.51,0.546,000,0.546
2016-03-17,0.548,0.553,0.521,0.521,000,0.521
2016-03-16,0.531,0.55,0.50,0.55,000,0.55
2016-03-15,0.587,0.593,0.501,0.521,4000,0.521
2016-03-14,0.587,0.589,0.58,0.58,000,0.58
2016-03-11,0.576,0.592,0.576,0.581,000,0.581
2016-03-10,0.553,0.60,0.553,0.60,000,0.60
2016-03-09,0.576,0.611,0.576,0.58,000,0.58
2016-03-08,0.571,0.586,0.571,0.586,000,0.586
2016-03-07,0.56,0.581,0.56,0.58,000,0.58
2016-03-04,0.598,0.606,0.55,0.55,000,0.55
2016-03-03,0.59,0.59,0.571,0.576,000,0.576
2016-03-02,0.61,0.625,0.571,0.571,000,0.571
2016-03-01,0.60,0.615,0.546,0.61,000,0.61
2016-02-29,0.561,0.601,0.561,0.601,000,0.601
2016-02-26,0.559,0.59,0.559,0.59,000,0.59
2016-02-25,0.608,0.608,0.59,0.59,000,0.59
2016-02-24,0.69,0.70,0.60,0.60,000,0.60
2016-02-23,0.626,0.70,0.626,0.70,000,0.70
2016-02-22,0.601,0.71,0.601,0.67,000,0.67
2016-02-19,0.639,0.65,0.639,0.65,000,0.65
2016-02-18,0.564,0.70,0.55,0.70,500,0.70
2016-02-17,0.549,0.60,0.549,0.60,000,0.60
2016-02-16,0.62,0.65,0.55,0.57,000,0.57
2016-02-15,0.679,0.679,0.605,0.66,000,0.66
2016-02-12,0.608,0.614,0.47,0.60,000,0.60
2016-02-11,0.606,0.606,0.59,0.601,000,0.601
2016-02-10,0.601,0.61,0.601,0.601,000,0.601
2016-02-09,0.585,0.601,0.585,0.601,000,0.601
2016-02-08,0.55,0.611,0.55,0.601,000,0.601
2016-02-05,0.55,0.59,0.55,0.59,000,0.59
2016-02-04,0.647,0.648,0.59,0.641,1500,0.641
2016-02-03,0.647,0.647,0.576,0.576,000,0.576
2016-02-02,0.647,0.651,0.60,0.60,000,0.60
2016-02-01,0.652,0.652,0.652,0.652,000,0.652
2016-01-29,0.626,0.652,0.626,0.652,000,0.652
2016-01-28,0.627,0.661,0.621,0.651,000,0.651
2016-01-27,0.60,0.70,0.60,0.70,000,0.70
2016-01-26,0.60,0.621,0.60,0.621,000,0.621
