Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,3.95,3.95,3.95,3.95,000,3.95
2016-03-31,3.95,3.95,3.95,3.95,000,3.95
2016-03-30,3.55,3.95,3.55,3.95,600,3.95
2016-03-29,3.59,3.59,3.59,3.59,000,3.59
2016-03-28,3.59,3.59,3.59,3.59,000,3.59
2016-03-25,3.59,3.59,3.59,3.59,000,3.59
2016-03-24,3.60,3.60,3.50,3.59,2000,3.59
2016-03-23,3.77,3.77,3.77,3.77,000,3.77
2016-03-22,3.70,3.77,3.70,3.77,100,3.77
2016-03-21,3.77,3.77,3.77,3.77,100,3.77
2016-03-18,3.77,3.77,3.77,3.77,000,3.77
2016-03-17,3.76,3.77,3.73,3.77,400,3.77
2016-03-16,3.60,3.60,3.60,3.60,000,3.60
2016-03-15,3.60,3.60,3.60,3.60,000,3.60
2016-03-14,3.60,3.60,3.60,3.60,000,3.60
2016-03-11,3.77,3.77,3.60,3.60,000,3.60
2016-03-10,3.92,3.92,3.43,3.43,000,3.43
2016-03-09,3.51,3.51,3.50,3.50,6500,3.50
2016-03-08,4.54,4.54,4.54,4.54,000,4.54
2016-03-07,4.34,4.54,4.20,4.54,2100,4.54
2016-03-04,3.55,4.35,3.55,4.35,3400,4.35
2016-03-03,3.12,3.54,3.12,3.54,900,3.54
2016-03-02,3.10,3.10,3.10,3.10,100,3.10
2016-03-01,2.90,2.90,2.90,2.90,300,2.90
2016-02-29,2.64,2.64,2.64,2.64,000,2.64
2016-02-26,2.66,2.66,2.64,2.64,4000,2.64
2016-02-25,2.94,2.94,2.94,2.94,000,2.94
2016-02-24,2.94,2.94,2.94,2.94,000,2.94
2016-02-23,2.94,2.94,2.94,2.94,000,2.94
2016-02-22,2.84,3.05,2.84,2.94,100,2.94
2016-02-19,2.85,2.85,2.85,2.85,000,2.85
2016-02-18,2.60,2.60,2.60,2.60,000,2.60
2016-02-17,2.60,2.60,2.60,2.60,400,2.60
2016-02-16,2.34,2.34,2.34,2.34,000,2.34
2016-02-15,2.34,2.34,2.34,2.34,000,2.34
2016-02-12,2.34,2.34,2.34,2.34,000,2.34
2016-02-11,2.34,2.34,2.34,2.34,300,2.34
2016-02-10,2.65,2.65,2.65,2.65,000,2.65
2016-02-09,2.65,2.65,2.65,2.65,000,2.65
2016-02-08,2.65,2.65,2.65,2.65,000,2.65
2016-02-05,2.50,2.65,2.50,2.65,400,2.65
2016-02-04,2.00,2.50,1.99,2.50,1500,2.50
2016-02-03,2.25,2.25,2.05,2.19,3200,2.19
2016-02-02,2.46,2.46,2.46,2.46,200,2.46
2016-02-01,2.26,2.26,2.26,2.26,100,2.26
2016-01-29,2.05,2.05,2.05,2.05,000,2.05
2016-01-28,2.05,2.05,2.05,2.05,000,2.05
2016-01-27,2.05,2.05,2.05,2.05,000,2.05
2016-01-26,2.05,2.05,2.05,2.05,000,2.05
2016-01-25,2.05,2.05,2.05,2.05,500,2.05
2016-01-22,2.00,2.00,2.00,2.00,000,2.00
2016-01-21,2.00,2.00,2.00,2.00,000,2.00
2016-01-20,2.07,2.12,2.00,2.00,10400,2.00
2016-01-19,2.01,2.01,2.01,2.01,000,2.01
2016-01-18,2.26,2.26,2.01,2.01,200,2.01
2016-01-15,2.15,2.15,2.15,2.15,200,2.15
2016-01-14,2.20,2.20,2.20,2.20,000,2.20
2016-01-13,2.32,2.32,2.20,2.20,200,2.20
2016-01-12,2.39,2.39,2.39,2.39,1000,2.39
2016-01-11,2.45,2.45,2.39,2.39,1700,2.39
2016-01-08,2.64,2.64,2.58,2.58,200,2.58
2016-01-07,2.71,2.71,2.71,2.71,200,2.71
2016-01-06,2.81,2.81,2.80,2.80,900,2.80
2016-01-05,2.95,2.95,2.95,2.95,800,2.95
2016-01-04,2.82,2.82,2.82,2.82,000,2.82
2016-01-01,2.82,2.82,2.82,2.82,000,2.82
2015-12-31,2.82,2.82,2.82,2.82,000,2.82
2015-12-30,2.85,2.85,2.82,2.82,100,2.82
2015-12-29,3.00,3.00,2.90,2.90,200,2.90
2015-12-28,2.81,3.10,2.81,2.90,1000,2.90
2015-12-25,2.97,2.97,2.97,2.97,000,2.97
2015-12-24,2.97,2.97,2.97,2.97,000,2.97
2015-12-23,2.85,2.97,2.81,2.97,1100,2.97
2015-12-22,2.95,2.95,2.95,2.95,500,2.95
2015-12-21,3.14,3.14,3.14,3.14,000,3.14
2015-12-18,3.14,3.14,3.14,3.14,000,3.14
2015-12-17,3.14,3.14,3.14,3.14,000,3.14
2015-12-16,3.14,3.14,3.14,3.14,000,3.14
2015-12-15,3.14,3.14,3.14,3.14,000,3.14
2015-12-14,3.14,3.14,3.14,3.14,400,3.14
2015-12-11,2.75,3.20,2.75,3.20,100,3.20
2015-12-10,3.00,3.00,3.00,3.00,100,3.00
2015-12-09,2.95,2.95,2.95,2.95,000,2.95
2015-12-08,3.01,3.01,2.95,2.95,1100,2.95
2015-12-07,3.00,3.00,3.00,3.00,100,3.00
2015-12-04,3.10,3.10,3.04,3.08,2400,3.08
2015-12-03,3.10,3.10,3.10,3.10,000,3.10
2015-12-02,3.16,3.16,3.10,3.10,2200,3.10
2015-12-01,3.29,3.45,3.14,3.14,600,3.14
2015-11-30,3.40,3.49,3.19,3.49,800,3.49
2015-11-27,3.56,3.56,3.45,3.45,1400,3.45
2015-11-26,3.62,3.62,3.62,3.62,000,3.62
2015-11-25,3.85,3.85,3.50,3.66,500,3.66
2015-11-24,3.55,3.55,3.50,3.50,500,3.50
2015-11-23,3.85,3.85,3.85,3.85,6000,3.85
2015-11-20,3.73,3.73,3.73,3.73,000,3.73
2015-11-19,3.56,3.94,3.56,3.73,100,3.73
2015-11-18,3.64,3.64,3.64,3.64,100,3.64
2015-11-17,3.86,3.87,3.86,3.87,400,3.87
2015-11-16,3.70,3.70,3.70,3.70,000,3.70
2015-11-13,3.70,3.70,3.70,3.70,000,3.70
2015-11-12,3.77,3.77,3.70,3.70,1100,3.70
2015-11-11,3.80,3.80,3.80,3.80,000,3.80
2015-11-10,3.80,3.80,3.80,3.80,2300,3.80
2015-11-09,3.80,3.80,3.80,3.80,1000,3.80
2015-11-06,4.54,4.54,3.84,3.84,6400,3.84
2015-11-05,4.54,4.54,4.54,4.54,000,4.54
2015-11-04,4.60,4.60,4.44,4.54,800,4.54
2015-11-03,4.39,4.39,3.98,4.27,10700,4.27
2015-11-02,3.83,3.83,3.83,3.83,000,3.83
2015-10-30,3.83,3.83,3.83,3.83,000,3.83
2015-10-29,3.95,3.95,3.77,3.83,11200,3.83
2015-10-28,3.95,3.95,3.95,3.95,100,3.95
2015-10-27,4.06,4.06,4.00,4.00,300,4.00
2015-10-26,4.04,4.04,4.04,4.04,000,4.04
2015-10-23,4.04,4.04,4.04,4.04,000,4.04
2015-10-22,4.04,4.04,4.04,4.04,000,4.04
2015-10-21,4.03,4.04,4.03,4.04,200,4.04
2015-10-20,4.03,4.03,4.03,4.03,200,4.03
2015-10-19,4.23,4.23,4.23,4.23,000,4.23
2015-10-16,4.81,4.81,4.23,4.23,100,4.23
2015-10-15,3.85,4.50,3.85,4.20,500,4.10
2015-10-14,4.75,4.75,4.75,4.75,000,4.64
2015-10-13,4.76,4.76,4.75,4.75,300,4.64
2015-10-12,4.85,4.85,4.85,4.85,200,4.74
2015-10-09,5.04,5.04,4.87,4.91,200,4.80
2015-10-08,4.63,4.63,4.63,4.63,100,4.52
2015-10-07,4.75,5.05,4.75,5.05,200,4.93
2015-10-06,4.48,4.48,4.48,4.48,000,4.38
2015-10-05,3.95,4.48,3.95,4.48,200,4.38
2015-10-02,3.97,3.97,3.97,3.97,000,3.88
2015-10-01,3.97,3.97,3.97,3.97,000,3.88
2015-09-30,3.97,3.97,3.97,3.97,000,3.88
2015-09-29,3.95,3.97,3.95,3.97,100,3.88
2015-09-28,4.00,4.00,3.95,3.95,000,3.86
2015-09-25,4.60,4.60,4.60,4.60,000,4.49
2015-09-24,3.98,3.98,3.98,3.98,400,3.89
2015-09-23,4.19,4.19,4.19,4.19,000,4.09
2015-09-22,4.22,4.22,4.19,4.19,1500,4.09
2015-09-21,4.45,4.45,4.45,4.45,000,4.35
2015-09-18,4.45,4.45,4.45,4.45,000,4.35
2015-09-17,4.45,4.45,4.45,4.45,000,4.35
2015-09-16,4.50,4.50,4.21,4.45,100,4.35
2015-09-15,4.74,4.74,4.74,4.74,000,4.63
2015-09-14,4.74,4.74,4.74,4.74,000,4.63
2015-09-11,4.74,4.74,4.74,4.74,000,4.63
2015-09-10,4.74,4.74,4.74,4.74,000,4.63
2015-09-09,4.73,4.74,4.73,4.74,000,4.63
2015-09-08,4.25,4.25,4.25,4.25,000,4.15
2015-09-07,4.25,4.25,4.25,4.25,000,4.15
2015-09-04,4.25,4.25,4.25,4.25,000,4.15
2015-09-03,4.25,4.25,4.25,4.25,000,4.15
2015-09-02,4.25,4.25,4.25,4.25,000,4.15
2015-09-01,4.25,4.25,4.25,4.25,300,4.15
2015-08-31,4.25,4.25,4.25,4.25,300,4.15
2015-08-28,4.21,4.21,4.21,4.21,000,4.11
2015-08-27,4.21,4.21,4.21,4.21,000,4.11
2015-08-26,4.28,4.28,4.28,4.28,000,4.18
2015-08-25,4.18,4.28,3.90,4.28,6900,4.18
2015-08-24,4.30,4.30,4.00,4.00,700,3.91
2015-08-21,4.65,4.65,4.39,4.39,000,4.29
2015-08-20,4.31,4.31,4.29,4.29,1200,4.19
2015-08-19,4.61,4.61,4.51,4.51,1200,4.41
2015-08-18,4.61,4.61,4.61,4.61,000,4.50
2015-08-17,4.61,4.61,4.61,4.61,000,4.50
2015-08-14,4.90,4.90,4.90,4.90,000,4.79
2015-08-13,4.90,4.90,4.90,4.90,000,4.79
2015-08-12,4.90,4.90,4.90,4.90,000,4.79
2015-08-11,4.90,4.90,4.90,4.90,100,4.79
2015-08-10,4.90,4.90,4.90,4.90,5000,4.79
2015-08-07,4.97,4.97,4.97,4.97,000,4.86
2015-08-06,4.97,4.97,4.97,4.97,000,4.86
2015-08-05,4.97,4.97,4.97,4.97,000,4.86
2015-08-04,4.90,4.90,4.90,4.90,000,4.79
2015-08-03,4.90,4.90,4.90,4.90,000,4.79
2015-07-31,4.90,4.90,4.90,4.90,000,4.79
2015-07-30,5.50,5.50,5.15,5.15,100,5.03
2015-07-29,4.95,4.95,4.95,4.95,000,4.84
2015-07-28,4.54,4.54,4.54,4.54,000,4.44
2015-07-27,4.54,4.54,4.54,4.54,100,4.44
2015-07-24,4.85,4.85,4.80,4.80,200,4.69
2015-07-23,5.50,5.50,5.50,5.50,000,5.37
2015-07-22,5.50,5.50,5.50,5.50,000,5.37
2015-07-21,5.50,5.50,5.50,5.50,000,5.37
2015-07-20,5.60,5.60,5.60,5.60,000,5.47
2015-07-17,5.60,5.60,5.60,5.60,1000,5.47
2015-07-16,5.50,5.50,5.50,5.50,100,5.37
2015-07-15,5.20,5.20,5.20,5.20,000,5.08
2015-07-14,5.46,5.46,5.20,5.20,000,5.08
2015-07-13,5.04,5.05,5.04,5.05,3100,4.93
2015-07-10,4.88,5.12,4.87,5.12,1000,5.00
2015-07-09,4.95,4.95,4.95,4.95,000,4.84
2015-07-08,5.02,5.03,4.95,4.95,1300,4.84
2015-07-07,5.00,5.00,4.91,4.92,300,4.81
2015-07-06,5.21,5.21,5.01,5.01,1100,4.89
2015-07-03,5.35,5.36,5.35,5.36,400,5.24
