Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,5.80,5.80,5.80,5.80,000,5.80
2016-03-31,5.80,5.80,5.80,5.80,4000,5.80
2016-03-30,5.76,5.76,5.76,5.76,1000,5.76
2016-03-29,6.02,6.02,6.02,6.02,400,6.02
2016-03-28,6.33,6.33,6.33,6.33,000,6.33
2016-03-25,6.33,6.33,6.33,6.33,000,6.33
2016-03-24,6.33,6.33,6.33,6.33,000,6.33
2016-03-23,6.33,6.33,6.33,6.33,000,6.33
2016-03-22,6.33,6.33,6.33,6.33,000,6.33
2016-03-21,6.33,6.33,6.33,6.33,000,6.33
2016-03-18,6.66,6.66,6.66,6.66,100,6.66
2016-03-17,7.01,7.01,7.01,7.01,000,7.01
2016-03-16,7.01,7.01,7.01,7.01,000,7.01
2016-03-15,7.01,7.01,7.01,7.01,000,7.01
2016-03-14,7.01,7.01,7.01,7.01,000,7.01
2016-03-11,7.01,7.01,7.01,7.01,000,7.01
2016-03-10,7.01,7.01,7.01,7.01,000,7.01
2016-03-09,7.01,7.01,7.01,7.01,000,7.01
2016-03-08,7.01,7.01,7.01,7.01,000,7.01
2016-03-07,7.01,7.01,7.01,7.01,000,7.01
2016-03-04,7.01,7.01,7.01,7.01,000,7.01
2016-03-03,7.01,7.01,7.01,7.01,000,7.01
2016-03-02,7.01,7.01,7.01,7.01,000,7.01
2016-03-01,7.01,7.01,7.01,7.01,000,7.01
2016-02-29,7.01,7.01,7.01,7.01,100,7.01
2016-02-26,7.37,7.37,7.37,7.37,000,7.37
2016-02-25,7.75,7.75,7.75,7.75,000,7.75
2016-02-24,7.75,7.75,7.75,7.75,000,7.75
2016-02-23,7.75,7.75,7.75,7.75,000,7.75
2016-02-22,8.15,8.15,8.15,8.15,000,8.15
2016-02-19,8.15,8.15,8.15,8.15,000,8.15
2016-02-18,8.15,8.15,8.15,8.15,000,8.15
2016-02-17,8.15,8.15,8.15,8.15,000,8.15
2016-02-16,8.15,8.15,8.15,8.15,000,8.15
2016-02-15,8.15,8.15,8.15,8.15,000,8.15
2016-02-12,8.15,8.15,8.15,8.15,000,8.15
2016-02-11,8.15,8.15,8.15,8.15,000,8.15
2016-02-10,8.15,8.15,8.15,8.15,000,8.15
2016-02-09,8.15,8.15,8.15,8.15,000,8.15
2016-02-08,8.15,8.15,8.15,8.15,000,8.15
2016-02-05,8.15,8.15,8.15,8.15,000,8.15
2016-02-04,8.15,8.15,8.15,8.15,000,8.15
2016-02-03,8.15,8.15,8.15,8.15,000,8.15
2016-02-02,8.15,8.15,8.15,8.15,000,8.15
2016-02-01,8.15,8.15,8.15,8.15,000,8.15
2016-01-29,8.15,8.15,8.15,8.15,000,8.15
2016-01-28,8.15,8.15,8.15,8.15,000,8.15
2016-01-27,8.15,8.15,8.15,8.15,000,8.15
2016-01-26,8.15,8.15,8.15,8.15,000,8.15
2016-01-25,8.15,8.15,8.15,8.15,000,8.15
2016-01-22,8.15,8.15,8.15,8.15,000,8.15
2016-01-21,8.15,8.15,8.15,8.15,000,8.15
2016-01-20,8.15,8.15,8.15,8.15,000,8.15
2016-01-19,8.15,8.15,8.15,8.15,000,8.15
2016-01-18,8.15,8.15,8.15,8.15,000,8.15
2016-01-15,8.15,8.15,8.15,8.15,000,8.15
2016-01-14,8.15,8.15,8.15,8.15,000,8.15
2016-01-13,8.15,8.15,8.15,8.15,000,8.15
2016-01-12,8.15,8.15,8.15,8.15,000,8.15
2016-01-11,8.15,8.15,8.15,8.15,000,8.15
2016-01-08,8.15,8.15,8.15,8.15,000,8.15
2016-01-07,8.15,8.15,8.15,8.15,000,8.15
2016-01-06,8.15,8.15,8.15,8.15,000,8.15
2016-01-05,8.15,8.15,8.15,8.15,000,8.15
2016-01-04,8.15,8.15,8.15,8.15,000,8.15
2016-01-01,8.15,8.15,8.15,8.15,000,8.15
2015-12-31,8.15,8.15,8.15,8.15,000,8.15
2015-12-30,8.15,8.15,8.15,8.15,500,8.15
2015-12-29,7.77,7.77,7.77,7.77,000,7.77
2015-12-28,7.77,7.77,7.77,7.77,000,7.77
2015-12-25,7.77,7.77,7.77,7.77,000,7.77
2015-12-24,7.77,7.77,7.77,7.77,1000,7.77
2015-12-23,7.40,7.40,7.40,7.40,000,7.40
2015-12-22,7.40,7.40,7.40,7.40,000,7.40
2015-12-21,7.40,7.40,7.40,7.40,000,7.40
2015-12-18,7.40,7.40,7.40,7.40,000,7.40
2015-12-17,7.40,7.40,7.40,7.40,000,7.40
2015-12-16,7.40,7.40,7.40,7.40,000,7.40
2015-12-15,7.40,7.40,7.40,7.40,000,7.40
2015-12-14,7.40,7.40,7.40,7.40,500,7.40
2015-12-11,7.71,7.71,7.71,7.71,000,7.71
2015-12-10,7.71,7.71,7.71,7.71,100,7.71
2015-12-09,7.35,7.35,7.35,7.35,100,7.35
2015-12-08,7.73,7.73,7.73,7.73,000,7.73
2015-12-07,7.73,7.73,7.73,7.73,000,7.73
2015-12-04,7.73,7.73,7.73,7.73,000,7.73
2015-12-03,7.73,7.73,7.73,7.73,000,7.73
2015-12-02,7.73,7.73,7.73,7.73,000,7.73
2015-12-01,7.73,7.73,7.73,7.73,000,7.73
2015-11-30,7.73,7.73,7.73,7.73,000,7.73
2015-11-27,7.73,7.73,7.73,7.73,000,7.73
2015-11-26,7.73,7.73,7.73,7.73,000,7.73
2015-11-25,7.73,7.73,7.73,7.73,000,7.73
2015-11-24,7.73,7.73,7.73,7.73,000,7.73
2015-11-23,7.73,7.73,7.73,7.73,000,7.73
2015-11-20,7.73,7.73,7.73,7.73,000,7.73
2015-11-19,7.73,7.73,7.73,7.73,000,7.73
2015-11-18,7.73,7.73,7.73,7.73,000,7.73
2015-11-17,7.73,7.73,7.73,7.73,000,7.73
2015-11-16,7.73,7.73,7.73,7.73,000,7.73
2015-11-13,7.73,7.73,7.73,7.73,100,7.73
2015-11-12,7.37,7.37,7.37,7.37,000,7.37
2015-11-11,7.37,7.37,7.37,7.37,000,7.37
2015-11-10,7.37,7.37,7.37,7.37,000,7.37
2015-11-09,7.37,7.37,7.37,7.37,000,7.37
2015-11-06,7.37,7.37,7.37,7.37,000,7.37
2015-11-05,7.37,7.37,7.37,7.37,000,7.37
2015-11-04,7.37,7.37,7.37,7.37,000,7.37
2015-11-03,7.02,7.02,7.02,7.02,000,7.02
2015-11-02,7.02,7.02,7.02,7.02,000,7.02
2015-10-30,7.02,7.02,7.02,7.02,000,7.02
2015-10-29,7.02,7.02,7.02,7.02,000,7.02
2015-10-28,7.02,7.02,7.02,7.02,000,7.02
2015-10-27,7.02,7.02,7.02,7.02,000,7.02
2015-10-26,7.02,7.02,7.02,7.02,000,7.02
2015-10-23,7.02,7.02,7.02,7.02,000,7.02
2015-10-22,7.02,7.02,7.02,7.02,000,7.02
2015-10-21,7.02,7.02,7.02,7.02,000,7.02
2015-10-20,7.02,7.02,7.02,7.02,000,7.02
2015-10-19,7.02,7.02,7.02,7.02,000,7.02
2015-10-16,7.02,7.02,7.02,7.02,000,7.02
2015-10-15,7.02,7.02,7.02,7.02,000,7.02
2015-10-14,7.02,7.02,7.02,7.02,000,7.02
2015-10-13,7.02,7.02,7.02,7.02,000,7.02
2015-10-12,7.02,7.02,7.02,7.02,000,7.02
2015-10-09,7.02,7.02,7.02,7.02,000,7.02
2015-10-08,7.02,7.02,7.02,7.02,000,7.02
2015-10-07,7.02,7.02,7.02,7.02,000,7.02
2015-10-06,7.02,7.02,7.02,7.02,000,7.02
2015-10-05,7.02,7.02,7.02,7.02,000,7.02
2015-10-02,7.02,7.02,7.02,7.02,000,7.02
2015-10-01,7.50,7.50,7.02,7.02,900,7.02
2015-09-30,7.38,7.38,7.38,7.38,500,7.38
2015-09-29,7.76,7.76,7.76,7.76,000,7.76
2015-09-28,7.76,7.76,7.76,7.76,000,7.76
2015-09-25,7.76,7.76,7.76,7.76,000,7.76
2015-09-24,7.76,7.76,7.76,7.76,000,7.76
2015-09-23,7.76,7.76,7.76,7.76,500,7.76
2015-09-22,8.16,8.16,8.16,8.16,500,8.16
2015-09-21,8.58,8.58,8.58,8.58,000,8.58
2015-09-18,8.58,8.58,8.58,8.58,000,8.58
2015-09-17,8.58,8.58,8.58,8.58,000,8.58
2015-09-16,8.58,8.59,8.58,8.58,1300,8.58
2015-09-15,9.03,9.03,9.03,9.03,000,9.03
2015-09-14,9.03,9.03,9.03,9.03,000,9.03
2015-09-11,9.03,9.03,9.03,9.03,000,9.03
2015-09-10,9.03,9.03,9.03,9.03,000,9.03
2015-09-09,9.03,9.03,9.03,9.03,800,9.03
2015-09-08,9.50,9.50,9.50,9.50,000,9.50
2015-09-07,9.50,9.50,9.50,9.50,000,9.50
2015-09-04,9.50,9.50,9.50,9.50,000,9.50
2015-09-03,9.50,9.50,9.50,9.50,000,9.50
2015-09-02,9.50,9.50,9.50,9.50,000,9.50
2015-09-01,9.50,9.50,9.50,9.50,200,9.50
2015-08-31,10.00,10.00,10.00,10.00,000,10.00
2015-08-28,10.00,10.00,10.00,10.00,000,10.00
2015-08-27,10.00,10.00,10.00,10.00,000,10.00
2015-08-26,10.00,10.00,10.00,10.00,000,10.00
2015-08-25,10.00,10.00,10.00,10.00,000,10.00
2015-08-24,10.00,10.00,10.00,10.00,000,10.00
2015-08-21,10.00,10.00,10.00,10.00,000,10.00
2015-08-20,10.00,10.00,10.00,10.00,000,10.00
2015-08-19,10.00,10.00,10.00,10.00,000,10.00
2015-08-18,10.00,10.00,10.00,10.00,100,10.00
2015-08-17,10.52,10.52,10.52,10.52,200,10.52
2015-08-14,11.07,11.07,11.07,11.07,000,11.07
2015-08-13,11.07,11.07,11.07,11.07,000,11.07
2015-08-12,11.07,11.07,11.07,11.07,000,11.07
2015-08-11,11.07,11.07,11.07,11.07,000,11.07
2015-08-10,11.07,11.07,11.07,11.07,000,11.07
2015-08-07,11.07,11.07,11.07,11.07,000,11.07
2015-08-06,11.07,11.07,11.07,11.07,200,11.07
2015-08-05,11.65,11.65,11.65,11.65,000,11.65
2015-08-04,11.10,11.10,11.10,11.10,400,11.10
2015-08-03,11.12,11.12,11.12,11.12,000,11.12
2015-07-31,11.12,11.12,11.12,11.12,000,11.12
2015-07-30,11.12,11.12,11.12,11.12,000,11.12
2015-07-29,11.12,11.12,11.12,11.12,000,11.12
2015-07-28,11.12,11.12,11.12,11.12,000,11.12
2015-07-27,11.12,11.12,11.12,11.12,000,11.12
2015-07-24,11.12,11.12,11.12,11.12,200,11.12
2015-07-23,11.70,11.70,11.70,11.70,1200,11.70
2015-07-22,11.50,12.22,11.15,11.15,2400,11.15
2015-07-21,11.64,11.64,11.64,11.64,1000,11.64
2015-07-20,11.09,11.09,11.09,11.09,3100,11.09
2015-07-17,11.67,11.67,11.67,11.67,200,11.67
2015-07-16,12.28,12.28,12.28,12.28,000,12.28
2015-07-15,11.50,12.28,11.50,12.28,1200,12.28
2015-07-14,11.70,11.70,11.70,11.70,500,11.70
2015-07-13,11.50,11.76,11.50,11.76,1000,11.76
2015-07-10,11.84,11.84,11.55,11.55,1700,11.55
2015-07-09,11.28,11.28,11.28,11.28,000,11.28
2015-07-08,11.28,11.28,11.28,11.28,1500,11.28
2015-07-07,10.70,10.75,10.70,10.75,300,10.75
2015-07-06,11.24,11.24,11.24,11.24,400,11.24
2015-07-03,10.71,10.71,10.71,10.71,000,10.71
2015-07-02,10.71,10.71,10.71,10.71,000,10.71
2015-07-01,10.71,10.71,10.71,10.71,000,10.71
2015-06-30,10.71,10.71,10.71,10.71,200,10.71
2015-06-29,10.20,10.20,10.20,10.20,000,10.20
2015-06-26,10.20,10.20,10.20,10.20,400,10.20
2015-06-25,9.72,9.72,9.72,9.72,000,9.72
2015-06-24,9.72,9.72,9.72,9.72,000,9.72
2015-06-23,10.23,10.23,10.23,10.23,000,10.23
2015-06-22,10.23,10.23,10.23,10.23,000,10.23
2015-06-19,10.23,10.23,10.23,10.23,000,10.23
2015-06-18,10.23,10.23,10.23,10.23,000,10.23
2015-06-17,9.75,9.75,9.75,9.75,000,9.75
2015-06-16,10.05,10.05,10.05,10.05,000,10.05
2015-06-15,10.05,10.05,10.05,10.05,000,10.05
2015-06-12,10.05,10.05,10.05,10.05,000,10.05
2015-06-11,10.05,10.05,10.05,10.05,2100,10.05
2015-06-10,10.45,10.45,10.45,10.45,000,10.45
2015-06-09,10.45,10.45,10.45,10.45,000,10.45
2015-06-08,10.45,10.45,10.45,10.45,000,10.45
2015-06-05,10.45,10.45,10.45,10.45,000,10.45
2015-06-04,10.45,10.45,10.45,10.45,000,10.45
2015-06-03,10.45,10.45,10.45,10.45,000,10.45
2015-06-02,10.99,10.99,10.99,10.99,200,10.99
2015-06-01,10.47,10.47,10.47,10.47,000,10.47
2015-05-29,11.57,11.57,10.47,10.47,300,10.47
2015-05-28,11.02,11.02,11.02,11.02,1000,11.02
2015-05-27,11.60,11.60,10.50,10.50,500,10.50
