Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-15,1.065,1.065,1.065,1.065,000,1.065
2015-12-14,1.065,1.065,1.065,1.065,000,1.065
2015-12-11,1.065,1.065,1.065,1.065,000,1.065
2015-12-10,1.065,1.065,1.065,1.065,000,1.065
2015-12-09,1.065,1.065,1.065,1.065,000,1.065
2015-12-08,1.065,1.065,1.065,1.065,000,1.065
2015-12-07,1.065,1.065,1.065,1.065,000,1.065
2015-12-04,1.065,1.065,1.065,1.065,000,1.065
2015-12-03,1.065,1.065,1.065,1.065,000,1.065
2015-12-02,1.065,1.065,1.065,1.065,000,1.065
2015-12-01,1.065,1.065,1.065,1.065,000,1.065
2015-11-30,1.065,1.065,1.065,1.065,000,1.065
2015-11-27,1.065,1.065,1.065,1.065,000,1.065
2015-11-26,1.065,1.065,1.065,1.065,000,1.065
2015-11-25,1.065,1.065,1.065,1.065,000,1.065
2015-11-24,1.065,1.065,1.065,1.065,000,1.065
2015-11-23,1.065,1.065,1.065,1.065,000,1.065
2015-11-20,1.065,1.065,1.065,1.065,000,1.065
2015-11-19,1.065,1.065,1.065,1.065,000,1.065
2015-11-18,1.065,1.065,1.065,1.065,000,1.065
2015-11-17,1.065,1.065,1.065,1.065,000,1.065
2015-11-16,1.065,1.065,1.065,1.065,000,1.065
2015-11-13,1.065,1.065,1.065,1.065,000,1.065
2015-11-12,1.065,1.065,1.065,1.065,000,1.065
2015-11-11,1.065,1.065,1.065,1.065,000,1.065
2015-11-10,1.065,1.065,1.065,1.065,000,1.065
2015-11-09,1.07,1.07,1.065,1.065,144200,1.065
2015-11-06,1.07,1.07,1.065,1.065,2500,1.065
2015-11-05,1.067,1.07,1.065,1.065,2600,1.065
2015-11-04,1.065,1.065,1.065,1.065,000,1.065
2015-11-03,1.065,1.065,1.065,1.065,000,1.065
2015-11-02,1.067,1.067,1.065,1.065,40000,1.065
2015-10-30,1.07,1.07,1.07,1.07,1400,1.07
2015-10-29,1.07,1.07,1.065,1.065,39400,1.065
2015-10-28,1.065,1.065,1.065,1.065,000,1.065
2015-10-27,1.065,1.07,1.065,1.065,13000,1.065
2015-10-26,1.07,1.075,1.06,1.06,75100,1.06
2015-10-23,1.06,1.065,1.06,1.065,46300,1.065
2015-10-22,1.07,1.07,1.06,1.06,87000,1.06
2015-10-21,1.05,1.07,1.05,1.06,148700,1.06
2015-10-20,0.995,1.04,0.99,1.01,32100,1.01
2015-10-19,1.06,1.0625,1.03,1.03,20900,1.03
