Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.09,0.09,0.09,0.09,22000,0.09
2016-03-31,0.09,0.09,0.09,0.09,000,0.09
2016-03-30,0.09,0.09,0.09,0.09,46000,0.09
2016-03-29,0.08,0.08,0.08,0.08,000,0.08
2016-03-28,0.09,0.09,0.08,0.08,34000,0.08
2016-03-24,0.08,0.09,0.06,0.09,421000,0.09
2016-03-23,0.08,0.08,0.08,0.08,000,0.08
2016-03-22,0.08,0.08,0.08,0.08,6000,0.08
2016-03-21,0.08,0.08,0.08,0.08,1000,0.08
2016-03-18,0.08,0.08,0.08,0.08,20000,0.08
2016-03-17,0.09,0.09,0.09,0.09,25000,0.09
2016-03-16,0.10,0.10,0.10,0.10,68000,0.10
2016-03-15,0.10,0.10,0.10,0.10,20000,0.10
2016-03-14,0.09,0.10,0.09,0.09,37000,0.09
2016-03-11,0.08,0.09,0.08,0.09,69300,0.09
2016-03-10,0.08,0.08,0.08,0.08,000,0.08
2016-03-09,0.08,0.08,0.08,0.08,82000,0.08
2016-03-08,0.08,0.08,0.08,0.08,23000,0.08
2016-03-07,0.08,0.08,0.08,0.08,77000,0.08
2016-03-04,0.08,0.08,0.08,0.08,27000,0.08
2016-03-03,0.07,0.07,0.07,0.07,1000,0.07
2016-03-02,0.08,0.08,0.07,0.07,42000,0.07
2016-03-01,0.07,0.07,0.07,0.07,200000,0.07
2016-02-29,0.07,0.07,0.07,0.07,3000,0.07
2016-02-26,0.07,0.07,0.07,0.07,6000,0.07
2016-02-25,0.07,0.07,0.07,0.07,57000,0.07
2016-02-24,0.07,0.08,0.07,0.07,22000,0.07
2016-02-23,0.07,0.08,0.07,0.08,185000,0.08
2016-02-22,0.06,0.06,0.06,0.06,40500,0.06
2016-02-19,0.06,0.06,0.06,0.06,000,0.06
2016-02-18,0.06,0.06,0.06,0.06,7000,0.06
2016-02-17,0.06,0.06,0.06,0.06,23400,0.06
2016-02-16,0.06,0.06,0.06,0.06,5000,0.06
2016-02-12,0.05,0.05,0.05,0.05,30000,0.05
2016-02-11,0.05,0.05,0.05,0.05,000,0.05
2016-02-10,0.05,0.05,0.05,0.05,1000,0.05
2016-02-09,0.06,0.06,0.05,0.05,35000,0.05
2016-02-08,0.06,0.06,0.06,0.06,80000,0.06
